"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"AUM00011155","1997-09","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","2,S","0","2,S","0","2,S","","","","","","","19.5","2,S,01,","","","","","","","","","13.13","2,,,S","",""
"AUM00011155","1997-10","47.817","13.717","1620.1","FEUERKOGEL, AU","","","17","4,S","11","4,S","3","4,S","","","","","","","","","","","","","","","","","87.1","4,,S,01,","","","","","","","311.4","4,,,S","","","","","",""
"AUM00011155","1997-12","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","29","2,","","","","","","","","","","","","","701","2,,S,05,+","","","","","","","","","","","","","","","",""
"AUM00011155","1998-03","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","27","4,","","","","","","","","","","","","","2200","4,,S,23,+","","","","","","","","","","","","","","","",""
"AUM00011155","1998-05","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","5,S","0","5,S","0","5,S","","","","","","","17.6","5,S,11,","","","","","","","","","9.40","5,,,S","",""
"AUM00011155","1998-08","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","5,S","3","5,S","0","5,S","","","","","","","23.6","5,S,12,","","","","","","","","","15.35","5,,,S","",""
"AUM00011155","1998-12","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","28","3,","","","","","","","","","","","","","749","3,,S,12,+","","","","","","","","","","","","","","","",""
"AUM00011155","1999-02","47.817","13.717","1620.1","FEUERKOGEL, AU","","","23","3,S","21","3,S","1","3,S","27","1,","","","","","","","","","","","","","2700","1,,S,25,","32.0","3,,S,21,","","","","","","","172.3","3,,,S","","","","","",""
"AUM00011155","1999-04","47.817","13.717","1620.1","FEUERKOGEL, AU","","","18","5,S","11","5,S","1","5,S","28","2,","","","","","","","","","","","","","1999","2,,S,01,","27.2","5,,S,13,","","","","","","","118.8","5,,,S","","","","","",""
"AUM00011155","1999-05","47.817","13.717","1620.1","FEUERKOGEL, AU","","","18","4,S","12","4,S","1","4,S","","","","","","","0","4,S","0","4,S","0","4,S","","","","","27.9","4,,S,12,","20.3","4,S,30,","","","","","153.1","4,,,S","","","11.66","4,,,S","",""
"AUM00011155","1999-09","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","5,S","0","5,S","0","5,S","","","","","","","18.7","5,S,14,","","","","","","","","","15.14","5,,,S","",""
"AUM00011155","1999-10","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","2","2,S","0","2,S","0","2,S","","","","","","","17.6","2,S,30,","","","","","","","","","7.95","2,,,S","",""
"AUM00011155","1999-12","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","29","2,","","","","","","","","","","","","","749","2,,S,29,","","","","","","","","","","","","","","","",""
"AUM00011155","2000-01","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","26","5,","","","","","","","","","","","","","1699","5,,S,26,+","","","","","","","","","","","","","","","",""
"AUM00011155","2000-02","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","24","5,","","","","","","","","","","","","","1999","5,,S,27,+","","","","","","","","","","","","","","","",""
"AUM00011155","2000-03","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","30","1,","","","","","","","","","","","","","2301","1,,S,20,","","","","","","","","","","","","","","","",""
"AUM00011155","2000-04","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","26","4,","","","","","2","4,S","0","4,S","0","4,S","","","1400","4,,S,09,+","","","17.0","4,S,23,","","","","","","","","","8.15","4,,,S","",""
"AUM00011155","2000-05","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","4,S","0","4,S","0","4,S","","","","","","","18.1","4,S,27,","","","","","","","","","12.79","4,,,S","",""
"AUM00011155","2000-06","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","1,S","6","1,S","0","1,S","","","","","","","22.7","1,S,21,","","","","","","","","","15.22","1,,,S","",""
"AUM00011155","2000-08","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","3,S","5","3,S","0","3,S","","","","","","","23.5","3,S,20,","","","","","","","","","16.85","3,,,S","",""
"AUM00011155","2000-09","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","","","","","","","0","5,S","0","5,S","0","5,S","","","","","","","20.3","5,S,20,","","","","","","","","","12.53","5,,,S","",""
"AUM00011155","2001-01","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","27","4,","","","","","","","","","","","","","851","4,,S,09,","","","","","","","","","","","","","","","",""
"AUM00011155","2001-02","47.817","13.717","1620.1","FEUERKOGEL, AU","","","","","","","","","25","3,","","","","","","","","","","","","","1349","3,,S,28,+","","","","","","","","","","","","","","","",""
