"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00192530","1894-06","42.43332","-70.89864","21.3","EGG ROCK, MA US","47.0","6","44.0",",6","0",",6","0",",6","0",",6","19",",6","1",",6","3","","","","7.8",",6,08,+","32.2",",6,17,","3649.2","6","55.2",",6","17.96",",6","22.56",",,,6","13.36",",,,6"
"USC00192530","1894-07","42.43332","-70.89864","21.3","EGG ROCK, MA US","137.9","6","90.9",",6","0",",6","0",",6","0",",6","27",",6","3",",6","3","","","","12.2",",6,09,","32.8",",6,13,","9.5","6","9.5",",6","20.96",",6","25.25",",,,6","16.67",",,,6"
"USC00192530","1894-08","42.43332","-70.89864","21.3","EGG ROCK, MA US","171.0","6","33.1",",6","0",",6","0",",6","0",",6","20",",6","0",",6","3","","","","8.9",",6,22,","27.8",",6,08,","39.2","6","29.7",",6","18.44",",6","21.72",",,,6","15.16",",,,6"
"USC00192530","1894-09","42.43332","-70.89864","21.3","EGG ROCK, MA US","186.1","6","15.1",",6","0",",6","0",",6","0",",6","13",",6","0",",6","3","","","","5.6",",6,26,","26.7",",6,09,","103.0","6","63.8",",6","16.71",",6","19.90",",,,6","13.52",",,,6"
"USC00192530","1894-10","42.43332","-70.89864","21.3","EGG ROCK, MA US","186.1","6","0.0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","1","","","","3.3",",6,16,+","18.9",",6,05,+","329.0","6","226.0",",6","11.04",",6","13.95",",,,6","8.13",",,,6"
"USC00192530","1894-11","42.43332","-70.89864","21.3","EGG ROCK, MA US","186.1","6","0.0","1,6","0",",6","17",",6","2","1,6","0","1,6","0","1,6","1","","","","-10.0",",6,30,","16.1","1,6,03,","758.7","6","429.7","1,6","3.35","1,6","7.28","1,,,6","-0.57",",,,6"
"USC00192530","1894-12","42.43332","-70.89864","21.3","EGG ROCK, MA US","186.1","6","0.0","2,6","0","2,6","24","2,6","7","1,6","0","1,6","0","1,6","","","","","-15.0","2,6,29,","10.0","1,6,17,","1310.4","6","551.7","1,6","-0.69","2,6","3.13","1,,,6","-4.51","2,,,6"
"USC00192530","1895-01","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0",",6","0",",6","29",",6","13",",6","0",",6","0",",6","4","","","","-16.1",",6,05,","9.4",",6,23,","1969.7","6","659.3",",6","-2.93",",6","0.95",",,,6","-6.82",",,,6"
"USC00192530","1895-02","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0",",6","5",",6","28",",6","14",",6","0",",6","0",",6","2","","","","-21.7",",6,06,","4.4",",6,19,","2625.3","6","655.6",",6","-5.08",",6","-0.67",",,,6","-9.49",",,,6"
"USC00192530","1895-03","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0",",6","0",",6","30",",6","4",",6","0",",6","0",",6","1","","","","-11.1",",6,15,","7.8",",6,01,","3203.1","6","577.8",",6","-0.31",",6","3.15",",,,6","-3.77",",,,6"
"USC00192530","1895-04","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0",",6","0",",6","8",",6","0",",6","0",",6","0",",6","2","","","","-2.2",",6,04,","19.4",",6,25,","3583.7","6","380.6",",6","5.65",",6","8.99",",,,6","2.30",",,,6"
"USC00192530","1895-05","42.43332","-70.89864","21.3","EGG ROCK, MA US","5.0","6","5.0",",6","0",",6","0",",6","0",",6","7",",6","0",",6","4","","","","1.7",",6,14,+","26.7",",6,08,","3766.2","6","182.5",",6","12.61",",6","16.72",",,,6","8.50",",,,6"
"USC00192530","1895-06","42.43332","-70.89864","21.3","EGG ROCK, MA US","26.1","6","21.1",",6","0",",6","0",",6","0",",6","13",",6","0",",6","8","","","","9.4",",6,08,","31.7",",6,02,","3804.6","6","38.4",",6","17.76",",6","21.05",",,,6","14.46",",,,6"
"USC00192530","1895-07","42.43332","-70.89864","21.3","EGG ROCK, MA US","60.5","6","34.4",",6","0",",6","0",",6","0",",6","23",",6","0",",6","2","","","","12.2",",6,31,","26.1",",6,08,","15.3","6","15.3",",6","18.95",",6","22.17",",,,6","15.73",",,,6"
"USC00192530","1895-08","42.43332","-70.89864","21.3","EGG ROCK, MA US","95.0","6","34.5",",6","0",",6","0",",6","0",",6","25",",6","0",",6","2","","","","8.9",",6,22,","27.2",",6,28,","29.3","6","14.0",",6","18.99",",6","22.67",",,,6","15.32",",,,6"
"USC00192530","1895-09","42.43332","-70.89864","21.3","EGG ROCK, MA US","123.3","6","28.3",",6","0",",6","0",",6","0",",6","13",",6","0",",6","","","","","4.4",",6,28,","31.1",",6,23,","98.1","6","68.8",",6","16.98",",6","20.93",",,,6","13.03",",,,6"
"USC00192530","1895-10","42.43332","-70.89864","21.3","EGG ROCK, MA US","123.3","6","0.0",",6","0",",6","0",",6","0",",6","0",",6","0",",6","","","","","0.6",",6,30,+","18.3",",6,03,","393.4","6","295.3",",6","8.81",",6","12.63",",,,6","4.98",",,,6"
"USC00192530","1895-11","42.43332","-70.89864","21.3","EGG ROCK, MA US","123.3","6","0.0",",6","0",",6","9",",6","0",",6","0",",6","0",",6","4","","","","-6.7",",6,22,","19.4",",6,07,","759.0","6","365.6",",6","6.15",",6","9.86",",,,6","2.43",",,,6"
"USC00192530","1895-12","42.43332","-70.89864","21.3","EGG ROCK, MA US","123.3","6","0.0",",6","0",",6","20",",6","9",",6","0",",6","0",",6","","","","","-13.9",",6,12,","12.2",",6,02,","1306.6","6","547.6",",6","0.67",",6","4.51",",,,6","-3.17",",,,6"
"USC00192530","1896-01","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0",",6","3",",6","31",",6","19",",6","0",",6","0",",6","","","","","-24.4",",6,06,","7.2",",6,03,","2015.1","6","708.5",",6","-4.52",",6","-0.76",",,,6","-8.28",",,,6"
"USC00192530","1896-02","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0",",6","1",",6","26",",6","10",",6","0",",6","0",",6","","","","","-24.4",",6,17,","7.8",",6,28,","2629.4","6","614.3",",6","-2.85",",6","1.27",",,,6","-6.97",",,,6"
"USC00192530","1896-03","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0",",6","0",",6","27",",6","10",",6","0",",6","0",",6","","","","","-12.2",",6,27,","12.8",",6,31,","3241.9","6","612.5",",6","-1.43",",6","2.40",",,,6","-5.25",",,,6"
"USC00192530","1896-04","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","6","0.0",",6","0",",6","9",",6","1",",6","3",",6","0",",6","1","","","","-6.1",",6,04,","25.0",",6,18,+","3601.9","6","360.0",",6","6.33",",6","9.90",",,,6","2.77",",,,6"
"USC00192530","1896-05","42.43332","-70.89864","21.3","EGG ROCK, MA US","7.5","6","7.5",",6","0",",6","0",",6","0",",6","10",",6","0",",6","1","","","","2.8",",6,01,","31.1",",6,10,","3757.4","6","155.5",",6","13.56",",6","17.84",",,,6","9.27",",,,6"
"USC00192530","1896-06","42.43332","-70.89864","21.3","EGG ROCK, MA US","32.1","6","24.6",",6","0",",6","0",",6","0",",6","15",",6","0",",6","1","","","","8.9",",6,15,+","29.4",",6,21,","3824.1","6","66.7",",6","16.93",",6","20.54",",,,6","13.32",",,,6"
"USC00192530","1896-07","42.43332","-70.89864","21.3","EGG ROCK, MA US","88.8","6","56.7",",6","0",",6","0",",6","0",",6","26",",6","0",",6","5","","","","12.8",",6,05,","30.6",",6,13,","17.2","6","17.2",",6","19.61",",6","23.16",",,,6","16.05",",,,6"
"USC00192530","1896-08","42.43332","-70.89864","21.3","EGG ROCK, MA US","149.5","6","60.7",",6","0",",6","0",",6","0",",6","24",",6","0",",6","3","","","","12.2",",6,01,","28.3",",6,11,+","31.7","6","14.5",",6","19.82",",6","23.05",",,,6","16.60",",,,6"
"USC00192530","1896-09","42.43332","-70.89864","21.3","EGG ROCK, MA US","152.6","6","3.1",",6","0",",6","0",",6","0",",6","9",",6","0",",6","1","","","","4.4",",6,24,","25.6",",6,11,","119.4","6","87.7",",6","15.51",",6","18.75",",,,6","12.27",",,,6"
"USC00192530","1896-10","42.43332","-70.89864","21.3","EGG ROCK, MA US","152.6","6","0.0",",6","0",",6","0",",6","0",",6","1",",6","0",",6","1","","","","0.6",",6,26,","21.1",",6,31,","397.3","6","277.9",",6","9.37",",6","12.24",",,,6","6.49",",,,6"
"USC00192530","1896-11","42.43332","-70.89864","21.3","EGG ROCK, MA US","152.6","6","0.0",",6","0",",6","10",",6","0",",6","0",",6","0",",6","","","","","-5.6",",6,23,+","18.9",",6,17,","743.5","6","346.2",",6","6.79",",6","10.71",",,,6","2.88",",,,6"
"USC00192530","1896-12","42.43332","-70.89864","21.3","EGG ROCK, MA US","152.6","6","0.0",",6","0",",6","26",",6","11",",6","0",",6","0",",6","","","","","-16.7",",6,27,","10.6",",6,13,","1367.3","6","623.8",",6","-1.79",",6","2.14",",,,6","-5.71",",,,6"
"USC00192530","1897-01","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","","0.0",",6","1",",6","28",",6","15",",6","0",",6","0",",6","2","","","","-17.8",",6,19,","10.0",",6,05,","2033.1","","665.8",",6","-3.14",",6","0.86",",,,6","-7.15",",,,6"
"USC00192530","1897-02","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","","0.0",",6","0",",6","26",",6","6",",6","0",",6","0",",6","","","","","-12.2",",6,28,","7.8",",6,21,","2598.4","","565.3",",6","-1.86",",6","1.60",",,,6","-5.32",",,,6"
"USC00192530","1897-03","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","","0.0","2,6","0","1,6","22","1,6","2","1,6","0","1,6","0","1,6","4","","","","-15.6","1,6,01,","10.6","1,6,30,","3094.2","","495.8","1,6","1.15","2,6","4.93","1,,,6","-2.63","1,,,6"
"USC00192530","1897-04","42.43332","-70.89864","21.3","EGG ROCK, MA US","0.0","","0.0",",6","0",",6","5",",6","0",",6","0",",6","0",",6","","","","","-6.7",",6,20,","20.0",",6,24,","3432.6","","338.4",",6","7.05",",6","11.32",",,,6","2.79",",,,6"
"USC00192530","1897-05","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","","","0",",","0",",6","","","","","","","3","","","","0.6",",6,09,","","","","","","","","","","","8.14",",,,6"
"USC00192530","1897-06","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","4.5",",6","0",",6","0",",6","0",",6","12",",6","0",",6","1","","","","7.2",",6,02,","26.7",",6,25,","","","107.1",",6","14.91",",6","18.70",",,,6","11.12",",,,6"
"USC00192530","1897-07","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","48.2",",6","0",",6","0",",6","0",",6","23",",6","0",",6","7","","","","6.1",",6,29,+","28.3",",6,09,","27.8","","27.8",",6","18.99",",6","23.04",",,,6","14.95",",,,6"
"USC00192530","1897-08","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","54.1","1,6","0","1,6","0","1,6","0",",6","27",",6","0",",6","1","","","","7.2","1,6,23,","30.0",",6,14,+","43.0","","15.2",",6","19.56","1,6","23.96",",,,6","15.16","1,,,6"
"USC00192530","1897-09","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","27.8","1,6","0",",6","0",",6","0","1,6","12","1,6","1","1,6","1","","","","4.4",",6,28,","33.9","1,6,10,","126.3","","83.3","1,6","16.38","1,6","21.06","1,,,6","11.70",",,,6"
"USC00192530","1897-10","42.43332","-70.89864","21.3","EGG ROCK, MA US","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","",""
