"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00128848","1990-04","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","7",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","21.8",",,0,11,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.1",",,,0","0",",,,0","","","","","","","",""
"USC00128848","1990-05","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","13",",0","12",",0","4",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","35.6",",,0,16,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","194.0",",,,0","0",",,,0","","","","","","","",""
"USC00128848","1990-06","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","11",",0","6",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","36.3",",,0,20,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","111.8",",,,0","0",",,,0","","","","","","","",""
"USC00128848","1990-07","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","9",",0","7",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","59.4",",,0,12,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","125.4",",,,0","0",",,,0","","","","","","","",""
"USC00128848","1990-08","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","3",",0","3",",0","2",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","52.3",",,0,29,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","121.4",",,,0","0",",,,0","","","","","","","",""
"USC00128848","1990-09","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","5",",0","4",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","42.4",",,0,19,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","68.2",",,,0","0",",,,0","","","","","","","",""
"USC00128848","1990-10","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","4","4,0","3","4,0","1","4,0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","35.1","4,,0,04,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.3","4,,,0","0",",,,0","","","","","","","",""
"USC00128848","1990-11","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","6",",0","5",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","24.1",",,0,28,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.6",",,,0","0",",,,0","","","","","","","",""
"USC00128848","1990-12","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","7","1,0","6","1,0","2","1,0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","13",",,0,04,","88.4","1,,0,30,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","182.8","1,,,0","13",",,,0","","","","","","","",""
"USC00128848","1991-01","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","4","4,0","3","4,0","0","4,0","","","4",",0","","","","","","","","","","","","","","","102",",,0,26,","13.0","4,,0,06,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.3","4,,,0","255",",,,0","","","","","","","",""
"USC00128848","1991-02","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","6","1,0","6","1,0","1","1,0","0","3,0","1",",0","","","","","","","","","","","","","0","3,,0,28,+","51",",,0,15,","26.2","1,,0,06,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","63.2","1,,,0","51",",,,0","","","","","","","",""
"USC00128848","1991-03","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","7",",0","6",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","38.6",",,0,13,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126.2",",,,0","0",",,,0","","","","","","","",""
"USC00128848","1991-04","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","","","","","","","0","2,0","0","2,0","","","","","","","","","","","","","0","2,,0,30,+","0","2,,0,30,+","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","2,,,0","","","","","","","",""
"USC00128848","1991-05","39.40694","-86.16028","256.0","TRAFALGAR, IN US","","","10",",0","8",",0","1",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","32.0",",,0,23,","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","82.3",",,,0","0",",,,0","","","","","","","",""
