"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00101384","2003-05","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","34.3",",0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","15",",0","4",",0","-0.6",",0,19,","0",",,0,31,+","0",",,0,31,+","6.4",",,0,31,","36.7",",0,29,","","","  22.2",",,,0,3,2","155.4",",0","  27.2",",,,0,3,2","   7.2",",,,0,3,2","   9.4",",,,0,3,2","  13.7",",,,0,3,2","  17.4",",,,0,3,2","28.3",",,,0","0",",,,0","14.43",",0","21.97",",,,0","6.88",",,,0"
"USC00101384","2003-06","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","74.6","3,0","4",",0","0",",0","0",",0","0",",0","0",",0","0","3,0","0","3,0","0","2,0","27","2,0","8","2,0","7.8","3,0,22,+","0",",,0,30,+","0",",,0,30,+","0.8",",,0,20,","37.8","2,0,30,","","","  23.9","2,,,0,3,2","10.3","2,0","  27.8","2,,,0,3,2","  17.8","2,,,0,3,2","  21.1","2,,,0,3,2","  21.3","2,,,0,3,2","  24.8","2,,,0,3,2","2.1",",,,0","0",",,,0","20.55","3,0","29.39","2,,,0","11.71","3,,,0"
"USC00101384","2003-07","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","238.1","1,0","2",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","28",",0","12.2","1,0,09,+","0",",,0,31,+","0",",,0,31,+","7.6",",,0,26,","42.2",",0,23,","0.0","0","  28.9",",,,0,3,2","0.0",",0","  33.3",",,,0,3,2","  18.9",",,,0,3,2","  25.6",",,,0,3,2","  24.9",",,,0,3,2","  29.7",",,,0,3,2","8.1",",,,0","0",",,,0","26.21","1,0","36.02",",,,0","16.39","1,,,0"
"USC00101384","2003-08","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","161.9","3,0","0","1,0","0","1,0","0","1,0","0",",0","0",",0","0","3,0","0","3,0","0","2,0","29","2,0","21","2,0","12.2","3,0,09,","0",",,0,31,+","0",",,0,31,+","0.0","1,,0,31,+","38.3","2,0,02,+","0.0","0","  26.1",",,,2,3,2","0.0","2,0","  30.6",",,,2,3,2","  20.0",",,,2,3,2","  22.2",",,,2,3,2","  23.7",",,,2,3,2","  27.1",",,,2,3,2","0.0","1,,,0","0",",,,0","24.20","3,0","33.52","2,,,0","14.89","3,,,0"
"USC00101384","2003-09","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","2",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","1.5",",,0,17,","","","","","","","","","","","","","","","","","","","2.0",",,,0","0",",,,0","","","","","",""
"USC00101384","2003-10","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","0","3,0","0","3,0","0","3,0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","0.0","3,,0,31,+","","","","","","","","","","","","","","","","","","","0.3",",a,,0","0",",,,0","","","","","",""
"USC00101384","2003-11","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","","","","","","","","","","","","","","","9.3","2,a,,0","0",",,,0","","","","","",""
"USC00101384","2003-12","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0","4,0","0","3,0","","","","","","","","","","","","","0","4,,0,31,+","0","3,,0,31,+","","","","","","","","","","","","","","","","","","","","","34.7","4,a,,0","0","3,,,0","","","","","",""
"USC00101384","2004-01","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","","","2","5,0","","","","","","","","","","","","","","","76","5,,0,26,+","","","","","","","","","","","","","","","","","","","","","75.3","4,a,,0","152","5,,,0","","","","","",""
"USC00101384","2004-02","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","","","0",",0","","","","","","","","","","","","","","","0",",,0,29,+","","","","","","","","","","","","","","","","","","","","","38.8","1,a,,0","102",",a,,0","","","","","",""
"USC00101384","2004-03","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","","","","","","","","","","","","","3.1",",a,,0","0",",,,0","","","","","",""
"USC00101384","2004-04","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","5",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","7.6",",,0,22,","","","","","","","","","","","","","","","","","","","14.2",",,,0","0",",,,0","","","","","",""
"USC00101384","2004-05","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","","","","","","","","","","","","","29.5",",a,,0","0",",,,0","","","","","",""
"USC00101384","2004-06","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","","","","","","","","","","","","","","","59.3","4,a,,0","0",",,,0","","","","","",""
"USC00101384","2004-07","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","2",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","3.0",",,0,20,","","","","","","","","","","","","","","","","","","","3.8",",,,0","0",",,,0","","","","","",""
"USC00101384","2004-08","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","7","2,0","1","2,0","0","2,0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","2.5","2,,0,25,","","","","","","","","","","","","","","","","","","","8.9","2,,,0","0",",,,0","","","","","",""
"USC00101384","2004-09","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0","1,0","0",",0","","","","","","","","","","","","","0","1,,0,30,+","0",",,0,30,+","","","","","","","","","","","","","","","","","","","","","10.7",",a,,0","0",",,,0","","","","","",""
"USC00101384","2004-10","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","","","","","","","","","","","","","","","0",",,,0","","","","","",""
"USC00101384","2004-11","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","6","3,0","4","3,0","0","3,0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","12.2","3,,0,01,","","","","","","","","","","","","","","","","","","","32.7",",a,,0","0",",,,0","","","","","",""
"USC00101384","2004-12","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","","","1","2,0","","","","","","","","","","","","","","","25","2,,0,01,","","","","","","","","","","","","","","","","","","","","","15.4",",a,,0","25","2,,,0","","","","","",""
"USC00101384","2005-01","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0","3,0","0","4,0","","","","","","","","","","","","","0","3,,0,31,+","0","4,,0,31,+","","","","","","","","","","","","","","","","","","","","","7.2","1,a,,0","0","4,,,0","","","","","",""
"USC00101384","2005-02","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","0",",,0,28,+","0",",,0,28,+","","","","","","","","","","","","","","","","","","","","","","","0",",,,0","","","","","",""
"USC00101384","2005-03","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","","","","","","","","","","","","","34.6",",a,,0","0",",,,0","","","","","",""
"USC00101384","2005-04","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","","","","","","","","","","","","","","","13.8",",a,,0","0",",,,0","","","","","",""
"USC00101384","2005-05","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","","","","","","","","","","","","","79.4",",a,,0","0",",,,0","","","","","",""
"USC00101384","2005-06","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","","","","","","","","","","","","","","","30.1",",a,,0","0",",,,0","","","","","",""
"USC00101384","2005-08","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","","","","","","","","","","","","","","","","","","","0.0",",,,0","0",",,,0","","","","","",""
"USC00101384","2005-10","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0","1,0","0",",0","","","","","","","","","","","","","0","1,,0,31,+","0",",,0,31,+","","","","","","","","","","","","","","","","","","","","","4.6","3,a,,0","0",",,,0","","","","","",""
"USC00101384","2005-11","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","0",",T,0,30,","0",",T,0,30,","","","","","","","","","","","","","","","","","","","","","","","0",",T,,0","","","","","",""
"USC00101384","2006-01","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0","3,0","0",",0","","","","","","","","","","","","","0","3,,0,31,+","0",",T,0,26,","","","","","","","","","","","","","","","","","","","","","","","0",",T,,0","","","","","",""
"USC00101384","2006-02","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","2","3,0","2","3,0","0","3,0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,28,+","0",",,0,28,+","8.4","3,,0,01,","","","","","","","","","","","","","","","","","","","14.8",",a,,0","0",",,,0","","","","","",""
"USC00101384","2006-03","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","1","2,0","0","1,0","","","","","","","","","","","","","25","2,,0,13,","0","1,,0,31,+","","","","","","","","","","","","","","","","","","","","","34.9",",a,,0","0","1,,,0","","","","","",""
"USC00101384","2006-04","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","","","","","","","","","","","","","","","37.1",",a,,0","0",",,,0","","","","","",""
"USC00101384","2006-05","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","","","","","","","","","","","","","","","","","","","","","26.2",",a,,0","0",",,,0","","","","","",""
"USC00101384","2006-06","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","","","","","","","0",",0","0",",0","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","","","","","","","","","","","","","","","","","","","","","30.2",",a,,0","0",",,,0","","","","","",""
"USC00101384","2006-07","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","","","","","","","","","","","","","","","","","","","0.0",",,,0","0",",,,0","","","","","",""
"USC00101384","2006-10","43.6175","-116.6919","763.5","CALDWELL 3 S, ID US","","","1","3,0","0","3,0","0","3,0","0","1,0","0",",0","","","","","","","","","","","","","0","1,,0,31,+","0",",,0,31,+","1.3","3,,0,20,","","","","","","","","","","","","","","","","","","","7.4",",a,,0","0",",,,0","","","","","",""
