"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00143537","1943-10","38.85","-99.35","609.9","HAYS 2 S, KS US","0.9",",6","5",",6","1",",6","0",",6","0",",6","0",",6","14",",6","0",",6","13",",6","0",",6","-6.7",",6,27,","0",",,6,31,+","10.9",",,6,20,","30.6",",6,20,","1665.9",",,,6","278.5","","225.7",",6","15.0",",,,6","0",",,,6","11.08",",6","20.98",",,,6","1.18",",,,6","5521",",,,6"
"USC00143537","1944-04","38.85","-99.35","609.9","HAYS 2 S, KS US","0.0",",6","17",",6","11",",6","1",",6","","","0",",6","14",",6","0",",6","2",",6","0",",6","-4.4",",6,03,","","","27.4",",,6,23,","21.1",",6,08,+","1041.9","4,,,6","","","322.2",",6","109.7",",,,6","","","7.59",",6","13.15",",,,6","2.04",",,,6","10270",",,,6"
"USC00143537","1944-05","38.85","-99.35","609.9","HAYS 2 S, KS US","39.6",",6","10",",6","6",",6","0",",6","","","0",",6","2",",6","0",",6","22",",6","0",",6","-2.2",",6,06,","","","16.5",",,6,02,","30.0",",6,20,","2210.3",",,,6","","","83.2",",6","68.6",",,,6","","","16.93",",6","23.59",",,,6","10.27",",,,6","7700",",,,6"
"USC00143537","1944-06","38.85","-99.35","609.9","HAYS 2 S, KS US","164.6",",6","7",",6","2",",6","0",",6","","","0",",6","0",",6","0",",6","28",",6","12",",6","8.3",",6,05,","","","17.3",",,6,01,","40.0",",6,23,","3041.2","1,,,6","","","8.7",",6","25.1",",,,6","","","23.53",",6","30.94",",,,6","16.12",",,,6","8014",",,,6"
"USC00143537","1944-07","38.85","-99.35","609.9","HAYS 2 S, KS US","212.4",",6","13",",6","9",",6","3",",6","","","0",",6","0",",6","0",",6","31",",6","15",",6","12.8",",6,21,","","","46.7",",,6,25,","41.1",",6,08,","3062.1",",,,6","0.0","","0.0",",6","162.6",",,,6","","","25.18",",6","32.47",",,,6","17.89",",,,6","5980",",,,6"
"USC00143537","1944-08","38.85","-99.35","609.9","HAYS 2 S, KS US","210.3",",6","7",",6","5",",6","2",",6","","","0",",6","0",",6","0",",6","31",",6","17",",6","9.4",",6,31,","","","30.5",",,6,25,","40.6",",6,14,","2755.1",",,,6","1.4","","1.4",",6","117.1",",,,6","","","25.07",",6","32.26",",,,6","17.88",",,,6","6013",",,,6"
"USC00143537","1944-09","38.85","-99.35","609.9","HAYS 2 S, KS US","68.4",",6","3",",6","3",",6","0",",6","","","0",",6","0",",6","0",",6","25",",6","6",",6","1.7",",6,29,","","","4.3",",,6,28,","37.2",",6,23,","2134.8",",,,6","48.8","","47.4",",6","9.8",",,,6","","","19.03",",6","27.19",",,,6","10.88",",,,6","5803",",,,6"
"USC00143537","1944-10","38.85","-99.35","609.9","HAYS 2 S, KS US","0.6",",6","3",",6","3",",6","0",",6","","","0",",6","2",",6","0",",6","21",",6","0",",6","-1.7",",6,12,","","","14.5",",,6,04,","28.3",",6,24,+","1329.1","1,,,6","210.6","","161.8",",6","31.3",",,,6","","","13.13",",6","21.11",",,,6","5.16",",,,6","4564",",,,6"
"USC00143537","1945-04","38.85","-99.35","609.9","HAYS 2 S, KS US","3.4",",6","12",",6","11",",6","0",",6","1",",6","0",",6","12",",6","1",",6","12",",6","0",",6","-7.8",",6,05,","140",",,6,04,","15.0",",,6,15,","30.6",",6,10,","1613.4","2,,,6","","","280.7",",6","90.5",",,,6","140",",,,6","9.09",",6","16.18",",,,6","2.00",",,,6","",""
"USC00143537","1945-05","38.85","-99.35","609.9","HAYS 2 S, KS US","26.1","1,6","7",",6","5",",6","1",",6","0",",6","0","1,6","2","1,6","0","1,6","19","1,6","2","1,6","-2.2","1,6,04,","0",",,6,31,+","50.3",",,6,21,","35.6","1,6,20,","2111.2","1,,,6","","","132.3","1,6","86.6",",,,6","0",",,,6","14.80","1,6","22.27","1,,,6","7.32","1,,,6","",""
"USC00143537","1945-06","38.85","-99.35","609.9","HAYS 2 S, KS US","56.5",",6","16",",6","10",",6","1",",6","","","0",",6","0",",6","0",",6","21",",6","3",",6","6.7",",6,17,","","","48.3",",,6,24,","33.9",",6,28,+","1719.8","1,,,6","","","58.5",",6","118.3",",,,6","","","18.26",",6","24.51",",,,6","12.02",",,,6","",""
"USC00143537","1945-07","38.85","-99.35","609.9","HAYS 2 S, KS US","215.4",",6","7",",6","4",",6","0",",6","","","0",",6","0",",6","0",",6","31",",6","16",",6","12.8",",6,02,","","","12.2",",,6,17,","40.6",",6,31,","3043.9","1,,,6","0.5","","0.5",",6","42.2",",,,6","","","25.26",",6","32.19",",,,6","18.34",",,,6","",""
"USC00143537","1945-08","38.85","-99.35","609.9","HAYS 2 S, KS US","245.0",",6","4",",6","1",",6","1",",6","0",",6","0",",6","0",",6","0",",6","31",",6","22",",6","12.2",",6,22,","0",",,6,31,+","43.2",",,6,06,","42.2",",6,05,","3097.4","1,,,6","2.7","","2.2",",6","46.2",",,,6","0",",,,6","26.17",",6","33.95",",,,6","18.38",",,,6","",""
"USC00143537","1945-09","38.85","-99.35","609.9","HAYS 2 S, KS US","120.8",",6","7",",6","4",",6","0",",6","0",",6","0",",6","0",",6","0",",6","23",",6","12",",6","0.6",",6,14,","0",",,6,30,+","8.6",",,6,30,","41.1",",6,05,","2709.7",",,,6","67.6","","64.9",",6","28.0",",,,6","0",",,,6","20.20",",6","28.88",",,,6","11.51",",,,6","",""
"USC00143537","1945-10","38.85","-99.35","609.9","HAYS 2 S, KS US","2.8",",6","3",",6","2",",6","0",",6","0",",6","0",",6","6",",6","0",",6","18",",6","1",",6","-7.2",",6,22,","0",",,6,31,+","6.1",",,6,14,","33.3",",6,08,","1528.0",",,,6","225.7","","158.1",",6","9.1",",,,6","0",",,,6","13.32",",6","21.86",",,,6","4.78",",,,6","",""
"USC00143537","1946-04","38.85","-99.35","609.9","HAYS 2 S, KS US","23.2","1,6","6",",6","3",",6","0",",6","0",",6","0",",6","2",",6","0","1,6","23","1,6","2","1,6","-0.6",",6,16,","0",",,6,30,+","9.4",",,6,15,","35.6","1,6,20,","2520.2",",,,6","","","105.6","1,6","25.3",",,,6","0",",,,6","15.50","1,6","24.01","1,,,6","6.98",",,,6","",""
"USC00143537","1946-05","38.85","-99.35","609.9","HAYS 2 S, KS US","13.9","1,6","12",",6","7",",6","2",",6","0",",6","0",",6","2",",6","0","1,6","20","1,6","0","1,6","-1.7",",6,11,","0",",,6,31,+","57.4",",,6,30,","31.7","1,6,06,","2090.5","1,,,6","","","107.7","1,6","154.7",",,,6","0",",,,6","15.05","1,6","22.52","1,,,6","7.58",",,,6","",""
"USC00143537","1946-06","38.85","-99.35","609.9","HAYS 2 S, KS US","214.0",",6","3",",6","3",",6","0",",6","0",",6","0",",6","0",",6","0",",6","26",",6","19",",6","5.6",",6,02,","0",",,6,30,+","11.4",",,6,19,","43.9",",6,16,","2815.4","5,,,6","","","27.5",",6","20.8",",,,6","0",",,,6","24.55",",6","32.39",",,,6","16.71",",,,6","",""
"USC00143537","1946-07","38.85","-99.35","609.9","HAYS 2 S, KS US","280.8",",6","7",",6","6",",6","0",",6","0",",6","0",",6","0",",6","0",",6","31",",6","25",",6","11.7",",6,20,","0",",,6,31,+","16.5",",,6,06,","43.3",",6,19,+","3646.6","2,,,6","0.0","","0.0",",6","53.0",",,,6","0",",,,6","27.39",",6","36.16",",,,6","18.62",",,,6","",""
"USC00143537","1946-08","38.85","-99.35","609.9","HAYS 2 S, KS US","211.8",",6","8",",6","4",",6","0",",6","0",",6","0",",6","0",",6","0",",6","29",",6","17",",6","10.6",",6,29,","0",",,6,31,+","14.0",",,6,24,","43.9",",6,08,","3151.2",",,,6","6.9","","6.9",",6","41.7",",,,6","0",",,,6","24.94",",6","32.36",",,,6","17.53",",,,6","",""
"USC00143537","1946-09","38.85","-99.35","609.9","HAYS 2 S, KS US","92.5",",6","6",",6","6",",6","1",",6","0",",6","0",",6","0",",6","0",",6","26",",6","7",",6","2.8",",6,30,","0",",,6,30,+","71.1",",,6,07,","38.9",",6,05,","1793.8","2,,,6","41.1","","34.2",",6","116.0",",,,6","0",",,,6","20.28",",6","26.94",",,,6","13.61",",,,6","",""
