"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00097630","2019-03","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","2,S","29","2,S","6","2,S","","","33.0","2,S,17,","","","","","","","31.05","2,,,S","",""
"IDM00097630","2019-04","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","3,S","0","3,S","0","3,S","27","3,S","0","3,S","22.4","3,S,04,+","31.4","3,S,06,","","","","","26.83","6,S","30.24","3,,,S","23.43","3,,,S"
"IDM00097630","2019-05","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","0","4,S","27","4,S","0","4,S","22.3","4,S,29,+","30.7","4,S,09,","","","","","26.33","8,S","29.56","4,,,S","23.10","4,,,S"
"IDM00097630","2019-06","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","3,S","27","3,S","0","3,S","","","30.0","3,S,02,","","","","","","","27.89","3,,,S","",""
"IDM00097630","2019-07","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","4,S","27","4,S","0","4,S","","","27.8","4,S,08,+","","","","","","","26.48","4,,,S","",""
"IDM00097630","2019-08","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","4,S","27","4,S","0","4,S","","","28.8","4,S,20,","","","","","","","26.07","4,,,S","",""
"IDM00097630","2019-09","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","2,S","28","2,S","0","2,S","","","28.9","2,S,30,","","","","","","","26.96","2,,,S","",""
"IDM00097630","2019-10","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","","","","","","","21.8","4,S,02,","","","","","","","","","","","22.62","4,,,S"
"IDM00097630","2019-11","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","","","","","","","21.5","5,S,27,+","","","","","","","","","","","22.79","5,,,S"
"IDM00097630","2019-12","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","3,S","28","3,S","6","3,S","","","33.1","3,S,27,","","","","","","","31.56","3,,,S","",""
"IDM00097630","2020-02","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","3,S","26","3,S","10","3,S","","","35.2","3,S,02,","","","","","","","32.05","3,,,S","",""
"IDM00097630","2020-03","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","26","5,S","0","5,S","","","31.9","5,S,04,+","","","","","","","30.39","5,,,S","",""
"IDM00097630","2020-04","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0",",S","30",",S","0",",S","","","32.0",",S,01,","","","","","","","30.21",",,,S","",""
"IDM00097630","2020-05","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","0","3,S","28","3,S","0","3,S","22.4","5,S,31,+","31.0","3,S,08,","","","","","26.65","7,S","29.82","3,,,S","23.48","5,,,S"
"IDM00097630","2020-06","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","3,S","27","3,S","0","3,S","","","30.0","3,S,15,+","","","","","","","28.78","3,,,S","",""
"IDM00097630","2020-07","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","3,S","28","3,S","0","3,S","","","29.0","3,S,19,","","","","","","","28.03","3,,,S","",""
"IDM00097630","2020-08","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","4,S","27","4,S","0","4,S","","","29.1","4,S,22,","","","","","","","28.13","4,,,S","",""
"IDM00097630","2020-09","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","25","5,S","0","5,S","","","29.8","5,S,25,","","","","","","","28.94","5,,,S","",""
"IDM00097630","2020-12","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","26","5,S","3","5,S","","","33.2","5,S,22,","","","","","","","30.39","5,,,S","",""
"IDM00097630","2021-01","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","5,S","26","5,S","1","5,S","","","32.5","5,S,15,","","","","","","","30.55","5,,,S","",""
"IDM00097630","2021-03","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","5,S","0","5,S","","","","","","","21.3","5,S,14,","","","","","","","","","","","22.86","5,,,S"
"IDM00097630","2021-08","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","0","4,S","0","4,S","0","3,S","28","3,S","0","3,S","21.4","4,S,12,","30.0","3,S,30,","","","","","25.69","7,S","28.82","3,,,S","22.56","4,,,S"
"IDM00097630","2021-09","-2.883","132.25","130.0","FAK FAK TOREA, ID","","","","","","","0","4,S","26","4,S","0","4,S","","","30.3","4,S,10,+","","","","","","","29.04","4,,,S","",""
