"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00053005","1897-08","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","109.9","6","42.3",",6","12",",6","6",",6","0",",6","","","","","0",",6","0",",6","0",",6","30",",6","3",",6","","","","","6.1",",6,20,+","","","","","16.0",",,6,17,","34.4",",6,25,","","","27.0","6","8.6",",6","","","","","44.2",",,,6","","","19.42",",6","27.99",",,,6","10.85",",,,6","","","","","",""
"USC00053005","1897-09","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","132.7","6","22.8","2,6","6",",6","2",",6","0",",6","","","","","0","1,6","0","1,6","0","1,6","26","1,6","1","1,6","","","","","1.1","1,6,17,","","","","","9.9",",,6,13,","32.2","1,6,07,","","","62.8","6","35.8","1,6","","","","","19.1",",,,6","","","17.77","2,6","27.06","1,,,6","8.48","1,,,6","","","","","",""
"USC00053005","1897-10","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","132.7","6","0.0","2,6","6",",6","3",",6","0",",6","","","0",",6","0","1,6","17","1,6","0","1,6","15","1,6","0","1,6","","","","","-5.6","1,6,30,+","","","5",",,6,27,+","7.1",",,6,16,","27.8","1,6,06,","","","315.7","6","252.9","1,6","","","","","19.1",",,,6","10",",,,6","9.50","2,6","18.87","1,,,6","0.13","1,,,6","","","","","",""
"USC00053005","1897-11","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","132.7","6","0.0",",6","4",",6","2",",6","0",",6","","","","","2",",6","27",",6","7",",6","6",",6","0",",6","","","","","-19.4",",6,26,","","","","","8.6",",,6,15,","24.4",",6,19,+","","","798.0","6","482.3",",6","","","","","17.1",",,,6","","","2.26",",6","10.53",",,,6","-6.02",",,,6","","","","","",""
"USC00053005","1897-12","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","132.7","6","0.0",",6","5",",6","5",",6","0",",6","","","4",",6","8",",6","30",",6","10",",6","0",",6","0",",6","","","","","-23.9",",6,16,","","","51",",,6,01,","5.3",",,6,09,","17.2",",6,29,","","","1481.4","6","683.4",",6","","","","","16.8",",,,6","139",",,,6","-3.71",",6","3.85",",,,6","-11.27",",,,6","","","","","",""
"USC00053005","1898-01","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0",",6","3",",6","0",",6","0",",6","","","","","5",",6","31",",6","6",",6","0",",6","0",",6","","","","","-24.4",",6,26,","","","","","2.0",",,6,24,","16.7",",6,02,","","","2159.1","6","677.7",",6","","","","","3.6",",,,6","","","-3.53",",6","4.84",",,,6","-11.90",",,,6","","","","","",""
"USC00053005","1898-02","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0",",6","2",",6","0",",6","0",",6","","","0",",6","0",",6","28",",6","1",",6","0",",6","0",",6","","","","","-13.9",",6,20,","","","13",",,6,18,","1.0",",,6,22,+","17.8",",6,28,","","","2640.4","6","481.3",",6","","","","","2.0",",,,6","21",",,,6","1.14",",6","10.28",",,,6","-7.99",",,,6","","","","","",""
"USC00053005","1898-03","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0",",6","8",",6","2",",6","0",",6","","","2",",6","2",",6","30",",6","2",",6","0",",6","0",",6","","","","","-21.1",",6,23,","","","64",",,6,11,","4.3",",,6,11,","18.9",",6,25,+","","","3196.3","6","555.9",",6","","","","","12.8",",,,6","136",",,,6","0.40",",6","8.82",",,,6","-8.02",",,,6","","","","","",""
"USC00053005","1898-04","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0","1,6","","","","","","","","","0",",6","0","1,6","18","1,6","0",",6","9",",6","0",",6","","","","","-9.4","1,6,05,","","","3",",,6,04,","","","30.0",",6,26,","","","3477.1","6","280.8",",6","","","","","","","3",",,,6","8.60","1,6","18.02",",,,6","-0.82","1,,,6","","","","","",""
"USC00053005","1898-05","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0","1,6","22",",6","10",",6","0",",6","","","3",",6","0",",6","7",",6","0","1,6","9","1,6","0","1,6","","","","","-1.1",",6,06,+","","","140",",,6,03,","21.1",",,6,03,","27.8","1,6,23,+","","","3693.2","6","216.1","1,6","","","","","93.0",",,,6","331",",,,6","11.03","1,6","17.39","1,,,6","4.67",",,,6","","","","","",""
"USC00053005","1898-06","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","35.9","6","35.9",",6","7",",6","3",",6","0",",6","","","","","0",",6","0",",6","0",",6","24",",6","4",",6","","","","","2.2",",6,05,","","","","","19.8",",,6,04,","36.1",",6,28,","","","3745.7","6","52.5",",6","","","","","34.8",",,,6","","","17.78",",6","26.55",",,,6","9.01",",,,6","","","","","",""
"USC00053005","1898-07","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","114.4","6","78.5",",6","8",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","29",",6","9",",6","","","","","6.7",",6,20,","","","","","4.3",",,6,02,","36.1",",6,27,+","","","8.3","6","8.3",",6","","","","","12.9",",,,6","","","20.60",",6","29.53",",,,6","11.67",",,,6","","","","","",""
"USC00053005","1898-08","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","204.7","6","90.3",",6","7",",6","2",",6","0",",6","","","","","0",",6","0",",6","0",",6","31",",6","17",",6","","","","","6.1",",6,24,","","","","","13.7",",,6,05,","35.6",",6,29,+","","","13.6","6","5.3",",6","","","","","25.0",",,,6","","","21.07",",6","30.91",",,,6","11.23",",,,6","","","","","",""
"USC00053005","1898-09","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","213.7","6","9.0",",6","4",",6","2",",6","0",",6","","","","","0",",6","3",",6","0",",6","25",",6","3",",6","","","","","-1.1",",6,07,","","","","","5.3",",,6,10,","32.2",",6,27,+","","","128.7","6","115.1",",6","","","","","12.7",",,,6","","","14.80",",6","25.75",",,,6","3.84",",,,6","","","","","",""
"USC00053005","1898-10","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","213.7","6","0.0",",6","4",",6","2",",6","0",",6","","","1",",6","0",",6","18",",6","0",",6","8",",6","0",",6","","","","","-8.9",",6,25,","","","25",",,6,19,","15.2",",,6,19,","30.0",",6,01,","","","450.3","6","321.6",",6","","","","","20.8",",,,6","25",",,,6","7.96",",6","16.18",",,,6","-0.26",",,,6","","","","","",""
"USC00053005","1898-11","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","213.7","6","0.0",",6","4",",6","2",",6","0",",6","","","4",",6","2",",6","28",",6","4",",6","1",",6","0",",6","","","","","-23.9",",6,10,","","","178",",,6,08,","18.3",",,6,08,","21.7",",6,19,","","","1027.3","6","577.0",",6","","","","","31.6",",,,6","292",",,,6","-0.90",",6","6.98",",,,6","-8.78",",,,6","","","","","",""
"USC00053005","1898-12","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","213.7","6","0.0",",6","","","","","","","","","2",",6","5",",6","31",",6","8",",6","0",",6","0",",6","","","","","-30.0",",6,31,","","","64",",,6,29,","","","12.8",",6,28,+","","","1739.8","6","712.5",",6","","","","","","","89",",,,6","-4.65",",6","3.32",",,,6","-12.62",",,,6","","","","","",""
"USC00053005","1899-01","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0",",6","6",",6","4",",6","0",",6","","","","","6",",6","31",",6","7",",6","0",",6","0",",6","","","","","-27.2",",6,31,","","","","","5.6",",,6,26,","12.8",",6,02,","","","2429.2","6","689.4",",6","","","","","16.7",",,,6","","","-3.90",",6","4.25",",,,6","-12.05",",,,6","","","","","",""
"USC00053005","1899-02","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0",",6","11",",6","4",",6","0",",6","","","4",",6","17",",6","28",",6","13",",6","0",",6","0",",6","","","","","-38.9",",6,12,+","","","127",",,6,02,","9.9",",,6,02,","10.6",",6,27,+","","","3281.7","6","852.5",",6","","","","","26.5",",,,6","357",",,,6","-12.11",",6","-3.35",",,,6","-20.87",",,,6","","","","","",""
"USC00053005","1899-03","40.5763","-105.0857","1525.2","FORT COLLINS, CO US","","","0.0","6","0.0",",6","11",",6","3",",6","0",",6","","","","","3",",6","30",",6","5",",6","0",",6","0",",6","","","","","-31.7",",6,27,","","","","","14.7",",,6,26,","18.9",",6,24,","","","3880.7","6","599.0",",6","","","","","38.3",",,,6","","","-0.99",",6","6.04",",,,6","-8.02",",,,6","","","","","",""
