"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00013777","1893-11","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","0.0","4,0","11",",0","8",",0","1",",0","","","","","0","2,0","9","2,0","0","2,0","0","2,0","0","2,0","","","","","-5.6","2,0,26,","","","","","26.2",",,0,09,","16.7","2,0,18,","467.8","0","305.2","2,0","96.1",",,,0","","","6.59","4,0","10.65","2,,,0","2.53","2,,,0","",""
"USW00013777","1893-12","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","11",",0","5",",0","0",",0","","","","","0","3,0","18","3,0","1","3,0","0","3,0","0","3,0","","","","","-7.8","3,0,06,","","","","","16.5",",,0,16,","19.4","3,0,25,","","","","","58.3",",,,0","","","3.71","6,0","8.48","3,,,0","-1.06","3,,,0","",""
"USW00013777","1894-01","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","0.0","0","0.0","5,0","12",",0","2",",0","0",",0","","","","","0","2,0","17","2,0","2","3,0","0","3,0","0","3,0","","","","","-7.8","2,0,26,","","","","","14.0",",,0,29,","13.9","3,0,24,","","","401.1","3,0","37.3",",,,0","","","3.12","5,0","6.73","3,,,0","-0.50","2,,,0","",""
"USW00013777","1894-02","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","0.0","0","0.0","4,0","15",",0","8",",0","0",",0","","","","","0","2,0","17","2,0","4","2,0","0","2,0","0","2,0","","","","","-13.3","2,0,25,","","","","","19.1",",,0,04,","15.0","2,0,18,","","","400.0","2,0","89.7",",,,0","","","1.48","4,0","5.33","2,,,0","-2.37","2,,,0","",""
"USW00013777","1894-03","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","2.0","0","2.0","2,0","8",",0","5",",0","0",",0","","","","","0","1,0","7","1,0","0","1,0","5","1,0","0","1,0","","","","","-6.7","1,0,27,","","","","","9.9",",,0,21,","27.8","1,0,22,","","","258.8","1,0","30.4",",,,0","","","9.23","2,0","14.54","1,,,0","3.93","1,,,0","",""
"USW00013777","1894-04","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","4.2","0","2.2","2,0","12",",0","7",",0","1",",0","","","","","0","1,0","3","1,0","0","1,0","5","1,0","0","1,0","","","","","-1.1","1,0,03,","","","","","32.3",",,0,10,","26.1","1,0,28,","","","198.8","1,0","96.6",",,,0","","","11.32","2,0","15.96","1,,,0","6.69","1,,,0","",""
"USW00013777","1894-05","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","39.0","0","34.8","1,0","18","1,0","14","1,0","3","1,0","","","","","0",",0","0",",0","0","1,0","24","1,0","0","1,0","","","","","6.1",",0,29,","","","","","37.3","1,,0,21,","30.6","1,0,02,","","","23.4","1,0","184.7","1,,,0","","","18.59","1,0","23.50","1,,,0","13.67",",,,0","",""
"USW00013777","1894-06","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","193.8","0","154.8",",0","11",",0","6",",0","1",",0","","","","","0",",0","0",",0","0",",0","27",",0","8",",0","","","","","8.3",",0,07,+","","","","","25.7",",,0,05,","36.7",",0,24,","","","20.1",",0","83.7",",,,0","","","22.82",",0","28.35",",,,0","17.29",",,,0","",""
"USW00013777","1894-07","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","393.0","0","199.2","3,0","9",",0","5",",0","0",",0","","","","","0","1,0","0","1,0","0","2,0","28","2,0","11","2,0","","","","","13.3","1,0,10,","","","","","11.9",",,0,02,","36.1","2,0,28,+","0.0","0","0.0","2,0","44.0",",,,0","","","25.46","3,0","30.81","2,,,0","20.11","1,,,0","",""
"USW00013777","1894-08","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","531.2","0","138.2","1,0","8",",0","5",",0","0",",0","","","","","0",",0","0",",0","0","1,0","29","1,0","2","1,0","","","","","13.9",",0,22,","","","","","9.9",",,0,20,","33.9","1,0,08,","0.0","0","0.0","1,0","36.0",",,,0","","","22.94","1,0","27.56","1,,,0","18.32",",,,0","",""
"USW00013777","1894-09","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","614.8","0","83.6","4,0","10",",0","5",",0","2",",0","","","","","0","1,0","0","1,0","0","3,0","24","3,0","2","3,0","","","","","7.2","1,0,26,","","","","","48.3",",,0,19,","34.4","3,0,10,+","12.5","0","12.5","3,0","120.8",",,,0","","","21.34","4,0","25.54","3,,,0","17.13","1,,,0","",""
"USW00013777","1894-10","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","620.6","0","5.8","4,0","11",",0","5",",0","2",",0","","","","","0","2,0","0","2,0","0","2,0","9","2,0","0","2,0","","","","","2.2","2,0,15,","","","","","45.7",",,0,10,","29.4","2,0,03,","122.9","0","110.4","2,0","96.6",",,,0","","","14.16","4,0","18.69","2,,,0","9.63","2,,,0","",""
"USW00013777","1894-11","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","620.6","0","0.0","3,0","9",",0","5",",0","0",",0","","","","","0","1,0","6","1,0","0","2,0","1","2,0","0","2,0","","","","","-4.4","1,0,29,","","","","","16.3",",,0,03,","21.1","2,0,02,","456.6","0","333.7","2,0","50.3",",,,0","","","6.17","3,0","9.71","2,,,0","2.62","1,,,0","",""
"USW00013777","1894-12","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","11",",0","7",",0","2",",0","","","","","0","4,0","14","4,0","3","4,0","0","4,0","0","4,0","","","","","-13.9","4,0,29,","","","","","30.7",",,0,27,","15.0","4,0,16,","","","","","104.8",",,,0","","","3.46","8,0","7.59","4,,,0","-0.66","4,,,0","",""
"USW00013777","1895-01","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","0.0","0","0.0","2,0","16",",0","10",",0","2",",0","","","","","0","1,0","25","1,0","9","1,0","0","1,0","0","1,0","","","","","-12.8","1,0,13,","","","","","33.8",",,0,26,","15.6","1,0,07,","","","535.1","1,0","118.8",",,,0","","","-0.22","2,0","3.39","1,,,0","-3.82","1,,,0","",""
"USW00013777","1895-02","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","0.0","0","0.0","2,0","5",",0","3",",0","0",",0","","","","","0","1,0","25","1,0","12","1,0","0","1,0","0","1,0","","","","","-17.2","1,0,06,","","","","","8.4",",,0,07,","16.7","1,0,28,","","","553.7","1,0","21.1",",,,0","","","-3.10","2,0","0.87","1,,,0","-7.06","1,,,0","",""
"USW00013777","1895-03","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","0.0","0","0.0","4,0","13",",0","9",",0","0",",0","","","","","0","2,0","14","2,0","0","2,0","1","2,0","0","2,0","","","","","-6.1","2,0,05,","","","","","17.5",",,0,02,","22.2","2,0,01,","","","368.6","2,0","74.6",",,,0","","","4.83","4,0","9.50","2,,,0","0.15","2,,,0","",""
"USW00013777","1895-04","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","5.8","0","5.8",",0","11",",0","10",",0","2",",0","","","","","0",",0","0",",0","0",",0","4",",0","0",",0","","","","","1.1",",0,11,+","","","","","57.4",",,0,08,","30.0",",0,25,","","","208.8",",0","188.5",",,,0","","","11.57",",0","15.94",",,,0","7.19",",,,0","",""
"USW00013777","1895-05","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","51.6","0","45.8","2,0","13",",0","8",",0","0",",0","","","","","0","1,0","0","1,0","0","1,0","18","1,0","2","1,0","","","","","4.4","1,0,13,","","","","","18.8",",,0,21,","35.0","1,0,31,+","","","91.7","1,0","77.0",",,,0","","","16.86","2,0","21.74","1,,,0","11.98","1,,,0","",""
"USW00013777","1895-06","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","205.3","0","153.7",",0","10",",0","6",",0","1",",0","","","","","0",",0","0",",0","0",",0","30",",0","5",",0","","","","","11.7",",0,07,","","","","","27.4",",,0,27,","36.1",",0,03,+","","","0.8",",0","71.9",",,,0","","","23.43",",0","28.44",",,,0","18.42",",,,0","",""
"USW00013777","1895-07","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","345.6","0","140.3",",0","9","1,0","6","1,0","1","1,0","","","","","0",",0","0",",0","0",",0","30",",0","5",",0","","","","","12.8",",0,31,","","","","","41.9","1,,0,05,","35.0",",0,21,","0.5","0","0.5",",0","86.5","1,,,0","","","22.84",",0","27.60",",,,0","18.09",",,,0","",""
"USW00013777","1895-08","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","553.6","0","208.0",",0","6",",0","5",",0","0",",0","","","","","0",",0","0",",0","0",",0","31",",0","10",",0","","","","","13.9",",0,22,+","","","","","19.8",",,0,31,","35.6",",0,10,","0.5","0","0.0",",0","61.8",",,,0","","","25.04",",0","30.44",",,,0","19.65",",,,0","",""
"USW00013777","1895-09","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","692.3","0","138.7",",0","5",",0","4",",0","1",",0","","","","","0",",0","0",",0","0",",0","26",",0","7",",0","","","","","7.8",",0,30,","","","","","120.9",",,0,06,","35.6",",0,22,+","17.2","0","16.7",",0","152.7",",,,0","","","22.40",",0","27.33",",,,0","17.47",",,,0","",""
"USW00013777","1895-10","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","692.3","0","0.0",",0","4",",0","4",",0","1",",0","","","","","0",",0","0",",0","0",",0","5",",0","0",",0","","","","","1.1",",0,30,+","","","","","29.0",",,0,31,","23.3",",0,19,+","217.4","0","200.2",",0","55.9",",,,0","","","11.87",",0","17.21",",,,0","6.54",",,,0","",""
"USW00013777","1895-11","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","","","10",",0","4",",0","1",",0","","","","","0","4,0","5","4,0","0","4,0","1","4,0","0","4,0","","","","","-3.3","4,0,21,","","","","","26.9",",,0,26,","25.0","4,0,09,","","","","","47.2",",,,0","","","8.45","7,0","13.27","4,,,0","3.63","4,,,0","",""
"USW00013777","1895-12","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","","","0.0","4,0","12",",0","6",",0","1",",0","","","","","0","2,0","14","2,0","2","2,0","0","2,0","0","2,0","","","","","-10.0","2,0,13,","","","","","27.2",",,0,30,","16.1","2,0,24,+","","","379.6","2,0","72.2",",,,0","","","4.15","4,0","8.00","2,,,0","0.31","2,,,0","",""
"USW00013777","1896-01","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","0.0","0","0.0","2,0","4","1,0","3","1,0","1","1,0","","","","","0","1,0","21","1,0","5","1,0","0","1,0","0","1,0","","","","","-12.8","1,0,06,+","","","","","44.2","1,,0,24,","15.0","1,0,30,","","","496.6","1,0","66.6","1,,,0","","","1.11","2,0","4.41","1,,,0","-2.19","1,,,0","",""
"USW00013777","1896-02","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","0.0","0","0.0",",0","12",",0","8",",0","1",",0","","","","","0",",0","21",",0","4",",0","0",",0","0",",0","","","","","-15.0",",0,17,","","","","","88.4",",,0,06,","16.1",",0,23,+","","","465.7",",0","179.6",",,,0","","","2.27",",0","6.80",",,,0","-2.25",",,,0","",""
"USW00013777","1896-03","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","0.0","0","0.0",",0","14",",0","8",",0","2",",0","","","","","0",",0","21",",0","1",",0","0",",0","0",",0","","","","","-8.9",",0,13,","","","","","27.4",",,0,16,","20.6",",0,30,","","","463.3",",0","119.6",",,,0","","","3.39",",0","7.97",",,,0","-1.20",",,,0","",""
"USW00013777","1896-04","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","48.4","0","48.4","2,0","8",",0","4",",0","0",",0","","","","","0","1,0","3","1,0","0","1,0","11","1,0","2","1,0","","","","","-0.6","1,0,04,","","","","","17.8",",,0,01,","34.4","1,0,18,","","","159.1","1,0","36.6",",,,0","","","14.08","2,0","18.99","1,,,0","9.18","1,,,0","",""
"USW00013777","1896-05","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","150.9","0","102.5",",0","9",",0","5",",0","0",",0","","","","","0",",0","0",",0","0",",0","24",",0","5",",0","","","","","8.3",",0,08,","","","","","10.7",",,0,12,","35.6",",0,10,","","","34.0",",0","41.0",",,,0","","","20.54",",0","25.53",",,,0","15.55",",,,0","",""
"USW00013777","1896-06","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","258.5","0","107.6",",0","13",",0","7",",0","1",",0","","","","","0",",0","0",",0","0",",0","28",",0","3",",0","","","","","12.2",",0,05,+","","","","","32.3",",,0,16,","33.9",",0,21,","","","2.5",",0","100.1",",,,0","","","21.84",",0","26.26",",,,0","17.41",",,,0","",""
"USW00013777","1896-07","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","478.3","0","219.8",",0","15",",0","11",",0","1",",0","","","","","0",",0","0",",0","0",",0","31",",0","10",",0","","","","","16.1",",0,18,+","","","","","51.3",",,0,22,","35.6",",0,27,","0.0","0","0.0",",0","160.5",",,,0","","","25.42",",0","29.91",",,,0","20.94",",,,0","",""
"USW00013777","1896-08","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","671.8","0","193.5",",0","8",",0","4",",0","0",",0","","","","","0",",0","0",",0","0",",0","31",",0","10",",0","","","","","12.2",",0,30,+","","","","","21.6",",,0,10,","36.7",",0,07,","0.3","0","0.3",",0","49.1",",,,0","","","24.57",",0","29.71",",,,0","19.42",",,,0","",""
"USW00013777","1896-09","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","749.9","0","78.1",",0","10",",0","5",",0","2",",0","","","","","0",",0","0",",0","0",",0","27",",0","3",",0","","","","","7.8",",0,25,+","","","","","35.1",",,0,05,","34.4",",0,19,","22.2","0","21.9",",0","105.2",",,,0","","","20.21",",0","25.14",",,,0","15.28",",,,0","",""
"USW00013777","1896-10","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","750.7","0","0.8",",0","6",",0","2",",0","0",",0","","","","","0",",0","0",",0","0",",0","7",",0","0",",0","","","","","2.2",",0,25,","","","","","20.1",",,0,12,","25.0",",0,31,","199.7","0","177.5",",0","28.2",",,,0","","","12.63",",0","17.22",",,,0","8.04",",,,0","",""
"USW00013777","1896-11","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","751.2","0","0.5",",0","11",",0","6",",0","1",",0","","","","","0",",0","3",",0","0",",0","9",",0","0",",0","","","","","-1.7",",0,30,","","","","","30.7",",,0,05,","23.9",",0,17,","433.1","0","233.4",",0","84.8",",,,0","","","10.57",",0","15.45",",,,0","5.69",",,,0","",""
"USW00013777","1896-12","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","751.2","0","0.0",",0","5",",0","2",",0","0",",0","","","","","0",",0","20",",0","6",",0","0",",0","0",",0","","","","","-10.0",",0,24,","","","","","3.0",",,0,22,","18.9",",0,13,","924.5","0","491.4",",0","9.3",",,,0","","","2.48",",0","6.33",",,,0","-1.37",",,,0","",""
"USW00013777","1897-01","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","0.0","0","0.0",",0","12","1,0","8","1,0","0","1,0","","","","","1",",0","22",",0","7",",0","0",",0","0",",0","","","","","-17.8",",0,25,","","","","","21.3","1,,0,21,","15.6",",0,04,","1502.9","0","578.4",",0","51.5","1,,,0","","","-0.33",",0","3.29",",,,0","-3.94",",,,0","",""
"USW00013777","1897-02","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","0.0","0","0.0",",0","13",",0","9",",0","1",",0","","","","","0",",0","16",",0","1",",0","0",",0","0",",0","","","","","-7.8",",0,01,","","","","","35.6",",,0,02,","13.3",",0,18,+","1942.9","0","440.0",",0","130.5",",,,0","","","2.62",",0","5.88",",,,0","-0.64",",,,0","",""
"USW00013777","1897-03","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","0.0","0","0.0",",0","12",",0","8",",0","0",",0","","","","","0",",0","6",",0","0",",0","3",",0","0",",0","","","","","-2.2",",0,17,","","","","","14.5",",,0,18,","22.2",",0,21,","2288.2","0","345.3",",0","61.0",",,,0","","","7.19",",0","11.61",",,,0","2.78",",,,0","",""
"USW00013777","1897-04","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","3.1","0","3.1",",0","10",",0","7",",0","0",",0","","","","","0",",0","1",",0","0",",0","8",",0","0",",0","","","","","-1.7",",0,20,","","","","","24.9",",,0,09,","28.9",",0,25,","2492.2","0","204.0",",0","81.1",",,,0","","","11.64",",0","17.00",",,,0","6.27",",,,0","",""
"USW00013777","1897-05","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","24.0","0","20.9",",0","13","1,0","9","1,0","2","1,0","","","","","0",",0","0",",0","0",",0","19",",0","0",",0","","","","","6.7",",0,04,","","","","","43.9","1,,0,13,","28.9",",0,10,","2549.9","0","57.7",",0","174.7","1,,,0","","","17.15",",0","22.25",",,,0","12.05",",,,0","",""
"USW00013777","1897-06","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","124.2","0","100.2",",0","12",",0","8",",0","0",",0","","","","","0",",0","0",",0","0",",0","26",",0","2",",0","","","","","8.9",",0,02,","","","","","20.8",",,0,04,","35.0",",0,30,","2565.1","0","15.2",",0","65.3",",,,0","","","21.16",",0","26.13",",,,0","16.20",",,,0","",""
"USW00013777","1897-07","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","322.1","0","197.9","1,0","14",",0","8",",0","3",",0","","","","","0","1,0","0","1,0","0",",0","31",",0","4",",0","","","","","16.7","1,0,29,","","","","","53.3",",,0,27,","34.4",",0,23,","0.0","0","0.0",",0","176.1",",,,0","","","24.96","1,0","29.25",",,,0","20.67","1,,,0","",""
"USW00013777","1897-08","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","481.4","0","159.3",",0","8",",0","6",",0","1",",0","","","","","0",",0","0",",0","0",",0","31",",0","1",",0","","","","","15.6",",0,27,+","","","","","41.1",",,0,10,","32.2",",0,14,","0.0","0","0.0",",0","119.6",",,,0","","","23.47",",0","28.36",",,,0","18.58",",,,0","",""
"USW00013777","1897-09","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","577.3","0","95.9",",0","4",",0","2",",0","1",",0","","","","","0",",0","0",",0","0",",0","25",",0","4",",0","","","","","7.2",",0,21,","","","","","35.6",",,0,23,","36.1",",0,11,","31.3","0","31.3",",0","55.1",",,,0","","","20.49",",0","26.30",",,,0","14.67",",,,0","",""
"USW00013777","1897-10","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","591.7","0","14.4",",0","12",",0","6",",0","1",",0","","","","","0",",0","0",",0","0",",0","10",",0","1",",0","","","","","3.3",",0,18,","","","","","48.0",",,0,12,","32.2",",0,16,","161.4","0","130.1",",0","93.2",",,,0","","","14.60",",0","19.35",",,,0","9.85",",,,0","",""
"USW00013777","1897-11","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","591.7","0","0.0",",0","15",",0","11",",0","1",",0","","","","","0",",0","5",",0","0",",0","2",",0","0",",0","","","","","-2.8",",0,30,","","","","","33.8",",,0,01,","23.9",",0,16,","473.5","0","312.1",",0","111.6",",,,0","","","7.93",",0","11.82",",,,0","4.04",",,,0","",""
"USW00013777","1897-12","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","591.7","0","0.0",",0","15",",0","9",",0","1",",0","","","","","0",",0","13",",0","1",",0","0",",0","0",",0","","","","","-8.9",",0,25,+","","","","","27.4",",,0,14,","18.9",",0,11,","929.6","0","456.1",",0","86.4",",,,0","","","3.62",",0","7.15",",,,0","0.09",",,,0","",""
"USW00013777","1898-01","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","0.0","0","0.0",",0","12",",0","7",",0","1",",0","","","","","0",",0","15",",0","3",",0","0",",0","0",",0","","","","","-8.3",",0,02,","","","","","26.4",",,0,15,","15.6",",0,13,+","1412.6","0","483.0",",0","75.8",",,,0","","","2.75",",0","6.04",",,,0","-0.54",",,,0","",""
"USW00013777","1898-02","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","0.0","0","0.0",",0","6",",0","4",",0","0",",0","","","","","0",",0","17",",0","3",",0","0",",0","0",",0","","","","","-12.2",",0,02,","","","","","16.0",",,0,19,","18.3",",0,12,","1875.4","0","462.8",",0","33.4",",,,0","","","1.81",",0","5.89",",,,0","-2.28",",,,0","",""
"USW00013777","1898-03","39.28333","-76.61667","4.3","BALTIMORE CUSTOMS HOUSE, MD US","0.0","0","0.0",",0","19",",0","7",",0","0",",0","","","","","0",",0","4",",0","0",",0","3",",0","0",",0","","","","","-2.8",",0,01,","","","","","22.6",",,0,29,","25.0",",0,19,","2158.7","0","283.3",",0","65.7",",,,0","","","9.19",",0","13.24",",,,0","5.15",",,,0","",""
