"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00023043","1895-04","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","15.6","0","14.2",",0","2",",0","1",",0","0",",0","","","","","0",",0","1",",0","0",",0","24",",0","2",",0","","","","","","","-1.1",",0,02,","","","","","3.0",",,0,21,","33.9",",0,28,","","","1931.1","0","79.0",",0","3.5",",,,0","","","","","16.17",",0","25.86",",,,0","6.49",",,,0","","","","","","","","","","","",""
"USW00023043","1895-05","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","84.8","0","69.2",",0","5",",0","4",",0","2",",0","","","","","0",",0","0",",0","0",",0","30",",0","9",",0","","","","","","","3.3",",0,12,","","","","","77.2",",,0,29,","37.2",",0,07,","","","1955.0","0","23.9",",0","146.3",",,,0","","","","","19.80",",0","29.05",",,,0","10.55",",,,0","","","","","","","","","","","",""
"USW00023043","1895-06","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","251.1","0","166.3",",0","6",",0","3",",0","0",",0","","","","","0",",0","0",",0","0",",0","30",",0","19",",0","","","","","","","10.0",",0,19,+","","","","","6.4",",,0,30,","38.9",",0,16,","","","1955.0","0","0.0",",0","17.6",",,,0","","","","","23.88",",0","32.43",",,,0","15.32",",,,0","","","","","","","","","","","",""
"USW00023043","1895-07","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","467.7","0","216.6",",0","11",",0","6",",0","1",",0","","","","","0",",0","0",",0","0",",0","31",",0","20",",0","","","","","","","12.8",",0,02,+","","","","","45.7",",,0,24,","41.1",",0,07,+","","","0.0","0","0.0",",0","113.0",",,,0","","","","","25.32",",0","33.39",",,,0","17.25",",,,0","","","","","","","","","","","",""
"USW00023043","1895-08","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","685.3","0","217.6",",0","10",",0","6",",0","1",",0","","","","","0",",0","0",",0","0",",0","31",",0","26",",0","","","","","","","14.4",",0,19,+","","","","","27.7",",,0,06,","36.7",",0,04,","","","0.0","0","0.0",",0","75.9",",,,0","","","","","25.35",",0","33.65",",,,0","17.05",",,,0","","","","","","","","","","","",""
"USW00023043","1895-09","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","835.2","0","149.9",",0","5",",0","3",",0","0",",0","","","","","0",",0","0",",0","0",",0","27",",0","21",",0","","","","","","","3.9",",0,23,","","","","","19.1",",,0,27,","38.3",",0,04,","","","22.7","0","22.7",",0","27.7",",,,0","","","","","22.57",",0","31.43",",,,0","13.72",",,,0","","","","","","","","","","","",""
"USW00023043","1895-10","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","836.0","0","0.8",",0","5",",0","3",",0","1",",0","","","","","0",",0","1",",0","0",",0","19",",0","0",",0","","","","","","","0.0",",0,21,","","","","","29.2",",,0,30,","28.9",",0,21,+","","","161.9","0","139.2",",0","53.6",",,,0","","","","","13.87",",0","22.44",",,,0","5.30",",,,0","","","","","","","","","","","",""
"USW00023043","1895-11","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","836.0","0","0.0","2,0","4",",0","3",",0","0",",0","","","","","0","1,0","19","1,0","0","1,0","12","1,0","0","1,0","","","","","","","-6.7","1,0,26,","","","","","10.9",",,0,22,","26.7","1,0,21,","","","435.8","0","273.9","1,0","22.3",",,,0","","","","","8.37","2,0","17.55","1,,,0","-0.81","1,,,0","","","","","","","","","","","",""
"USW00023043","1895-12","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","836.0","0","0.0",",0","2",",0","0",",0","0",",0","","","","","1",",0","27",",0","1",",0","2",",0","0",",0","","","","","","","-17.8",",0,30,","","","","","1.3",",,0,29,","22.8",",0,16,","","","867.1","0","431.3",",0","1.8",",,,0","","","","","4.42",",0","14.64",",,,0","-5.80",",,,0","","","","","","","","","","","",""
"USW00023043","1896-01","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0",",0","1",",0","0",",0","0",",0","","","","","0",",0","21",",0","0",",0","7",",0","0",",0","","","","","","","-12.2",",0,04,+","","","","","1.5",",,0,31,","23.3",",0,17,","","","1239.8","0","372.7",",0","1.5",",,,0","","","","","6.31",",0","16.20",",,,0","-3.58",",,,0","","","","","","","","","","","",""
"USW00023043","1896-02","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0",",0","1",",0","1",",0","0",",0","","","","","0",",0","24",",0","0",",0","6",",0","0",",0","","","","","","","-8.3",",0,14,+","","","","","3.6",",,0,23,","26.7",",0,28,","","","1575.5","0","335.7",",0","3.6",",,,0","","","","","6.76",",0","16.43",",,,0","-2.91",",,,0","","","","","","","","","","","",""
"USW00023043","1896-03","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","2.5","0","2.5",",0","1",",0","0",",0","0",",0","","","","","0",",0","16",",0","0",",0","19",",0","0",",0","","","","","","","-8.9",",0,07,","","","","","0.5",",,0,10,","31.7",",0,25,","","","1788.8","0","213.3",",0","0.5",",,,0","","","","","11.53",",0","22.31",",,,0","0.75",",,,0","","","","","","","","","","","",""
"USW00023043","1896-04","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","21.4","0","18.9","3,0","0","1,0","0","1,0","0","1,0","","","","","0","3,0","2","3,0","0","3,0","24","3,0","7","3,0","","","","","","","-5.6","3,0,01,","","","","","0.0","1,T,0,21,+","34.4","3,0,22,","","","1857.1","0","68.3","3,0","0.0","1,T,,0","","","","","16.50","3,0","27.97","3,,,0","5.04","3,,,0","","","","","","","","","","","",""
"USW00023043","1896-05","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","183.9","0","162.5",",0","1",",0","1",",0","0",",0","","","","","0",",0","0",",0","0",",0","31",",0","24",",0","","","","","","","3.9",",0,01,","","","","","3.0",",,0,11,","41.7",",0,30,","","","1859.9","0","2.8",",0","3.0",",,,0","","","","","23.48",",0","34.32",",,,0","12.65",",,,0","","","","","","","","","","","",""
"USW00023043","1896-06","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","427.1","0","243.2","3,0","3","3,0","3","3,0","0","3,0","","","","","0","3,0","0","3,0","0","3,0","27","3,0","20","3,0","","","","","","","13.3","3,0,04,","","","","","22.9","3,,0,30,","43.3","3,0,09,","","","1859.9","0","0.0","3,0","50.1","3,,,0","","","","","27.34","3,0","36.77","3,,,0","17.91","3,,,0","","","","","","","","","","","",""
"USW00023043","1896-07","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","664.8","0","237.7",",0","8",",0","5",",0","0",",0","","","","","0",",0","0",",0","0",",0","31",",0","25",",0","","","","","","","15.0",",0,09,","","","","","14.5",",,0,05,","37.2",",0,27,","","","0.0","0","0.0",",0","45.5",",,,0","","","","","26.00",",0","33.61",",,,0","18.39",",,,0","","","","","","","","","","","",""
"USW00023043","1896-08","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","899.0","0","234.2",",0","2",",0","2",",0","0",",0","","","","","0",",0","0",",0","0",",0","31",",0","25",",0","","","","","","","12.8",",0,24,","","","","","5.8",",,0,22,","39.4",",0,10,","","","0.0","0","0.0",",0","10.1",",,,0","","","","","25.89",",0","35.00",",,,0","16.77",",,,0","","","","","","","","","","","",""
"USW00023043","1896-09","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","1021.9","0","122.9","1,0","5",",0","4",",0","1",",0","","","","","0",",0","0",",0","0","1,0","27","1,0","12","1,0","","","","","","","2.8",",0,28,","","","","","33.0",",,0,19,","36.7","1,0,17,+","","","21.4","0","21.4","1,0","61.8",",,,0","","","","","21.85","1,0","29.92","1,,,0","13.78",",,,0","","","","","","","","","","","",""
"USW00023043","1896-10","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","1026.4","0","4.5",",0","9",",0","5",",0","2",",0","","","","","0",",0","1",",0","0",",0","22",",0","0",",0","","","","","","","0.0",",0,30,","","","","","62.0",",,0,14,","30.6",",0,01,","","","133.7","0","112.3",",0","138.7",",,,0","","","","","14.86",",0","22.39",",,,0","7.32",",,,0","","","","","","","","","","","",""
"USW00023043","1896-11","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","1026.4","0","0.0",",0","0",",0","0",",0","0",",0","","","","","0",",0","16",",0","0",",0","13",",0","0",",0","","","","","","","-10.0",",0,30,","","","","","0.0",",,0,30,+","27.8",",0,17,","","","408.4","0","274.7",",0","0.0",",,,0","","","","","9.18",",0","18.28",",,,0","0.07",",,,0","","","","","","","","","","","",""
"USW00023043","1896-12","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","1026.4","0","0.0",",0","2",",0","2",",0","0",",0","","","","","0",",0","24",",0","0",",0","3",",0","0",",0","","","","","","","-10.0",",0,01,","","","","","13.0",",,0,29,","23.3",",0,12,","","","774.9","0","366.5",",0","16.3",",,,0","","","","","6.51",",0","16.70",",,,0","-3.68",",,,0","","","","","","","","","","","",""
"USW00023043","1897-01","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0","1,0","2",",0","2",",0","0",",0","","","","","3","1,0","27","1,0","8",",0","1",",0","0",",0","","","","","","","-20.0","1,0,06,","","","","","23.4",",,0,02,","26.7",",0,17,","","","1324.6","0","549.7",",0","28.5",",,,0","","","","","0.15","1,0","6.80",",,,0","-6.50","1,,,0","","","","","","","","","","","",""
"USW00023043","1897-02","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0","1,0","0",",0","0",",0","0",",0","","","","","0",",0","18",",0","0","1,0","6","1,0","0","1,0","","","","","","","-8.9",",0,23,","","","","","0.0",",,0,28,+","26.1","1,0,28,","","","1623.4","0","298.8","1,0","0.0",",,,0","","","","","7.21","1,0","16.42","1,,,0","-2.00",",,,0","","","","","","","","","","","",""
"USW00023043","1897-03","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0","1,0","4","1,0","3","1,0","0","1,0","","","","","0","1,0","16","1,0","0","1,0","17","1,0","0","1,0","","","","","","","-12.8","1,0,17,","","","","","8.1","1,,0,27,","27.2","1,0,27,+","","","1861.4","0","238.0","1,0","14.9","1,,,0","","","","","10.40","1,0","20.97","1,,,0","-0.17","1,,,0","","","","","","","","","","","",""
"USW00023043","1897-04","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","9.8","0","9.8","2,0","1",",0","1",",0","1",",0","","","","","0",",0","3",",0","0","2,0","24","2,0","0","2,0","","","","","","","-2.2",",0,01,","","","","","34.3",",,0,27,","31.1","2,0,24,+","","","1963.9","0","102.5","2,0","34.3",",,,0","","","","","15.06","2,0","25.12","2,,,0","5.00",",,,0","","","","","","","","","","","",""
"USW00023043","1897-05","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","56.0","0","46.2","1,0","6",",0","6",",0","1",",0","","","","","0",",0","0",",0","0","1,0","29","1,0","1","1,0","","","","","","","4.4",",0,28,","","","","","26.2",",,0,10,","32.2","1,0,08,","","","1980.0","0","16.1","1,0","95.6",",,,0","","","","","19.36","1,0","27.82","1,,,0","10.90",",,,0","","","","","","","","","","","",""
"USW00023043","1897-06","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","222.9","0","166.9",",0","3",",0","2",",0","1",",0","","","","","0",",0","0",",0","0",",0","30",",0","19",",0","","","","","","","10.6",",0,05,","","","","","26.7",",,0,19,","40.0",",0,23,+","","","1980.0","0","0.0",",0","36.1",",,,0","","","","","23.90",",0","33.26",",,,0","14.53",",,,0","","","","","","","","","","","",""
"USW00023043","1897-07","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","438.7","0","215.8",",0","7",",0","6",",0","0",",0","","","","","0",",0","0",",0","0",",0","31",",0","25",",0","","","","","","","12.2",",0,12,","","","","","19.8",",,0,10,","36.7",",0,25,+","","","0.0","0","0.0",",0","70.7",",,,0","","","","","25.29",",0","33.34",",,,0","17.25",",,,0","","","","","","","","","","","",""
"USW00023043","1897-08","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","614.9","0","176.2",",0","5",",0","5",",0","0",",0","","","","","0",",0","0",",0","0",",0","31",",0","17",",0","","","","","","","11.7",",0,25,+","","","","","18.5",",,0,10,","36.7",",0,09,","","","0.0","0","0.0",",0","64.5",",,,0","","","","","24.02",",0","32.06",",,,0","15.97",",,,0","","","","","","","","","","","",""
"USW00023043","1897-09","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","685.8","0","70.9",",0","5",",0","4",",0","0",",0","","","","","0",",0","0",",0","0",",0","29",",0","2",",0","","","","","","","5.6",",0,26,","","","","","15.2",",,0,17,","32.8",",0,13,","","","15.8","0","15.8",",0","27.1",",,,0","","","","","20.17",",0","28.52",",,,0","11.82",",,,0","","","","","","","","","","","",""
"USW00023043","1897-10","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","695.2","0","9.4",",0","5",",0","3",",0","0",",0","","","","","0",",0","4",",0","0",",0","22",",0","2",",0","","","","","","","-6.1",",0,28,","","","","","3.8",",,0,10,","33.3",",0,03,","","","134.6","0","118.8",",0","12.6",",,,0","","","","","14.80",",0","24.41",",,,0","5.20",",,,0","","","","","","","","","","","",""
"USW00023043","1897-11","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","695.2","0","0.0",",0","0",",0","0",",0","0",",0","","","","","0",",0","22",",0","0",",0","19",",0","0",",0","","","","","","","-10.0",",0,29,","","","","","0.0",",T,0,24,+","30.6",",0,21,","","","411.3","0","276.7",",0","0.0",",T,,0","","","","","9.11",",0","20.45",",,,0","-2.23",",,,0","","","","","","","","","","","",""
"USW00023043","1897-12","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","695.2","0","0.0",",0","0",",0","0",",0","0",",0","","","","","0",",0","30",",0","2",",0","5",",0","0",",0","","","","","","","-13.3",",0,04,","","","","","0.0",",T,0,21,+","24.4",",0,07,","","","885.5","0","474.2",",0","0.0",",T,,0","","","","","3.04",",0","13.00",",,,0","-6.93",",,,0","","","","","","","","","","","",""
"USW00023043","1898-01","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0",",0","2",",0","2",",0","0",",0","","","","","0",",0","28",",0","1",",0","1",",0","0",",0","","","","","","","-16.7",",0,20,","","","","","10.2",",,0,18,","21.1",",0,08,","","","1384.5","0","499.0",",0","15.3",",,,0","","","","","2.24",",0","11.41",",,,0","-6.94",",,,0","","","","","","","","","","","",""
"USW00023043","1898-02","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0",",0","1",",0","1",",0","0",",0","","","","","0",",0","26",",0","0",",0","10",",0","0",",0","","","","","","","-10.0",",0,03,","","","","","21.8",",,0,09,","26.1",",0,26,","","","1694.1","0","309.6",",0","21.8",",,,0","","","","","7.28",",0","17.83",",,,0","-3.28",",,,0","","","","","","","","","","","",""
"USW00023043","1898-03","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","0.0","0","0.0",",0","0",",0","0",",0","0",",0","","","","","0",",0","13",",0","0",",0","16",",0","0",",0","","","","","","","-10.0",",0,23,","","","","","0.0",",T,0,11,","27.8",",0,25,+","","","1939.4","0","245.3",",0","0.0",",T,,0","","","","","10.42",",0","20.59",",,,0","0.25",",,,0","","","","","","","","","","","",""
"USW00023043","1898-04","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","12.0","0","12.0",",0","2",",0","1",",0","0",",0","","","","","0",",0","2",",0","0",",0","25",",0","1",",0","","","","","","","-6.7",",0,05,","","","","","6.6",",,0,10,","33.9",",0,27,","","","2038.8","0","99.4",",0","8.6",",,,0","","","","","15.42",",0","25.09",",,,0","5.74",",,,0","","","","","","","","","","","",""
"USW00023043","1898-05","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","85.9","0","73.9",",0","1",",0","1",",0","1",",0","","","","","0",",0","0",",0","0",",0","29",",0","14",",0","","","","","","","3.3",",0,06,+","","","","","26.2",",,0,09,","36.1",",0,28,","","","2069.2","0","30.4",",0","26.2",",,,0","","","","","19.74",",0","29.84",",,,0","9.64",",,,0","","","","","","","","","","","",""
"USW00023043","1898-06","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","214.2","0","128.3",",0","6",",0","4",",0","3",",0","","","","","0",",0","0",",0","0",",0","28",",0","14",",0","","","","","","","8.9",",0,11,","","","","","61.5",",,0,23,","37.2",",0,02,","","","2078.7","0","9.5",",0","153.7",",,,0","","","","","22.30",",0","30.31",",,,0","14.28",",,,0","","","","","","","","","","","",""
"USW00023043","1898-07","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","410.3","0","196.1",",0","8",",0","6",",0","1",",0","","","","","0",",0","0",",0","0",",0","31",",0","17",",0","","","","","","","14.4",",0,15,","","","","","114.8",",,0,04,","37.8",",0,23,","","","0.0","0","0.0",",0","166.4",",,,0","","","","","24.66",",0","31.88",",,,0","17.43",",,,0","","","","","","","","","","","",""
"USW00023043","1898-08","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","582.0","0","171.7",",0","7",",0","7",",0","1",",0","","","","","0",",0","0",",0","0",",0","31",",0","17",",0","","","","","","","10.6",",0,31,","","","","","26.4",",,0,07,","36.7",",0,18,","","","0.0","0","0.0",",0","76.0",",,,0","","","","","23.87",",0","32.10",",,,0","15.65",",,,0","","","","","","","","","","","",""
"USW00023043","1898-09","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","658.6","0","76.6",",0","3",",0","1",",0","0",",0","","","","","0",",0","0",",0","0",",0","27",",0","16",",0","","","","","","","1.7",",0,12,","","","","","15.7",",,0,10,","36.1",",0,04,","","","28.4","0","28.4",",0","17.5",",,,0","","","","","19.94",",0","29.82",",,,0","10.06",",,,0","","","","","","","","","","","",""
"USW00023043","1898-10","33.4","-104.53333","1106.1","ROSWELL MUNICIPAL AIRPORT, NM US","681.7","0","23.1",",0","0",",0","0",",0","0",",0","","","","","0",",0","11",",0","0",",0","23",",0","5",",0","","","","","","","-7.2",",0,20,","","","","","0.0",",T,0,09,","33.9",",0,04,+","","","161.8","0","133.4",",0","0.0",",T,,0","","","","","14.77",",0","26.19",",,,0","3.35",",,,0","","","","","","","","","","","",""
