"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00328298","1926-12","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","1",",6","0",",6","2",",6","","","","","","","114",",,6,03,","5.1",",,6,03,","5.6",",,,6","190",",,,6","",""
"USC00328298","1927-03","47.31667","-101.38333","519.1","STANTON, ND US","2","1,6","1","1,6","0","1,6","","","","","","","","","","","6.4","1,,6,22,","7.9","1,,,6","","","",""
"USC00328298","1927-04","47.31667","-101.38333","519.1","STANTON, ND US","5",",6","4",",6","0",",6","","","","","","","","","","","12.2",",,6,14,","28.9",",,,6","","","",""
"USC00328298","1927-05","47.31667","-101.38333","519.1","STANTON, ND US","10",",6","10",",6","2",",6","","","","","","","","","","","55.4",",,6,08,","170.6",",,,6","","","",""
"USC00328298","1927-06","47.31667","-101.38333","519.1","STANTON, ND US","7",",6","6",",6","1",",6","","","","","","","","","","","32.3",",,6,09,","75.4",",,,6","","","",""
"USC00328298","1927-07","47.31667","-101.38333","519.1","STANTON, ND US","10",",6","8",",6","1",",6","","","","","","","","","","","32.3",",,6,15,","80.1",",,,6","","","",""
"USC00328298","1927-08","47.31667","-101.38333","519.1","STANTON, ND US","6",",6","6",",6","1",",6","","","","","","","","","","","32.5",",,6,16,","58.8",",,,6","","","",""
"USC00328298","1927-09","47.31667","-101.38333","519.1","STANTON, ND US","1",",6","1",",6","0",",6","","","","","","","","","","","6.1",",,6,04,","6.1",",,,6","","","",""
"USC00328298","1927-10","47.31667","-101.38333","519.1","STANTON, ND US","3",",6","2",",6","0",",6","","","","","","","","","","","3.6",",,6,11,","6.9",",,,6","","","",""
"USC00328298","1927-11","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","2",",6","0",",6","","","","","","","","","","","7.6",",,6,07,","10.1",",,,6","","","",""
"USC00328298","1927-12","47.31667","-101.38333","519.1","STANTON, ND US","7",",6","3",",6","0",",6","","","","","","","","","","","5.1",",,6,14,","14.8",",,,6","","","",""
"USC00328298","1928-01","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","0",",6","0",",6","","","","","","","","","","","2.0",",,6,15,","3.0",",,,6","","","",""
"USC00328298","1928-02","47.31667","-101.38333","519.1","STANTON, ND US","","","","","","","0",",6","","","","","","","0",",T,6,15,","","","","","0",",T,,6","",""
"USC00328298","1928-03","47.31667","-101.38333","519.1","STANTON, ND US","3",",6","2",",6","0",",6","","","","","","","","","","","10.7",",,6,12,","14.5",",,,6","","","",""
"USC00328298","1928-04","47.31667","-101.38333","519.1","STANTON, ND US","4",",6","3",",6","0",",6","","","","","","","","","","","7.9",",,6,18,","19.9",",,,6","","","",""
"USC00328298","1928-05","47.31667","-101.38333","519.1","STANTON, ND US","5",",6","3",",6","0",",6","0",",6","","","","","","","0",",,6,31,+","21.6",",,6,15,","31.6",",,,6","0",",,,6","",""
"USC00328298","1928-06","47.31667","-101.38333","519.1","STANTON, ND US","","","","","","","0",",6","","","","","","","0",",,6,30,+","","","","","0",",,,6","",""
"USC00328298","1928-07","47.31667","-101.38333","519.1","STANTON, ND US","9",",6","7",",6","3",",6","","","","","","","","","","","31.8",",,6,18,","119.6",",,,6","","","",""
"USC00328298","1928-08","47.31667","-101.38333","519.1","STANTON, ND US","6",",6","6",",6","1",",6","","","","","","","","","","","29.2",",,6,28,","82.5",",,,6","","","",""
"USC00328298","1928-09","47.31667","-101.38333","519.1","STANTON, ND US","1",",6","1",",6","0",",6","","","","","","","","","","","12.7",",,6,07,","12.7",",,,6","","","",""
"USC00328298","1928-12","47.31667","-101.38333","519.1","STANTON, ND US","1",",6","1",",6","0",",6","","","","","","","","","","","7.6",",,6,02,","7.6",",,,6","","","",""
"USC00328298","1929-03","47.31667","-101.38333","519.1","STANTON, ND US","3",",6","2",",6","0",",6","","","","","","","","","","","14.5",",,6,14,","18.3",",,,6","","","",""
"USC00328298","1929-04","47.31667","-101.38333","519.1","STANTON, ND US","3",",6","2",",6","1",",6","","","","","","","","","","","25.9",",,6,05,","33.3",",,,6","","","",""
"USC00328298","1929-05","47.31667","-101.38333","519.1","STANTON, ND US","7",",6","6",",6","0",",6","","","","","","","","","","","21.6",",,6,28,","62.2",",,,6","","","",""
"USC00328298","1929-07","47.31667","-101.38333","519.1","STANTON, ND US","4",",6","3",",6","0",",6","","","","","","","","","","","4.1",",,6,06,","12.4",",,,6","","","",""
"USC00328298","1929-09","47.31667","-101.38333","519.1","STANTON, ND US","4",",6","3",",6","0",",6","","","","","","","","","","","24.4",",,6,23,","45.3",",,,6","","","",""
"USC00328298","1929-10","47.31667","-101.38333","519.1","STANTON, ND US","5",",6","5",",6","0",",6","2",",6","","","","","","","76",",,6,31,","11.2",",,6,09,","28.2",",,,6","101",",,,6","",""
"USC00328298","1930-03","47.31667","-101.38333","519.1","STANTON, ND US","0",",6","0",",6","0",",6","0",",6","","","","","","","0",",,6,31,+","0.0",",,6,31,+","0.0",",,,6","0",",,,6","",""
"USC00328298","1930-04","47.31667","-101.38333","519.1","STANTON, ND US","3",",6","3",",6","0",",6","","","","","","","","","","","13.7",",,6,14,","32.2",",,,6","","","",""
"USC00328298","1930-05","47.31667","-101.38333","519.1","STANTON, ND US","6",",6","5",",6","0",",6","","","","","","","","","","","13.5",",,6,12,","37.2",",,,6","","","",""
"USC00328298","1930-06","47.31667","-101.38333","519.1","STANTON, ND US","5",",6","5",",6","1",",6","","","","","","","","","","","30.5",",,6,12,","74.7",",,,6","","","",""
"USC00328298","1930-07","47.31667","-101.38333","519.1","STANTON, ND US","4",",6","3",",6","0",",6","","","","","","","","","","","12.2",",,6,24,","25.5",",,,6","","","",""
"USC00328298","1930-08","47.31667","-101.38333","519.1","STANTON, ND US","4",",6","4",",6","0",",6","","","","","","","","","","","6.9",",,6,25,","24.7",",,,6","","","",""
"USC00328298","1930-09","47.31667","-101.38333","519.1","STANTON, ND US","4",",6","3",",6","0",",6","","","","","","","","","","","8.4",",,6,11,","20.1",",,,6","","","",""
"USC00328298","1930-10","47.31667","-101.38333","519.1","STANTON, ND US","5",",6","4",",6","0",",6","","","","","","","","","","","18.5",",,6,07,","49.5",",,,6","","","",""
"USC00328298","1931-01","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","0",",6","0",",6","0",",6","","","","","","","3",",,6,24,+","2.3",",,6,26,","2.6",",,,6","6",",,,6","",""
"USC00328298","1931-02","47.31667","-101.38333","519.1","STANTON, ND US","2","1,6","1","1,6","0","1,6","","","","","","","","","","","7.6","1,,6,27,","8.9","1,,,6","","","",""
"USC00328298","1931-03","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","1",",6","0",",6","","","","","","","","","","","24.9",",,6,22,","25.9",",,,6","","","",""
"USC00328298","1931-05","47.31667","-101.38333","519.1","STANTON, ND US","3",",6","3",",6","0",",6","","","","","","","","","","","25.1",",,6,27,","33.5",",,,6","","","",""
"USC00328298","1931-09","47.31667","-101.38333","519.1","STANTON, ND US","6",",6","5",",6","1",",6","","","","","","","","","","","42.7",",,6,20,","79.3",",,,6","","","",""
"USC00328298","1931-10","47.31667","-101.38333","519.1","STANTON, ND US","4","2,6","4","2,6","0","2,6","0",",6","","","","","","","0",",T,6,29,+","9.1","2,,6,21,","22.8","2,,,6","0",",T,,6","",""
"USC00328298","1931-11","47.31667","-101.38333","519.1","STANTON, ND US","2","2,6","2","2,6","0","2,6","2",",6","","","","","","","76",",,6,26,","3.8","2,,6,25,","6.3","2,,,6","127",",,,6","",""
"USC00328298","1932-01","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","2",",6","0",",6","","","","","","","","","","","7.6",",,6,12,","12.7",",,,6","","","",""
"USC00328298","1932-02","47.31667","-101.38333","519.1","STANTON, ND US","1",",6","1",",6","0",",6","","","","","","","","","","","5.3",",,6,06,","5.3",",,,6","","","",""
"USC00328298","1932-03","47.31667","-101.38333","519.1","STANTON, ND US","4",",6","2",",6","0",",6","","","","","","","","","","","7.9",",,6,25,","16.3",",,,6","","","",""
"USC00328298","1932-04","47.31667","-101.38333","519.1","STANTON, ND US","4",",6","3",",6","0",",6","","","","","","","","","","","15.5",",,6,20,","35.6",",,,6","","","",""
"USC00328298","1932-05","47.31667","-101.38333","519.1","STANTON, ND US","4",",6","3",",6","0",",6","","","","","","","","","","","15.5",",,6,31,","36.6",",,,6","","","",""
"USC00328298","1932-06","47.31667","-101.38333","519.1","STANTON, ND US","5",",6","5",",6","1",",6","","","","","","","","","","","27.7",",,6,10,","61.0",",,,6","","","",""
"USC00328298","1932-07","47.31667","-101.38333","519.1","STANTON, ND US","4",",6","2",",6","1",",6","","","","","","","","","","","29.2",",,6,04,","47.9",",,,6","","","",""
"USC00328298","1932-08","47.31667","-101.38333","519.1","STANTON, ND US","6",",6","4",",6","1",",6","","","","","","","","","","","29.2",",,6,11,","69.1",",,,6","","","",""
"USC00328298","1932-09","47.31667","-101.38333","519.1","STANTON, ND US","1",",6","1",",6","0",",6","","","","","","","","","","","3.8",",,6,26,","3.8",",,,6","","","",""
"USC00328298","1932-10","47.31667","-101.38333","519.1","STANTON, ND US","4",",6","3",",6","1",",6","1","1,6","","","","","","","203","1,,6,20,","35.1",",,6,20,","51.1",",,,6","203","1,,,6","",""
"USC00328298","1932-11","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","1",",6","0",",6","","","","","","","","","","","4.6",",,6,22,","5.4",",,,6","","","",""
"USC00328298","1932-12","47.31667","-101.38333","519.1","STANTON, ND US","1",",6","0",",6","0",",6","0",",6","","","","","","","13",",,6,10,","0.3",",,6,10,","0.3",",,,6","13",",,,6","",""
"USC00328298","1933-01","47.31667","-101.38333","519.1","STANTON, ND US","3",",6","1",",6","0",",6","","","","","","","","","","","6.1",",,6,18,","8.9",",,,6","","","",""
"USC00328298","1933-02","47.31667","-101.38333","519.1","STANTON, ND US","1",",6","1",",6","0",",6","1",",6","","","","","","","51",",,6,04,","5.1",",,6,04,","5.1",",,,6","51",",,,6","",""
"USC00328298","1933-03","47.31667","-101.38333","519.1","STANTON, ND US","1","1,6","1","1,6","0","1,6","1",",6","","","","","","","76",",,6,24,","6.9","1,,6,24,","6.9","1,,,6","76",",,,6","",""
"USC00328298","1933-04","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","2",",6","0",",6","","","","","","","","","","","14.2",",,6,09,","16.7",",,,6","","","",""
"USC00328298","1933-05","47.31667","-101.38333","519.1","STANTON, ND US","7",",6","6",",6","1",",6","","","","","","","","","","","27.4",",,6,23,","58.3",",,,6","","","",""
"USC00328298","1933-06","47.31667","-101.38333","519.1","STANTON, ND US","8",",6","4",",6","0",",6","","","","","","","","","","","24.6",",,6,22,","67.6",",,,6","","","",""
"USC00328298","1933-07","47.31667","-101.38333","519.1","STANTON, ND US","5",",6","4",",6","0",",6","","","","","","","","","","","11.2",",,6,08,","25.1",",,,6","","","",""
"USC00328298","1933-08","47.31667","-101.38333","519.1","STANTON, ND US","3",",6","2",",6","0",",6","","","","","","","","","","","9.1",",,6,01,","13.9",",,,6","","","",""
"USC00328298","1933-09","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","1",",6","0",",6","","","","","","","","","","","6.6",",,6,16,","7.6",",,,6","","","",""
"USC00328298","1933-10","47.31667","-101.38333","519.1","STANTON, ND US","3",",6","3",",6","0",",6","1",",6","","","","","","","38",",,6,26,","9.9",",,6,18,","18.0",",,,6","38",",,,6","",""
"USC00328298","1933-11","47.31667","-101.38333","519.1","STANTON, ND US","3",",6","3",",6","0",",6","3",",6","","","","","","","114",",,6,06,","6.4",",,6,06,","17.3",",,,6","292",",,,6","",""
"USC00328298","1933-12","47.31667","-101.38333","519.1","STANTON, ND US","4",",6","2",",6","0",",6","2",",6","","","","","","","89",",,6,22,","7.6",",,6,22,","14.4",",,,6","165",",,,6","",""
"USC00328298","1934-01","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","0",",6","0",",6","0",",6","","","","","","","0",",T,6,25,","1.3",",,6,26,","2.3",",,,6","0",",T,,6","",""
"USC00328298","1934-02","47.31667","-101.38333","519.1","STANTON, ND US","1",",6","0",",6","0",",6","0",",6","","","","","","","0",",T,6,24,","0.5",",,6,24,","0.5",",,,6","0",",T,,6","",""
"USC00328298","1934-03","47.31667","-101.38333","519.1","STANTON, ND US","5",",6","3",",6","0",",6","","","","","","","","","","","6.4",",,6,31,","13.5",",,,6","","","",""
"USC00328298","1934-04","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","2",",6","0",",6","1",",6","","","","","","","165",",,6,02,","10.9",",,6,02,","13.9",",,,6","165",",,,6","",""
"USC00328298","1934-05","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","1",",6","0",",6","","","","","","","","","","","2.8",",,6,20,","3.6",",,,6","","","",""
"USC00328298","1934-06","47.31667","-101.38333","519.1","STANTON, ND US","12",",6","9",",6","2",",6","","","","","","","","","","","31.0",",,6,16,","107.1",",,,6","","","",""
"USC00328298","1934-07","47.31667","-101.38333","519.1","STANTON, ND US","8",",6","6",",6","0",",6","","","","","","","","","","","13.2",",,6,12,","38.6",",,,6","","","",""
"USC00328298","1934-08","47.31667","-101.38333","519.1","STANTON, ND US","4",",6","1",",6","0",",6","","","","","","","","","","","2.5",",,6,31,","6.8",",,,6","","","",""
"USC00328298","1934-09","47.31667","-101.38333","519.1","STANTON, ND US","3",",6","1",",6","0",",6","1",",6","","","","","","","76",",,6,25,","5.8",",,6,25,","9.1",",,,6","76",",,,6","",""
"USC00328298","1934-10","47.31667","-101.38333","519.1","STANTON, ND US","1",",6","0",",6","0",",6","0",",6","","","","","","","13",",,6,29,","1.3",",,6,29,","1.3",",,,6","13",",,,6","",""
"USC00328298","1934-11","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","2",",6","0",",6","","","","","","","","","","","4.8",",,6,19,","8.6",",,,6","","","",""
"USC00328298","1934-12","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","0",",6","0",",6","0",",6","","","","","","","8",",,6,05,","1.0",",,6,05,","1.5",",,,6","11",",,,6","",""
"USC00328298","1935-01","47.31667","-101.38333","519.1","STANTON, ND US","3",",6","0",",6","0",",6","2",",6","","","","","","","25",",,6,20,+","0.8",",,6,08,","1.6",",,,6","50",",,,6","",""
"USC00328298","1935-02","47.31667","-101.38333","519.1","STANTON, ND US","1",",6","1",",6","0",",6","","","","","","","","","","","3.6",",,6,14,","3.6",",,,6","","","",""
"USC00328298","1935-03","47.31667","-101.38333","519.1","STANTON, ND US","","","","","","","4",",6","","","","","","","152",",,6,04,","","","","","356",",,,6","",""
"USC00328298","1935-04","47.31667","-101.38333","519.1","STANTON, ND US","6",",6","6",",6","1",",6","","","","","","","","","","","28.2",",,6,27,","50.7",",,,6","","","",""
"USC00328298","1935-05","47.31667","-101.38333","519.1","STANTON, ND US","10",",6","5",",6","0",",6","","","","","","","","","","","22.9",",,6,01,","71.4",",,,6","","","",""
"USC00328298","1935-06","47.31667","-101.38333","519.1","STANTON, ND US","7",",6","7",",6","1",",6","","","","","","","","","","","28.4",",,6,15,","81.2",",,,6","","","",""
"USC00328298","1935-08","47.31667","-101.38333","519.1","STANTON, ND US","5",",6","4",",6","0",",6","","","","","","","","","","","8.9",",,6,19,","27.2",",,,6","","","",""
"USC00328298","1935-09","47.31667","-101.38333","519.1","STANTON, ND US","0",",6","0",",6","0",",6","","","","","","","","","","","0.0",",T,6,24,+","0.0",",T,,6","","","",""
"USC00328298","1935-10","47.31667","-101.38333","519.1","STANTON, ND US","1",",6","1",",6","0",",6","0",",6","","","","","","","0",",T,6,30,","6.1",",,6,15,","6.1",",,,6","0",",T,,6","",""
"USC00328298","1935-12","47.31667","-101.38333","519.1","STANTON, ND US","4",",6","2",",6","0",",6","4",",6","","","","","","","102",",,6,26,","6.1",",,6,26,","13.2",",,,6","279",",,,6","",""
"USC00328298","1936-01","47.31667","-101.38333","519.1","STANTON, ND US","6",",6","1",",6","0",",6","4",",6","","","","","","","102",",,6,22,","3.6",",,6,22,","9.9",",,,6","254",",,,6","",""
"USC00328298","1936-02","47.31667","-101.38333","519.1","STANTON, ND US","4",",6","4",",6","0",",6","4",",6","","","","","","","76",",,6,24,+","6.4",",,6,24,+","23.2",",,,6","267",",,,6","",""
"USC00328298","1936-03","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","2",",6","0",",6","2",",6","","","","","","","38",",,6,13,+","3.8",",,6,13,+","7.6",",,,6","76",",,,6","",""
"USC00328298","1936-04","47.31667","-101.38333","519.1","STANTON, ND US","2",",6","1",",6","0",",6","","","","","","","","","","","8.1",",,6,30,","8.4",",,,6","","","",""
