"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00294385","1925-11","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","2",",6","1",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,30,+","5.1",",,6,25,","","","6.4",",,,6","0",",,,6","","","",""
"USC00294385","1925-12","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","5",",6","1",",6","0",",6","4",",6","","","","","","","","","","","","","38",",,6,29,+","6.9",",,6,03,","","","14.5",",,,6","126",",,,6","","","",""
"USC00294385","1926-01","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","7",",6","3",",6","0",",6","5",",6","","","","","30",",6","0",",6","0",",6","","","127",",,6,20,","10.2",",,6,20,","1.1",",6,29,","26.5",",,,6","330",",,,6","-7.76",",,,6","",""
"USC00294385","1926-02","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","2",",6","0",",6","0",",6","1",",6","","","","","","","","","","","","","25",",,6,23,","1.8",",,6,23,","","","2.8",",,,6","38",",,,6","","","",""
"USC00294385","1926-03","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","10",",6","8",",6","0",",6","","","","","","","22",",6","0",",6","0",",6","","","","","22.4",",,6,25,","4.4",",6,24,","67.4",",,,6","","","-2.28",",,,6","",""
"USC00294385","1926-04","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","8",",6","3",",6","0",",6","0",",6","","","","","7",",6","0",",6","0",",6","","","13",",,6,09,","14.2",",,6,09,","8.9",",6,27,","34.0",",,,6","13",",,,6","2.51",",,,6","",""
"USC00294385","1926-05","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","9",",6","7",",6","0",",6","0",",6","","","","","0",",6","0",",6","0",",6","","","0",",,6,31,+","18.3",",,6,26,","16.7",",6,31,","84.0",",,,6","0",",,,6","9.17",",,,6","",""
"USC00294385","1926-06","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","","","","","","","0",",6","","","","","","","","","","","","","0",",,6,30,+","","","","","","","0",",,,6","","","",""
"USC00294385","1926-07","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","8",",6","8",",6","1",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","47.5",",,6,29,","","","124.7",",,,6","0",",,,6","","","",""
"USC00294385","1926-08","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","5",",6","4",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","17.8",",,6,23,","","","36.9",",,,6","0",",,,6","","","",""
"USC00294385","1926-09","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","12",",6","6",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,30,+","24.9",",,6,12,","","","81.6",",,,6","0",",,,6","","","",""
"USC00294385","1926-10","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","","","","","","","1",",6","","","","","0",",6","0",",6","0",",6","","","25",",,6,29,","","","14.4",",6,25,+","","","25",",,,6","9.10",",,,6","",""
"USC00294385","1926-11","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","3",",6","1",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,30,+","4.6",",,6,13,","","","7.2",",,,6","0",",,,6","","","",""
"USC00294385","1926-12","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","14",",6","6",",6","0",",6","11",",6","","","","","22",",6","0",",6","0",",6","","","102",",,6,22,+","10.4",",,6,04,","6.7",",6,02,","46.0",",,,6","546",",,,6","-3.67",",,,6","",""
"USC00294385","1927-01","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","3",",6","1",",6","0",",6","0",",6","","","","","17",",6","0",",6","0",",6","","","0",",,6,31,+","3.8",",,6,13,","7.2",",6,04,","6.4",",,,6","0",",,,6","-0.92",",,,6","",""
"USC00294385","1927-02","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","6",",6","3",",6","0",",6","0",",6","","","","","19",",6","0",",6","0",",6","","","13",",,6,28,+","12.7",",,6,16,","3.3",",6,26,+","27.1",",,,6","26",",,,6","-2.62",",,,6","",""
"USC00294385","1927-03","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","1",",6","1",",6","0",",6","0",",6","","","","","17",",6","0",",6","0",",6","","","13",",,6,30,","3.6",",,6,30,","6.1",",6,25,","3.6",",,,6","13",",,,6","-1.75",",,,6","",""
"USC00294385","1927-04","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","1",",6","0",",6","0",",6","0",",6","","","","","7",",6","0",",6","0",",6","","","0",",,6,30,+","1.0",",,6,13,","11.1",",6,26,+","1.0",",,,6","0",",,,6","3.51",",,,6","",""
"USC00294385","1927-05","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","1",",6","1",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","3.8",",,6,15,","","","3.8",",,,6","0",",,,6","","","",""
"USC00294385","1927-06","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","7",",6","5",",6","1",",6","0",",6","","","","","","","","","","","","","0",",,6,30,+","36.1",",,6,11,","","","65.9",",,,6","0",",,,6","","","",""
"USC00294385","1927-07","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","","","","","","","0",",6","","","","","","","","","","","","","0",",,6,31,+","","","","","","","0",",,,6","","","",""
"USC00294385","1927-08","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","","","","","","","0",",6","","","","","","","","","","","","","0",",,6,31,+","","","","","","","0",",,,6","","","",""
"USC00294385","1927-09","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","11",",6","9",",6","0",",6","","","","","","","","","","","","","","","","","18.5",",,6,23,","","","81.9",",,,6","","","","","",""
"USC00294385","1927-10","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","1",",6","0",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","1.0",",,6,01,","","","1.0",",,,6","0",",,,6","","","",""
"USC00294385","1927-11","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","0",",6","0",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,30,+","0.0",",,6,30,+","","","0.0",",,,6","0",",,,6","","","",""
"USC00294385","1927-12","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","3",",6","3",",6","0",",6","3",",6","","","","","","","","","","","","","41",",,6,17,","8.9",",,6,13,","","","15.2",",,,6","117",",,,6","","","",""
"USC00294385","1928-01","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","0",",6","0",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","0.0",",,6,31,+","","","0.0",",,,6","0",",,,6","","","",""
"USC00294385","1928-02","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","5",",6","4",",6","0",",6","4",",6","","","","","28",",6","0",",6","0",",6","","","318",",,6,16,","18.3",",,6,16,","1.7",",6,04,","36.6",",,,6","542",",,,6","-9.68",",,,6","",""
"USC00294385","1928-03","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","1",",6","1",",6","0",",6","0",",6","","","","","28",",6","0",",6","0",",6","","","0",",,6,31,+","5.1",",,6,14,","1.1",",6,26,+","5.1",",,,6","0",",,,6","-6.24",",,,6","",""
"USC00294385","1928-04","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","7",",6","3",",6","0",",6","3",",6","","","","","26",",6","0",",6","0",",6","","","152",",,6,08,","10.2",",,6,08,","1.1",",6,29,+","19.3",",,,6","261",",,,6","-5.18",",,,6","",""
"USC00294385","1928-05","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","10","1,6","6","1,6","0","1,6","0",",6","","","","","8","2,6","0","2,6","0","2,6","","","0",",T,6,15,+","24.4","1,,6,11,","10.0","2,6,31,","66.1","1,,,6","0",",T,,6","2.44","2,,,6","",""
"USC00294385","1928-06","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","0",",6","0",",6","0",",6","0",",6","","","","","2","1,6","0","1,6","0","1,6","","","0",",,6,30,+","0.0",",,6,30,+","12.2","1,6,28,+","0.0",",,,6","0",",,,6","7.51","1,,,6","",""
"USC00294385","1928-07","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","","","","","","","0",",6","","","","","","","","","","","","","0",",,6,31,+","","","","","","","0",",,,6","","","",""
"USC00294385","1928-08","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","16",",6","14",",6","1",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","34.3",",,6,12,","","","166.6",",,,6","0",",,,6","","","",""
"USC00294385","1928-09","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","5",",6","3",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,30,+","20.3",",,6,20,","","","28.9",",,,6","0",",,,6","","","",""
"USC00294385","1928-10","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","7",",6","6",",6","0",",6","0",",6","","","","","","","","","","","","","0",",,6,31,+","7.6",",,6,12,","","","32.5",",,,6","0",",,,6","","","",""
"USC00294385","1928-12","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","2",",6","2",",6","0",",6","2",",6","","","","","","","","","","","","","38",",,6,12,","4.6",",,6,12,","","","7.6",",,,6","63",",,,6","","","",""
"USC00294385","1929-02","33.91667","-105.65","2072.6","JICARILLA NEAR, NM US","4",",6","3",",6","1",",6","","","","","","","","","","","","","","","","","27.4",",,6,09,","","","36.5",",,,6","","","","","",""
