"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","HX02","HX02_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","LX02","LX02_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MX02","MX02_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00405956","1988-12","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","","","0.0",",0","7",",0","5",",0","3",",0","0",",0","0",",0","0",",0","17",",0","1",",0","0",",0","0",",0","","","","","-7.2",",0,18,+","0",",T,0,09,","5",",,0,09,","62.2",",,0,28,","20.0",",0,28,","","","774.7","0","  10.0","3,,,0,3,2","  10.6","3,,,0,5,1","392.1",",0","  13.3","3,,,0,3,2","  17.8","3,,,0,5,1","   0.0","3,,,0,3,2","  -2.2","3,,,0,5,1","   2.2","3,,,0,3,2","  -1.1","3,,,0,5,1","   3.8","3,,,0,3,2","   2.2","3,,,0,5,1","   7.4","3,,,0,3,2","   8.2","3,,,0,5,1","162.3",",,,0","5",",,,0","5.69",",0","11.71",",,,0","-0.34",",,,0","",""
"USC00405956","1989-01","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","0.0","0","0.0",",0","15",",0","11",",0","3",",0","0",",0","0",",0","0",",0","15",",0","0",",0","2",",0","0",",0","","","","","-4.4",",0,22,","0",",,0,31,+","0",",,0,31,+","58.7",",,0,12,","22.2",",0,08,","","","1121.6","0","   7.8","1,,,0,3,1","   8.3","1,,,0,3,2","346.9",",0","  18.3","1,,,0,3,1","  13.9","1,,,0,3,2","  -1.1","1,,,0,3,1","   1.1","1,,,0,3,2","   4.4","1,,,0,3,1","   4.4","1,,,0,3,2","   2.8","1,,,0,3,1","   4.3","1,,,0,3,2","  10.2","1,,,0,3,1","   8.0","1,,,0,3,2","241.8",",,,0","0",",,,0","7.14",",0","12.63",",,,0","1.65",",,,0","",""
"USC00405956","1989-02","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","0.0","0","0.0",",0","14",",0","12",",0","2",",0","","","","","0",",0","15",",0","5",",0","3",",0","0",",0","","","","","-8.9",",0,25,+","","","","","81.3",",,0,14,","23.3",",0,02,","","","1552.1","0","   8.3","2,,,0,3,1","   7.2","3,,,0,3,2","430.5",",0","  17.2","1,,,0,3,1","  14.4","3,,,0,3,2","  -1.7","2,,,0,3,1","   0.0","3,,,0,3,2","  -1.1","1,,,0,3,1","   0.6","3,,,0,3,2","   2.2","2,,,0,3,1","   3.2","3,,,0,3,2","   6.9","1,,,0,3,1","   6.2","3,,,0,3,2","262.7",",,,0","","","2.96",",0","7.65",",,,0","-1.74",",,,0","",""
"USC00405956","1989-03","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","8.6","0","8.6",",0","13",",0","8",",0","1",",0","0",",0","0",",0","0",",0","11",",0","2",",0","10",",0","0",",0","","","","","-4.4",",0,09,","0",",,0,31,+","0",",,0,31,+","55.9",",,0,29,","27.8",",0,29,","","","1800.5","0","  15.6","1,,,0,3,1","  15.6","1,,,0,3,2","248.4",",0","  24.4","1,,,0,3,1","  18.9","1,,,0,3,2","  -2.8","1,,,0,3,1","   1.1","1,,,0,3,2","   2.2","1,,,0,3,1","   3.3","1,,,0,3,2","   5.3","1,,,0,3,1","   6.7","1,,,0,3,2","  15.6","1,,,0,3,1","  12.4","1,,,0,3,2","155.0",",,,0","0",",,,0","10.60",",0","16.47",",,,0","4.73",",,,0","",""
"USC00405956","1989-04","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","55.2","0","46.6",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","17",",0","0",",0","","","","","-3.3",",0,12,","0",",,0,30,+","0",",,0,30,+","20.3",",,0,04,","31.1",",0,28,+","129.5","4,,,0","1940.9","0","  19.4",",,,0,3,1","  21.1",",,,0,3,2","140.4",",0","  34.4",",,,0,3,1","  27.2",",,,0,3,2","   1.7",",,,0,3,1","   4.4",",,,0,3,2","  12.2",",,,0,3,1","  11.1",",,,0,3,2","  10.1",",,,0,3,1","  12.0",",,,0,3,2","  23.2",",,,0,3,1","  19.2",",,,0,3,2","42.6",",,,0","0",",,,0","15.21",",0","21.92",",,,0","8.49",",,,0","2106","3,,,0"
"USC00405956","1989-05","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","124.5","0","69.3",",0","12",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","1",",0","","","","","4.4",",0,12,","0",",,0,31,+","0",",,0,31,+","18.3",",,0,23,","35.6",",0,26,","149.3",",,,0","1989.0","0","  23.9","1,,,0,3,1","  22.2","1,,,0,3,2","48.1",",0","  33.3","1,,,0,3,1","  29.4","1,,,0,3,2","  10.0","1,,,0,3,1","  12.8","1,,,0,3,2","  18.3","1,,,0,3,1","  17.2","1,,,0,3,2","  16.8","1,,,0,3,1","  16.8","1,,,0,3,2","  27.2","1,,,0,3,1","  23.3","1,,,0,3,2","77.0",",,,0","0",",,,0","19.02",",0","25.06",",,,0","12.98",",,,0","2296",",,,0"
"USC00405956","1989-06","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","295.3","0","170.8",",0","16",",0","12",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","7",",0","","","","","13.3",",0,16,","0",",,0,30,+","0",",,0,30,+","28.2",",,0,13,","33.9",",0,27,","156.2",",,,0","1989.0","0","  27.2",",,,0,3,1","  25.6",",,,0,3,2","0.0",",0","  36.1",",,,0,3,1","  31.7",",,,0,3,2","  18.9",",,,0,3,1","  18.3",",,,0,3,2","  26.1",",,,0,3,1","  23.3",",,,0,3,2","  23.3",",,,0,3,1","  21.9",",,,0,3,2","  31.9",",,,0,3,1","  27.4",",,,0,3,2","159.1",",,,0","0",",,,0","24.03",",0","29.08",",,,0","18.97",",,,0","1681",",,,0"
"USC00405956","1989-07","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","529.8","0","234.5",",0","14",",0","12",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","11",",0","","","","","18.3",",0,20,+","0",",,0,31,+","0",",,0,31,+","93.0",",,0,02,","34.4",",0,30,+","158.1","2,,,0","0.0","0","  28.3","1,,,0,3,1","  26.7","2,,,0,3,2","0.0",",0","  39.4","1,,,0,3,1","  33.9","2,,,0,3,2","  22.2","1,,,0,3,1","  20.6","2,,,0,3,2","  26.7","1,,,0,3,1","  24.4","2,,,0,3,2","  24.9","1,,,0,3,1","  23.8","2,,,0,3,2","  33.0","1,,,0,3,1","  28.5","2,,,0,3,2","243.0",",,,0","0",",,,0","25.90",",0","30.54",",,,0","21.25",",,,0","1538",",,,0"
"USC00405956","1989-08","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","767.7","0","237.9",",0","6",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","","","","","11.7",",0,09,+","0",",,0,31,+","0",",,0,31,+","53.3",",,0,26,","35.6",",0,30,","159.2","2,,,0","0.0","0","  29.4",",,,0,3,1","  26.7",",,,0,3,2","0.0",",0","  38.3",",,,0,3,1","  33.9",",,,0,3,2","  21.7",",,,0,3,1","  21.7",",,,0,3,2","  32.8",",,,0,3,1","  28.3",",,,0,3,2","  25.8",",,,0,3,1","  24.4",",,,0,3,2","  35.7",",,,0,3,1","  30.6",",,,0,3,2","68.3",",,,0","0",",,,0","26.01",",0","32.07",",,,0","19.95",",,,0","1358",",,,0"
"USC00405956","1989-09","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","876.5","0","108.8",",0","12",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","5",",0","","","","","6.7",",0,26,+","0",",,0,30,+","0",",,0,30,+","50.8",",,0,30,","34.4",",0,09,+","118.3","1,,,0","25.3","0","  27.2",",,,0,3,1","  26.1",",,,0,3,2","25.3",",0","  37.2",",,,0,3,1","  32.2",",,,0,3,2","  11.7",",,,0,3,1","  12.8",",,,0,3,2","  19.4",",,,0,3,1","  17.8",",,,0,3,2","  21.0",",,,0,3,1","  20.3",",,,0,3,2","  28.9",",,,0,3,1","  24.9",",,,0,3,2","179.2",",,,0","0",",,,0","21.12",",0","26.29",",,,0","15.95",",,,0","1677",",,,0"
"USC00405956","1989-10","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","899.3","0","22.8",",0","7",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","","","","","0.6",",0,21,+","0",",,0,31,+","0",",,0,31,+","74.9",",,0,17,","30.6",",0,13,","97.6","1,,,0","105.2","0","  21.7",",,,0,3,1","  19.4",",,,0,3,2","79.9",",0","  27.8",",,,0,3,1","  22.2",",,,0,3,2","   5.0",",,,0,3,1","   6.1",",,,0,3,2","  11.7",",,,0,3,1","   8.3",",,,0,3,2","  14.0",",,,0,3,1","  13.6",",,,0,3,2","  22.7",",,,0,3,1","  18.3",",,,0,3,2","81.7",",,,0","0",",,,0","16.49",",0","23.53",",,,0","9.45",",,,0","1634",",,,0"
"USC00405956","1989-11","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","909.6","0","10.3",",0","7",",0","4",",0","1",",0","0",",0","0",",0","0",",0","6",",0","0",",0","12",",0","0",",0","","","","","-3.9",",0,17,","0",",,0,30,+","0",",T,0,16,","47.8",",,0,08,","27.2",",0,11,","","","294.4","0","  17.2",",,,0,3,1","  15.0","1,,,0,3,2","189.2",",0","  22.2",",,,0,3,1","  18.3","1,,,0,3,2","   2.2",",,,0,3,1","   3.3","1,,,0,3,2","   7.8",",,,0,3,1","   5.6","1,,,0,3,2","   8.7",",,,0,3,1","   8.1","1,,,0,3,2","  15.8",",,,0,3,1","  12.4","1,,,0,3,2","92.8",",,,0","0",",T,,0","12.37",",0","17.98",",,,0","6.75",",,,0","",""
"USC00405956","1989-12","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","909.6","0","0.0",",0","6",",0","4",",0","1",",0","0",",0","0",",0","3",",0","25",",0","12",",0","0",",0","0",",0","","","","","-21.1",",0,23,","0",",,0,31,+","0",",,0,31,+","43.7",",,0,31,","18.3",",0,07,+","","","874.1","0","   6.7","4,,,0,3,1","   6.1","2,,,0,3,2","579.7",",0","  13.9","4,,,0,3,1","   7.8","2,,,0,3,2"," -10.6","4,,,0,3,1"," -10.0","2,,,0,3,2","  -3.3","4,,,0,3,1","  -5.0","2,,,0,3,2","  -0.2","4,,,0,3,1","  -0.6","2,,,0,3,2","   3.7","4,,,0,3,1","   1.7","2,,,0,3,2","69.4",",,,0","0",",,,0","-0.37",",0","5.30",",,,0","-6.04",",,,0","",""
"USC00405956","1990-01","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","0.0","0","0.0",",0","9",",0","7",",0","1",",0","0",",0","0",",0","0",",0","9",",0","0",",0","1",",0","0",",0","","","","","-6.1",",0,14,","0",",,0,31,+","0",",,0,31,+","47.0",",,0,29,","21.7",",0,17,","","","1207.4","0","  12.2",",,,0,3,1","   9.4",",,,0,3,2","333.3",",0","  18.3",",,,0,3,1","  10.6",",,,0,3,2","   1.1",",,,0,3,1","   0.0",",,,0,3,2","   3.9",",,,0,3,1","   2.2",",,,0,3,2","   4.4",",,,0,3,1","   3.6",",,,0,3,2","  10.0",",,,0,3,1","   6.6",",,,0,3,2","109.1",",,,0","0",",,,0","7.58",",0","12.96",",,,0","2.21",",,,0","",""
"USC00405956","1990-02","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","1.4","0","1.4",",0","11",",0","8",",0","5",",0","0",",0","0",",0","0",",0","8",",0","0",",0","4",",0","0",",0","","","","","-2.8",",0,26,+","0",",,0,28,+","0",",,0,28,+","46.7",",,0,02,","23.9",",0,16,","","","1444.4","0","  14.4",",,,0,3,1","  13.9",",,,0,3,2","237.0",",0","  21.1",",,,0,3,1","  17.2",",,,0,3,2","   2.2",",,,0,3,1","   2.2",",,,0,3,2","   8.3",",,,0,3,1","   5.0",",,,0,3,2","   6.0",",,,0,3,1","   5.4",",,,0,3,2","  13.8",",,,0,3,1","  10.0",",,,0,3,2","243.3",",,,0","0",",,,0","9.92",",0","15.81",",,,0","4.03",",,,0","",""
"USC00405956","1990-03","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","10.3","0","8.9","1,0","15","1,0","8","1,0","2","1,0","","","0","1,0","0","1,0","7","1,0","0","1,0","7","1,0","0","1,0","","","","","-2.2","1,0,21,+","","","0","1,,0,31,+","43.9","1,,0,08,","27.2","1,0,14,","","","1670.5","0","  16.7","1,,,0,3,1","  15.6","1,,,0,3,2","226.1","1,0","  22.8","1,,,0,3,1","  17.8","1,,,0,3,2","   2.2","1,,,0,3,1","   1.7","1,,,0,3,2","   8.3","1,,,0,3,1","   6.7","1,,,0,3,2","   8.6","1,,,0,3,1","   7.8","1,,,0,3,2","  15.7","1,,,0,3,1","  11.8","1,,,0,3,2","150.0","1,,,0","0","1,,,0","11.09","1,0","16.16","1,,,0","6.02","1,,,0","",""
"USC00405956","1990-04","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","43.1","0","32.8",",0","11",",0","9",",0","2",",0","0",",0","0",",0","0",",0","3",",0","0",",0","17",",0","0",",0","","","","","-1.7",",0,08,+","0",",,0,30,+","0",",,0,30,+","48.0",",,0,28,","30.6",",0,25,","137.1",",,,0","1805.3","0","  18.9",",,,0,3,1","  18.3",",,,0,3,2","134.8",",0","  28.9",",,,0,3,1","  23.3",",,,0,3,2","   4.4",",,,0,3,1","   5.6",",,,0,3,2","  13.9",",,,0,3,1","  11.7",",,,0,3,2","  11.4",",,,0,3,1","  11.2",",,,0,3,2","  21.2",",,,0,3,1","  16.7",",,,0,3,2","142.0",",,,0","0",",,,0","14.93",",0","21.54",",,,0","8.33",",,,0","2176",",,,0"
"USC00405956","1990-05","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","103.0","0","59.9",",0","11",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","0",",0","","","","","7.2",",0,06,","0",",,0,31,+","0",",,0,31,+","60.5",",,0,20,","30.0",",0,27,+","138.6","2,,,0","1840.3","0","  21.7",",,,0,3,1","  19.4",",,,0,3,2","35.0",",0","  32.2",",,,0,3,1","  26.7","1,,,0,3,2","  12.2",",,,0,3,1","  11.7",",,,0,3,2","  18.9",",,,0,3,1","  15.6","1,,,0,3,2","  16.7",",,,0,3,1","  15.8",",,,0,3,2","  25.5",",,,0,3,1","  21.1","1,,,0,3,2","136.3",",,,0","0",",,,0","19.14",",0","24.64",",,,0","13.63",",,,0","2392",",,,0"
"USC00405956","1990-06","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","322.8","0","219.8",",0","6",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","16",",0","","","","","11.7",",0,05,","0",",,0,30,+","0",",,0,30,+","34.8",",,0,22,","36.7",",0,21,","198.3","2,,,0","1840.8","0","  27.2",",,,0,3,1","  25.6",",,,0,3,2","0.5",",0","  42.2","1,,,0,3,1","  35.0",",,,0,3,2","  17.8",",,,0,3,1","  17.8",",,,0,3,2","  26.7","1,,,0,3,1","  22.8",",,,0,3,2","  23.9",",,,0,3,1","  22.7",",,,0,3,2","  36.1","1,,,0,3,1","  30.5",",,,0,3,2","98.6",",,,0","0",",,,0","25.64",",0","31.57",",,,0","19.72",",,,0","1818",",,,0"
"USC00405956","1990-07","35.1298","-89.8037","94.5","MEMPHIS WEATHER FORECAST OFFICE, TN US","575.0","0","252.2","2,0","6",",0","3",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","29","1,0","21","1,0","","","","","13.9","1,0,15,+","0",",,0,31,+","0",",,0,31,+","29.2",",,0,12,","37.8","1,0,10,","217.1",",,,0","1.1","0","  30.0",",,,0,3,1","  28.9",",,,0,3,2","1.1","1,0","  43.3",",,,0,3,1","  37.8",",,,0,3,2","  20.6",",,,0,3,1","  17.8",",,,0,3,2","  30.6",",,,0,3,1","  26.7",",,,0,3,2","  26.5",",,,0,3,1","  25.1",",,,0,3,2","  38.6",",,,0,3,1","  33.0",",,,0,3,2","52.9",",,,0","0",",,,0","26.88","2,0","32.74","1,,,0","21.01","1,,,0","1427",",,,0"
