"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"CA006112340","1960-11","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","0.0",",C","13",",C","6",",C","0",",C","","","1",",C","0",",C","16",",C","2",",C","0",",C","0",",C","-8.3",",C,07,","","","127",",,C,30,","14.0",",,C,15,","16.7",",C,26,","903.8","C","418.3",",C","55.3",",,,C","156",",,,C","4.39",",C","8.31",",,,C","0.47",",,,C"
"CA006112340","1960-12","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","","","0.0",",C","12",",C","10",",C","0",",C","","","10",",C","8",",C","29",",C","24",",C","0",",C","0",",C","-27.2",",C,24,","","","152",",,C,07,","15.2",",,C,07,","13.3",",C,05,","1703.4","C","799.6",",C","67.4",",,,C","602",",,,C","-7.46",",C","-3.03",",,,C","-11.89",",,,C"
"CA006112340","1961-01","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","14",",C","6",",C","0",",C","","","6",",C","12",",C","31",",C","24",",C","0",",C","0",",C","-28.3",",C,21,","","","127",",,C,03,","12.7",",,C,03,","5.0",",C,13,","2596.0","C","892.6",",C","48.5",",,,C","485",",,,C","-10.46",",C","-5.92",",,,C","-15.00",",,,C"
"CA006112340","1961-02","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","9",",C","6",",C","0",",C","","","2",",C","6",",C","27",",C","13",",C","0",",C","0",",C","-32.8",",C,02,","","","51",",,C,03,","13.0",",,C,23,","6.7",",C,22,+","3276.2","C","680.2",",C","40.9",",,,C","89",",,,C","-5.96",",C","-0.27",",,,C","-11.65",",,,C"
"CA006112340","1961-03","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","12",",C","9",",C","0",",C","","","6",",C","4",",C","29",",C","7",",C","0",",C","0",",C","-19.4",",C,17,","","","76",",,C,08,","8.1",",,C,06,","16.7",",C,27,","3890.2","C","614.0",",C","46.1",",,,C","274",",,,C","-1.47",",C","2.60",",,,C","-5.55",",,,C"
"CA006112340","1961-04","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","0.0","C","0.0",",C","16",",C","9",",C","0",",C","","","1",",C","0",",C","20",",C","1",",C","0",",C","0",",C","-6.7",",C,09,","","","114",",,C,01,","18.0",",,C,16,","14.4",",C,27,","4342.2","C","452.0",",C","94.2",",,,C","135",",,,C","3.27",",C","7.13",",,,C","-0.59",",,,C"
"CA006112340","1961-05","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","8.9","C","8.9",",C","10",",C","6",",C","0",",C","","","0",",C","0",",C","6",",C","0",",C","8",",C","0",",C","-3.9",",C,02,","","","13",",,C,01,","17.8",",,C,18,","28.9",",C,14,","4623.2","C","281.0",",C","68.9",",,,C","13",",,,C","9.56",",C","14.83",",,,C","4.28",",,,C"
"CA006112340","1961-06","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","25.9","C","17.0","2,C","13",",C","7",",C","0",",C","","","0",",C","0",",C","0",",C","0","2,C","14","2,C","0","2,C","2.2",",C,21,","","","0",",,C,30,+","11.4",",,C,01,","30.0","2,C,29,","4715.1","C","91.9","2,C","45.2",",,,C","0",",,,C","15.87","2,C","21.24","2,,,C","10.50",",,,C"
"CA006112340","1961-07","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","79.4","C","53.5",",C","12","1,C","10","1,C","0","1,C","","","0",",C","0",",C","0",",C","0",",C","27",",C","1",",C","5.0",",C,05,","","","0",",,C,31,+","16.5","1,,C,06,","32.2",",C,23,","29.7","C","29.7",",C","69.1","1,,,C","0",",,,C","19.10",",C","24.59",",,,C","13.62",",,,C"
"CA006112340","1961-08","44.35","-79.8167","216.0","ESSA ONT HYDRO, ON CA","132.5","C","53.1",",C","10",",C","6",",C","2",",C","","","0",",C","0",",C","0",",C","0",",C","28",",C","0",",C","5.6",",C,17,+","","","0",",,C,31,+","72.9",",,C,28,","31.1",",C,31,","52.2","C","22.5",",C","154.0",",,,C","0",",,,C","19.32",",C","25.18",",,,C","13.46",",,,C"
