"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00052121","1952-10","39.33333","-108.21667","1510.0","DE BEQUE, CO US","367.1","0","0.0","4,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","4,0","20","4,0","0","3,0","28","3,0","0","3,0","","","-6.1","4,0,15,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","30.6","3,0,04,+","177.0","0","162.0","3,0","0.0",",,,0","0",",,,0","12.39","4,0","26.14","3,,,0","-1.35","4,,,0","",""
"USC00052121","1952-11","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","","","3",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",T,0,28,+","13",",,0,22,","2.3",",,0,15,","","","","","","","4.6",",,,0","13",",,,0","","","","","","","",""
"USC00052121","1952-12","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","0.0",",0","3",",0","3",",0","0",",0","","","0","3,0","1",",0","30",",0","1",",0","0",",0","0",",0","","","-17.8",",0,10,","","","0","3,,0,31,+","4.3",",,0,19,","10.6",",0,15,","","","663.0",",0","9.9",",,,0","0","3,,,0","-3.05",",0","4.68",",,,0","-10.79",",,,0","",""
"USC00052121","1953-01","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","","","6","5,0","2","5,0","0","5,0","","","","","","","","","","","","","","","","","","","","","","","5.6","5,,0,14,","","","","","","","11.7","5,,,0","","","","","","","","","",""
"USC00052121","1953-02","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","0.0","4,0","1","2,0","0","2,0","0","2,0","","","0","3,0","1","4,0","24","4,0","2","3,0","0","3,0","0","3,0","","","-17.8","4,0,21,","","","0","3,T,0,06,","1.0","2,,0,19,","16.1","3,0,28,","","","443.0","3,0","1.0","2,,,0","0","3,T,,0","0.02","4,0","8.96","3,,,0","-8.92","4,,,0","",""
"USC00052121","1953-03","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","0.0",",0","9",",0","7",",0","0",",0","0",",0","0",",0","0",",0","27",",0","0",",0","4",",0","0",",0","","","-12.2",",0,04,","0",",T,0,21,","0",",T,0,22,+","15.2",",,0,30,","25.0",",0,28,","","","390.3",",0","40.5",",,,0","0",",T,,0","5.74",",0","15.29",",,,0","-3.80",",,,0","",""
"USC00052121","1953-04","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","0.0",",0","11",",0","4",",0","0",",0","1",",0","0","1,0","0",",0","16",",0","0",",0","10",",0","0",",0","","","-7.2",",0,13,","25",",,0,08,","0","1,T,0,11,","9.1",",,0,28,","29.4",",0,22,","","","292.1",",0","27.4",",,,0","0","1,T,,0","8.60",",0","17.25",",,,0","-0.05",",,,0","3706","4,,,0"
"USC00052121","1953-05","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","2.0","4,0","8",",0","4",",0","0",",0","0",",0","0",",0","0","2,0","6","2,0","0","2,0","18","2,0","0","2,0","","","-2.8","2,0,11,+","0",",,0,31,+","0",",,0,31,+","17.3",",,0,16,","30.6","2,0,26,","","","159.9","2,0","30.1",",,,0","0",",,,0","12.55","4,0","21.71","2,,,0","3.40","2,,,0","",""
"USC00052121","1953-06","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","","","2","5,0","2","5,0","0","5,0","0","5,0","0","5,0","","","","","","","","","","","","","","","0","5,,0,30,+","0","5,,0,30,+","4.1","5,,0,18,","","","","","","","6.9","5,,,0","0","5,,,0","","","","","","","",""
"USC00052121","1953-07","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","","","5",",0","1",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","6.9",",,0,11,","","","","","","","10.5",",,,0","0",",,,0","","","","","","","",""
"USC00052121","1953-09","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","","","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,18,","","","","","","","0.0",",T,,0","0",",,,0","","","","","","","",""
"USC00052121","1953-10","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","0.0",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","18",",0","0",",0","21",",0","0",",0","","","-3.3",",0,27,","0",",,0,31,+","0",",,0,31,+","4.1",",,0,22,+","31.1",",0,01,","","","219.4",",0","13.5",",,,0","0",",,,0","11.26",",0","22.21",",,,0","0.30",",,,0","",""
"USC00052121","1953-11","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","0.0","1,0","5","1,0","3","1,0","0","1,0","","","1","1,0","0","1,0","26","1,0","0","1,0","1","1,0","0","1,0","","","-10.6","1,0,20,","","","102","1,,0,18,","18.3","1,,0,18,","21.7","1,0,14,","","","402.3","1,0","37.6","1,,,0","102","1,,,0","4.46","1,0","12.82","1,,,0","-3.90","1,,,0","3834","4,,,0"
"USC00052121","1953-12","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","0.0","3,0","5",",0","2",",0","0",",0","2","1,0","1","2,0","2","1,0","30","1,0","1","2,0","0","2,0","0","2,0","","","-18.9","1,0,29,+","25","1,,0,27,+","25","2,,0,27,","3.8",",,0,27,","11.7","2,0,20,","","","611.3","2,0","8.4",",,,0","38","2,,,0","-3.30","3,0","4.47","2,,,0","-11.07","1,,,0","",""
"USC00052121","1954-01","39.33333","-108.21667","1510.0","DE BEQUE, CO US","0.0","","0.0","1,0","3",",0","2",",0","0",",0","","","0","3,0","1","1,0","29","1,0","0",",0","0",",0","0",",0","","","-17.8","1,0,03,","","","0","3,,0,31,+","4.3",",,0,26,","15.0",",0,30,","","","548.3",",0","8.6",",,,0","0","3,,,0","0.00","1,0","7.72",",,,0","-7.72","1,,,0","",""
"USC00052121","1954-02","39.33333","-108.21667","1510.0","DE BEQUE, CO US","0.0","","0.0",",0","1",",0","1",",0","0",",0","","","0",",0","0",",0","26",",0","0",",0","0",",0","0",",0","","","-11.7",",0,28,","","","0",",T,0,18,","5.3",",,0,14,","20.0",",0,12,","","","406.7",",0","5.3",",,,0","0",",T,,0","3.81",",0","14.20",",,,0","-6.59",",,,0","2691","2,,,0"
"USC00052121","1954-04","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","0.0","4,0","4",",0","3",",0","0",",0","0",",0","0",",0","0","3,0","11","3,0","0","3,0","21","3,0","0","3,0","","","-7.2","3,0,01,","0",",,0,30,+","0",",,0,30,+","8.1",",,0,29,","27.8","3,0,24,+","","","151.2","3,0","21.8",",,,0","0",",,,0","12.49","4,0","23.51","3,,,0","1.46","3,,,0","",""
"USC00052121","1954-05","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","11.4","2,0","5",",0","1",",0","0",",0","0",",0","0",",0","0","1,0","3","1,0","0","1,0","27","1,0","3","1,0","","","-1.1","1,0,03,","0",",,0,31,+","0",",,0,31,+","3.3",",,0,20,","34.4","1,0,20,","","","72.1","1,0","7.4",",,,0","0",",,,0","16.16","2,0","27.45","1,,,0","4.88","1,,,0","",""
"USC00052121","1954-06","39.33333","-108.21667","1510.0","DE BEQUE, CO US","","","","","2",",0","2",",0","0",",0","0",",0","0",",0","","","","","","","","","","","","","","","0",",,0,30,+","0",",,0,30,+","8.4",",,0,27,","","","","","","","11.2",",,,0","0",",,,0","","","","","","","",""
