"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00396936","1920-07","44.06666","-103.2","987.6","RAPID CITY STATION NUMBER 1, SD US","113.3",",6","6",",6","4",",6","0",",6","0",",6","0",",6","0",",6","29",",6","6",",6","9.4",",6,08,+","14.2",",,6,13,","38.9",",6,23,","1730.4",",,,6","14.5","","14.5",",6","38.6",",,,6","21.52",",6","28.10",",,,6","14.94",",,,6","1292",",,,6"
"USC00396936","1920-08","44.06666","-103.2","987.6","RAPID CITY STATION NUMBER 1, SD US","98.2",",6","7",",6","4",",6","0",",6","0",",6","0",",6","0",",6","31",",6","8",",6","6.7",",6,31,","15.7",",,6,11,","35.0",",6,17,","1949.5",",,,6","27.9","","13.4",",6","34.7",",,,6","21.07",",6","29.09",",,,6","13.05",",,,6","1584",",,,6"
"USC00396936","1920-09","44.06666","-103.2","987.6","RAPID CITY STATION NUMBER 1, SD US","31.7",",6","12",",6","3",",6","0",",6","0",",6","2",",6","0",",6","19",",6","3",",6","-2.8",",6,30,+","11.4",",,6,24,","34.4",",6,19,","1210.3",",,,6","129.5","","101.6",",6","25.7",",,,6","16.00",",6","23.82",",,,6","8.18",",,,6","1378",",,,6"
"USC00396936","1920-10","44.06666","-103.2","987.6","RAPID CITY STATION NUMBER 1, SD US","5.8",",6","6",",6","3",",6","0",",6","0",",6","6",",6","0",",6","13",",6","1",",6","-7.2",",6,28,","6.1",",,6,22,","32.2",",6,06,","927.2",",,,6","367.9","","238.4",",6","15.9",",,,6","10.83",",6","18.74",",,,6","2.93",",,,6","1789",",,,6"
"USC00396936","1921-04","44.06666","-103.2","987.6","RAPID CITY STATION NUMBER 1, SD US","0.0",",6","5",",6","1",",6","0",",6","0",",6","17",",6","1",",6","9",",6","0",",6","-9.4",",6,16,+","5.6",",,6,25,","28.3",",6,03,","1283.8","2,,,6","","","318.4",",6","9.7",",,,6","7.72",",6","15.24",",,,6","0.20",",,,6","3323",",,,6"
"USC00396936","1921-05","44.06666","-103.2","987.6","RAPID CITY STATION NUMBER 1, SD US","2.8",",6","14",",6","6",",6","1",",6","0",",6","3",",6","0",",6","10",",6","0",",6","-4.4",",6,15,","30.0",",,6,25,","29.4",",6,28,","1272.4",",,,6","","","200.3",",6","59.4",",,,6","11.96",",6","18.03",",,,6","5.90",",,,6","2565",",,,6"
"USC00396936","1921-06","44.06666","-103.2","987.6","RAPID CITY STATION NUMBER 1, SD US","113.7",",6","14",",6","9",",6","0",",6","0",",6","0",",6","0",",6","25",",6","10",",6","8.3",",6,20,","22.6",",,6,16,","36.7",",6,17,","1889.0",",,,6","","","26.4",",6","95.8",",,,6","21.24",",6","28.09",",,,6","14.39",",,,6","1867",",,,6"
"USC00396936","1921-07","44.06666","-103.2","987.6","RAPID CITY STATION NUMBER 1, SD US","152.4","1,6","10",",6","6",",6","0",",6","0",",6","0",",6","0","1,6","29","1,6","13","1,6","7.8",",6,03,","15.7",",,6,28,","38.3","1,6,10,","2164.8",",,,6","9.7","","9.7","1,6","39.1",",,,6","23.12","1,6","31.28","1,,,6","14.96",",,,6","1561",",,,6"
"USC00396936","1921-08","44.06666","-103.2","987.6","RAPID CITY STATION NUMBER 1, SD US","","","12",",6","5",",6","1",",6","0","2,6","0","2,6","","","","","","","10.0","2,6,20,","27.7",",,6,13,","","","1630.7",",,,6","","","","","56.1",",,,6","","","","","13.94","2,,,6","1596",",,,6"
"USC00396936","1921-09","44.06666","-103.2","987.6","RAPID CITY STATION NUMBER 1, SD US","26.7","1,6","8",",6","5",",6","0",",6","0","1,6","2","1,6","0",",6","22",",6","3",",6","-1.7","1,6,11,","6.9",",,6,15,","36.7",",6,01,","1417.4",",,,6","","","101.3",",6","25.8",",,,6","15.79","1,6","24.11",",,,6","7.47","1,,,6","2172",",,,6"
"USC00396936","1921-10","44.06666","-103.2","987.6","RAPID CITY STATION NUMBER 1, SD US","0.3","5,6","0",",6","0",",6","0",",6","0","5,6","2","5,6","0",",6","14",",6","0",",6","-3.3","5,6,11,","0.0",",T,6,26,+","30.0",",6,05,","1154.9",",,,6","","","158.3",",6","0.0",",T,,6","12.29","5,6","20.33",",,,6","4.24","5,,,6","2440",",,,6"
"USC00396936","1922-04","44.06666","-103.2","987.6","RAPID CITY STATION NUMBER 1, SD US","0.0",",6","13",",6","7",",6","1",",6","0",",6","15",",6","0",",6","4",",6","0",",6","-6.1",",6,19,","34.0",",,6,06,","24.4",",6,23,","795.2",",,,6","","","359.6",",6","84.9",",,,6","6.35",",6","11.95",",,,6","0.74",",,,6","2668",",,,6"
"USC00396936","1922-05","44.06666","-103.2","987.6","RAPID CITY STATION NUMBER 1, SD US","4.8","1,6","13",",6","5",",6","1",",6","0",",6","0",",6","0","1,6","16","1,6","0","1,6","3.9",",6,14,+","54.9",",,6,11,","27.8","1,6,27,","1510.4",",,,6","","","134.7","1,6","100.2",",,,6","13.96","1,6","20.36","1,,,6","7.56",",,,6","2659",",,,6"
