"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00089417","1900-08","30.633333","-85.583333","76.2","WAUSAU, FL US","","","307.8",",6","9",",6","7",",6","2",",6","0",",6","0",",6","0",",6","31",",6","29",",6","","","18.3",",6,08,","32.5",",,6,23,","38.3",",6,22,","0.0","6","0.0",",6","85.2",",,,6","28.26",",6","34.96",",,,6","21.56",",,,6"
"USC00089417","1900-09","30.633333","-85.583333","76.2","WAUSAU, FL US","","","237.4",",6","6",",6","6",",6","1",",6","0",",6","0",",6","0",",6","30",",6","24",",6","","","13.3",",6,19,","90.2",",,6,14,","34.4",",6,18,+","0.0","6","0.0",",6","134.6",",,,6","26.25",",6","32.61",",,,6","19.88",",,,6"
"USC00089417","1901-01","30.633333","-85.583333","76.2","WAUSAU, FL US","2.8","6","2.8","3,6","5","3,6","5","3,6","0","3,6","0","3,6","2","3,6","0","3,6","6","3,6","0","3,6","","","-3.3","3,6,19,","21.8","3,,6,02,","22.8","3,6,12,+","","","186.2","3,6","55.3","3,,,6","11.78","3,6","17.78","3,,,6","5.78","3,,,6"
"USC00089417","1901-03","30.633333","-85.583333","76.2","WAUSAU, FL US","","","14.5","4,6","6",",6","6",",6","3",",6","0","2,6","3","2,6","0","4,6","11","4,6","0","4,6","","","-4.4","2,6,07,","79.5",",,6,23,","28.3","4,6,30,","","","138.3","4,6","239.5",",,,6","13.75","4,6","20.30","4,,,6","7.19","2,,,6"
"USC00089417","1901-04","30.633333","-85.583333","76.2","WAUSAU, FL US","","","","","3","3,6","3","3,6","2","3,6","","","","","","","","","","","","","","","61.0","3,,6,18,","","","","","","","102.1","3,,,6","","","","","",""
"USC00089417","1901-05","30.633333","-85.583333","76.2","WAUSAU, FL US","","","169.4",",6","7",",6","6",",6","3",",6","0",",6","0",",6","0",",6","30",",6","20",",6","","","10.0",",6,26,","132.1",",,6,31,","36.1",",6,24,","","","1.9",",6","222.5",",,,6","23.73",",6","31.93",",,,6","15.54",",,,6"
"USC00089417","1901-06","30.633333","-85.583333","76.2","WAUSAU, FL US","","","265.1",",6","8",",6","7",",6","1",",6","0",",6","0",",6","0",",6","30",",6","28",",6","","","16.7",",6,09,+","30.2",",,6,03,","39.4",",6,27,","","","0.0",",6","77.4",",,,6","27.17",",6","34.74",",,,6","19.60",",,,6"
"USC00089417","1901-07","30.633333","-85.583333","76.2","WAUSAU, FL US","","","309.7",",6","16",",6","11",",6","1",",6","0",",6","0",",6","0",",6","31",",6","27",",6","","","18.9",",6,24,","30.2",",,6,15,","41.7",",6,12,","0.0","6","0.0",",6","154.8",",,,6","28.32",",6","34.93",",,,6","21.72",",,,6"
"USC00089417","1901-08","30.633333","-85.583333","76.2","WAUSAU, FL US","","","256.2",",6","20",",6","13",",6","4",",6","0",",6","0",",6","0",",6","31",",6","16",",6","","","18.3",",6,29,+","66.8",",,6,15,","35.6",",6,13,+","0.0","6","0.0",",6","256.4",",,,6","26.60",",6","31.96",",,,6","21.24",",,,6"
"USC00089417","1901-09","30.633333","-85.583333","76.2","WAUSAU, FL US","","","178.3",",6","8",",6","7",",6","3",",6","0",",6","0",",6","0",",6","30",",6","12",",6","","","12.2",",6,20,","76.2",",,6,16,","34.4",",6,15,+","0.0","6","0.0",",6","233.5",",,,6","24.28",",6","30.12",",,,6","18.43",",,,6"
"USC00089417","1901-10","30.633333","-85.583333","76.2","WAUSAU, FL US","","","32.8",",6","3",",6","3",",6","2",",6","0",",6","0",",6","0",",6","30",",6","0",",6","","","3.9",",6,15,","40.6",",,6,01,","30.0",",6,12,","33.2","6","33.2",",6","86.8",",,,6","18.32",",6","26.11",",,,6","10.52",",,,6"
"USC00089417","1901-11","30.633333","-85.583333","76.2","WAUSAU, FL US","","","6.2",",6","4",",6","2",",6","0",",6","0",",6","10",",6","0",",6","11",",6","0",",6","","","-6.1",",6,17,","20.1",",,6,19,","28.9",",6,01,","235.5","6","202.3",",6","33.3",",,,6","11.80",",6","20.37",",,,6","3.22",",,,6"
"USC00089417","1901-12","30.633333","-85.583333","76.2","WAUSAU, FL US","","","6.4",",6","6",",6","6",",6","1",",6","0",",6","12",",6","0",",6","11",",6","0",",6","","","-9.4",",6,21,","36.1",",,6,14,","25.0",",6,25,+","489.4","6","253.9",",6","85.2",",,,6","10.35",",6","17.18",",,,6","3.51",",,,6"
"USC00089417","1902-01","30.633333","-85.583333","76.2","WAUSAU, FL US","7.5","6","7.5",",6","3",",6","2",",6","0",",6","0",",6","16",",6","0",",6","13",",6","0",",6","","","-8.9",",6,14,","11.4",",,6,19,","26.7",",6,30,","745.6","6","256.2",",6","14.5",",,,6","10.31",",6","18.22",",,,6","2.40",",,,6"
"USC00089417","1902-02","30.633333","-85.583333","76.2","WAUSAU, FL US","9.7","6","2.2",",6","9",",6","6",",6","3",",6","0",",6","9",",6","0",",6","3",",6","0",",6","","","-5.0",",6,10,","41.9",",,6,01,","23.3",",6,27,","990.8","6","245.2",",6","164.4",",,,6","9.65",",6","15.92",",,,6","3.39",",,,6"
"USC00089417","1902-03","30.633333","-85.583333","76.2","WAUSAU, FL US","37.5","6","27.8",",6","11",",6","8",",6","3",",6","0",",6","4",",6","0",",6","24",",6","0",",6","","","-2.2",",6,06,","101.6",",,6,14,","29.4",",6,30,","1083.4","6","92.6",",6","325.9",",,,6","16.24",",6","22.78",",,,6","9.71",",,,6"
"USC00089417","1902-04","30.633333","-85.583333","76.2","WAUSAU, FL US","84.9","6","47.4",",6","3",",6","3",",6","1",",6","0",",6","0",",6","0",",6","29",",6","2",",6","","","2.2",",6,02,","27.4",",,6,07,","32.2",",6,30,+","1111.8","6","28.4",",6","43.1",",,,6","18.97",",6","27.25",",,,6","10.68",",,,6"
"USC00089417","1902-05","30.633333","-85.583333","76.2","WAUSAU, FL US","297.3","6","212.4",",6","8",",6","6",",6","1",",6","0",",6","0",",6","0",",6","31",",6","24",",6","","","10.6",",6,29,","45.5",",,6,16,","37.2",",6,21,","1111.8","6","0.0",",6","94.5",",,,6","25.19",",6","33.29",",,,6","17.08",",,,6"
"USC00089417","1902-06","30.633333","-85.583333","76.2","WAUSAU, FL US","","","","","3",",6","3",",6","3",",6","","","","","","","","","","","","","","","49.0",",,6,16,","","","","","","","113.3",",,,6","","","","","",""
"USC00089417","1902-07","30.633333","-85.583333","76.2","WAUSAU, FL US","","","304.6","1,6","11",",6","9",",6","2",",6","0","1,6","0","1,6","0",",6","31",",6","31",",6","","","19.4","1,6,27,+","76.2",",,6,08,","40.6",",6,07,","0.0","6","0.0",",6","158.2",",,,6","28.43","1,6","35.93",",,,6","20.93","1,,,6"
"USC00089417","1902-08","30.633333","-85.583333","76.2","WAUSAU, FL US","","","326.8",",6","7",",6","6",",6","0",",6","0",",6","0",",6","0",",6","31",",6","27",",6","","","18.9",",6,29,","22.6",",,6,25,","40.6",",6,21,","0.0","6","0.0",",6","83.1",",,,6","28.88",",6","36.04",",,,6","21.71",",,,6"
"USC00089417","1902-09","30.633333","-85.583333","76.2","WAUSAU, FL US","","","220.6",",6","13",",6","11",",6","4",",6","0",",6","0",",6","0",",6","30",",6","17",",6","","","12.8",",6,14,","89.9",",,6,09,","36.7",",6,04,+","0.0","6","0.0",",6","265.4",",,,6","25.69",",6","31.79",",,,6","19.58",",,,6"
"USC00089417","1902-10","30.633333","-85.583333","76.2","WAUSAU, FL US","","","75.5","1,6","9",",6","6",",6","1",",6","0",",6","0",",6","0","1,6","29","1,6","2","1,6","","","0.6",",6,30,","37.6",",,6,10,","33.9","1,6,03,","14.7","6","14.7","1,6","79.4",",,,6","20.20","1,6","27.44","1,,,6","12.95",",,,6"
"USC00089417","1902-11","30.633333","-85.583333","76.2","WAUSAU, FL US","","","","","5",",6","4",",6","2",",6","","","","","","","","","","","","","","","66.8",",,6,30,","","","","","","","118.2",",,,6","","","","","",""
"USC00089417","1902-12","30.633333","-85.583333","76.2","WAUSAU, FL US","","","13.0",",6","7",",6","5",",6","0",",6","0",",6","11",",6","0",",6","14",",6","0",",6","","","-7.8",",6,28,+","22.1",",,6,04,","27.8",",6,14,+","","","197.7",",6","62.8",",,,6","12.38",",6","20.00",",,,6","4.75",",,,6"
"USC00089417","1903-01","30.633333","-85.583333","76.2","WAUSAU, FL US","0.0","6","0.0","2,6","10",",6","10",",6","0",",6","0","1,6","12","1,6","0","1,6","6","1,6","0","1,6","","","-7.8","1,6,13,+","24.1",",,6,04,","23.3","1,6,24,","","","226.6","1,6","118.3",",,,6","10.49","2,6","17.42","1,,,6","3.57","1,,,6"
"USC00089417","1903-02","30.633333","-85.583333","76.2","WAUSAU, FL US","12.8","6","12.8","2,6","10",",6","8",",6","2",",6","0","1,6","2","1,6","0","1,6","13","1,6","0","1,6","","","-6.1","1,6,18,","68.6",",,6,27,","28.3","1,6,14,","","","125.3","1,6","158.1",",,,6","13.86","2,6","20.47","1,,,6","7.25","1,,,6"
"USC00089417","1903-03","30.633333","-85.583333","76.2","WAUSAU, FL US","65.0","6","52.2",",6","8",",6","8",",6","2",",6","0",",6","0",",6","0",",6","25",",6","0",",6","","","2.2",",6,26,","35.6",",,6,04,","30.0",",6,09,","","","35.5",",6","140.5",",,,6","18.87",",6","24.63",",,,6","13.12",",,,6"
"USC00089417","1903-04","30.633333","-85.583333","76.2","WAUSAU, FL US","115.2","6","50.2",",6","1",",6","0",",6","0",",6","0",",6","0",",6","0",",6","29",",6","0",",6","","","1.7",",6,05,","0.3",",,6,13,","31.1",",6,10,","","","36.1",",6","0.3",",,,6","18.80",",6","26.69",",,,6","10.92",",,,6"
"USC00089417","1903-05","30.633333","-85.583333","76.2","WAUSAU, FL US","259.3","6","144.1",",6","8",",6","8",",6","2",",6","0",",6","0",",6","0",",6","30",",6","13",",6","","","12.2",",6,05,","161.3",",,6,12,","36.7",",6,24,","","","1.1",",6","271.9",",,,6","22.95",",6","29.71",",,,6","16.18",",,,6"
"USC00089417","1903-06","30.633333","-85.583333","76.2","WAUSAU, FL US","481.7","6","222.4",",6","9",",6","9",",6","4",",6","0",",6","0",",6","0",",6","30",",6","20",",6","","","13.3",",6,13,","55.9",",,6,28,","36.7",",6,17,","","","0.0",",6","205.8",",,,6","25.75",",6","32.22",",,,6","19.27",",,,6"
"USC00089417","1903-07","30.633333","-85.583333","76.2","WAUSAU, FL US","772.5","6","290.8",",6","10",",6","9",",6","2",",6","0",",6","0",",6","0",",6","31",",6","27",",6","","","17.8",",6,15,","43.2",",,6,07,","38.3",",6,23,","0.0","6","0.0",",6","148.9",",,,6","27.71",",6","34.06",",,,6","21.37",",,,6"
"USC00089417","1903-08","30.633333","-85.583333","76.2","WAUSAU, FL US","1073.6","6","301.1",",6","13",",6","12",",6","2",",6","0",",6","0",",6","0",",6","31",",6","25",",6","","","21.1",",6,10,+","69.9",",,6,01,","37.8",",6,30,+","0.0","6","0.0",",6","194.6",",,,6","28.05",",6","33.64",",,,6","22.45",",,,6"
"USC00089417","1903-09","30.633333","-85.583333","76.2","WAUSAU, FL US","1276.6","6","203.0",",6","2",",6","2",",6","2",",6","0",",6","0",",6","0",",6","30",",6","19",",6","","","8.3",",6,23,","130.8",",,6,13,","37.8",",6,12,+","0.0","6","0.0",",6","162.6",",,,6","25.10",",6","32.45",",,,6","17.75",",,,6"
"USC00089417","1903-10","30.633333","-85.583333","76.2","WAUSAU, FL US","1351.7","6","75.1","1,6","3",",6","2",",6","0",",6","0","1,6","0","1,6","0","1,6","28","1,6","3","1,6","","","0.6","1,6,25,","14.0",",,6,16,","33.3","1,6,04,+","37.7","6","37.7","1,6","23.2",",,,6","19.58","1,6","26.93","1,,,6","12.22","1,,,6"
"USC00089417","1903-11","30.633333","-85.583333","76.2","WAUSAU, FL US","","","","","8",",6","7",",6","3",",6","0",",6","4",",6","","","","","","","","","-6.1",",6,28,","68.6",",,6,03,","","","","","","","170.6",",,,6","","","","","8.23",",,,6"
"USC00089417","1903-12","30.633333","-85.583333","76.2","WAUSAU, FL US","","","0.0",",6","","","","","","","0",",6","16",",6","0",",6","2",",6","0",",6","","","-5.0",",6,07,","","","22.2",",6,24,","","","292.1",",6","","","8.91",",6","17.00",",,,6","0.82",",,,6"
"USC00089417","1904-01","30.633333","-85.583333","76.2","WAUSAU, FL US","0.0","6","0.0",",6","7",",6","7",",6","2",",6","0",",6","11",",6","0",",6","2",",6","0",",6","","","-5.0",",6,06,","68.6",",,6,10,","21.1",",6,20,+","","","291.3",",6","172.7",",,,6","8.94",",6","15.05",",,,6","2.82",",,,6"
"USC00089417","1904-02","30.633333","-85.583333","76.2","WAUSAU, FL US","","","","","5",",6","4",",6","1",",6","","","","","","","","","","","","","","","30.5",",,6,10,","","","","","","","88.9",",,,6","","","","","",""
"USC00089417","1904-03","30.633333","-85.583333","76.2","WAUSAU, FL US","","","43.5","1,6","9",",6","9",",6","1",",6","0","1,6","3","1,6","0","1,6","20","1,6","0","1,6","","","-1.1","1,6,05,","25.4",",,6,18,","31.7","1,6,25,+","","","87.2","1,6","94.1",",,,6","16.88","1,6","23.17","1,,,6","10.58","1,,,6"
"USC00089417","1904-04","30.633333","-85.583333","76.2","WAUSAU, FL US","","","48.9",",6","3",",6","3",",6","1",",6","0",",6","0",",6","0",",6","28",",6","0",",6","","","4.4",",6,27,+","30.5",",,6,08,","30.6",",6,23,+","","","37.0",",6","50.8",",,,6","18.73",",6","26.07",",,,6","11.39",",,,6"
"USC00089417","1904-05","30.633333","-85.583333","76.2","WAUSAU, FL US","","","147.4",",6","3",",6","3",",6","2",",6","0",",6","0",",6","0",",6","31",",6","12",",6","","","10.0",",6,11,+","33.0",",,6,30,","35.0",",6,28,+","","","0.0",",6","72.4",",,,6","23.09",",6","31.14",",,,6","15.04",",,,6"
"USC00089417","1904-06","30.633333","-85.583333","76.2","WAUSAU, FL US","","","234.7",",6","8",",6","8",",6","2",",6","0",",6","0",",6","0",",6","30",",6","19",",6","","","15.0",",6,15,","29.7",",,6,28,","37.8",",6,18,","","","0.0",",6","134.6",",,,6","26.16",",6","32.97",",,,6","19.34",",,,6"
"USC00089417","1904-07","30.633333","-85.583333","76.2","WAUSAU, FL US","","","230.0","2,6","14",",6","14",",6","3",",6","0","2,6","0","2,6","0","2,6","29","2,6","19","2,6","","","16.1","2,6,26,","39.4",",,6,10,","36.1","2,6,02,","0.0","6","0.0","2,6","247.0",",,,6","26.26","2,6","32.82","2,,,6","19.71","2,,,6"
"USC00089417","1904-08","30.633333","-85.583333","76.2","WAUSAU, FL US","","","244.3",",6","17",",6","16",",6","2",",6","0",",6","0",",6","0",",6","31",",6","17",",6","","","16.7",",6,02,","42.7",",,6,07,","36.7",",6,22,","0.0","6","0.0",",6","237.8",",,,6","26.21",",6","31.87",",,,6","20.56",",,,6"
"USC00089417","1904-09","30.633333","-85.583333","76.2","WAUSAU, FL US","","","249.7",",6","2",",6","2",",6","0",",6","0",",6","0",",6","0",",6","30",",6","25",",6","","","17.2",",6,22,+","13.5",",,6,06,","38.3",",6,29,","0.0","6","0.0",",6","21.4",",,,6","26.66",",6","33.91",",,,6","19.40",",,,6"
