"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085315","1992-09","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","23","5,S","4","5,S","","","","","38.6","5,S,17,","","","27.78","5,,,S","",""
"BLM00085315","1992-10","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","1,S","28","1,S","9","1,S","","","","","39.0","1,S,15,","","","29.96","1,,,S","",""
"BLM00085315","1993-07","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","16","5,S","3","5,S","","","","","34.3","5,S,20,","","","23.07","5,,,S","",""
"BLM00085315","1994-03","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","27","4,S","8","4,S","","","","","34.0","4,S,14,+","","","30.26","4,,,S","",""
"BLM00085315","1994-04","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","4,S","0","4,S","","","","","","","11.0","4,S,07,","","","","","","","","","16.01","4,,,S"
"BLM00085315","1994-06","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","5,S","1","5,S","","","","","","","-4.0","5,S,26,","","","","","","","","","11.01","5,,,S"
"BLM00085315","1994-07","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","17","5,S","5","5,S","","","","","39.3","5,S,21,","","","26.45","5,,,S","",""
"BLM00085315","1995-03","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","5,S","0","5,S","","","","","","","15.0","5,S,09,","","","","","","","","","19.51","5,,,S"
"BLM00085315","1995-12","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","3,S","28","3,S","18","3,S","","","","","37.5","3,S,18,","","","32.96","3,,,S","",""
"BLM00085315","1996-06","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","4,S","2","4,S","","","","","","","-4.0","4,S,29,","","","","","","","","","6.91","4,,,S"
"BLM00085315","1996-09","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","5,S","0","5,S","","","","","","","1.8","5,S,10,","","","","","","","","","11.80","5,,,S"
"BLM00085315","1996-11","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","5,S","0","5,S","","","","","","","10.5","5,S,26,","","","","","","","","","16.50","5,,,S"
"BLM00085315","1996-12","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","5,S","0","5,S","","","","","","","15.0","5,S,11,","","","","","","","","","17.60","5,,,S"
"BLM00085315","1997-03","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","5,S","0","5,S","","","","","","","9.4","5,S,31,","","","","","","","","","16.58","5,,,S"
"BLM00085315","1999-06","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","5,S","0","5,S","","","","","","","2.0","5,S,14,","","","","","","","","","9.35","5,,,S"
"BLM00085315","2000-09","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","21","5,S","10","5,S","","","","","40.2","5,S,10,","","","29.20","5,,,S","",""
"BLM00085315","2001-05","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","0","2,S","0","2,S","","","","","","","6.0","2,S,18,","","","","","","","","","12.60","2,,,S"
"BLM00085315","2001-07","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","3,S","21","3,S","12","3,S","","","","","37.9","3,S,19,","","","28.01","3,,,S","",""
"BLM00085315","2001-10","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","4,S","27","4,S","13","4,S","","","","","40.3","4,S,07,","","","31.97","4,,,S","",""
"BLM00085315","2001-11","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","5,S","24","5,S","10","5,S","","","","","38.0","5,S,20,","","","29.47","5,,,S","",""
"BLM00085315","2001-12","-20.05","-63.567","792.0","CAMIRI, BL","","","","","","","","","","","0","3,S","27","3,S","19","3,S","","","","","39.6","3,S,21,","","","33.03","3,,,S","",""
