"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"GLW00017611","1961-06","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","9",",X","1",",X","0",",X","10",",X","1",",X","0",",X","23",",X","7",",X","0",",X","0",",X","17","","","","-9.4",",X,01,","102",",,X,01,","25",",,X,20,","2.5",",,X,20,","7.2",",X,14,+","","","547.2",",X","9.5",",,,X","95",",,,X","0.09",",X","1.98",",,,X","-1.79",",,,X","135",",X","22.6",",X"
"GLW00017611","1961-07","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","9",",X","2",",X","0",",X","0",",X","2",",X","0",",X","11",",X","1",",X","0",",X","0",",X","11","","","","-1.7",",X,12,+","0",",T,X,30,+","43",",,X,30,","4.3",",,X,30,","11.7",",X,24,","450.6","X","450.6",",X","12.9",",,,X","100",",,,X","3.80",",X","5.91",",,,X","1.69",",,,X","113","1,X","24.2","1,X"
"GLW00017611","1961-08","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","8",",X","2",",X","0",",X","1",",X","2",",X","0",",X","13",",X","3",",X","0",",X","0",",X","10","","","","-6.7",",X,30,","25",",,X,26,","94",",,X,25,","9.4",",,X,25,","10.0",",X,08,","952.1","X","501.5",",X","17.9",",,,X","176",",,,X","2.15",",X","4.24",",,,X","0.07",",,,X","158",",X","28.8",",X"
"GLW00017611","1961-09","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","17",",X","4",",X","0",",X","23",",X","4",",X","0",",X","30",",X","28",",X","0",",X","0",",X","13","","","","-15.0",",X,24,","229",",,X,30,","152",",,X,18,","15.2",",,X,18,","1.7",",X,01,","1706.7","X","754.6",",X","52.1",",,,X","521",",,,X","-6.82",",X","-4.75",",,,X","-8.89",",,,X","113",",X","21.6",",X"
"GLW00017611","1961-10","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","13",",X","5",",X","0",",X","31",",X","5",",X","10",",X","31",",X","31",",X","0",",X","0",",X","13","","","","-22.2",",X,18,","229",",,X,16,+","66",",,X,10,","6.6",",,X,10,","-3.3",",X,03,+","2654.5","X","947.8",",X","29.0",",,,X","290",",,,X","-12.24",",X","-9.40",",,,X","-15.08",",,,X","135",",X","30.8",",X"
"GLW00017611","1961-11","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","4",",X","1",",X","0",",X","30",",X","1",",X","26",",X","30",",X","30",",X","0",",X","0",",X","3","","","","-30.0",",X,27,","76",",,X,30,+","33",",,X,22,","3.3",",,X,22,","-5.0",",X,01,","3777.2","X","1122.7",",X","4.8",",,,X","48",",,,X","-19.09",",X","-16.13",",,,X","-22.05",",,,X","113",",X","24.7",",X"
"GLW00017611","1961-12","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","","","0.0",",X","9",",X","1",",X","0",",X","31",",X","1",",X","23",",X","31",",X","31",",X","0",",X","0",",X","5","","","","-35.6",",X,17,+","152",",,X,28,+","66",",,X,16,","6.6",",,X,16,","-2.8",",X,31,","5010.5","X","1233.3",",X","14.7",",,,X","147",",,,X","-21.45",",X","-17.91",",,,X","-24.99",",,,X","113",",X","27.2",",X"
"GLW00017611","1962-01","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","10",",X","0",",X","0",",X","31",",X","0",",X","25",",X","31",",X","31",",X","0",",X","0",",X","11","","","","-32.8",",X,09,","178",",,X,12,+","20",",,X,10,","2.0",",,X,10,","-4.4",",X,13,","6169.0","X","1158.5",",X","10.6",",,,X","106",",,,X","-19.04",",X","-15.40",",,,X","-22.68",",,,X","68",",X","25.7",",X"
"GLW00017611","1962-02","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","5",",X","1",",X","0",",X","28",",X","1",",X","28",",X","28",",X","28",",X","0",",X","0",",X","8","","","","-36.7",",X,25,","76",",,X,28,+","66",",,X,03,","6.6",",,X,03,","-12.2",",X,02,","7408.1","X","1239.1",",X","13.7",",,,X","137",",,,X","-25.92",",X","-22.74",",,,X","-29.11",",,,X","113",",X","31.9",",X"
"GLW00017611","1962-03","76.41667","-68.31667","488.3","CAMP TUTO ICECAP STATION, GL","0.0","X","0.0",",X","5",",X","2",",X","0",",X","31",",X","2",",X","22",",X","31",",X","31",",X","0",",X","0",",X","9","","","","-25.6",",X,28,","152",",,X,31,+","36",",,X,20,","3.6",",,X,20,","-3.3",",X,21,+","8473.8","X","1065.7",",X","11.3",",,,X","113",",,,X","-16.04",",X","-12.83",",,,X","-19.26",",,,X","113",",X","22.1",",X"
