"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00419013","1962-12","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","3",",0","3",",0","0",",0","","","","","","","","","","","","","","","","","","","","","18.5",",,0,02,","","","","","","","30.1",",,,0","","","","","","","","","",""
"USC00419013","1963-01","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","1",",0","1",",0","0",",0","","","","","","","","","","","","","","","","","","","","","6.6",",,0,04,","","","","","","","6.6",",,,0","","","","","","","","","",""
"USC00419013","1963-02","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","3",",0","2",",0","0",",0","","","","","","","","","","","","","","","","","","","","","7.6",",,0,13,+","","","","","","","16.0",",,,0","","","","","","","","","",""
"USC00419013","1963-03","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","0","2,0","0","2,0","0","2,0","","","","","","","","","","","","","","","","","","","","","0.0","2,T,0,10,","","","","","","","30.5",",a,,0","","","","","","","","","",""
"USC00419013","1963-04","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","5",",0","5",",0","1",",0","","","","","","","","","","","","","","","","","","","","","45.7",",,0,27,","","","","","","","68.3",",,,0","","","","","","","","","",""
"USC00419013","1963-05","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","8","2,0","7","2,0","3","2,0","","","","","","","","","","","","","","","","","","","","","50.0","2,,0,28,","","","","","","","207.9",",a,,0","","","","","","","","","",""
"USC00419013","1963-06","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","3",",0","3",",0","1",",0","","","","","","","","","","","","","","","","","","","","","40.4",",,0,01,","","","","","","","72.9",",,,0","","","","","","","","","",""
"USC00419013","1963-07","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","2",",0","2",",0","1",",0","","","","","","","","","","","","","","","","","","","","","35.6",",,0,14,","","","","","","","39.4",",,,0","","","","","","","","","",""
"USC00419013","1963-08","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","4",",0","0",",0","0",",0","","","","","","","","","","","","","","","","","","","","","1.3",",,0,29,","","","","","","","3.3",",,,0","","","","","","","","","",""
"USC00419013","1963-09","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","5","2,0","3","2,0","1","2,0","","","","","","","","","","","","","","","","","","","","","25.9","2,,0,12,","","","","","","","80.0",",a,,0","","","","","","","","","",""
"USC00419013","1963-10","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","3",",0","2",",0","0",",0","","","","","","","","","","","","","","","","","","","","","17.8",",,0,21,","","","","","","","26.7",",,,0","","","","","","","","","",""
"USC00419013","1963-11","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","3","2,0","2","2,0","1","2,0","","","","","","","","","","","","","","","","","","","","","40.6","2,,0,19,","","","","","","","55.1","2,,,0","","","","","","","","","",""
"USC00419013","1963-12","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","2",",0","1",",0","0",",0","","","","","","","","","","","","","","","","","","","","","24.1",",,0,11,","","","","","","","26.1",",,,0","","","","","","","","","",""
"USC00419013","1964-02","33.3","-99.21667",,"THROCKMORTON 8 NNW, TX US","","","4",",0","3",",0","1",",0","","","","","","","","","","","","","","","","","","","","","42.4",",,0,05,","","","","","","","56.1",",,,0","","","","","","","","","",""
