"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00200660","1891-11","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","","","25",",6","15",",6","1",",6","8","2,6","","","","","6",",6","0",",6","0",",6","","","168","2,,6,17,","54.1",",,6,10,","11.1",",6,08,","","","","","186.3",",,,6","765","2,,,6","","","3.21",",,,6","","","",""
"USC00200660","1891-12","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","0.0","1,6","12",",6","4",",6","0",",6","0",",6","0",",6","30",",6","3","1,6","0","1,6","0","1,6","-15.6",",6,28,","20",",,6,17,","7.1",",,6,14,","10.6","1,6,03,","","","572.2","1,6","27.2",",,,6","72",",,,6","-0.82","1,6","5.17","1,,,6","-6.82",",,,6","",""
"USC00200660","1892-01","44.98028","-85.21111","191.1","BELLAIRE, MI US","0.0","6","0.0",",6","26",",6","3",",6","0",",6","3","3,6","13",",6","31",",6","23",",6","0",",6","0",",6","-23.3",",6,19,+","104","3,,6,02,","18.0",",,6,02,","7.2",",6,24,","","","860.3",",6","51.4",",,,6","359","3,,,6","-9.42",",6","-3.36",",,,6","-15.47",",,,6","",""
"USC00200660","1892-02","44.98028","-85.21111","191.1","BELLAIRE, MI US","0.0","6","0.0",",6","19",",6","3",",6","0",",6","4",",6","7",",6","29",",6","14",",6","0",",6","0",",6","-27.8",",6,17,","74",",,6,10,","5.3",",,6,07,","9.4",",6,24,","","","727.0",",6","23.1",",,,6","269",",,,6","-6.74",",6","-0.42",",,,6","-13.05",",,,6","",""
"USC00200660","1892-03","44.98028","-85.21111","191.1","BELLAIRE, MI US","0.0","6","0.0",",6","16",",6","0",",6","0",",6","0","1,6","8",",6","31",",6","11",",6","0",",6","0",",6","-24.4",",6,21,","23","1,,6,14,","2.0",",,6,14,","14.4",",6,31,","","","726.1",",6","8.8",",,,6","90","1,,,6","-5.09",",6","2.36",",,,6","-12.54",",,,6","",""
"USC00200660","1892-04","44.98028","-85.21111","191.1","BELLAIRE, MI US","0.0","6","0.0",",6","8","1,6","2","1,6","0","1,6","0",",6","0",",6","25",",6","3",",6","0",",6","0",",6","-12.8",",6,24,","3",",,6,09,","3.3","1,,6,05,","20.6",",6,28,","","","481.6",",6","10.1","1,,,6","3",",,,6","2.28",",6","10.40",",,,6","-5.84",",,,6","",""
"USC00200660","1892-05","44.98028","-85.21111","191.1","BELLAIRE, MI US","0.0","6","0.0",",6","18",",6","5",",6","0",",6","0",",6","0",",6","11",",6","0",",6","7",",6","0",",6","-7.2",",6,08,","0",",,6,31,+","21.3",",,6,03,","26.7",",6,17,","","","260.2",",6","58.7",",,,6","0",",,,6","9.94",",6","17.25",",,,6","2.62",",,,6","",""
"USC00200660","1892-07","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","","","5",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","6.1",",,6,02,","","","","","","","14.8",",,,6","","","","","","","","","",""
"USC00200660","1892-08","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","21.7",",6","10",",6","6",",6","0",",6","0",",6","0",",6","0",",6","0",",6","28",",6","3",",6","2.2",",6,20,","0",",,6,31,+","21.1",",,6,10,","32.8",",6,17,","","","55.5",",6","65.3",",,,6","0",",,,6","17.24",",6","26.02",",,,6","8.47",",,,6","",""
"USC00200660","1892-09","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","3.3","1,6","11",",6","6",",6","0",",6","0","1,6","0","1,6","8","1,6","0","1,6","19","1,6","0","1,6","-2.2","1,6,20,","0","1,,6,30,+","14.0",",,6,09,","28.9","1,6,23,+","","","141.3","1,6","64.8",",,,6","0","1,,,6","13.57","1,6","22.55","1,,,6","4.60","1,,,6","",""
"USC00200660","1892-10","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","0.0","2,6","12","3,6","7","3,6","1","3,6","0","2,6","0","2,6","19","2,6","0","2,6","2","2,6","0","2,6","-6.1","2,6,31,+","0","2,T,6,29,+","25.9","3,,6,12,","26.7","2,6,14,","","","335.2","2,6","66.6","3,,,6","0","2,T,,6","6.77","2,6","14.20","2,,,6","-0.65","2,,,6","",""
"USC00200660","1892-11","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","0.0","3,6","14","5,6","7","5,6","0","5,6","4","3,6","0","3,6","27","3,6","4","3,6","0","3,6","0","3,6","-12.8","3,6,23,","66","3,,6,23,","24.9","5,,6,18,","11.7","3,6,19,","","","517.2","3,6","54.6","5,,,6","243","3,,,6","-0.82","3,6","4.52","3,,,6","-6.17","3,,,6","",""
"USC00200660","1893-01","44.98028","-85.21111","191.1","BELLAIRE, MI US","0.0","6","0.0","2,6","29",",6","9",",6","0",",6","11",",6","17","2,6","29","2,6","29",",6","0",",6","0",",6","-26.7","2,6,22,+","112",",,6,16,","10.4",",,6,16,","3.9",",6,29,","","","884.5",",6","70.4",",,,6","895",",,,6","-12.24","2,6","-5.68",",,,6","-18.79","2,,,6","",""
"USC00200660","1893-02","44.98028","-85.21111","191.1","BELLAIRE, MI US","0.0","6","0.0","3,6","20",",6","5",",6","0",",6","8","2,6","17","2,6","26","2,6","19","3,6","0","3,6","0","3,6","-32.2","2,6,21,","84","2,,6,19,","7.9",",,6,14,","7.8","3,6,14,","","","746.6","3,6","46.9",",,,6","543","2,,,6","-11.38","3,6","-3.02","3,,,6","-19.74","2,,,6","",""
"USC00200660","1893-03","44.98028","-85.21111","191.1","BELLAIRE, MI US","0.0","6","0.0","1,6","13",",6","5",",6","0",",6","2","1,6","8","1,6","29","1,6","11","1,6","0","1,6","0","1,6","-26.7","1,6,16,","53","1,,6,14,","7.9",",,6,11,","11.7","1,6,11,","","","695.4","1,6","33.7",",,,6","147","1,,,6","-4.85","1,6","3.41","1,,,6","-13.11","1,,,6","",""
"USC00200660","1893-04","44.98028","-85.21111","191.1","BELLAIRE, MI US","0.0","6","0.0",",6","11",",6","5",",6","0",",6","0",",6","0",",6","29",",6","0",",6","0",",6","0",",6","-13.3",",6,02,","18",",,6,20,","24.6",",,6,04,","20.0",",6,03,","","","482.8",",6","61.3",",,,6","24",",,,6","2.24",",6","9.57",",,,6","-5.09",",,,6","",""
"USC00200660","1893-05","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","","","13","2,6","5","2,6","1","2,6","0",",6","","","","","0","1,6","12","1,6","0","1,6","","","0",",,6,31,+","25.9","2,,6,11,","28.3","1,6,19,","","","","","61.3","2,,,6","0",",,,6","","","17.39","1,,,6","","","",""
"USC00200660","1893-06","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","60.2","1,6","8",",6","4",",6","0",",6","0",",6","0",",6","1",",6","0","1,6","25","1,6","6","1,6","-0.6",",6,11,","0",",,6,30,+","19.8",",,6,21,","36.1","1,6,20,","","","32.2","1,6","48.7",",,,6","0",",,,6","19.33","1,6","27.80","1,,,6","10.86",",,,6","",""
"USC00200660","1893-07","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","","","","","","","","","0","5,6","","","","","","","","","","","","","0","5,,6,31,+","","","","","","","","","","","0","5,,,6","","","","","","","",""
"USC00200660","1893-08","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","43.1",",6","5",",6","3",",6","0",",6","0",",6","0",",6","0",",6","0",",6","29",",6","4",",6","2.2",",6,30,","0",",,6,31,+","14.2",",,6,16,","35.6",",6,10,+","","","42.8",",6","24.4",",,,6","0",",,,6","18.34",",6","27.10",",,,6","9.59",",,,6","",""
"USC00200660","1893-09","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","11.4","1,6","13",",6","4",",6","1",",6","0",",6","0",",6","3",",6","0","1,6","14","1,6","0","1,6","-3.3",",6,29,","0",",,6,30,+","41.7",",,6,21,","30.0","1,6,04,","","","142.8","1,6","97.7",",,,6","0",",,,6","13.72","1,6","20.75","1,,,6","6.70",",,,6","",""
"USC00200660","1893-11","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","0.0","1,6","10","1,6","5","1,6","0","1,6","3",",6","0","1,6","24","1,6","6",",6","0",",6","0",",6","-8.9","1,6,30,+","74",",,6,24,","24.1","1,,6,30,","20.0",",6,07,","","","484.6",",6","55.3","1,,,6","197",",,,6","1.53","1,6","6.18",",,,6","-3.13","1,,,6","",""
"USC00200660","1893-12","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","","","16","1,6","4","1,6","0","1,6","","","","","","","","","","","","","","","","","8.9","1,,6,31,+","","","","","","","34.9","1,,,6","","","","","","","","","",""
"USC00200660","1894-01","44.98028","-85.21111","191.1","BELLAIRE, MI US","0.0","","0.0","2,6","20",",6","4",",6","0",",6","4","3,6","2",",6","30",",6","15","2,6","0","2,6","0","2,6","-20.6",",6,09,","292","3,,6,04,","11.9",",,6,04,","10.0","2,6,18,","","","663.7","2,6","32.3",",,,6","550","3,,,6","-4.67","2,6","0.47","2,,,6","-9.80",",,,6","",""
"USC00200660","1894-02","44.98028","-85.21111","191.1","BELLAIRE, MI US","0.0","","0.0","3,6","13","1,6","1","1,6","0","1,6","2","2,6","7","1,6","27","1,6","14","3,6","0","3,6","0","3,6","-31.1","1,6,24,","43","2,,6,22,","3.0","1,,6,22,","10.0","3,6,27,","","","625.9","3,6","10.7","1,,,6","155","2,,,6","-6.76","3,6","0.07","3,,,6","-13.59","1,,,6","",""
"USC00200660","1894-03","44.98028","-85.21111","191.1","BELLAIRE, MI US","0.0","","0.0","1,6","16",",6","7",",6","0",",6","1","1,6","0","1,6","23","1,6","2","1,6","2","1,6","0","1,6","-15.6","1,6,26,","38","1,,6,15,","14.0",",,6,18,","24.4","1,6,18,","","","482.2","1,6","58.6",",,,6","74","1,,,6","2.26","1,6","8.79","1,,,6","-4.28","1,,,6","",""
"USC00200660","1894-04","44.98028","-85.21111","191.1","BELLAIRE, MI US","0.0","","0.0",",6","7",",6","7",",6","0",",6","1",",6","0",",6","15",",6","0",",6","8",",6","0",",6","-11.1",",6,03,","38",",,6,03,","6.4",",,6,10,","26.1",",6,19,","","","341.5",",6","25.8",",,,6","38",",,,6","6.95",",6","14.22",",,,6","-0.32",",,,6","",""
"USC00200660","1894-05","44.98028","-85.21111","191.1","BELLAIRE, MI US","0.0","","0.0",",6","9",",6","8",",6","0",",6","","","0",",6","4",",6","0",",6","9",",6","0",",6","-2.8",",6,29,","","","18.8",",,6,16,","28.9",",6,26,","","","222.6",",6","73.9",",,,6","","","11.15",",6","17.41",",,,6","4.89",",,,6","",""
"USC00200660","1894-06","44.98028","-85.21111","191.1","BELLAIRE, MI US","95.2","","95.2",",6","4",",6","3",",6","1",",6","","","0",",6","2",",6","0",",6","25",",6","10",",6","-0.6",",6,06,","","","25.4",",,6,18,","36.1",",6,30,+","","","58.9",",6","61.3",",,,6","","","19.54",",6","27.77",",,,6","11.31",",,,6","",""
"USC00200660","1894-07","44.98028","-85.21111","191.1","BELLAIRE, MI US","191.5","","96.3","1,6","","","","","","","","","0","1,6","2","1,6","0","1,6","25","1,6","10","1,6","-0.6","1,6,06,","","","","","36.1","1,6,30,","58.9","","58.9","1,6","","","","","19.58","1,6","27.66","1,,,6","11.49","1,,,6","",""
"USC00200660","1894-10","44.98028","-85.21111","191.1","BELLAIRE, MI US","","","0.0","1,6","19",",6","12",",6","1",",6","","","0","1,6","4","1,6","0","1,6","1","1,6","0","1,6","-4.4","1,6,15,","","","25.4",",,6,21,","22.8","1,6,21,","","","283.6","1,6","138.8",",,,6","","","8.88","1,6","13.52","1,,,6","4.24","1,,,6","",""
