"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00383665","2018-05","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","","","","","15",",N","9",",N","3",",N","","","","","","","","","","","","","","","","","","","","","48.8",",,N,28,","","","","","","","","","","","","","","","","","","","","","202.9",",,,N","","","","","","","",""
"USC00383665","2018-06","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","","","","","11","3,7","6","3,7","1","3,7","0","5,7","0","3,7","","","","","","","","","","","","","0","5,,7,30,+","0","3,,7,30,+","37.1","3,,7,16,","","","","","","","","","","","","","","","","","","","","","115.7",",a,,7","0","3,,,7","","","","","",""
"USC00383665","2018-07","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","","","259.8",",7","10","4,7","5","4,7","0","4,7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","23",",7","16.1",",7,11,+","0",",,7,31,+","0",",,7,31,+","23.6","4,,7,22,","37.8",",7,12,","","","0.0","7","","","0.0",",7","","","","","","","","","","","63.8",",a,,7","0",",,,7","26.71",",7","33.28",",,,7","20.15",",,,7"
"USC00383665","2018-08","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","","","244.2",",7","10",",7","7",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","22",",7","13.9",",7,26,+","0",",,7,31,+","0",",,7,31,+","71.6",",,7,03,","35.6",",7,31,+","","","0.0","7","","","0.0",",7","","","","","","","","","","","147.2",",,,7","0",",,,7","26.21",",7","32.86",",,,7","19.56",",,,7"
"USC00383665","2018-09","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","","","234.6",",7","","","","","","","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","21",",7","16.1",",7,24,+","0",",,7,30,+","0",",,7,30,+","","","36.1",",7,10,+","","","0.0","7","","","0.0",",7","","","","","","","","","","","","","0",",,,7","26.15",",7","32.86",",,,7","19.44",",,,7"
"USC00383665","2018-10","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","","","89.0",",7","7","5,7","6","5,7","1","5,7","0",",7","0",",7","0",",7","2",",7","0",",7","26",",7","4",",7","-1.1",",7,23,+","0",",,7,31,+","0",",,7,31,+","90.9","5,,7,11,","34.4",",7,06,","","","87.4","7","","","87.4",",7","","","","","","","","","","","137.4","5,,,7","0",",,,7","18.39",",7","26.07",",,,7","10.70",",,,7"
"USC00383665","2018-11","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","","","0.6",",7","12","2,7","7","2,7","3","2,7","0",",7","0",",7","0",",7","13",",7","0",",7","4",",7","0",",7","-6.1",",7,30,+","0",",,7,30,+","0",",,7,30,+","48.8","2,,7,15,","26.7",",7,02,","","","357.7","7","","","270.3",",7","","","","","","","","","","","156.7","2,,,7","0",",,,7","9.34",",7","16.26",",,,7","2.42",",,,7"
"USC00383665","2018-12","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","","","0.0",",7","","","","","","","0",",7","0",",7","0",",7","18",",7","0",",7","3",",7","0",",7","-6.7",",7,07,+","0",",,7,31,+","0",",,7,31,+","","","21.7",",7,29,","","","693.6","7","","","335.9",",7","","","","","","","","","","","163.0","2,a,,7","0",",,,7","7.50",",7","14.39",",,,7","0.61",",,,7"
"USC00383665","2019-01","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","0.5","7","0.5",",7","12",",7","7",",7","1",",7","0",",7","0",",7","0",",7","18",",7","0",",7","4",",7","0",",7","-8.3",",7,26,","0",",,7,31,+","0",",,7,31,+","42.7",",,7,24,","23.3",",7,02,","","","1045.1","7","","","351.5",",7","","","","","","","","","","","106.4",",,,7","0",",,,7","7.01",",7","14.14",",,,7","-0.12",",,,7"
"USC00383665","2019-02","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","1.6","7","1.1",",7","8",",7","6",",7","0",",7","0",",7","0",",7","0",",7","9",",7","0",",7","12",",7","0",",7","-7.8",",7,01,","0",",,7,28,+","0",",,7,28,+","10.2",",,7,16,","27.8",",7,08,","","","1275.5","7","","","230.4",",7","","","","","","","","","","","33.7",",,,7","0",",,,7","10.14",",7","18.07",",,,7","2.22",",,,7"
"USC00383665","2019-03","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","1.6","7","0.0",",7","6","4,7","5","4,7","1","4,7","0",",7","0",",7","0",",7","16",",7","0",",7","14",",7","0",",7","-6.1",",7,08,+","0",",,7,31,+","0",",,7,31,+","27.4","4,,7,04,","27.8",",7,16,","","","1503.9","7","","","228.4",",7","","","","","","","","","","","52.2",",a,,7","0",",,,7","10.96",",7","19.96",",,,7","1.96",",,,7"
"USC00383665","2019-04","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","35.2","7","33.6","2,7","12",",7","8",",7","1",",7","0",",7","0",",7","0","2,7","2","2,7","0","2,7","21","2,7","1","2,7","-1.7","2,7,04,+","0",",,7,30,+","0",",,7,30,+","30.7",",,7,09,","32.2","2,7,30,","","","1591.5","7","","","87.6","2,7","","","","","","","","","","","89.2",",,,7","0",",,,7","16.40","2,7","25.04","2,,,7","7.77","2,,,7"
"USC00383665","2019-05","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","202.7","7","167.5",",7","","","","","","","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","16",",7","7.2",",7,16,+","0",",,7,31,+","0",",,7,31,+","","","38.3",",7,29,","","","1597.6","7","","","6.1",",7","","","","","","","","","","","","","0",",,,7","23.54",",7","31.78",",,,7","15.30",",,,7"
"USC00383665","2019-06","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","396.4","7","193.7",",7","13","3,7","10","3,7","1","3,7","0",",7","0",",7","0",",7","0",",7","0",",7","29",",7","19",",7","11.1",",7,16,+","0",",,7,30,+","0",",,7,30,+","69.3","3,,7,09,","35.0",",7,04,+","","","1597.6","7","","","0.0",",7","","","","","","","","","","","176.0","1,a,,7","0",",,,7","24.79",",7","31.84",",,,7","17.74",",,,7"
"USC00383665","2019-07","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","672.0","7","275.6",",7","","","","","","","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","27",",7","14.4",",7,28,+","0",",,7,31,+","0",",,7,31,+","","","37.2",",7,20,+","","","0.0","7","","","0.0",",7","","","","","","","","","","","69.0","1,a,,7","0",",,,7","27.22",",7","34.50",",,,7","19.95",",,,7"
"USC00383665","2019-08","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","931.3","7","259.3",",7","","","","","","","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","22",",7","11.1",",7,31,+","0",",,7,31,+","0",",,7,31,+","","","38.3",",7,14,","","","0.0","7","","","0.0",",7","","","","","","","","","","","141.0",",a,,7","0",",,,7","26.70",",7","33.80",",,,7","19.59",",,,7"
"USC00383665","2019-09","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","1136.8","7","205.5",",7","","","","","","","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","24",",7","7.8",",7,21,","0",",,7,30,+","0",",,7,30,+","","","37.2",",7,28,+","","","0.3","7","","","0.3",",7","","","","","","","","","","","13.8","1,a,,7","0",",,,7","25.18",",7","33.79",",,,7","16.56",",,,7"
"USC00383665","2019-10","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","1222.4","7","85.6","1,7","","","","","","","0",",7","0",",7","0","1,7","0","1,7","0",",7","30",",7","5",",7","2.8","1,7,24,","0",",,7,31,+","0",",,7,31,+","","","37.8",",7,03,","","","32.0","7","","","31.7",",7","","","","","","","","","","","","","0",",,,7","20.11","1,7","27.76",",,,7","12.46","1,,,7"
"USC00383665","2019-11","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","1222.4","7","0.0",",7","","","","","","","0",",7","0",",7","0",",7","17",",7","0",",7","5",",7","0",",7","-3.9",",7,14,+","0",",,7,30,+","0",",,7,30,+","","","25.0",",7,06,","","","305.7","7","","","273.7",",7","","","","","","","","","","","63.5","2,a,,7","0",",,,7","9.21",",7","16.94",",,,7","1.48",",,,7"
"USC00383665","2019-12","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","1222.4","7","0.0",",7","","","","","","","0",",7","0",",7","0",",7","14",",7","0",",7","3",",7","0",",7","-6.7",",7,21,+","0",",,7,31,+","0",",,7,31,+","","","26.1",",7,11,","","","588.5","7","","","282.8",",7","","","","","","","","","","","251.5","2,a,,7","0",",,,7","9.21",",7","16.42",",,,7","2.00",",,,7"
"USC00383665","2020-01","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","4.4","7","4.4",",7","","","","","","","0","2,7","0","2,7","0",",7","17",",7","0",",7","8",",7","0",",7","-5.6",",7,22,+","0","2,,7,31,+","0","2,,7,31,+","","","25.6",",7,04,","","","877.8","7","","","289.3",",7","","","","","","","","","","","87.3",",a,,7","0","2,,,7","9.14",",7","16.07",",,,7","2.22",",,,7"
"USC00383665","2020-02","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","6.3","7","1.9",",7","","","","","","","0",",7","0",",7","0",",7","15",",7","0",",7","7",",7","0",",7","-7.2",",7,23,","0",",,7,29,+","0",",,7,29,+","","","25.6",",7,12,","","","1134.1","7","","","256.3",",7","","","","","","","","","","","196.9","2,a,,7","0",",,,7","9.56",",7","16.32",",,,7","2.80",",,,7"
"USC00383665","2020-03","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","34.8","7","28.5",",7","","","","","","","0",",7","0",",7","0",",7","7",",7","0",",7","18",",7","0",",7","-8.3",",7,01,","0",",,7,31,+","0",",,7,31,+","","","30.6",",7,30,+","","","1265.4","7","","","131.3",",7","","","","","","","","","","","143.0","2,a,,7","0",",,,7","15.02",",7","22.13",",,,7","7.90",",,,7"
"USC00383665","2020-04","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","47.2","7","12.4",",7","","","","","","","0",",7","0",",7","0",",7","2",",7","0",",7","23",",7","0",",7","-1.7",",7,12,","0",",,7,30,+","0",",,7,30,+","","","29.4",",7,10,","","","1369.4","7","","","104.0",",7","","","","","","","","","","","123.7",",a,,7","0",",,,7","15.28",",7","24.35",",,,7","6.21",",,,7"
"USC00383665","2020-05","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","135.6","7","88.4",",7","","","","","","","0",",7","0",",7","0",",7","0",",7","0",",7","28",",7","2",",7","1.7",",7,13,+","0",",,7,31,+","0",",,7,31,+","","","33.3",",7,25,","","","1422.3","7","","","52.9",",7","","","","","","","","","","","128.1","2,a,,7","0",",,,7","19.48",",7","27.32",",,,7","11.64",",,,7"
"USC00383665","2020-06","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","317.3","7","181.7",",7","","","","","","","0",",7","0",",7","0",",7","0",",7","0",",7","29",",7","12",",7","12.8",",7,03,+","0",",,7,30,+","0",",,7,30,+","","","34.4",",7,23,+","","","1423.7","7","","","1.4",",7","","","","","","","","","","","113.8","1,a,,7","0",",,,7","24.35",",7","30.72",",,,7","17.97",",,,7"
"USC00383665","2020-07","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","600.3","7","283.0",",7","","","","","","","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","27",",7","18.3",",7,13,","0",",,7,31,+","0",",,7,31,+","","","37.8",",7,21,","117.3","5,,,7","0.0","7","  29.4","5,,,7,5,2","0.0",",7","  30.6","5,,,7,5,2","  25.6","5,,,7,5,2","  26.1","5,,,7,5,2","  27.4","5,,,7,5,2","  29.5","5,,,7,5,2","109.2","3,a,,7","0",",,,7","27.46",",7","34.12",",,,7","20.80",",,,7"
"USC00383665","2020-08","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","863.4","7","263.1",",7","","","","","","","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","21",",7","18.3",",7,05,+","0",",,7,31,+","0",",,7,31,+","","","36.1",",7,03,+","","","0.0","7","","","0.0",",7","","","","","","","","","","","113.4","1,a,,7","0",",,,7","26.82",",7","32.86",",,,7","20.78",",,,7"
"USC00383665","2020-09","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","1005.1","7","141.7",",7","","","","","","","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","6",",7","7.2",",7,23,","0",",,7,30,+","0",",,7,30,+","","","35.0",",7,05,+","67.6","5,,,7","9.2","7","  27.8","5,,,7,5,2","9.2",",7","  30.6","5,,,7,5,2","  20.0","5,,,7,5,2","  23.9","5,,,7,5,2","  24.6","5,,,7,5,2","  27.0","5,,,7,5,2","","","0",",,,7","22.75",",7","28.77",",,,7","16.74",",,,7"
"USC00383665","2020-10","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","1055.2","7","50.1",",7","","","","","","","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","0",",7","5.0",",7,04,","0",",,7,31,+","0",",,7,31,+","","","31.1",",7,09,","59.7","4,,,7","42.1","7","  23.3","4,,,7,5,2","32.9",",7","  25.0","4,,,7,5,2","  18.9","4,,,7,5,2","  21.1","4,,,7,5,2","  20.8","4,,,7,5,2","  23.4","4,,,7,5,2","","","0",",,,7","18.89",",7","26.40",",,,7","11.37",",,,7"
"USC00383665","2020-11","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","1078.8","7","23.6",",7","","","","","","","0",",7","0",",7","0",",7","10",",7","0",",7","17",",7","0",",7","-3.3",",7,20,+","0",",,7,30,+","0",",,7,30,+","","","29.4",",7,12,","","","200.7","7","","","158.6",",7","","","","","","","","","","","69.1","5,a,,7","0",",,,7","13.83",",7","21.78",",,,7","5.88",",,,7"
"USC00383665","2020-12","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","1078.8","7","0.0",",7","","","","","","","0",",7","0",",7","0",",7","24",",7","0",",7","1",",7","0",",7","-8.3",",7,27,","0",",,7,31,+","0",",,7,31,+","","","21.1",",7,14,","","","591.0","7","  11.7","5,,,7,5,2","390.3",",7","","","   4.4","5,,,7,5,2","","","   8.8","5,,,7,5,2","","","66.8","4,a,,7","0",",,,7","5.74",",7","13.45",",,,7","-1.96",",,,7"
"USC00383665","2021-01","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","0.0","H","0.0",",7","","","","","","","0",",7","0",",7","0",",7","21",",7","0",",7","3",",7","0",",7","-5.6",",7,31,+","0",",,7,31,+","0",",,7,31,+","","","22.2",",7,02,","","","962.3","H","","","371.3",",7","","","","","","","","","","","","","0",",,,7","6.35",",7","12.90",",,,7","-0.19",",,,7"
"USC00383665","2021-02","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","0.0","H","0.0",",7","","","","","","","0",",7","0",",7","0",",7","12",",7","0",",7","6",",7","0",",7","-7.2",",7,05,","0",",,7,28,+","0",",,7,28,+","","","26.7",",7,28,","","","1253.8","H","","","291.5",",7","","","","","","","","","","","","","0",",,,7","7.92",",7","14.34",",,,7","1.50",",,,7"
"USC00383665","2021-03","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","13.1","H","13.1",",7","","","","","","","0",",7","0",",7","0",",7","7",",7","0",",7","21",",7","0",",7","-5.6",",7,09,+","0",",,7,31,+","0",",,7,31,+","","","30.6",",7,26,","","","1412.5","H","","","158.7",",7","","","","","","","","","","","","","0",",,,7","13.64",",7","21.62",",,,7","5.66",",,,7"
"USC00383665","2021-04","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","25.3","H","12.2",",7","","","","","","","0",",7","0",",7","0",",7","6",",7","0",",7","25",",7","0",",7","-4.4",",7,04,","0",",,7,30,+","0",",,7,30,+","","","31.1",",7,15,","","","1514.7","H","","","102.2",",7","","","","","","","","","","","","","0",",,,7","15.33",",7","24.81",",,,7","5.86",",,,7"
"USC00383665","2021-05","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","91.3","H","66.0",",7","","","","","","","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","5",",7","2.8",",7,09,","0",",,7,31,+","0",",,7,31,+","","","36.1",",7,26,","","","1547.5","H","","","32.8",",7","","","","","","","","","","","","","0",",,,7","19.40",",7","28.22",",,,7","10.59",",,,7"
"USC00383665","2021-06","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","280.9","H","189.6",",7","","","","","","","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","13",",7","8.9",",7,02,+","0",",,7,30,+","0",",,7,30,+","","","33.9",",7,19,+","","","1548.0","H","","","0.5",",7","","","","","","","","","","","","","0",",,,7","24.64",",7","31.07",",,,7","18.20",",,,7"
"USC00383665","2021-07","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","526.7","H","245.8",",7","","","","","","","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","22",",7","12.8",",7,05,","0",",,7,31,+","0",",,7,31,+","","","36.1",",7,30,","","","0.0","H","","","0.0",",7","","","","","","","","","","","","","0",",,,7","26.26",",7","32.41",",,,7","20.11",",,,7"
"USC00383665","2021-08","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","783.5","H","256.8",",7","","","","","","","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","23",",7","16.1",",7,06,+","0",",,7,31,+","0",",,7,31,+","","","36.1",",7,14,","81.9","3,,,7","0.0","H","  28.3","3,,,7,5,2","0.0",",7","  33.3","3,,,7,5,2","  25.6","3,,,7,5,2","  26.7","3,,,7,5,2","  26.7","3,,,7,5,2","  30.6","3,,,7,5,2","","","0",",,,7","26.62",",7","32.68",",,,7","20.55",",,,7"
"USC00383665","2021-09","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","","","","","9",",N","6",",N","2",",N","0",",N","0",",N","","","","","","","","","","","","","0",",,N,30,+","0",",,N,30,+","123.2",",,N,17,","","","","","","","","","","","","","","","","","","","","","215.0",",,,N","0",",,,N","","","","","",""
"USC00383665","2021-10","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","","","","","5",",N","4",",N","1",",N","0",",N","0",",N","","","","","","","","","","","","","0",",,N,31,+","0",",,N,31,+","35.6",",,N,07,","","","","","","","","","","","","","","","","","","","","","66.7",",,,N","0",",,,N","","","","","",""
"USC00383665","2021-11","33.57544","-81.7898","90.8","GRANITEVILLE 1.2 NE, SC US","","","","","4",",N","1",",N","0",",N","0",",N","0",",N","","","","","","","","","","","","","0",",,N,30,+","0",",,N,30,+","4.3",",,N,12,","","","","","","","","","","","","","","","","","","","","","8.4",",,,N","0",",,,N","","","","","",""
