"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES"
"USC00365541","1944-05","40.83333","-79.11667","360.0","MC CORMICK, PA US","14",",6","10",",6","2",",6","","","","","","","48.0",",,6,24,","157.7",",,,6"
"USC00365541","1944-06","40.83333","-79.11667","360.0","MC CORMICK, PA US","16",",6","12",",6","3",",6","","","","","","","33.8",",,6,24,","193.6",",,,6"
"USC00365541","1944-07","40.83333","-79.11667","360.0","MC CORMICK, PA US","9",",6","5",",6","1",",6","","","","","","","36.8",",,6,13,","77.0",",,,6"
"USC00365541","1944-08","40.83333","-79.11667","360.0","MC CORMICK, PA US","9",",6","7",",6","0",",6","","","","","","","20.6",",,6,22,","85.1",",,,6"
"USC00365541","1944-09","40.83333","-79.11667","360.0","MC CORMICK, PA US","10",",6","7",",6","0",",6","","","","","","","22.9",",,6,01,","81.8",",,,6"
"USC00365541","1944-10","40.83333","-79.11667","360.0","MC CORMICK, PA US","11",",6","5",",6","1",",6","","","","","","","40.6",",,6,21,","73.6",",,,6"
"USC00365541","1944-11","40.83333","-79.11667","360.0","MC CORMICK, PA US","14",",6","9",",6","0",",6","","","","","","","16.5",",,6,16,","61.8",",,,6"
"USC00365541","1944-12","40.83333","-79.11667","360.0","MC CORMICK, PA US","13",",6","7",",6","1",",6","24","1,","","","508","1,,6,17,+","25.4",",,6,12,","118.9",",,,6"
"USC00365541","1945-01","40.83333","-79.11667","360.0","MC CORMICK, PA US","16",",6","7",",6","0",",6","31",",","","","584",",,6,31,+","21.8",",,6,01,","62.6",",,,6"
"USC00365541","1945-02","40.83333","-79.11667","360.0","MC CORMICK, PA US","13",",6","7",",6","1",",6","24","2,","","","635","2,,6,04,+","26.2",",,6,27,","85.1",",,,6"
"USC00365541","1945-03","40.83333","-79.11667","360.0","MC CORMICK, PA US","17",",6","12",",6","2",",6","1","2,","","","25","2,,6,01,","30.2",",,6,22,","183.2",",,,6"
"USC00365541","1945-04","40.83333","-79.11667","360.0","MC CORMICK, PA US","14",",6","10",",6","1",",6","","","","","","","31.0",",,6,05,","138.9",",,,6"
"USC00365541","1945-05","40.83333","-79.11667","360.0","MC CORMICK, PA US","16",",6","13",",6","0",",6","","","","","","","20.6",",,6,08,","132.6",",,,6"
"USC00365541","1945-06","40.83333","-79.11667","360.0","MC CORMICK, PA US","11",",6","9",",6","0",",6","","","","","","","23.1",",,6,03,","82.7",",,,6"
"USC00365541","1945-07","40.83333","-79.11667","360.0","MC CORMICK, PA US","10",",6","7",",6","0",",6","","","","","","","24.9",",,6,15,","84.4",",,,6"
"USC00365541","1945-08","40.83333","-79.11667","360.0","MC CORMICK, PA US","12",",6","10",",6","2",",6","","","","","","","37.8",",,6,31,","151.1",",,,6"
"USC00365541","1945-09","40.83333","-79.11667","360.0","MC CORMICK, PA US","17",",6","12",",6","4",",6","","","","","","","50.8",",,6,15,","259.9",",,,6"
"USC00365541","1945-10","40.83333","-79.11667","360.0","MC CORMICK, PA US","14",",6","7",",6","1",",6","","","","","","","34.0",",,6,02,","85.8",",,,6"
"USC00365541","1945-11","40.83333","-79.11667","360.0","MC CORMICK, PA US","17",",6","10",",6","1",",6","","","","","","","44.2",",,6,03,","145.8",",,,6"
"USC00365541","1945-12","40.83333","-79.11667","360.0","MC CORMICK, PA US","16",",6","6",",6","0",",6","","","","","","","10.7",",,6,06,","48.1",",,,6"
"USC00365541","1946-01","40.83333","-79.11667","360.0","MC CORMICK, PA US","15",",6","4",",6","0",",6","","","1","","","","7.1",",,6,21,","29.5",",,,6"
"USC00365541","1946-02","40.83333","-79.11667","360.0","MC CORMICK, PA US","14",",6","5",",6","0",",6","","","","","","","20.6",",,6,27,","58.2",",,,6"
"USC00365541","1946-03","40.83333","-79.11667","360.0","MC CORMICK, PA US","11",",6","8",",6","0",",6","","","","","","","17.8",",,6,15,","75.0",",,,6"
"USC00365541","1946-04","40.83333","-79.11667","360.0","MC CORMICK, PA US","9",",6","4",",6","0",",6","","","","","","","15.0",",,6,16,","40.7",",,,6"
"USC00365541","1946-05","40.83333","-79.11667","360.0","MC CORMICK, PA US","18",",6","17",",6","0",",6","","","","","","","24.4",",,6,27,","158.3",",,,6"
"USC00365541","1946-06","40.83333","-79.11667","360.0","MC CORMICK, PA US","18",",6","14",",6","3",",6","","","","","","","58.4",",,6,21,","233.7",",,,6"
"USC00365541","1946-07","40.83333","-79.11667","360.0","MC CORMICK, PA US","9",",6","7",",6","1",",6","","","2","","","","39.4",",,6,02,","115.9",",,,6"
"USC00365541","1946-08","40.83333","-79.11667","360.0","MC CORMICK, PA US","10",",6","5",",6","1",",6","","","2","","","","39.1",",,6,18,","73.4",",,,6"
"USC00365541","1946-09","40.83333","-79.11667","360.0","MC CORMICK, PA US","7",",6","5",",6","1",",6","","","2","","","","27.4",",,6,24,","70.7",",,,6"
"USC00365541","1946-10","40.83333","-79.11667","360.0","MC CORMICK, PA US","9",",6","8",",6","0",",6","","","1","","","","22.9",",,6,26,+","106.1",",,,6"
"USC00365541","1946-11","40.83333","-79.11667","360.0","MC CORMICK, PA US","8",",6","5",",6","0",",6","","","6","","","","24.6",",,6,27,","55.7",",,,6"
"USC00365541","1946-12","40.83333","-79.11667","360.0","MC CORMICK, PA US","7","3,6","6","3,6","0","3,6","","","1","","","","13.0","3,,6,12,","51.6","3,,,6"
"USC00365541","1947-01","40.83333","-79.11667","360.0","MC CORMICK, PA US","10","1,6","8","1,6","0","1,6","","","3","","","","12.7","1,,6,21,+","85.5","1,,,6"
"USC00365541","1947-02","40.83333","-79.11667","360.0","MC CORMICK, PA US","13",",6","5",",6","0",",6","19","2,","","","279","2,,6,27,","9.1",",,6,21,","29.1",",,,6"
"USC00365541","1947-03","40.83333","-79.11667","360.0","MC CORMICK, PA US","13",",6","5",",6","0",",6","","","","","","","13.7",",,6,25,","45.5",",,,6"
"USC00365541","1947-04","40.83333","-79.11667","360.0","MC CORMICK, PA US","11",",6","5",",6","0",",6","","","","","","","24.1",",,6,26,","59.4",",,,6"
"USC00365541","1947-05","40.83333","-79.11667","360.0","MC CORMICK, PA US","16","1,6","10","1,6","1","1,6","","","","","","","26.2","1,,6,18,","120.5","1,,,6"
"USC00365541","1947-06","40.83333","-79.11667","360.0","MC CORMICK, PA US","9",",6","8",",6","2",",6","","","","","","","27.9",",,6,09,+","136.1",",,,6"
"USC00365541","1947-07","40.83333","-79.11667","360.0","MC CORMICK, PA US","20",",6","15",",6","3",",6","","","","","","","61.5",",,6,28,","243.8",",,,6"
"USC00365541","1947-08","40.83333","-79.11667","360.0","MC CORMICK, PA US","13",",6","12",",6","8",",6","","","2","","","","88.9",",,6,22,","436.0",",,,6"
"USC00365541","1947-09","40.83333","-79.11667","360.0","MC CORMICK, PA US","7",",6","6",",6","0",",6","","","12","","","","20.3",",,6,22,","64.2",",,,6"
"USC00365541","1947-10","40.83333","-79.11667","360.0","MC CORMICK, PA US","6",",6","6",",6","2",",6","","","10","","","","38.9",",,6,28,","98.4",",,,6"
"USC00365541","1947-11","40.83333","-79.11667","360.0","MC CORMICK, PA US","16",",6","9",",6","0",",6","","","","","","","18.5",",,6,04,","78.2",",,,6"
"USC00365541","1947-12","40.83333","-79.11667","360.0","MC CORMICK, PA US","11",",6","3",",6","0",",6","11",",","","","51",",,6,29,+","14.0",",,6,16,","38.4",",,,6"
"USC00365541","1948-01","40.83333","-79.11667","360.0","MC CORMICK, PA US","15",",6","5",",6","0",",6","23","5,6","1","","279","5,,6,31,+","14.7",",,6,02,","48.9",",,,6"
"USC00365541","1948-02","40.83333","-79.11667","360.0","MC CORMICK, PA US","9",",6","5",",6","1",",6","16","2,","2","","305","2,,6,10,+","37.3",",,6,14,","76.8",",,,6"
"USC00365541","1948-03","40.83333","-79.11667","360.0","MC CORMICK, PA US","16",",6","10",",6","0",",6","","","","","","","16.0",",,6,20,","89.1",",,,6"
"USC00365541","1948-04","40.83333","-79.11667","360.0","MC CORMICK, PA US","14",",6","10",",6","3",",6","","","","","","","63.0",",,6,12,","237.9",",,,6"
