"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"US1KSSH0014","2010-12","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","2","2,N","1","2,N","0","2,N","","","1","4,N","","","64","4,,N,31,","4.8","2,,N,31,","5.3","2,,,N","64","4,,,N"
"US1KSSH0014","2011-01","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","4",",N","2",",N","0",",N","","","2","2,N","","","76","2,,N,10,","5.8",",,N,10,","10.5",",,,N","114","2,,,N"
"US1KSSH0014","2011-02","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","4","5,N","0","5,N","0","5,N","","","","","","","","","0.8","5,,N,06,","15.4",",a,,N","",""
"US1KSSH0014","2011-03","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","6","1,N","2","1,N","0","1,N","","","4","5,N","","","97","5,,N,30,","6.9","1,,N,30,","15.8","1,,,N","236","5,,,N"
"US1KSSH0014","2011-04","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","9",",N","4",",N","0",",N","","","","","","","","","16.5",",,N,27,","46.0",",,,N","",""
"US1KSSH0014","2011-05","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","6","2,N","5","2,N","1","2,N","","","","","","","","","39.6","2,,N,25,","68.2","2,,,N","",""
"US1KSSH0014","2011-06","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","4",",N","3",",N","1",",N","","","","","","","","","37.6",",,N,21,","58.6",",,,N","",""
"US1KSSH0014","2011-07","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","11","2,N","10","2,N","1","2,N","","","","","","","","","58.4","2,,N,29,","131.3","2,,,N","",""
"US1KSSH0014","2011-08","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","7","2,N","5","2,N","1","2,N","","","","","","","","","51.3","2,,N,05,","75.9","2,,,N","",""
"US1KSSH0014","2011-09","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","6","1,N","2","1,N","0","1,N","","","","","","","","","7.1","1,,N,15,","14.5","1,,,N","",""
"US1KSSH0014","2011-10","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","5","3,N","4","3,N","0","3,N","","","","","","","","","18.3","3,,N,08,","45.0","3,,,N","",""
"US1KSSH0014","2011-11","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","3","2,N","2","2,N","0","2,N","","","2","5,N","","","46","5,,N,03,","4.8","2,,N,02,","8.9","2,,,N","84","5,,,N"
"US1KSSH0014","2012-01","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","2","5,N","0","5,N","0","5,N","","","","","","","","","1.0","5,,N,08,","1.3","5,,,N","",""
"US1KSSH0014","2012-02","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","5",",N","2",",N","0",",N","","","2","2,N","","","51","2,,N,04,","8.4",",,N,03,","15.0",",,,N","89","2,,,N"
"US1KSSH0014","2012-03","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","4","1,N","1","1,N","0","1,N","","","0","5,N","","","0","5,T,N,02,","14.2","1,,N,22,","15.1","1,,,N","0","5,T,,N"
"US1KSSH0014","2012-04","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","12",",N","4",",N","1",",N","","","","","","","","","27.9",",,N,04,","67.2",",,,N","",""
"US1KSSH0014","2012-05","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","5","2,N","2","2,N","0","2,N","","","","","","","","","4.8","2,,N,24,+","12.7","2,,,N","",""
"US1KSSH0014","2012-07","39.2056","-101.8748","1150.0","GOODLAND 13.2 SW, KS US","5","3,N","3","3,N","0","3,N","","","","","","","","","7.6","3,,N,18,","17.8","3,,,N","",""
