"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"GLW00017615","1961-03","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","2",",X","2",",X","0",",X","2",",X","31",",X","31",",X","31",",X","0",",X","0",",X","17","","","","-55.0",",X,13,","64",",,X,19,","6.4",",,X,19,","-18.3",",X,18,","12016.7","X","1872.0",",X","10.7",",,,X","107",",,,X","-42.05",",X","-38.17",",,,X","-45.93",",,,X","180",",X","15.4",",X"
"GLW00017615","1961-04","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","4",",X","2",",X","0",",X","2",",X","30",",X","30",",X","30",",X","0",",X","0",",X","14","","","","-42.8",",X,10,+","137",",,X,04,","13.7",",,X,04,","-10.6",",X,29,","13414.2","X","1397.5",",X","19.1",",,,X","191",",,,X","-28.25",",X","-22.58",",,,X","-33.92",",,,X","203",",X","18.0",",X"
"GLW00017615","1961-05","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","12",",X","2",",X","0",",X","2",",X","28",",X","31",",X","31",",X","0",",X","0",",X","30","","","","-33.9",",X,04,","53",",,X,13,","5.3",",,X,13,","-7.8",",X,13,","14573.8","X","1159.6",",X","19.4",",,,X","194",",,,X","-19.07",",X","-14.51",",,,X","-23.64",",,,X","180",",X","17.5",",X"
"GLW00017615","1961-06","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","19",",X","14",",X","0",",X","14",",X","6",",X","30",",X","30",",X","0",",X","0",",X","23","","","","-23.3",",X,05,","152",",,X,20,","15.2",",,X,20,","-1.7",",X,10,","15421.1","X","847.3",",X","107.6",",,,X","1076",",,,X","-9.91",",X","-6.44",",,,X","-13.38",",,,X","158",",X","17.0",",X"
"GLW00017615","1961-07","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","16",",X","10",",X","0",",X","10",",X","0",",X","31",",X","31",",X","0",",X","0",",X","13","","","","-15.6",",X,13,+","145",",,X,01,","14.5",",,X,01,","-0.6",",X,24,+","797.2","X","797.2",",X","86.5",",,,X","865",",,,X","-7.38",",X","-4.12",",,,X","-10.65",",,,X","180",",X","18.5",",X"
"GLW00017615","1961-08","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","15",",X","4",",X","0",",X","4",",X","8",",X","31",",X","31",",X","0",",X","0",",X","26","","","","-23.3",",X,30,+","71",",,X,16,","7.1",",,X,16,","-0.6",",X,02,","1690.2","X","893.0",",X","31.3",",,,X","313",",,,X","-10.47",",X","-6.88",",,,X","-14.07",",,,X","","","",""
"GLW00017615","1961-09","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","20",",X","7",",X","0",",X","7",",X","24",",X","30",",X","30",",X","0",",X","0",",X","27","","","","-34.4",",X,29,","41",",,X,06,","4.1",",,X,06,","-5.6",",X,05,+","2843.7","X","1153.5",",X","36.7",",,,X","367",",,,X","-20.12",",X","-15.94",",,,X","-24.30",",,,X","158",",X","17.5",",X"
"GLW00017615","1961-10","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","16",",X","2",",X","0",",X","2",",X","29",",X","31",",X","31",",X","0",",X","0",",X","23","","","","-43.3",",X,18,","74",",,X,23,","7.4",",,X,23,","-9.4",",X,21,","4162.4","X","1318.7",",X","32.8",",,,X","328",",,,X","-24.21",",X","-20.14",",,,X","-28.27",",,,X","158",",X","23.1",",X"
"GLW00017615","1961-11","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","8",",X","1",",X","0",",X","1",",X","30",",X","30",",X","30",",X","0",",X","0",",X","25","","","","-49.4",",X,28,+","30",",,X,10,","3.0",",,X,10,","-15.0",",X,04,","5717.3","X","1554.9",",X","8.2",",,,X","82",",,,X","-33.50",",X","-29.52",",,,X","-37.48",",,,X","158",",X","19.5",",X"
"GLW00017615","1961-12","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","5",",X","1",",X","0",",X","1","1,X","31",",X","31",",X","31",",X","0",",X","0",",X","25","","","","-48.9",",X,13,","28","1,,X,04,","2.8",",,X,04,","-11.1",",X,31,","7291.8","X","1574.5",",X","6.2",",,,X","52","1,,,X","-32.46",",X","-27.71",",,,X","-37.20",",,,X","158",",X","27.2",",X"
"GLW00017615","1962-01","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","4",",X","0",",X","0",",X","0",",X","31",",X","31",",X","31",",X","0",",X","0",",X","26","","","","-45.6",",X,10,+","15",",,X,26,","1.5",",,X,26,","-17.8",",X,25,","8886.8","X","1595.0",",X","3.6",",,,X","36",",,,X","-33.12",",X","-29.30",",,,X","-36.94",",,,X","113","2,X","18.0","2,X"
"GLW00017615","1962-02","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","7",",X","1",",X","0",",X","1",",X","28",",X","28",",X","28",",X","0",",X","0",",X","27","","","","-51.7",",X,22,","53",",,X,02,","5.3",",,X,02,","-16.1",",X,02,","10502.6","X","1615.8",",X","9.5",",,,X","95",",,,X","-39.37",",X","-35.61",",,,X","-43.13",",,,X","158","3,X","21.6","3,X"
"GLW00017615","1962-03","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","7",",X","2",",X","0",",X","2",",X","29",",X","31",",X","31",",X","0",",X","0",",X","20","","","","-41.1",",X,28,+","33",",,X,22,","3.3",",,X,22,","-10.0",",X,20,","12004.5","X","1501.9",",X","11.0",",,,X","110",",,,X","-30.12",",X","-26.85",",,,X","-33.38",",,,X","158",",X","20.6",",X"
"GLW00017615","1962-04","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","8",",X","3",",X","0",",X","3",",X","26",",X","30",",X","30",",X","0",",X","0",",X","21","","","","-42.2",",X,04,","36",",,X,25,","3.6",",,X,25,","-6.7",",X,27,","13353.0","X","1348.5",",X","15.1",",,,X","151",",,,X","-26.62",",X","-22.19",",,,X","-31.05",",,,X","158",",X","15.4",",X"
"GLW00017615","1962-05","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","12",",X","2",",X","0",",X","2",",X","27",",X","31",",X","31",",X","0",",X","0",",X","27","","","","-30.0",",X,02,","33",",,X,20,","3.3",",,X,20,","-5.0",",X,31,","14479.6","X","1126.6",",X","14.6",",,,X","146",",,,X","-18.01",",X","-13.40",",,,X","-22.62",",,,X","158",",X","22.6",",X"
"GLW00017615","1962-06","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","6",",X","1",",X","0",",X","1",",X","3",",X","30",",X","30",",X","0",",X","0",",X","13","","","","-20.0",",X,03,+","36",",,X,28,","3.6",",,X,28,","-4.4",",X,18,+","15326.9","X","847.3",",X","6.8",",,,X","68",",,,X","-9.91",",X","-6.37",",,,X","-13.46",",,,X","135",",X","18.0",",X"
"GLW00017615","1962-07","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","7",",X","1",",X","0",",X","1",",X","0",",X","31",",X","31",",X","0",",X","0",",X","14","","","","-14.4",",X,03,","33",",,X,04,","3.3",",,X,04,","0.0",",X,11,+","747.5","X","747.5",",X","9.4",",,,X","94",",,,X","-5.78",",X","-2.51",",,,X","-9.05",",,,X","135",",X","14.9",",X"
"GLW00017615","1962-08","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","12",",X","5",",X","0",",X","5",",X","8",",X","31",",X","31",",X","0",",X","0",",X","24","","","","-29.4",",X,24,","69",",,X,30,+","6.9",",,X,30,+","-2.2",",X,06,+","1649.9","X","902.4",",X","30.9",",,,X","309",",,,X","-10.78",",X","-7.48",",,,X","-14.07",",,,X","135",",X","21.6",",X"
"GLW00017615","1962-09","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","9",",X","4",",X","0",",X","4",",X","20",",X","30",",X","30",",X","0",",X","0",",X","29","","","","-36.1",",X,28,+","61",",,X,11,","6.1",",,X,11,","-6.1",",X,03,","2840.1","X","1190.2",",X","26.5",",,,X","265",",,,X","-21.34",",X","-17.49",",,,X","-25.19",",,,X","158","1,X","30.3","1,X"
"GLW00017615","1962-10","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","6",",X","1",",X","0",",X","1",",X","30",",X","31",",X","31",",X","0",",X","0",",X","30","","","","-40.6",",X,21,","25",",,X,11,","2.5",",,X,11,","-10.6",",X,13,","4214.5","X","1374.4",",X","6.5",",,,X","65",",,,X","-26.00",",X","-21.76",",,,X","-30.24",",,,X","135",",X","13.4",",X"
"GLW00017615","1962-11","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","4",",X","2",",X","0",",X","2",",X","29",",X","30",",X","30",",X","0",",X","0",",X","30","","","","-43.9",",X,12,","74",",,X,19,","7.4",",,X,19,","-8.3",",X,19,+","5587.7","X","1373.2",",X","11.7",",,,X","117",",,,X","-27.44",",X","-22.12",",,,X","-32.76",",,,X","180","1,X","32.4","1,X"
"GLW00017615","1962-12","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","X","0.0",",X","13",",X","5",",X","0",",X","5",",X","31",",X","31",",X","31",",X","0",",X","0",",X","27","","","","-43.9",",X,23,+","58",",,X,29,","5.8",",,X,29,","-8.9",",X,28,","7146.1","X","1558.4",",X","27.7",",,,X","277",",,,X","-31.94",",X","-27.56",",,,X","-36.32",",,,X","180",",X","28.3",",X"
"GLW00017615","1963-01","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","","0.0",",X","15",",X","4",",X","0",",X","4",",X","31",",X","31",",X","31",",X","0",",X","0",",X","29","","","","-46.1",",X,05,","36",",,X,30,","3.6",",,X,30,","-9.4",",X,30,","8608.2","","1462.1",",X","27.2",",,,X","272",",,,X","-28.83",",X","-23.59",",,,X","-34.07",",,,X","113","4,X","29.3","4,X"
"GLW00017615","1963-02","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","","0.0","1,X","8",",X","1",",X","0",",X","1",",X","26","1,X","27","1,X","27","1,X","0","1,X","0","1,X","22","","","","-45.6","1,X,27,+","30",",,X,11,","3.0",",,X,11,","-10.6","1,X,04,","9889.0","","1280.8","1,X","11.5",",,,X","115",",,,X","-29.11","1,X","-25.19","1,,,X","-33.02","1,,,X","68","2,X","22.6","2,X"
"GLW00017615","1963-03","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","","0.0",",X","10",",X","0",",X","0",",X","0",",X","31",",X","31",",X","31",",X","0",",X","0",",X","29","","","","-49.4",",X,16,","23",",,X,04,","2.3",",,X,04,","-15.0",",X,30,+","11497.7","","1608.7",",X","8.8",",,,X","88",",,,X","-33.56",",X","-28.89",",,,X","-38.23",",,,X","180","4,X","29.8","4,X"
"GLW00017615","1963-04","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","","0.0",",X","5",",X","0",",X","0",",X","0",",X","30",",X","30",",X","30",",X","0",",X","0",",X","25","","","","-41.7",",X,02,+","13",",,X,05,","1.3",",,X,05,","-17.8",",X,12,+","12888.3","","1390.6",",X","3.6",",,,X","36",",,,X","-28.02",",X","-23.08",",,,X","-32.96",",,,X","158","4,X","20.6","4,X"
"GLW00017615","1963-05","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","","0.0",",X","7",",X","0",",X","0",",X","0",",X","30",",X","31",",X","31",",X","0",",X","0",",X","24","","","","-31.1",",X,03,","13",",,X,17,","1.3",",,X,17,","-6.7",",X,08,","14025.9","","1137.6",",X","3.8",",,,X","38",",,,X","-18.36",",X","-13.15",",,,X","-23.58",",,,X","113",",X","11.3",",X"
"GLW00017615","1963-06","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","","0.0",",X","14",",X","2",",X","0",",X","2",",X","6",",X","30",",X","28",",X","0",",X","0",",X","27","","","","-21.7",",X,08,+","46",",,X,22,+","4.6",",,X,22,+","4.4",",X,14,","14859.8","","833.9",",X","23.0",",,,X","230",",,,X","-9.47",",X","-4.41",",,,X","-14.52",",,,X","158",",X","14.4",",X"
"GLW00017615","1963-07","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","","0.0",",X","7",",X","1",",X","0",",X","1",",X","0",",X","31",",X","29",",X","0",",X","0",",X","17","","","","-16.1",",X,05,+","41",",,X,05,","4.1",",,X,05,","2.2",",X,06,","768.6","","768.6",",X","10.3",",,,X","103",",,,X","-6.46",",X","-2.45",",,,X","-10.47",",,,X","158",",X","15.4",",X"
"GLW00017615","1963-08","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","","0.0",",X","18",",X","3",",X","0",",X","3",",X","6",",X","31",",X","31",",X","0",",X","0",",X","25","","","","-22.8",",X,24,","38",",,X,26,","3.8",",,X,26,","0.0",",X,01,","1587.4","","818.8",",X","21.8",",,,X","218",",,,X","-8.08",",X","-4.43",",,,X","-11.73",",,,X","68","3,X","13.4","3,X"
"GLW00017615","1963-09","77.16667","-61.13333","305.1","CAMP CENTURY, GL","0.0","","0.0",",X","8",",X","3",",X","0",",X","3",",X","24",",X","30",",X","30",",X","0",",X","0",",X","17","","","","-32.8",",X,21,+","46",",,X,21,","4.6",",,X,21,","-5.0",",X,04,+","2678.1","","1090.7",",X","17.1",",,,X","166",",,,X","-18.03",",X","-13.56",",,,X","-22.49",",,,X","","","",""
"GLW00017615","1963-10","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLW00017615","1964-04","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","","","","","","","","","","","","","","","","","","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GLW00017615","1964-05","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","0.0",",X","4",",X","0",",X","0",",X","0",",X","27",",X","31",",X","31",",X","0",",X","0",",X","22","","","","-35.0",",X,13,","18",",,X,31,+","1.8",",,X,31,+","-8.3",",X,24,+","","","1237.0",",X","4.9",",,,X","49",",,,X","-21.57",",X","-17.18",",,,X","-25.96",",,,X","158","2,X","17.0","2,X"
"GLW00017615","1964-06","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","0.0",",X","13",",X","1",",X","0",",X","1",",X","4",",X","30",",X","30",",X","0",",X","0",",X","28","","","","-26.1",",X,02,+","48",",,X,06,","4.8",",,X,06,","0.0",",X,20,","","","879.1",",X","16.6",",,,X","166",",,,X","-10.97",",X","-7.49",",,,X","-14.45",",,,X","158",",X","25.2",",X"
"GLW00017615","1964-07","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","0.0",",X","18",",X","3",",X","0",",X","3",",X","1",",X","31",",X","31",",X","0",",X","0",",X","28","","","","-17.8",",X,11,","38",",,X,12,","3.8",",,X,12,","-3.3",",X,15,","876.7","","876.7",",X","27.2",",,,X","272",",,,X","-9.95",",X","-7.38",",,,X","-12.51",",,,X","158","3,X","23.6","3,X"
"GLW00017615","1964-08","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","0.0","1,X","4",",X","0",",X","0",",X","0",",X","13","1,X","30","1,X","30","1,X","0","1,X","0","1,X","15","","","","-23.9","1,X,31,","3",",,X,11,+","0.3",",,X,11,+","-0.6","1,X,15,","1806.7","","930.0","1,X","1.2",",,,X","12",",,,X","-12.67","1,X","-8.75","1,,,X","-16.59","1,,,X","158","1,X","22.6","1,X"
"GLW00017615","1964-09","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","0.0","3,X","4","3,X","0","3,X","0","3,X","0","3,X","20","3,X","27","3,X","27","3,X","0","3,X","0","3,X","16","","","","-26.7","3,X,20,+","13","3,,X,06,","1.3","3,,X,06,","-8.3","3,X,09,+","2762.0","","955.3","3,X","2.9","3,,,X","29","3,,,X","-17.05","3,X","-13.04","3,,,X","-21.05","3,,,X","135","3,X","16.4","3,X"
"GLW00017615","1965-05","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","0.0","3,X","13","3,X","3","3,X","0","3,X","3","3,X","15","3,X","28","3,X","28","3,X","0","3,X","0","3,X","24","","17","","-23.9","3,X,08,","48","3,,X,24,","4.8","3,,X,24,","-0.6","3,X,25,","","","879.0","3,X","23.1","3,,,X","231","3,,,X","-13.06","3,X","-9.21","3,,,X","-16.90","3,,,X","","","",""
"GLW00017615","1965-06","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","0.0",",X","12",",X","5",",X","0",",X","5",",X","5",",X","30",",X","30",",X","0",",X","0",",X","24","","13","","-18.9",",X,09,+","104",",,X,14,","10.4",",,X,14,","-3.9",",X,13,+","","","872.8",",X","35.5",",,,X","355",",,,X","-10.76",",X","-7.28",",,,X","-14.24",",,,X","","","",""
"GLW00017615","1965-07","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","0.0",",X","19",",X","1",",X","0",",X","1",",X","2",",X","31",",X","31",",X","0",",X","0",",X","28","","","","-18.3",",X,12,+","140",",,X,08,","14.0",",,X,08,","-1.1",",X,24,","819.5","","819.5",",X","29.9",",,,X","299",",,,X","-8.10",",X","-4.64",",,,X","-11.56",",,,X","158",",X","22.6",",X"
"GLW00017615","1965-08","77.16667","-61.13333","305.1","CAMP CENTURY, GL","","","","","","","","","","","","","","","","","","","","","","","12","","9","","","","","","","","","","","","","","","","","","","","","","","","","","",""
