"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00298289","1931-01","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","","","0",",6","0",",6","0",",6","0",",6","2",",6","31",",6","","","","","","","-17.8",",6,20,+","0",",T,6,25,","0.0",",T,6,31,+","","","","","","","","","0.0",",T,,6","0",",T,,6","","","","","-11.52",",,,6","3445",",,,6"
"USC00298289","1931-02","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","0.0","1,6","4",",6","3",",6","0",",6","3",",6","0",",6","28",",6","0","1,6","0","1,6","0","1,6","-14.4",",6,22,","89",",,6,13,","10.2",",,6,13,","16.7","1,6,19,","745.2","4,,,6","","","431.4","1,6","24.0",",,,6","254",",,,6","2.36","1,6","10.72","1,,,6","-5.99",",,,6","3817",",,,6"
"USC00298289","1931-03","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","0.0","2,6","5",",6","4",",6","0",",6","","","1","2,6","24","2,6","4",",6","2",",6","0",",6","-17.8","2,6,07,","","","5.1",",,6,06,","22.2",",6,22,","","","","","457.4",",6","16.0",",,,6","","","2.85","2,6","11.37",",,,6","-5.68","2,,,6","6067",",,,6"
"USC00298289","1931-04","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","0.0","3,6","5",",6","2",",6","1",",6","1",",6","0","1,6","14","1,6","0","2,6","11","2,6","0","2,6","-8.9","1,6,04,","30",",,6,03,","29.5",",,6,29,","26.1","2,6,19,","","","","","237.1","2,6","45.7",",,,6","30",",,,6","9.43","3,6","18.90","2,,,6","-0.04","1,,,6","6853",",,,6"
"USC00298289","1931-05","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","0.0",",6","11",",6","4",",6","0",",6","1",",6","0",",6","5",",6","0",",6","18",",6","0",",6","-1.7",",6,12,+","25",",,6,10,","7.1",",,6,03,","29.4",",6,24,","","","","","173.7",",6","28.6",",,,6","38",",,,6","12.73",",6","22.07",",,,6","3.39",",,,6","6066",",,,6"
"USC00298289","1931-06","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","36.4",",6","4",",6","3",",6","0",",6","","","0",",6","0",",6","0",",6","30",",6","3",",6","5.6",",6,11,","","","12.2",",,6,30,","32.2",",6,24,+","1354.9","3,,,6","","","16.3",",6","22.7",",,,6","","","19.00",",6","28.50",",,,6","9.50",",,,6","4412",",,,6"
"USC00298289","1931-07","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","59.3","2,6","12",",6","9",",6","1",",6","0",",6","0","2,6","0","2,6","0",",6","31",",6","5",",6","6.7","2,6,05,","0",",,6,31,+","39.6",",,6,17,","33.9",",6,23,","","","3.6","6","3.6",",6","103.1",",,,6","0",",,,6","20.26","2,6","28.75",",,,6","11.77","2,,,6","3202",",,,6"
"USC00298289","1931-08","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","48.0",",6","10",",6","6",",6","0",",6","","","0",",6","0",",6","0",",6","31",",6","2",",6","6.7",",6,17,","","","7.1",",,6,09,","33.9",",6,07,","","","6.9","6","3.3",",6","23.8",",,,6","","","19.78",",6","28.84",",,,6","10.71",",,,6","2262",",,,6"
"USC00298289","1931-09","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","35.7",",6","9",",6","8",",6","0",",6","0",",6","0",",6","0",",6","0",",6","30",",6","4",",6","2.8",",6,22,","0",",,6,30,+","22.1",",,6,24,","33.3",",6,05,","","","30.2","6","23.3",",6","87.3",",,,6","0",",,,6","18.75",",6","27.90",",,,6","9.59",",,,6","3735",",,,6"
"USC00298289","1931-10","36.45","-104.65","1891.0","SHOEMAKER RANCH, NM US","","","2.3",",6","5",",6","2",",6","0",",6","0",",6","0",",6","7",",6","0",",6","21",",6","0",",6","-7.8",",6,31,+","0",",T,6,29,","16.0",",,6,20,","31.7",",6,03,","","","202.4","6","172.2",",6","24.6",",,,6","0",",T,,6","12.85",",6","23.30",",,,6","2.40",",,,6","3669",",,,6"
