"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00425815","1938-10","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","12",",6","10",",6","0",",6","","","2",",6","","","","","","","","","","","","","","","76",",,6,17,","21.1",",,6,05,","","","","","","","","","108.5",",,,6","127",",,,6","","","","","","","",""
"USC00425815","1938-11","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","5",",6","3",",6","0",",6","","","4",",6","","","","","","","","","","","","","","","178",",,6,11,","12.7",",,6,11,","","","","","","","","","28.5",",,,6","419",",,,6","","","","","","","",""
"USC00425815","1938-12","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","5",",6","2",",6","0",",6","","","5",",6","","","","","","","","","","","","","","","102",",,6,04,","7.4",",,6,04,","","","","","","","","","13.3",",,,6","253",",,,6","","","","","","","",""
"USC00425815","1939-01","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","6",",6","4",",6","0",",6","","","6",",6","","","","","","","","","","","","","","","305",",,6,31,","15.2",",,6,31,","","","","","","","","","29.2",",,,6","623",",,,6","","","","","","","",""
"USC00425815","1939-02","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","6",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","9.1",",,6,08,","","","","","","","","","24.6",",,,6","","","","","","","","","",""
"USC00425815","1939-03","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","6",",6","3",",6","0",",6","","","4",",6","","","","","","","","","","","","","","","330",",,6,27,","16.3",",,6,27,","","","","","","","","","26.4",",,,6","495",",,,6","","","","","","","",""
"USC00425815","1939-04","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","4",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","0",",T,6,15,+","4.1",",,6,24,","","","","","","","","","8.2",",,,6","0",",T,,6","","","","","","","",""
"USC00425815","1939-05","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","8",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","0",",,6,31,+","3.3",",,6,31,","","","","","","","","","12.5",",,,6","0",",,,6","","","","","","","",""
"USC00425815","1939-06","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","1",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","0",",T,6,17,","2.8",",,6,24,","","","","","","","","","2.8",",,,6","0",",T,,6","","","","","","","",""
"USC00425815","1939-07","40.56173","-110.49252","2476.5","MOON LAKE, UT US","","","","","2",",6","1",",6","0",",6","","","0",",6","","","","","","","","","","","","","","","0",",,6,31,+","4.8",",,6,30,","","","","","","","","","7.1",",,,6","0",",,,6","","","","","","","",""
