"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00238466","1982-06","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","104.4","3,6","13",",0","8",",0","0",",0","0",",0","0",",0","0","3,6","0","3,6","0",",6","26",",6","3",",6","11.1","3,6,05,+","0",",,0,30,+","0",",,0,30,+","19.8",",,0,12,","34.4",",6,30,","1287.4",",,,6","","","10.8",",6","","","90.9",",,,0","0",",,,0","21.89","3,6","27.11",",,,6","16.67","3,,,6","2245",",,,6"
"USC00238466","1982-07","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","274.3","2,6","6",",0","5",",0","2",",0","0",",0","0",",0","0","2,6","0","2,6","0","1,6","30","1,6","23","1,6","16.7","2,6,31,","0",",,0,31,+","0",",,0,31,+","64.8",",,0,10,","37.8","1,6,21,","2136.0","1,,,6","0.0","6","0.0","1,6","","","114.3",",,,0","0",",,,0","27.79","2,6","33.67","1,,,6","21.91","2,,,6","2883",",,,6"
"USC00238466","1982-08","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","202.2","4,6","12",",0","8",",0","3",",0","0",",0","0",",0","0","4,6","0","4,6","0",",6","31",",6","15",",6","15.0","4,6,25,","0",",,0,31,+","0",",,0,31,+","100.3",",,0,13,","40.0",",6,05,+","1575.0","1,,,6","0.0","6","0.0",",6","","","242.9",",,,0","0",",,,0","25.87","4,6","31.38",",,,6","20.36","4,,,6","2462",",,,6"
"USC00238466","1982-09","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","103.9","4,6","5",",0","4",",0","0",",0","0",",0","0",",0","0","4,6","0","4,6","0",",6","26",",6","3",",6","6.7","4,6,22,","0",",,0,30,+","0",",,0,30,+","10.9",",,0,15,","32.8",",6,14,+","1076.8",",,,6","26.9","6","26.9",",6","","","32.0",",,,0","0",",,,0","21.23","4,6","26.99",",,,6","15.47","4,,,6","1984",",,,6"
"USC00238466","1982-10","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","","","6",",0","3",",0","0",",0","0",",0","0",",0","","","","","0",",6","16",",6","0",",6","","","0",",,0,31,+","0",",,0,31,+","16.8",",,0,09,","31.7",",6,06,+","939.6",",,,6","","","","","","","34.9",",,,0","0",",,,0","","","21.78",",,,6","","","2674",",,,6"
"USC00238466","1982-11","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","","","8",",0","5",",0","0",",0","0",",0","0",",0","","","","","0","2,6","8","2,6","0","2,6","","","0",",,0,30,+","0",",,0,30,+","17.3",",,0,28,","27.2","2,6,01,","","","","","","","","","62.3",",,,0","0",",,,0","","","14.26","2,,,6","","","",""
"USC00238466","1982-12","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","","","9",",0","7",",0","1",",0","0",",0","0",",0","","","","","5",",6","4",",6","0",",6","","","0",",,0,31,+","0",",T,0,09,","26.7",",,0,02,","23.9",",6,02,","","","","","","","","","117.1",",,,0","0",",T,,0","","","9.78",",,,6","","","",""
"USC00238466","1983-01","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","","","3",",0","2",",0","0",",0","","","2",",0","","","","","0","1,6","0","1,6","0","1,6","","","","","51",",,0,27,","6.4",",,0,27,","18.3","1,6,14,","","","","","","","","","11.0",",,,0","76",",,,0","","","5.57","1,,,6","","","",""
"USC00238466","1983-02","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","0.0","4,6","7",",0","4",",0","0",",0","","","0",",0","0","4,6","17","4,6","2",",6","1",",6","0",",6","-12.8","4,6,07,","","","0",",,0,28,+","6.4",",,0,11,","21.7",",6,21,","","","","","350.0",",6","","","19.6",",,,0","0",",,,0","3.67","4,6","9.53",",,,6","-2.18","4,,,6","",""
"USC00238466","1983-03","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","","","10",",0","6",",0","0",",0","","","0",",0","","","","","0",",6","6",",6","0",",6","","","","","0",",T,0,11,+","16.5",",,0,20,","28.9",",6,04,","","","","","","","","","65.0",",,,0","0",",T,,0","","","12.45",",,,6","","","",""
"USC00238466","1983-04","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","","","18",",0","11",",0","1",",0","","","0",",0","","","","","0","1,6","6","1,6","0","1,6","","","","","0",",,0,30,+","25.7",",,0,28,","27.8","1,6,27,","970.1","1,,,6","","","","","","","141.4",",,,0","0",",,,0","","","15.10","1,,,6","","","5441",",,,6"
"USC00238466","1983-05","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","","","14",",0","10",",0","1",",0","0",",0","0",",0","0","5,6","0","5,6","0","1,6","21","1,6","0","1,6","4.4","5,6,09,","0",",,0,31,+","0",",,0,31,+","35.6",",,0,02,","29.4","1,6,07,","1583.7",",,,6","","","","","","","124.5",",,,0","0",",,,0","16.51","6,6","22.85","1,,,6","10.17","5,,,6","4073",",,,6"
"USC00238466","1983-07","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","289.1","1,6","3",",0","3",",0","0",",0","0",",0","0",",0","0",",6","0",",6","0","1,6","30","1,6","25","1,6","13.3",",6,08,","0",",,0,31,+","0",",,0,31,+","7.9",",,0,25,","41.1","1,6,25,","2598.4",",,,6","0.0","6","0.0","1,6","","","16.8",",,,0","0",",,,0","27.97","1,6","35.35","1,,,6","20.59",",,,6","2730",",,,6"
"USC00238466","1983-08","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","324.8","2,6","5",",0","4",",0","1",",0","0",",0","0",",0","0","2,6","0","2,6","0",",6","31",",6","29",",6","17.2","2,6,12,","0",",,0,31,+","0",",,0,31,+","37.6",",,0,03,","41.1",",6,18,","2451.1",",,,6","0.0","6","0.0",",6","","","54.4",",,,0","0",",,,0","29.60","2,6","37.77",",,,6","21.43","2,,,6","2122",",,,6"
"USC00238466","1983-09","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","","","9",",0","5",",0","0",",0","0",",0","0",",0","0","5,6","0","5,6","0","1,6","26","1,6","14","1,6","1.1","5,6,23,","0",",,0,30,+","0",",,0,30,+","18.3",",,0,13,","37.8","1,6,07,","1742.6",",,,6","","","","","","","51.5",",,,0","0",",,,0","21.94","6,6","29.76","1,,,6","14.11","5,,,6","3280",",,,6"
"USC00238466","1983-10","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","","","11",",0","7",",0","2",",0","0",",0","0",",0","","","","","0",",6","15",",6","0",",6","","","0",",,0,31,+","0",",,0,31,+","42.7",",,0,21,","31.1",",6,03,","942.5",",,,6","","","","","","","114.0",",,,0","0",",,,0","","","21.43",",,,6","","","3238",",,,6"
"USC00238466","1983-11","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","","","11",",0","9",",0","2",",0","0",",0","0",",0","","","","","0",",6","5",",6","0",",6","","","0",",,0,30,+","0",",,0,30,+","38.6",",,0,23,","25.0",",6,01,","","","","","","","","","160.7",",,,0","0",",,,0","","","15.16",",,,6","","","",""
"USC00238466","1983-12","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","0.0","5,6","","","","","","","","","3","3,0","9","5,6","23","5,6","15","1,6","0","1,6","0","1,6","-25.6","5,6,30,","","","38","3,,0,15,","","","10.6","1,6,08,","","","","","662.5","1,6","","","","","101","3,,,0","-6.98","5,6","-2.68","1,,,6","-11.28","5,,,6","",""
"USC00238466","1984-01","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","","","4",",0","0",",0","0",",0","","","2",",0","","","","","10","2,6","0","2,6","0","2,6","","","","","38",",,0,18,","2.0",",,0,16,","16.7","2,6,30,","","","","","","","","","4.1",",,,0","63",",,,0","","","3.43","2,,,6","","","",""
"USC00238466","1984-02","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","","","5",",0","3",",0","1",",0","1",",0","0","2,0","","","","","1",",6","3",",6","0",",6","","","25",",,0,27,","0","2,T,0,05,+","37.8",",,0,27,","22.8",",6,12,","","","","","","","","","58.7",",,,0","0","2,T,,0","","","12.04",",,,6","","","",""
"USC00238466","1984-03","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","0.0","5,6","13",",0","11",",0","1",",0","","","1",",0","0","5,6","13","5,6","1",",6","1",",6","0",",6","-9.4","5,6,09,","","","25",",,0,20,","44.7",",,0,19,","23.3",",6,16,","","","","","354.3",",6","","","130.4",",,,0","25",",,,0","4.53","5,6","8.71",",,,6","0.36","5,,,6","",""
"USC00238466","1984-05","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","27.5","2,6","10",",0","7",",0","1",",0","0",",0","0",",0","0","2,6","0","2,6","0",",6","20",",6","0",",6","3.3","2,6,30,+","0",",,0,31,+","0",",,0,31,+","26.7",",,0,20,","31.7",",6,14,","1579.8",",,,6","","","72.6",",6","","","78.2",",,,0","0",",,,0","16.74","2,6","23.42",",,,6","10.05","2,,,6","",""
"USC00238466","1984-06","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","194.4","1,6","12",",0","7",",0","0",",0","0",",0","0",",0","0","1,6","0","1,6","0",",6","30",",6","9",",6","11.7","1,6,03,","0",",,0,30,+","0",",,0,30,+","20.8",",,0,09,","34.4",",6,23,","1998.8",",,,6","","","0.0",",6","","","76.9",",,,0","0",",,,0","24.96","1,6","30.61",",,,6","19.31","1,,,6","",""
"USC00238466","1984-07","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","184.7",",6","6",",0","4",",0","1",",0","0",",0","0",",0","0",",6","0",",6","0",",6","31",",6","14",",6","11.7",",6,02,","0",",,0,31,+","0",",,0,31,+","101.6",",,0,04,","36.1",",6,23,","2052.3","1,,,6","0.0","6","0.0",",6","","","130.2",",,,0","0",",,,0","24.29",",6","31.43",",,,6","17.15",",,,6","",""
"USC00238466","1984-08","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","195.7","3,6","3",",0","3",",0","1",",0","0",",0","0",",0","0","3,6","0","3,6","0",",6","31",",6","22",",6","11.7","3,6,24,","0",",,0,31,+","0",",,0,31,+","37.6",",,0,22,","40.6",",6,30,","2174.1",",,,6","0.0","6","0.0",",6","","","61.5",",,,0","0",",,,0","25.34","3,6","33.30",",,,6","17.39","3,,,6","",""
"USC00238466","1984-09","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","","","13",",0","7",",0","1",",0","0",",0","0",",0","","","","","0","1,6","21","1,6","7","1,6","","","0",",,0,30,+","0",",,0,30,+","36.8",",,0,09,","37.2","1,6,01,","1625.7","1,,,6","","","","","","","91.9",",,,0","0",",,,0","","","26.10","1,,,6","","","",""
"USC00238466","1984-10","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","7.7","4,6","17",",0","13",",0","1",",0","0",",0","0",",0","0","3,6","3","3,6","0","1,6","17","1,6","0","1,6","-0.6","3,6,01,","0",",,0,31,+","0",",,0,31,+","32.5",",,0,17,","26.1","1,6,07,+","848.3",",,,6","","","118.9","1,6","","","149.3",",,,0","0",",,,0","14.35","4,6","20.13","1,,,6","8.57","3,,,6","",""
"USC00238466","1984-11","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","0.9","2,6","8",",0","4",",0","1",",0","0",",0","0",",0","0","1,6","16","1,6","0","2,6","2","2,6","0","2,6","-6.7","1,6,21,","0",",,0,30,+","0",",,0,30,+","27.9",",,0,01,","26.7","2,6,01,","","","","","304.2","2,6","","","83.5",",,,0","0",",,,0","7.51","2,6","14.26","2,,,6","0.75","1,,,6","",""
"USC00238466","1984-12","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","0.0","5,6","10","1,0","8","1,0","1","1,0","1",",0","1",",0","0","4,6","19","4,6","1","3,6","2","3,6","0","3,6","-14.4","4,6,07,","25",",,0,05,","25",",,0,05,","38.6","1,,0,30,","22.2","3,6,17,","","","","","345.3","3,6","","","98.6","1,,,0","25",",,,0","5.06","5,6","11.71","3,,,6","-1.59","4,,,6","",""
"USC00238466","1985-01","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","","","6",",0","6",",0","1",",0","25",",0","6",",0","3","4,6","26","4,6","8","4,6","0","4,6","0","4,6","-23.3","4,6,21,+","203",",,0,22,+","102",",,0,20,","36.1",",,0,01,","8.3","4,6,07,","","","","","","","","","66.7",",,,0","376",",,,0","-4.32","7,6","1.01","4,,,6","-9.66","4,,,6","",""
"USC00238466","1985-02","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","0.0","3,6","8",",0","7",",0","2",",0","17",",0","2",",0","5","2,6","23","2,6","10","1,6","0","1,6","0","1,6","-24.4","2,6,06,","127",",,0,06,+","89",",,0,05,","54.6",",,0,23,","17.8","1,6,23,","","","","","557.6","1,6","","","137.8",",,,0","114",",,,0","-3.55","3,6","2.87","1,,,6","-9.98","2,,,6","",""
"USC00238466","1985-03","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","3.4",",6","10",",0","7",",0","1",",0","0",",0","0",",0","0",",6","13",",6","0",",6","4",",6","0",",6","-3.9",",6,06,+","0",",,0,31,+","0",",,0,31,+","49.5",",,0,30,","26.7",",6,29,","","","","","297.5",",6","","","109.0",",,,0","0",",,,0","8.84",",6","14.96",",,,6","2.73",",,,6","",""
"USC00238466","1985-04","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","28.4",",6","11",",0","6",",0","0",",0","0",",0","0",",0","0",",6","3",",6","0",",6","18",",6","0",",6","-2.8",",6,09,+","0",",,0,30,+","0",",,0,30,+","19.8",",,0,05,","29.4",",6,19,","","","","","137.6",",6","","","72.7",",,,0","0",",,,0","14.69",",6","21.09",",,,6","8.29",",,,6","",""
"USC00238466","1985-05","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","35.6",",6","12",",0","10",",0","4",",0","0",",0","0",",0","0",",6","0",",6","0",",6","27",",6","0",",6","5.0",",6,03,","0",",,0,31,+","0",",,0,31,+","46.2",",,0,30,","31.7",",6,27,+","2001.5","1,,,6","","","37.6",",6","","","221.1",",,,0","0",",,,0","18.27",",6","24.60",",,,6","11.93",",,,6","",""
"USC00238466","1985-06","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","85.0",",6","12",",0","12",",0","2",",0","0",",0","0",",0","0",",6","0",",6","0",",6","27",",6","4",",6","8.3",",6,13,","0",",,0,30,+","0",",,0,30,+","34.0",",,0,05,","32.8",",6,27,+","1810.8",",,,6","","","8.6",",6","","","182.5",",,,0","0",",,,0","20.88",",6","26.55",",,,6","15.21",",,,6","",""
"USC00238466","1985-07","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","236.3",",6","5",",0","3",",0","0",",0","0",",0","0",",0","0",",6","0",",6","0",",6","31",",6","22",",6","13.9",",6,01,","0",",,0,31,+","0",",,0,31,+","10.9",",,0,05,","37.2",",6,31,+","2622.5",",,,6","0.0","0","0.0",",6","","","26.9",",,,0","0",",,,0","25.95",",6","32.89",",,,6","19.02",",,,6","",""
"USC00238466","1985-08","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","164.0",",6","14",",0","9",",0","2",",0","0",",0","0",",0","0",",6","0",",6","0",",6","30",",6","9",",6","13.3",",6,27,","0",",,0,31,+","0",",,0,31,+","48.3",",,0,23,","37.2",",6,01,","1737.7",",,,6","0.0","0","0.0",",6","","","139.5",",,,0","0",",,,0","23.62",",6","29.06",",,,6","18.18",",,,6","",""
"USC00238466","1985-09","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","107.7","2,6","7",",0","5",",0","0",",0","0",",0","0",",0","0","1,6","0","1,6","0","1,6","23","1,6","8","1,6","1.7","1,6,27,","0",",,0,30,+","0",",,0,30,+","19.6",",,0,23,","36.7","1,6,02,","1635.7",",,,6","45.2","0","45.2","1,6","","","61.6",",,,0","0",",,,0","20.34","2,6","26.22","1,,,6","14.47","1,,,6","",""
"USC00238466","1985-10","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","0.9",",6","14",",0","10",",0","1",",0","0",",0","0",",0","0",",6","2",",6","0",",6","8",",6","0",",6","0.0",",6,02,+","0",",,0,31,+","0",",,0,31,+","51.1",",,0,19,","22.8",",6,27,","932.2",",,,6","223.7","0","178.5",",6","","","119.3",",,,0","0",",,,0","12.60",",6","17.65",",,,6","7.56",",,,6","",""
"USC00238466","1985-11","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","","","13",",0","9",",0","4",",0","0",",0","0",",0","0","1,6","16","1,6","","","","","","","-6.7","1,6,20,","0",",,0,30,+","0",",,0,30,+","48.5",",,0,19,","","","","","","","","","","","223.1",",,,0","0",",,,0","","","","","0.77","1,,,6","",""
"USC00238466","1985-12","38.25974","-93.41358","229.8","TRUMAN DAM AND RESERVOIR, MO US","","","0.0","2,0","4","1,0","4","1,0","2","1,0","","","0",",0","0","2,0","29","2,0","12",",0","0",",0","0",",0","-15.6","2,0,25,+","","","8",",,0,19,","45.7","1,,0,01,","14.4",",0,31,","","","","","625.1",",0","","","104.6","1,,,0","8",",,,0","-3.40","2,0","2.39",",,,0","-9.19","2,,,0","",""
