"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00230536","1895-04","38.25","-91.75","312.1","BELLE, MO US","","","","","6",",6","4",",6","1",",6","0",",6","","","","","","","","","","","","","","","15",",,6,01,","51.3",",,6,09,","","","","","","","74.6",",,,6","15",",,,6","","","","","",""
"USC00230536","1895-05","38.25","-91.75","312.1","BELLE, MO US","","","","","9",",6","9",",6","0",",6","","","","","","","","","","","","","","","","","","","23.9",",,6,15,","","","","","","","114.1",",,,6","","","","","","","",""
"USC00230536","1895-06","38.25","-91.75","312.1","BELLE, MO US","","","","","9",",6","6",",6","3",",6","","","","","","","","","","","","","","","","","","","35.6",",,6,29,+","","","","","","","131.6",",,,6","","","","","","","",""
"USC00230536","1895-07","38.25","-91.75","312.1","BELLE, MO US","","","","","20",",6","11",",6","3",",6","","","","","","","","","","","","","","","","","","","44.2",",,6,30,","","","","","","","200.0",",,,6","","","","","","","",""
"USC00230536","1895-08","38.25","-91.75","312.1","BELLE, MO US","","","","","6",",6","6",",6","2",",6","","","","","","","","","","","","","","","","","","","44.7",",,6,20,","","","","","","","143.5",",,,6","","","","","","","",""
"USC00230536","1895-09","38.25","-91.75","312.1","BELLE, MO US","","","157.1",",6","5",",6","2",",6","1",",6","","","0",",6","1",",6","0",",6","29",",6","15",",6","","","-5.0",",6,30,","","","33.0",",,6,04,","38.9",",6,12,","","","36.4",",6","37.3",",,,6","","","22.36",",6","30.69",",,,6","14.03",",,,6"
"USC00230536","1895-10","38.25","-91.75","312.1","BELLE, MO US","","","0.0",",6","3",",6","2",",6","0",",6","","","0",",6","19",",6","0",",6","16",",6","0",",6","","","-11.1",",6,29,","","","6.6",",,6,06,","28.9",",6,14,","","","274.4",",6","13.2",",,,6","","","9.48",",6","19.49",",,,6","-0.53",",,,6"
"USC00230536","1895-11","38.25","-91.75","312.1","BELLE, MO US","","","0.0",",6","11",",6","7",",6","0",",6","1",",6","0",",6","20",",6","0",",6","5",",6","0",",6","","","-10.6",",6,27,","127",",,6,26,","22.6",",,6,08,","23.9",",6,04,","","","383.4",",6","82.2",",,,6","127",",,,6","5.55",",6","12.76",",,,6","-1.65",",,,6"
"USC00230536","1895-12","38.25","-91.75","312.1","BELLE, MO US","","","0.0",",6","13",",6","8",",6","2",",6","3",",6","2",",6","20",",6","3",",6","0",",6","0",",6","","","-21.7",",6,05,","51",",,6,04,+","91.2",",,6,19,","16.1",",6,18,","","","494.0",",6","214.3",",,,6","143",",,,6","2.40",",6","8.25",",,,6","-3.46",",,,6"
"USC00230536","1896-01","38.25","-91.75","312.1","BELLE, MO US","0.0","6","0.0","2,6","5","2,6","3","2,6","0","2,6","0",",6","0","1,6","21","1,6","2","1,6","0","1,6","0","1,6","","","-16.1","1,6,03,","13",",,6,24,","20.3","2,,6,22,","16.7","1,6,11,","","","462.4","1,6","30.2","2,,,6","13",",,,6","2.19","2,6","8.21","1,,,6","-3.83","1,,,6"
"USC00230536","1896-02","38.25","-91.75","312.1","BELLE, MO US","0.0","6","0.0",",6","6","2,6","5","2,6","0","2,6","2",",6","0",",6","23",",6","1",",6","2",",6","0",",6","","","-15.0",",6,21,+","127",",,6,02,","18.3","2,,6,12,","24.4",",6,26,","","","453.7",",6","48.2","2,,,6","193",",,,6","2.69",",6","9.42",",,,6","-4.04",",,,6"
"USC00230536","1896-03","38.25","-91.75","312.1","BELLE, MO US","0.0","6","0.0",",6","11",",6","6",",6","1",",6","1",",6","0",",6","21",",6","0",",6","7",",6","0",",6","","","-15.6",",6,13,","33",",,6,11,","29.5",",,6,22,","27.8",",6,18,","","","403.4",",6","63.0",",,,6","56",",,,6","5.32",",6","12.87",",,,6","-2.23",",,,6"
"USC00230536","1896-04","38.25","-91.75","312.1","BELLE, MO US","59.5","6","59.5",",6","8",",6","7",",6","1",",6","","","0",",6","5",",6","0",",6","25",",6","2",",6","","","-5.6",",6,03,","","","27.9",",,6,12,","32.2",",6,27,+","","","79.9",",6","92.3",",,,6","","","17.65",",6","25.27",",,,6","10.03",",,,6"
"USC00230536","1896-05","38.25","-91.75","312.1","BELLE, MO US","160.0","6","100.5",",6","15",",6","13",",6","4",",6","","","0",",6","0",",6","0",",6","30",",6","10",",6","","","4.4",",6,16,","","","66.0",",,6,20,","34.4",",6,11,+","","","13.6",",6","292.7",",,,6","","","21.13",",6","29.27",",,,6","13.00",",,,6"
"USC00230536","1896-06","38.25","-91.75","312.1","BELLE, MO US","324.4","6","164.4",",6","13",",6","10",",6","2",",6","","","0",",6","0",",6","0",",6","28",",6","16",",6","","","8.9",",6,11,","","","52.6",",,6,22,","38.3",",6,19,","","","10.5",",6","152.0",",,,6","","","23.46",",6","30.63",",,,6","16.30",",,,6"
