"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00415721","1943-06","26.565","-98.1236","67.1","MCCOOK, TX US","978.1","0","329.0",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","28",",0","","","","","19.4",",0,30,","0",",,0,30,+","0",",,0,30,+","1.0",",,0,04,","38.3",",0,30,+","","","335.7","0","0.0",",0","","","","","1.0",",,,0","0",",,,0","29.30",",0","35.42",",,,0","23.18",",,,0","",""
"USC00415721","1943-07","26.565","-98.1236","67.1","MCCOOK, TX US","1367.2","0","389.1",",0","4",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","2","","20.6",",0,10,+","0",",,0,31,+","0",",,0,31,+","42.2",",,0,10,","41.1",",0,24,","","","0.0","0","0.0",",0","","","","","50.3",",,,0","0",",,,0","30.89",",0","38.26",",,,0","23.51",",,,0","",""
"USC00415721","1943-08","26.565","-98.1236","67.1","MCCOOK, TX US","1761.0","0","393.8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","1","","21.7",",0,31,+","0",",,0,31,+","0",",,0,31,+","2.3",",,0,28,","41.1",",0,17,","","","0.0","0","0.0",",0","","","","","3.6",",,,0","0",",,,0","31.04",",0","38.49",",,,0","23.58",",,,0","",""
"USC00415721","1943-09","26.565","-98.1236","67.1","MCCOOK, TX US","2022.9","0","261.9",",0","11",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","17",",0","","","2","","17.2",",0,20,","0",",,0,30,+","0",",,0,30,+","40.6",",,0,26,","40.0",",0,06,","","","0.0","0","0.0",",0","","","","","131.5",",,,0","0",",,,0","27.06",",0","32.42",",,,0","21.70",",,,0","",""
"USC00415721","1943-10","26.565","-98.1236","67.1","MCCOOK, TX US","2157.0","0","134.1",",0","3",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","","","","","9.4",",0,26,","0",",,0,31,+","0",",,0,31,+","42.2",",,0,10,","31.7",",0,30,+","","","1.1","0","1.1",",0","","","","","45.7",",,,0","0",",,,0","22.62",",0","28.93",",,,0","16.32",",,,0","",""
"USC00415721","1943-11","26.565","-98.1236","67.1","MCCOOK, TX US","2197.8","0","40.8",",0","10",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","1",",0","1","","","","2.8",",0,08,","0",",,0,30,+","0",",,0,30,+","26.9",",,0,16,","32.2",",0,06,","","","51.6","0","50.5",",0","","","","","53.6",",,,0","0",",,,0","18.01",",0","24.11",",,,0","11.91",",,,0","",""
"USC00415721","1943-12","26.565","-98.1236","67.1","MCCOOK, TX US","2215.0","0","17.2","1,0","10",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","2","1,0","0",",0","15",",0","0",",0","3","","1","","-2.2","1,0,16,","0",",,0,31,+","0",",,0,31,+","11.2",",,0,15,","27.8",",0,10,+","","","181.5","0","129.9",",0","","","","","40.5",",,,0","0",",,,0","14.60","1,0","20.40",",,,0","8.80","1,,,0","",""
"USC00415721","1944-01","26.565","-98.1236","67.1","MCCOOK, TX US","17.5","0","17.5",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","17",",0","0",",0","2","","1","","-3.3",",0,15,+","0",",,0,31,+","0",",,0,31,+","3.0",",,0,29,+","31.1",",0,26,","","","307.6","0","126.1",",0","","","","","14.3",",,,0","0",",,,0","14.83",",0","21.22",",,,0","8.44",",,,0","",""
"USC00415721","1944-02","26.565","-98.1236","67.1","MCCOOK, TX US","106.4","0","88.9",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","4",",0","4","","","","1.7",",0,12,","0",",,0,29,+","0",",,0,29,+","2.0",",,0,20,","35.6",",0,26,+","","","344.3","0","36.7",",0","","","","","7.5",",,,0","0",",,,0","20.13",",0","26.13",",,,0","14.13",",,,0","",""
"USC00415721","1944-03","26.565","-98.1236","67.1","MCCOOK, TX US","223.0","0","116.6",",0","8",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","5",",0","1","","","","3.9",",0,30,","0",",,0,31,+","0",",,0,31,+","19.6",",,0,10,","38.3",",0,26,","","","365.1","0","20.8",",0","","","","","66.0",",,,0","0",",,,0","21.42",",0","27.65",",,,0","15.20",",,,0","",""
