"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00412364","1923-12","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","11",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","5.1",",,6,04,+","","","","","","","","","23.9",",,,6","","","","","","","","","",""
"USC00412364","1924-01","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","5",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","1.5",",,6,31,","","","","","","","","","3.7",",,,6","","","","","","","","","",""
"USC00412364","1924-02","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","8",",6","3",",6","0",",6","1",",6","","","","","","","","","","","","","","","","","81",",,6,25,","20.1",",,6,18,","","","","","","","","","37.0",",,,6","81",",,,6","","","","","","","",""
"USC00412364","1924-03","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","8",",6","2",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","4.6",",,6,05,","","","","","","","","","14.0",",,,6","0",",,,6","","","","","","","",""
"USC00412364","1924-04","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","4",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","12.2",",,6,09,","","","","","","","","","28.2",",,,6","","","","","","","","","",""
"USC00412364","1924-05","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","8",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","9.4",",,6,16,","","","","","","","","","33.9",",,,6","","","","","","","","","",""
"USC00412364","1924-06","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","16.0",",,6,02,","","","","","","","","","16.0",",,,6","","","","","","","","","",""
"USC00412364","1924-07","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","7.4",",,6,19,","","","","","","","","","12.3",",,,6","","","","","","","","","",""
"USC00412364","1924-08","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","0.0",",,6,31,+","","","","","","","","","0.0",",,,6","","","","","","","","","",""
"USC00412364","1924-09","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","10",",6","5",",6","2",",6","","","","","","","","","","","","","","","","","","","","","29.0",",,6,14,","","","","","","","","","94.8",",,,6","","","","","","","","","",""
"USC00412364","1924-10","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","1",",6","1",",6","1",",6","","","","","","","","","","","","","","","","","","","","","29.0",",,6,07,","","","","","","","","","29.0",",,,6","","","","","","","","","",""
"USC00412364","1924-11","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","0.3",",,6,11,","","","","","","","","","0.3",",,,6","","","","","","","","","",""
"USC00412364","1924-12","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","6.4",",,6,12,","","","","","","","","","6.4",",,,6","","","","","","","","","",""
"USC00412364","1925-01","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","2",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","0.5",",,6,16,+","","","","","","","","","1.0",",,,6","","","","","","","","","",""
"USC00412364","1925-02","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","0.0",",,6,28,+","","","","","","","","","0.0",",,,6","","","","","","","","","",""
"USC00412364","1925-03","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","2",",6","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","10.2",",,6,23,","","","","","","","","","10.7",",,,6","0",",,,6","","","","","","","",""
"USC00412364","1925-04","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","5",",6","3",",6","1",",6","","","","","","","","","","","","","","","","","","","","","27.4",",,6,27,","","","","","","","","","36.1",",,,6","","","","","","","","","",""
"USC00412364","1925-05","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","9",",6","7",",6","3",",6","","","","","","","","","","","","","","","","","","","","","65.0",",,6,28,","","","","","","","","","202.9",",,,6","","","","","","","","","",""
"USC00412364","1925-06","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","2.5",",,6,10,","","","","","","","","","2.5",",,,6","","","","","","","","","",""
"USC00412364","1925-07","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","4",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","20.3",",,6,13,","","","","","","","","","47.2",",,,6","","","","","","","","","",""
"USC00412364","1925-08","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","4",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","19.6",",,6,03,","","","","","","","","","44.7",",,,6","","","","","","","","","",""
"USC00412364","1925-09","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","13",",6","9",",6","0",",6","","","","","","","","","","","","","","","","","","","","","15.2",",,6,07,","","","","","","","","","65.6",",,,6","","","","","","","","","",""
"USC00412364","1925-10","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","10",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","10.4",",,6,26,","","","","","","","","","48.5",",,,6","","","","","","","","","",""
"USC00412364","1925-11","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","6",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","5.1",",,6,06,","","","","","","","","","13.3",",,,6","","","","","","","","","",""
"USC00412364","1925-12","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","8",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","3.8",",,6,14,","","","","","","","","","18.0",",,,6","","","","","","","","","",""
"USC00412364","1926-01","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","5",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","11.4",",,6,24,","","","","","","","","","21.5",",,,6","","","","","","","","","",""
"USC00412364","1926-02","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","1.0",",,6,17,","","","","","","","","","1.0",",,,6","","","","","","","","","",""
"USC00412364","1926-03","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","8",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","15.5",",,6,25,","","","","","","","","","48.8",",,,6","","","","","","","","","",""
"USC00412364","1926-04","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","10",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","22.4",",,6,21,","","","","","","","","","43.2",",,,6","","","","","","","","","",""
"USC00412364","1926-05","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","7",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","24.6",",,6,01,","","","","","","","","","51.4",",,,6","","","","","","","","","",""
"USC00412364","1926-06","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","6",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","61.5",",,6,23,","","","","","","","","","87.9",",,,6","","","","","","","","","",""
"USC00412364","1926-07","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","8",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","","","45.7",",,6,23,","","","","","","","","","84.9",",,,6","","","","","","","","","",""
"USC00412364","1926-08","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","5.8",",,6,25,","","","","","","","","","5.8",",,,6","","","","","","","","","",""
"USC00412364","1926-09","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","2",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","10.9",",,6,28,","","","","","","","","","11.9",",,,6","","","","","","","","","",""
"USC00412364","1926-10","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","4",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","89.7",",,6,15,","","","","","","","","","129.1",",,,6","","","","","","","","","",""
"USC00412364","1926-11","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","3",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","","","","","54.9",",,6,02,","","","","","","","","","73.2",",,,6","","","","","","","","","",""
"USC00412364","1926-12","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","9",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","19.8",",,6,06,","","","","","","","","","33.9",",,,6","","","","","","","","","",""
"USC00412364","1927-01","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","6",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","1.8",",,6,23,","","","","","","","","","4.3",",,,6","","","","","","","","","",""
"USC00412364","1927-02","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","6",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","39.1",",,6,09,","","","","","","","","","60.7",",,,6","","","","","","","","","",""
"USC00412364","1927-03","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","6",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","7.6",",,6,28,","","","","","","","","","15.6",",,,6","","","","","","","","","",""
"USC00412364","1927-04","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","5",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","20.3",",,6,12,","","","","","","","","","34.6",",,,6","","","","","","","","","",""
"USC00412364","1927-05","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","2",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","4.1",",,6,13,","","","","","","","","","4.4",",,,6","","","","","","","","","",""
"USC00412364","1927-06","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","9",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","19.3",",,6,14,","","","","","","","","","61.0",",,,6","","","","","","","","","",""
"USC00412364","1927-07","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","9",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","15.2",",,6,26,","","","","","","","","","42.5",",,,6","","","","","","","","","",""
"USC00412364","1927-08","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","6.1",",,6,19,","","","","","","","","","9.7",",,,6","","","","","","","","","",""
"USC00412364","1927-09","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","7",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","6.1",",,6,10,","","","","","","","","","15.1",",,,6","","","","","","","","","",""
"USC00412364","1927-10","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","4",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","","","","","42.2",",,6,02,","","","","","","","","","62.0",",,,6","","","","","","","","","",""
"USC00412364","1927-11","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","0.0",",T,6,28,+","","","","","","","","","0.0",",T,,6","","","","","","","","","",""
"USC00412364","1927-12","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","9",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","2.5",",,6,21,","","","","","","","","","9.3",",,,6","","","","","","","","","",""
"USC00412364","1928-01","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","7",",6","4",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","23",",,6,21,","7.6",",,6,21,","","","","","","","","","18.1",",,,6","23",",,,6","","","","","","","",""
"USC00412364","1928-02","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","10",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","5.1",",,6,04,","","","","","","","","","20.7",",,,6","","","","","","","","","",""
"USC00412364","1928-03","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","3",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","8.1",",,6,10,","","","","","","","","","8.9",",,,6","","","","","","","","","",""
"USC00412364","1928-04","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","10.2",",,6,09,","","","","","","","","","13.0",",,,6","","","","","","","","","",""
"USC00412364","1928-05","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","7",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","51.6",",,6,13,","","","","","","","","","95.6",",,,6","","","","","","","","","",""
"USC00412364","1928-06","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","3",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","15.7",",,6,02,","","","","","","","","","18.0",",,,6","","","","","","","","","",""
"USC00412364","1928-07","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","3",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","","","","","29.2",",,6,28,","","","","","","","","","35.1",",,,6","","","","","","","","","",""
"USC00412364","1928-08","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","4",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","37.1",",,6,08,","","","","","","","","","59.7",",,,6","","","","","","","","","",""
"USC00412364","1928-09","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","11",",6","9",",6","1",",6","","","","","","","","","","","","","","","","","","","","","85.1",",,6,22,","","","","","","","","","179.5",",,,6","","","","","","","","","",""
"USC00412364","1928-10","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","3",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","13.2",",,6,16,","","","","","","","","","18.0",",,,6","","","","","","","","","",""
"USC00412364","1928-11","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","4",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","1.3",",,6,01,","","","","","","","","","3.3",",,,6","","","","","","","","","",""
"USC00412364","1928-12","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","8",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","7.6",",,6,01,","","","","","","","","","19.6",",,,6","","","","","","","","","",""
"USC00412364","1929-01","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","4",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","9.1",",,6,09,","","","","","","","","","10.7",",,,6","","","","","","","","","",""
"USC00412364","1929-02","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","6",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","2.0",",,6,08,","","","","","","","","","4.7",",,,6","","","","","","","","","",""
"USC00412364","1929-03","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","10",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","7.6",",,6,18,","","","","","","","","","18.4",",,,6","","","","","","","","","",""
"USC00412364","1929-04","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","4",",6","1",",6","1",",6","","","","","","","","","","","","","","","","","","","","","28.4",",,6,08,","","","","","","","","","29.8",",,,6","","","","","","","","","",""
"USC00412364","1929-05","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","7",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","","","","","46.7",",,6,24,","","","","","","","","","112.0",",,,6","","","","","","","","","",""
"USC00412364","1929-06","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","3",",6","3",",6","2",",6","","","","","","","","","","","","","","","","","","","","","45.7",",,6,26,","","","","","","","","","84.3",",,,6","","","","","","","","","",""
"USC00412364","1929-07","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","6",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","23.9",",,6,03,","","","","","","","","","33.5",",,,6","","","","","","","","","",""
"USC00412364","1929-08","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","0.0",",T,6,28,+","","","","","","","","","0.0",",T,,6","","","","","","","","","",""
"USC00412364","1929-09","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","6",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","17.3",",,6,16,","","","","","","","","","37.4",",,,6","","","","","","","","","",""
"USC00412364","1929-10","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","7",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","14.2",",,6,27,","","","","","","","","","30.2",",,,6","","","","","","","","","",""
"USC00412364","1929-11","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","4",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","1.3",",,6,09,","","","","","","","","","2.2",",,,6","","","","","","","","","",""
"USC00412364","1929-12","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","5",",6","3",",6","1",",6","","","","","","","","","","","","","","","","","","","","","30.7",",,6,13,","","","","","","","","","51.1",",,,6","","","","","","","","","",""
"USC00412364","1930-01","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","3",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","1.5",",,6,09,","","","","","","","","","2.3",",,,6","","","","","","","","","",""
"USC00412364","1930-02","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","0.0",",T,6,28,+","","","","","","","","","0.0",",T,,6","","","","","","","","","",""
"USC00412364","1930-03","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","7",",6","3",",6","1",",6","","","","","","","","","","","","","","","","","","","","","28.4",",,6,18,","","","","","","","","","37.8",",,,6","","","","","","","","","",""
"USC00412364","1930-04","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","6",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","25.1",",,6,28,","","","","","","","","","51.1",",,,6","","","","","","","","","",""
"USC00412364","1930-05","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","9",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","10.2",",,6,17,","","","","","","","","","25.8",",,,6","","","","","","","","","",""
"USC00412364","1930-06","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","9",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","","","38.9",",,6,12,","","","","","","","","","55.7",",,,6","","","","","","","","","",""
"USC00412364","1930-07","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","3",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","8.9",",,6,15,","","","","","","","","","14.3",",,,6","","","","","","","","","",""
"USC00412364","1930-08","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","3",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","9.7",",,6,01,","","","","","","","","","11.8",",,,6","","","","","","","","","",""
"USC00412364","1930-09","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","1.0",",,6,28,","","","","","","","","","1.0",",,,6","","","","","","","","","",""
"USC00412364","1930-10","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","15",",6","9",",6","3",",6","","","","","","","","","","","","","","","","","","","","","123.4",",,6,04,","","","","","","","","","297.0",",,,6","","","","","","","","","",""
"USC00412364","1930-11","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","10",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","","","17.5",",,6,09,","","","","","","","","","55.8",",,,6","","","","","","","","","",""
"USC00412364","1930-12","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","8.6",",,6,31,","","","","","","","","","17.7",",,,6","","","","","","","","","",""
"USC00412364","1931-01","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","10",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","","","24.4",",,6,27,","","","","","","","","","104.6",",,,6","","","","","","","","","",""
"USC00412364","1931-02","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","9",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","14.5",",,6,16,","","","","","","","","","26.5",",,,6","","","","","","","","","",""
"USC00412364","1931-03","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","3",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","13.0",",,6,16,","","","","","","","","","16.8",",,,6","","","","","","","","","",""
"USC00412364","1931-04","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","11",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","","","22.9",",,6,27,","","","","","","","","","68.3",",,,6","","","","","","","","","",""
"USC00412364","1931-05","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","11",",6","7",",6","2",",6","","","","","","","","","","","","","","","","","","","","","59.4",",,6,02,","","","","","","","","","154.9",",,,6","","","","","","","","","",""
"USC00412364","1931-06","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","6",",6","3",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,30,+","40.9",",,6,29,+","","","","","","","","","101.2",",,,6","0",",,,6","","","","","","","",""
"USC00412364","1931-07","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","5",",6","2",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","25.7",",,6,11,","","","","","","","","","46.9",",,,6","0",",,,6","","","","","","","",""
"USC00412364","1931-08","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","3",",6","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","0",",,6,31,+","64.3",",,6,11,","","","","","","","","","65.1",",,,6","0",",,,6","","","","","","","",""
"USC00412364","1931-09","29.33167","-100.92972","264.9","DEL RIO 4 SW, TX US","","","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","0.0",",T,6,27,","","","","","","","","","0.0",",T,,6","","","","","","","","","",""
