"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00135834","1899-04","41.08333","-93.98333",,"MURRAY, IA US","","","","","7",",6","6",",6","0",",6","0",",6","","","","","","","","","","","","","","","0",",T,6,06,+","19.8",",,6,29,","","","","","75.4",",,,6","0",",T,,6","","","","","",""
"USC00135834","1899-05","41.08333","-93.98333",,"MURRAY, IA US","","","","","10",",6","10",",6","1",",6","","","","","","","","","","","","","","","","","","","73.7",",,6,20,","","","","","174.9",",,,6","","","","","","","",""
"USC00135834","1899-06","41.08333","-93.98333",,"MURRAY, IA US","","","","","10",",6","7",",6","1",",6","0",",6","","","","","","","","","","","","","","","0",",,6,30,+","38.1",",,6,14,","","","","","72.6",",,,6","0",",,,6","","","","","",""
"USC00135834","1899-07","41.08333","-93.98333",,"MURRAY, IA US","","","","","8",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","","","56.6",",,6,02,","","","","","119.7",",,,6","","","","","","","",""
"USC00135834","1899-08","41.08333","-93.98333",,"MURRAY, IA US","","","","","4",",6","4",",6","2",",6","","","","","","","","","","","","","","","","","","","50.8",",,6,07,","","","","","105.4",",,,6","","","","","","","",""
"USC00135834","1899-09","41.08333","-93.98333",,"MURRAY, IA US","","","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","7.6",",,6,07,","","","","","7.6",",,,6","","","","","","","",""
"USC00135834","1899-10","41.08333","-93.98333",,"MURRAY, IA US","","","","","3",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","15.2",",,6,25,","","","","","24.1",",,,6","","","","","","","",""
"USC00135834","1899-11","41.08333","-93.98333",,"MURRAY, IA US","","","","","4",",6","3",",6","0",",6","0",",6","","","","","","","","","","","","","","","0",",T,6,29,+","12.7",",,6,20,","","","","","22.3",",,,6","0",",T,,6","","","","","",""
"USC00135834","1899-12","41.08333","-93.98333",,"MURRAY, IA US","","","","","7",",6","3",",6","0",",6","3",",6","","","","","","","","","","","","","","","25",",,6,25,+","21.1",",,6,10,","","","","","46.4",",,,6","75",",,,6","","","","","",""
"USC00135834","1900-01","41.08333","-93.98333",,"MURRAY, IA US","","","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","0.0",",T,6,16,+","","","","","0.0",",T,,6","","","","","","","",""
"USC00135834","1900-02","41.08333","-93.98333",,"MURRAY, IA US","","","","","5",",6","5",",6","0",",6","5",",6","","","","","","","","","","","","","","","76",",,6,25,+","7.6",",,6,25,+","","","","","25.3",",,,6","253",",,,6","","","","","",""
"USC00135834","1900-03","41.08333","-93.98333",,"MURRAY, IA US","","","","","5",",6","3",",6","0",",6","1",",6","","","","","","","","","","","","","","","76",",,6,05,","22.4",",,6,27,","","","","","34.8",",,,6","76",",,,6","","","","","",""
"USC00135834","1900-04","41.08333","-93.98333",,"MURRAY, IA US","","","","","2",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","","","33.0",",,6,16,","","","","","46.2",",,,6","","","","","","","",""
"USC00135834","1900-05","41.08333","-93.98333",,"MURRAY, IA US","","","","","3",",6","3",",6","2",",6","","","","","","","","","","","","","","","","","","","99.1",",,6,20,","","","","","144.1",",,,6","","","","","","","",""
"USC00135834","1900-06","41.08333","-93.98333",,"MURRAY, IA US","","","","","5",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","25.4",",,6,28,","","","","","67.3",",,,6","","","","","","","",""
"USC00135834","1900-07","41.08333","-93.98333",,"MURRAY, IA US","","","","","4",",6","4",",6","2",",6","","","","","","","","","","","","","","","","","","","68.6",",,6,16,","","","","","172.0",",,,6","","","","","","","",""
"USC00135834","1900-08","41.08333","-93.98333",,"MURRAY, IA US","","","","","2",",6","2",",6","2",",6","","","","","","","","","","","","","","","","","","","45.7",",,6,16,","","","","","81.3",",,,6","","","","","","","",""
"USC00135834","1900-09","41.08333","-93.98333",,"MURRAY, IA US","","","","","4",",6","4",",6","2",",6","","","","","","","","","","","","","","","","","","","76.2",",,6,25,","","","","","128.8",",,,6","","","","","","","",""
"USC00135834","1900-10","41.08333","-93.98333",,"MURRAY, IA US","","","","","3",",6","3",",6","2",",6","","","","","","","","","","","","","","","","","","","104.6",",,6,31,","","","","","135.6",",,,6","","","","","","","",""
"USC00135834","1901-01","41.08333","-93.98333",,"MURRAY, IA US","","","","","2",",6","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","8",",,6,09,","0.8",",,6,09,","","","","","1.1",",,,6","11",",,,6","","","","","",""
"USC00135834","1901-02","41.08333","-93.98333",,"MURRAY, IA US","","","","","2",",6","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","20",",,6,09,","2.0",",,6,09,","","","","","3.0",",,,6","30",",,,6","","","","","",""
"USC00135834","1901-03","41.08333","-93.98333",,"MURRAY, IA US","","","","","3","1,6","2","1,6","0","1,6","","","","","","","","","","","","","","","","","","","7.6","1,,6,29,","","","","","10.6","1,,,6","","","","","","","",""
"USC00135834","1901-04","41.08333","-93.98333",,"MURRAY, IA US","","","","","4",",6","3",",6","0",",6","0",",6","","","","","","","","","","","","","","","8",",,6,01,","15.2",",,6,06,","","","","","28.7",",,,6","8",",,,6","","","","","",""
"USC00135834","1901-05","41.08333","-93.98333",,"MURRAY, IA US","","","","","4",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","25.4",",,6,15,","","","","","65.8",",,,6","","","","","","","",""
"USC00135834","1901-06","41.08333","-93.98333",,"MURRAY, IA US","","","","","4",",6","4",",6","3",",6","","","","","","","","","","","","","","","","","","","63.5",",,6,20,","","","","","121.9",",,,6","","","","","","","",""
"USC00135834","1901-07","41.08333","-93.98333",,"MURRAY, IA US","","","","","6",",6","5",",6","2",",6","","","","","","","","","","","","","","","","","","","63.5",",,6,28,","","","","","120.1",",,,6","","","","","","","",""
"USC00135834","1901-08","41.08333","-93.98333",,"MURRAY, IA US","","","","","1",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","5.6",",,6,10,","","","","","5.6",",,,6","","","","","","","",""
"USC00135834","1901-11","41.08333","-93.98333",,"MURRAY, IA US","","","","","1",",6","1",",6","0",",6","1",",6","","","","","","","","","","","","","","","51",",,6,03,","5.1",",,6,03,","","","","","5.1",",,,6","51",",,,6","","","","","",""
