"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00003017","1995-12","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","3.7",",X","","","0.0",",0","1",",0","0",",0","0",",0","","","","","0",",0","27",",0","4",",0","0",",0","0",",0","6","","","","","","-17.2",",0,09,","","","","","1.3",",,0,17,","20.6",",0,01,","1343.4","0","549.9",",0","1.3",",,,0","","","","","0.59",",0","7.91",",,,0","-6.72",",,,0","","","310",",X","290",",X","16.1",",X","18.3",",X"
"USW00003017","1996-01","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.3",",X","0.0","0","0.0",",0","8",",0","1",",0","0",",0","","","","","6",",0","30",",0","10",",0","0",",0","0",",0","12","","","","","","-24.4",",0,18,","","","","","3.0",",,0,04,","20.6",",0,13,","1996.1","0","652.7",",0","7.4",",,,0","","","","","-2.72",",0","5.36",",,,0","-10.80",",,,0","","","280",",X","290",",X","18.3",",X","21.5",",X"
"USW00003017","1996-02","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.5",",X","0.0","0","0.0",",0","4",",0","0",",0","0",",0","","","","","4",",0","22",",0","6",",0","0",",0","0",",0","6","","","","","","-26.7",",0,03,+","","","","","1.0",",,0,21,","20.6",",0,09,","2496.2","0","500.1",",0","2.3",",,,0","","","","","1.09",",0","9.72",",,,0","-7.54",",,,0","","","240",",X","220",",X","17.9",",X","20.1",",X"
"USW00003017","1996-03","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.3",",X","0.0","0","0.0",",0","7",",0","2",",0","0",",0","","","","","1",",0","29",",0","4",",0","1",",0","0",",0","10","","2","","","","-18.9",",0,25,","","","","","9.4",",,0,14,","22.2",",0,10,","2996.5","0","500.3",",0","19.7",",,,0","","","","","2.19",",0","10.21",",,,0","-5.83",",,,0","","","360",",X","10",",X","14.8",",X","17.4",",X"
"USW00003017","1996-04","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","5.1",",X","1.7","0","1.7",",0","8",",0","1",",0","0",",0","","","","","0",",0","15",",0","0",",0","11",",0","0",",0","7","","2","","1","","-6.7",",0,20,","","","","","2.8",",,0,04,","28.9",",0,24,","3281.3","0","284.8",",0","8.5",",,,0","","","","","8.90",",0","17.16",",,,0","0.63",",,,0","","","300",",X","300",",X","17.4",",X","21.9",",X"
"USW00003017","1996-05","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.4",",X","15.4","0","13.7",",0","9",",0","5",",0","0",",0","","","","","0",",0","0",",0","0",",0","21",",0","2",",0","16","","8","","5","","1.7",",0,03,","","","","","22.1",",,0,26,","33.9",",0,18,+","3414.0","0","132.7",",0","61.0",",,,0","","","","","14.49",",0","22.63",",,,0","6.36",",,,0","","","320",",X","320",",X","14.8",",X","17.0",",X"
"USW00003017","1996-06","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.2",",X","85.5","0","70.1",",0","7",",0","3",",0","1",",0","","","","","0",",0","0",",0","0",",0","29",",0","4",",0","4","","","","12","","3.9",",0,07,","","","","","29.0",",,0,15,","33.9",",0,26,+","3431.5","0","17.5",",0","45.2",",,,0","","","","","20.09",",0","28.90",",,,0","11.27",",,,0","","","320",",X","320",",X","19.2",",X","20.6",",X"
"USW00003017","1996-07","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.3",",X","229.9","0","144.4",",0","6",",0","3",",0","0",",0","","","","","0",",0","0",",0","0",",0","31",",0","15",",0","6","","1","","10","","11.1",",0,14,","","","","","11.9",",,0,09,","37.2",",0,04,","0.3","0","0.3",",0","25.7",",,,0","","","","","22.98",",0","31.09",",,,0","14.87",",,,0","","","360",",X","30",",X","16.5",",X","19.7",",X"
"USW00003017","1996-08","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.3",",X","345.9","0","116.0",",0","6",",0","2",",0","0",",0","","","","","0",",0","0",",0","0",",0","31",",0","12",",0","4","","","","14","","9.4",",0,30,","","","","","5.3",",,0,27,","36.7",",0,12,","2.5","0","2.2",",0","14.2",",,,0","","","","","22.00",",0","30.60",",,,0","13.41",",,,0","","","320",",X","320",",X","13.9",",X","16.5",",X"
"USW00003017","1996-09","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.4",",X","383.9","0","38.0",",0","10",",0","6",",0","1",",0","","","","","0",",0","3",",0","0",",0","21",",0","5",",0","11","","3","","7","","-3.9",",0,27,","","","","","31.0",",,0,18,","34.4",",0,05,+","111.3","0","108.8",",0","59.4",",,,0","","","","","15.97",",0","23.66",",,,0","8.28",",,,0","","","10",",X","310",",X","14.8",",X","17.4",",X"
"USW00003017","1996-10","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.3",",X","390.1","0","6.2",",0","3",",0","1",",0","0",",0","","","","","0",",0","13",",0","1",",0","15",",0","0",",0","5","","3","","","","-6.7",",0,21,","","","","","8.1",",,0,26,","29.4",",0,11,","361.3","0","250.0",",0","9.9",",,,0","","","","","10.47",",0","18.28",",,,0","2.65",",,,0","","","290",",X","290",",X","16.5",",X","19.2",",X"
"USW00003017","1996-11","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","3.8",",X","390.1","0","0.0",",0","6",",0","1",",0","0",",0","","","","","0",",0","27",",0","3",",0","1",",0","0",",0","14","","6","","","","-15.6",",0,16,","","","","","2.5",",,0,03,","22.8",",0,19,","824.7","0","463.4",",0","9.7",",,,0","","","","","2.89",",0","10.54",",,,0","-4.77",",,,0","","","300",",X","300",",X","15.2",",X","17.9",",X"
"USW00003017","1996-12","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.9",",X","390.1","0","0.0",",0","1",",0","0",",0","0",",0","","","","","3",",0","28",",0","3",",0","0",",0","0",",0","4","","3","","","","-22.8",",0,18,","","","","","1.5",",,0,16,","18.9",",0,08,","1376.5","0","551.8",",0","1.5",",,,0","","","","","0.53",",0","8.35",",,,0","-7.28",",,,0","","","290",",X","290",",X","20.1",",X","22.8",",X"
"USW00003017","1997-01","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","3.9",",X","0.0","0","0.0",",0","7",",0","1",",0","0",",0","","","","","5",",0","27",",0","9",",0","1",",0","0",",0","13","","2","","","","-25.6",",0,12,","","","","","2.8",",,0,10,","22.2",",0,02,","2016.2","0","639.7",",0","6.7",",,,0","","","","","-2.30",",0","4.41",",,,0","-9.01",",,,0","","","290",",X","290",",X","14.3",",X","16.1",",X"
"USW00003017","1997-02","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.2",",X","0.0","0","0.0",",0","9",",0","1",",0","0",",0","","","","","0",",0","27",",0","6",",0","0",",0","0",",0","13","","4","","","","-13.3",",0,08,","","","","","7.4",",,0,18,","18.9",",0,17,","2562.1","0","545.9",",0","14.0",",,,0","","","","","-1.16",",0","4.92",",,,0","-7.25",",,,0","","","290",",X","290",",X","16.1",",X","17.4",",X"
"USW00003017","1997-03","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","5.0",",X","0.0","0","0.0",",0","4",",0","1",",0","0",",0","","","","","0",",0","23",",0","2",",0","7",",0","0",",0","5","","2","","","","-13.9",",0,01,","","","","","4.3",",,0,24,","26.1",",0,20,","2955.9","0","393.8",",0","6.6",",,,0","","","","","5.63",",0","14.75",",,,0","-3.49",",,,0","","","320",",X","320",",X","23.2",",X","25.0",",X"
"USW00003017","1997-04","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","5.0",",X","0.0","0","0.0",",0","11",",0","3",",0","0",",0","","","","","0",",0","21",",0","3",",0","4",",0","0",",0","16","","2","","1","","-14.4",",0,12,","","","","","14.0",",,0,24,","24.4",",0,19,","3364.3","0","408.4",",0","33.2",",,,0","","","","","4.72",",0","11.82",",,,0","-2.39",",,,0","","","360",",X","340",",X","14.8",",X","19.2",",X"
"USW00003017","1997-05","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.4",",X","5.6","0","5.6",",0","10",",0","4",",0","0",",0","","","","","0",",0","3",",0","0",",0","17",",0","0",",0","7","","1","","7","","-2.8",",0,03,","","","","","15.5",",,0,22,","30.6",",0,17,","3514.7","0","150.4",",0","40.0",",,,0","","","","","13.66",",0","21.56",",,,0","5.76",",,,0","","","30",",X","30",",X","19.2",",X","21.0",",X"
"USW00003017","1997-06","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.8",",X","73.1","0","67.5",",0","14",",0","7",",0","1",",0","","","","","0",",0","0",",0","0",",0","28",",0","8",",0","7","","","","18","","7.2",",0,04,","","","","","25.9",",,0,06,","35.6",",0,30,","3535.3","0","20.6",",0","65.3",",,,0","","","","","19.90",",0","27.85",",,,0","11.94",",,,0","","","220",",X","220",",X","16.1",",X","19.7",",X"
"USW00003017","1997-07","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.5",",X","213.2","0","140.1",",0","10",",0","9",",0","1",",0","","","","","0",",0","0",",0","0",",0","31",",0","15",",0","6","","2","","15","","6.7",",0,02,","","","","","68.8",",,0,30,","36.7",",0,18,+","1.4","0","1.4",",0","142.3",",,,0","","","","","22.81",",0","31.33",",,,0","14.29",",,,0","","","180",",X","180",",X","21.0",",X","24.1",",X"
"USW00003017","1997-08","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.4",",X","299.7","0","86.5",",0","13",",0","9",",0","0",",0","","","","","0",",0","0",",0","0",",0","28",",0","1",",0","8","","4","","12","","11.1",",0,12,","","","","","22.9",",,0,12,","33.3",",0,24,","8.1","0","6.7",",0","89.4",",,,0","","","","","20.91",",0","27.71",",,,0","14.11",",,,0","","","320",",X","320",",X","17.0",",X","20.1",",X"
"USW00003017","1997-09","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","3.9",",X","339.3","0","39.6",",0","7",",0","3",",0","0",",0","","","","","0",",0","0",",0","0",",0","23",",0","0",",0","7","","1","","3","","1.7",",0,28,","","","","","11.2",",,0,01,","31.1",",0,18,+","60.5","0","52.4",",0","24.7",",,,0","","","","","17.91",",0","25.58",",,,0","10.23",",,,0","","","300",",X","10",",X","16.1",",X","17.4",",X"
"USW00003017","1997-10","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","5.3",",X","343.0","0","3.7",",0","4",",0","4",",0","0",",0","","","","","0",",0","9",",0","1",",0","11",",0","0",",0","5","","2","","","","-16.1",",0,26,","","","","","20.6",",,0,25,","30.6",",0,04,","329.0","0","268.5",",0","47.6",",,,0","","","","","9.79",",0","17.54",",,,0","2.04",",,,0","","","230",",X","190",",X","17.9",",X","23.7",",X"
"USW00003017","1997-11","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.2",",X","343.0","0","0.0",",0","6",",0","2",",0","0",",0","","","","","1",",0","26",",0","6",",0","0",",0","0",",0","9","","","","","","-19.4",",0,15,","","","","","8.1",",,0,27,","19.4",",0,07,","831.9","0","502.9",",0","15.5",",,,0","","","","","1.57",",0","7.67",",,,0","-4.53",",,,0","","","20","1,X","10",",X","14.8","1,X","17.4",",X"
"USW00003017","1997-12","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.5",",X","343.0","0","0.0",",0","6",",0","3",",0","0",",0","","","","","0",",0","31",",0","11",",0","0",",0","0",",0","14","","1","","","","-11.1",",0,26,+","","","","","4.8",",,0,10,","10.6",",0,31,","1470.8","0","638.9",",0","12.7",",,,0","","","","","-2.28",",0","2.64",",,,0","-7.19",",,,0","","","300",",X","300",",X","21.0",",X","23.7",",X"
"USW00003017","1998-01","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.0",",X","0.0","0","0.0",",0","3",",0","0",",0","0",",0","","","","","0",",0","29",",0","3",",0","0",",0","0",",0","9","","5","","","","-13.9",",0,09,","","","","","0.5",",,0,06,+","15.0",",0,02,","2027.8","0","557.0",",0","1.3",",,,0","","","","","0.36",",0","6.83",",,,0","-6.10",",,,0","","","280",",X","280",",X","13.9",",X","16.1",",X"
"USW00003017","1998-02","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","3.7",",X","0.0","0","0.0",",0","2",",0","1",",0","0",",0","","","","","0",",0","28",",0","1",",0","0",",0","0",",0","10","","3","","","","-10.0",",0,28,","","","","","3.8",",,0,16,","17.8",",0,24,","2511.3","0","483.5",",0","5.8",",,,0","","","","","1.07",",0","7.13",",,,0","-5.00",",,,0","","","210",",X","200",",X","16.5",",X","19.2",",X"
"USW00003017","1998-03","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.5",",X","0.0","0","0.0",",0","5",",0","3",",0","0",",0","","","","","0",",0","24",",0","5",",0","3",",0","0",",0","14","","5","","","","-17.2",",0,08,","","","","","9.4",",,0,18,","23.9",",0,25,+","2995.8","0","484.5",",0","21.8",",,,0","","","","","2.70",",0","10.43",",,,0","-5.02",",,,0","","","30",",X","210",",X","13.9",",X","16.5",",X"
"USW00003017","1998-04","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.5",",X","0.0","0","0.0",",0","11",",0","5",",0","1",",0","","","","","0",",0","19",",0","0",",0","4",",0","0",",0","14","","2","","2","","-6.1",",0,17,","","","","","26.9",",,0,02,","25.6",",0,24,+","3333.0","0","337.2",",0","62.8",",,,0","","","","","7.09",",0","14.22",",,,0","-0.03",",,,0","","","200",",X","210",",X","17.0",",X","19.7",",X"
"USW00003017","1998-05","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.8",",X","5.8","0","5.8",",0","10",",0","5",",0","0",",0","","","","","0",",0","0",",0","0",",0","21",",0","0",",0","12","","2","","9","","1.7",",0,09,","","","","","10.7",",,0,22,+","30.0",",0,29,+","3439.9","0","106.9",",0","44.2",",,,0","","","","","15.07",",0","23.91",",,,0","6.24",",,,0","","","10",",X","240",",X","15.2",",X","21.0",",X"
"USW00003017","1998-06","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.8",",X","52.2","0","46.4",",0","9",",0","3",",0","0",",0","","","","","0",",0","0",",0","0",",0","24",",0","5",",0","6","","1","","5","","1.1",",0,06,+","","","","","4.1",",,0,05,","34.4",",0,29,+","3519.5","0","79.6",",0","18.6",",,,0","","","","","17.23",",0","25.96",",,,0","8.49",",,,0","","","290",",X","290",",X","19.7",",X","22.8",",X"
"USW00003017","1998-07","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.0",",X","213.1","0","160.9",",0","10",",0","5",",0","2",",0","","","","","0",",0","0",",0","0",",0","31",",0","13",",0","7","","4","","12","","11.1",",0,04,","","","","","68.3",",,0,25,","37.8",",0,20,","0.5","0","0.5",",0","150.3",",,,0","","","","","23.50",",0","31.15",",,,0","15.86",",,,0","","","310",",X","320",",X","20.6",",X","27.3",",X"
"USW00003017","1998-08","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","3.9",",X","329.5","0","116.4",",0","8",",0","5",",0","0",",0","","","","","0",",0","0",",0","0",",0","31",",0","10",",0","2","","","","12","","10.6",",0,15,","","","","","8.9",",,0,11,","35.0",",0,30,","1.0","0","0.5",",0","30.4",",,,0","","","","","22.07",",0","30.07",",,,0","14.07",",,,0","","","230",",X","220",",X","19.2",",X","21.9",",X"
"USW00003017","1998-09","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.3",",X","406.2","0","76.7",",0","6",",0","3",",0","0",",0","","","","","0",",0","0",",0","0",",0","28",",0","8",",0","6","","2","","8","","5.6",",0,27,","","","","","7.9",",,0,21,","35.0",",0,05,+","28.0","0","27.0",",0","18.6",",,,0","","","","","19.99",",0","28.66",",,,0","11.32",",,,0","","","220","1,X","20","1,X","13.4","1,X","17.4","1,X"
"USW00003017","1998-10","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","3.9",",X","406.2","0","0.0",",0","10",",0","4",",0","0",",0","","","","","0",",0","7",",0","0",",0","8",",0","0",",0","11","","6","","2","","-2.2",",0,21,+","","","","","9.4",",,0,28,","26.7",",0,13,","283.0","0","255.0",",0","30.6",",,,0","","","","","10.11",",0","17.26",",,,0","2.95",",,,0","","","340",",X","340",",X","17.0",",X","20.1",",X"
"USW00003017","1998-11","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.2",",X","406.2","0","0.0",",0","6",",0","1",",0","0",",0","","","","","0",",0","19",",0","0",",0","5",",0","0",",0","10","","7","","","","-11.7",",0,09,","","","","","5.6",",,0,07,","23.3",",0,22,+","665.0","0","382.0",",0","10.2",",,,0","","","","","5.60",",0","12.76",",,,0","-1.56",",,,0","","","310",",X","310",",X","16.1",",X","18.3",",X"
"USW00003017","1998-12","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.4",",X","406.2","0","0.0",",0","6",",0","2",",0","0",",0","","","","","6",",0","30",",0","8",",0","2",",0","0",",0","10","","1","","","","-28.3",",0,22,","","","","","3.3",",,0,20,","22.2",",0,02,","1287.4","0","622.4",",0","10.7",",,,0","","","","","-1.74",",0","5.90",",,,0","-9.38",",,,0","","","280",",X","280",",X","17.9",",X","20.6",",X"
"USW00003017","1999-01","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.5",",X","0.0","0","0.0",",0","7",",0","1",",0","0",",0","","","","","1",",0","28",",0","2",",0","0",",0","0",",0","16","","4","","","","-19.4",",0,03,","","","","","3.8",",,0,21,","17.2",",0,18,+","1826.2","0","538.8",",0","9.7",",,,0","","","","","0.95",",0","8.05",",,,0","-6.15",",,,0","","","290",",X","290",",X","18.3",",X","21.5",",X"
"USW00003017","1999-02","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","5.3",",X","0.0","0","0.0",",0","2",",0","1",",0","0",",0","","","","","0",",0","27",",0","1",",0","0",",0","0",",0","2","","","","","","-11.7",",0,16,","","","","","3.0",",,0,10,","20.6",",0,09,","2236.5","0","410.3",",0","3.8",",,,0","","","","","3.68",",0","12.40",",,,0","-5.04",",,,0","","","30",",X","20",",X","19.2",",X","21.5",",X"
"USW00003017","1999-03","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.8",",X","0.0","0","0.0",",0","2",",0","1",",0","0",",0","","","","","0",",0","22",",0","1",",0","6",",0","0",",0","6","","","","","","-9.4",",0,03,","","","","","2.8",",,0,04,","25.6",",0,30,","2602.8","0","366.3",",0","4.8",",,,0","","","","","6.52",",0","15.39",",,,0","-2.36",",,,0","","","240",",X","230",",X","16.5",",X","19.2",",X"
"USW00003017","1999-04","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","5.3",",X","0.0","0","0.0",",0","16",",0","13",",0","2",",0","","","","","0",",0","19",",0","1",",0","5",",0","0",",0","15","","5","","3","","-9.4",",0,03,","","","","","51.6",",,0,30,","23.3",",0,19,","2977.5","0","374.7",",0","148.8",",,,0","","","","","5.84",",0","12.54",",,,0","-0.86",",,,0","","","290",",X","150",",X","17.9",",X","21.5",",X"
"USW00003017","1999-05","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.8",",X","0.8","0","0.8",",0","10",",0","7",",0","0",",0","","","","","0",",0","5",",0","0",",0","16",",0","0",",0","9","","1","","8","","-1.7",",0,07,","","","","","21.3",",,0,29,","27.8",",0,29,","3154.0","0","176.5",",0","60.2",",,,0","","","","","12.67",",0","19.99",",,,0","5.34",",,,0","","","40",",X","290",",X","16.1",",X","19.2",",X"
"USW00003017","1999-06","39.8328","-104.6575","1650.2","DENVER INTERNATIONAL AIRPORT, CO US","4.5",",X","37.5","0","36.7",",0","8",",0","6",",0","0",",0","","","","","0",",0","0",",0","0",",0","26",",0","1",",0","6","","1","","13","","4.4",",0,01,","","","","","24.4",",,0,10,","32.2",",0,25,","3203.8","0","49.8",",0","64.0",",,,0","","","","","17.90",",0","25.72",",,,0","10.07",",,,0","","","300",",X","290",",X","21.9",",X","28.2",",X"
