"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES"
"USC00413557","1954-01","31.06667","-102.4","705.0","GIRVIN, TX US","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","5.1",",,0,13,","5.1",",,,0","0",",,,0"
"USC00413557","1954-02","31.06667","-102.4","705.0","GIRVIN, TX US","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","0",",,0,28,+","0",",,0,28,+","0.0",",,0,28,+","0.0",",,,0","0",",,,0"
"USC00413557","1954-03","31.06667","-102.4","705.0","GIRVIN, TX US","1",",0","0",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","1.3",",,0,04,","1.3",",,,0","0",",,,0"
"USC00413557","1954-04","31.06667","-102.4","705.0","GIRVIN, TX US","3",",0","3",",0","1",",0","0",",0","0",",0","","","","","0",",,0,30,+","0",",,0,30,+","41.4",",,0,12,","58.9",",,,0","0",",,,0"
"USC00413557","1954-05","31.06667","-102.4","705.0","GIRVIN, TX US","4",",0","4",",0","1",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","40.6",",,0,28,","85.0",",,,0","0",",,,0"
"USC00413557","1954-06","31.06667","-102.4","705.0","GIRVIN, TX US","3",",0","3",",0","0",",0","0",",0","0",",0","","","","","0",",,0,30,+","0",",,0,30,+","14.0",",,0,26,","23.6",",,,0","0",",,,0"
"USC00413557","1954-07","31.06667","-102.4","705.0","GIRVIN, TX US","1",",0","0",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","1.3",",,0,05,","1.3",",,,0","0",",,,0"
"USC00413557","1954-08","31.06667","-102.4","705.0","GIRVIN, TX US","4",",0","1",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","2.5",",,0,29,","8.0",",,,0","0",",,,0"
"USC00413557","1954-09","31.06667","-102.4","705.0","GIRVIN, TX US","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","0",",,0,30,+","0",",,0,30,+","3.8",",,0,30,","3.8",",,,0","0",",,,0"
"USC00413557","1954-10","31.06667","-102.4","705.0","GIRVIN, TX US","4",",0","4",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","20.3",",,0,05,","40.6",",,,0","0",",,,0"
"USC00413557","1954-11","31.06667","-102.4","705.0","GIRVIN, TX US","1",",0","0",",0","0",",0","0",",0","0",",0","","","","","0",",,0,30,+","0",",,0,30,+","0.5",",,0,03,","0.5",",,,0","0",",,,0"
"USC00413557","1954-12","31.06667","-102.4","705.0","GIRVIN, TX US","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","0.0",",,,0","0",",,,0"
"USC00413557","1955-01","31.06667","-102.4","705.0","GIRVIN, TX US","4",",0","3",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","12.2",",,0,09,","25.1",",,,0","0",",,,0"
"USC00413557","1955-02","31.06667","-102.4","705.0","GIRVIN, TX US","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","0",",,0,28,+","0",",,0,28,+","0.0",",,0,28,+","0.0",",,,0","0",",,,0"
"USC00413557","1955-03","31.06667","-102.4","705.0","GIRVIN, TX US","0",",0","0",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","0.0",",,,0","0",",,,0"
"USC00413557","1955-04","31.06667","-102.4","705.0","GIRVIN, TX US","1",",0","1",",0","0",",0","0",",0","0",",0","","","","","0",",,0,30,+","0",",,0,30,+","7.6",",,0,30,","7.6",",,,0","0",",,,0"
"USC00413557","1955-05","31.06667","-102.4","705.0","GIRVIN, TX US","5",",0","2",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","15.7",",,0,12,","20.3",",,,0","0",",,,0"
"USC00413557","1955-06","31.06667","-102.4","705.0","GIRVIN, TX US","5",",0","3",",0","1",",0","0",",0","0",",0","","","","","0",",,0,30,+","0",",,0,30,+","45.5",",,0,09,","68.8",",,,0","0",",,,0"
"USC00413557","1955-07","31.06667","-102.4","705.0","GIRVIN, TX US","5",",0","4",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","18.3",",,0,02,","32.5",",,,0","0",",,,0"
"USC00413557","1955-08","31.06667","-102.4","705.0","GIRVIN, TX US","4",",0","3",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","7.6",",,0,03,","16.2",",,,0","0",",,,0"
"USC00413557","1955-09","31.06667","-102.4","705.0","GIRVIN, TX US","8",",0","3",",0","0",",0","0",",0","0",",0","","","","","0",",,0,30,+","0",",,0,30,+","5.8",",,0,20,","14.8",",,,0","0",",,,0"
"USC00413557","1955-10","31.06667","-102.4","705.0","GIRVIN, TX US","3",",0","2",",0","0",",0","0",",0","0",",0","","","","","0",",,0,31,+","0",",,0,31,+","5.1",",,0,04,","8.9",",,,0","0",",,,0"
