"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MX01","MX01_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00386299","2017-08","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","","","240.0",",7","16",",7","8",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","16",",7","13.3",",7,02,+","0",",,7,31,+","0",",,7,31,+","40.4",",,7,25,","36.7",",7,19,","148.5","4,,,7","0.0","7","","","0.0",",7","","","","","","","","","","","","","","","139.3",",,,7","0",",,,7","26.08",",7","31.38",",,,7","20.77",",,,7"
"USC00386299","2017-09","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","","","128.3",",7","9",",7","5",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","28",",7","7",",7","11.1",",7,09,+","0",",,7,30,+","0",",,7,30,+","114.3",",,7,12,","33.9",",7,22,","169.5","1,,,7","1.9","7","  26.7","1,,,7,5,2","1.9",",7","  31.1",",,,7,5,2","  18.3","1,,,7,5,2","  23.3",",,,7,5,2","  23.8","1,,,7,5,2","26.76","2,,,7","  27.6",",,,7,5,2","29.16","1,,,7","157.9",",,,7","0",",,,7","22.55",",7","29.40",",,,7","15.69",",,,7"
"USC00386299","2017-10","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","","","74.2",",7","11",",7","6",",7","0",",7","0",",7","0",",7","0",",7","2",",7","0",",7","26",",7","1",",7","-1.1",",7,31,+","0",",,7,31,+","0",",,7,31,+","19.1",",,7,24,","32.2",",7,11,","140.4","1,,,7","76.7","7","  24.4","2,,,7,5,2","74.8",",7","  27.8","2,,,7,5,2","  13.9","2,,,7,5,2","  18.3","2,,,7,5,2","  20.3","2,,,7,5,2","22.02","1,,,7","  24.0","2,,,7,5,2","26.11",",,,7","49.4",",,,7","0",",,,7","18.32",",7","25.33",",,,7","11.31",",,,7"
"USC00386299","2017-11","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","","","8.1",",7","6",",7","3",",7","0",",7","0",",7","0",",7","0",",7","8",",7","0",",7","10",",7","0",",7","-3.3",",7,21,+","0",",,7,30,+","0",",,7,30,+","19.1",",,7,10,","28.9",",7,08,+","119.0",",,,7","295.2","7","  23.9","3,,,7,5,2","218.5",",7","  27.2","3,,,7,5,2","   5.6","3,,,7,5,2","  12.8","3,,,7,5,2","  13.8","3,,,7,5,2","16.92","1,,,7","  18.1","3,,,7,5,2","21.07",",,,7","36.6",",,,7","0",",,,7","11.32",",7","19.10",",,,7","3.54",",,,7"
"USC00386299","2017-12","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","","","0.0",",7","11",",7","6",",7","2",",7","0",",7","0",",7","0",",7","12",",7","0",",7","5",",7","0",",7","-5.0",",7,30,","0",",,7,31,+","0",",,7,31,+","44.5",",,7,09,","25.0",",7,20,","57.1","2,,,7","589.1","7","  15.0",",,,7,5,2","293.9",",7","  17.8",",,,7,5,2","   4.4",",,,7,5,2","   7.2",",,,7,5,2","   9.6",",,,7,5,2","11.51","3,,,7","  12.7",",,,7,5,2","15.49",",,,7","108.9",",,,7","0",",,,7","8.85",",7","14.85",",,,7","2.85",",,,7"
"USC00386299","2018-01","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","0.3","7","0.3",",7","9",",7","5",",7","1",",7","1",",7","0",",7","0",",7","24",",7","3",",7","7",",7","0",",7","-13.9",",7,05,","25",",,7,04,","13",",,7,04,","41.4",",,7,29,","22.8",",7,23,+","","","1017.3","7","  10.6",",,,7,5,2","428.2",",7","  14.4",",,,7,5,2","  -1.1",",,,7,5,2","   2.2",",,,7,5,2","   3.9",",,,7,5,2","","","   8.0",",,,7,5,2","","","69.3",",,,7","13",",,,7","4.53",",7","12.10",",,,7","-3.04",",,,7"
"USC00386299","2018-02","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","28.7","7","28.4",",7","12",",7","5",",7","0",",7","0",",7","0",",7","0",",7","7",",7","0",",7","17",",7","0",",7","-6.1",",7,01,","0",",,7,28,+","0",",,7,28,+","20.3",",,7,05,","28.3",",7,23,+","64.8","1,,,7","1145.0","7","  18.3","2,,,7,5,2","127.7",",7","  21.7","3,,,7,5,2","   3.3","2,,,7,5,2","   6.1","3,,,7,5,2","  11.0","2,,,7,5,2","11.85","3,,,7","  14.8","3,,,7,5,2","15.64","4,,,7","45.9",",,,7","0",",,,7","14.78",",7","21.29",",,,7","8.28",",,,7"
"USC00386299","2018-03","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","31.8","7","3.1",",7","12",",7","11",",7","0",",7","0",",7","0",",7","0",",7","10",",7","0",",7","10",",7","0",",7","-4.4",",7,15,+","0",",,7,31,+","0",",,7,31,+","18.0",",,7,07,","27.8",",7,02,","77.7",",,,7","1373.6","7","  15.0","2,,,7,5,2","228.6",",7","  20.6","2,,,7,5,2","   8.3","2,,,7,5,2","  12.8","2,,,7,5,2","  11.7","2,,,7,5,2","13.88","2,,,7","  15.9","2,,,7,5,2","17.51","2,,,7","87.8",",,,7","0",",,,7","11.06",",7","18.55",",,,7","3.56",",,,7"
"USC00386299","2018-04","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","44.8","7","13.0",",7","9",",7","6",",7","2",",7","0",",7","0",",7","0",",7","1",",7","0",",7","22",",7","0",",7","-0.6",",7,17,","0",",,7,30,+","0",",,7,30,+","38.4",",,7,24,","31.1",",7,04,","135.8","2,,,7","1470.2","7","  18.9",",,,7,5,2","96.6",",7","  22.8",",,,7,5,2","  11.1",",,,7,5,2","  16.7",",,,7,5,2","  15.7",",,,7,5,2","17.68","1,,,7","  20.0",",,,7,5,2","21.49","1,,,7","106.5",",,,7","0",",,,7","15.55",",7","23.43",",,,7","7.67",",,,7"
"USC00386299","2018-05","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","220.8","7","176.0",",7","17",",7","13",",7","3",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","5",",7","4.4",",7,01,","0",",,7,31,+","0",",,7,31,+","35.1",",,7,28,","36.1",",7,14,","198.1","2,,,7","1473.5","7","  25.0",",,,7,5,2","3.3",",7","  27.2",",,,7,5,2","  17.2",",,,7,5,2","  23.3",",,,7,5,2","  22.5",",,,7,5,2","23.06",",,,7","  24.9",",,,7,5,2","25.34",",,,7","194.8",",,,7","0",",,,7","23.90",",7","30.13",",,,7","17.67",",,,7"
"USC00386299","2018-06","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","492.2","7","271.4",",7","15",",7","7",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","25",",7","15.6",",7,05,","0",",,7,30,+","0",",,7,30,+","33.8",",,7,26,","37.2",",7,20,","231.3","3,,,7","1473.5","7","  28.9",",,,7,5,2","0.0",",7","  30.6",",,,7,5,2","  23.9",",,,7,5,2","  26.7",",,,7,5,2","  25.8",",,,7,5,2","26.29",",,,7","  28.5",",,,7,5,2","29.07",",,,7","102.9",",,,7","0",",,,7","27.38",",7","33.52",",,,7","21.24",",,,7"
"USC00386299","2018-07","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","782.2","7","290.0",",7","22",",7","13",",7","2",",7","0","1,7","0",",7","0",",7","0",",7","0",",7","31",",7","24",",7","17.2",",7,10,","0","1,,7,31,+","0",",,7,31,+","39.9",",,7,30,","37.8",",7,12,","205.8","5,,,7","0.0","7","  29.4","2,,,7,5,2","0.0",",7","  31.7","2,,,7,5,2","  28.3","2,,,7,5,2","  29.4","2,,,7,5,2","  28.9","2,,,7,5,2","29.61","2,,,7","  30.8","2,,,7,5,2","31.03","2,,,7","157.8",",,,7","0",",,,7","27.69",",7","33.53",",,,7","21.84",",,,7"
"USC00386299","2018-08","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","1061.7","7","279.5",",7","17",",7","13",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","28",",7","14.4",",7,25,","0",",,7,31,+","0",",,7,31,+","37.3",",,7,07,","36.1",",7,31,+","200.8","2,,,7","0.0","7","  30.0",",,,7,5,2","0.0",",7","  31.7",",,,7,5,2","  26.7",",,,7,5,2","  30.0",",,,7,5,2","  28.9",",,,7,5,2","29.52",",,,7","  31.0",",,,7,5,2","31.59",",,,7","154.4",",,,7","0",",,,7","27.35",",7","33.25",",,,7","21.45",",,,7"
"USC00386299","2018-09","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","1300.5","7","238.8",",7","14",",7","10",",7","4",",7","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","20",",7","17.2",",7,20,","0",",,7,30,+","0",",,7,30,+","51.3",",,7,27,","36.1",",7,01,","","","0.0","7","  28.9",",,,7,5,2","0.0",",7","  31.1",",,,7,5,2","  23.9",",,,7,5,2","  27.8",",,,7,5,2","  26.8",",,,7,5,2","27.67",",,,7","  29.6",",,,7,5,2","29.84",",,,7","193.1",",,,7","0",",,,7","26.29",",7","32.10",",,,7","20.48",",,,7"
"USC00386299","2018-10","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","1388.8","7","88.3",",7","9",",7","7",",7","2",",7","0",",7","0",",7","0",",7","0",",7","0",",7","24",",7","2",",7","1.1",",7,23,+","0",",,7,31,+","0",",,7,31,+","89.2",",,7,11,","35.0",",7,06,","159.2","3,,,7","76.9","7","  25.6",",,,7,5,2","76.9",",7","  28.9",",,,7,5,2","  14.4",",,,7,5,2","  18.9",",,,7,5,2","  20.8",",,,7,5,2","22.27",",,,7","  24.7",",,,7,5,2","25.65",",,,7","198.1",",,,7","0",",,,7","18.70",",7","25.33",",,,7","12.08",",,,7"
"USC00386299","2018-11","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","1389.1","7","0.3",",7","16",",7","11",",7","4",",7","0",",7","0",",7","0",",7","8",",7","0",",7","4",",7","0",",7","-4.4",",7,29,","0",",,7,30,+","0",",,7,30,+","43.7",",,7,13,","25.6",",7,02,","82.8","4,,,7","326.8","7","  18.9",",,,7,5,2","249.9",",7","  22.8",",,,7,5,2","   2.8",",,,7,5,2","  11.1",",,,7,5,2","  11.9",",,,7,5,2","13.48","2,,,7","  16.2",",,,7,5,2","17.48",",,,7","206.5",",,,7","0",",,,7","10.01",",7","15.68",",,,7","4.35",",,,7"
"USC00386299","2018-12","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","1389.1","7","0.0",",7","17",",7","14",",7","1",",7","0",",7","0",",7","0",",7","12",",7","0",",7","3",",7","0",",7","-5.6",",7,06,","0",",,7,31,+","0",",,7,31,+","46.5",",,7,09,","21.7",",7,29,","","","603.7","7","  14.4",",,,7,5,2","276.9",",7","  17.8",",,,7,5,2","   0.0",",,,7,5,2","   6.7",",,,7,5,2","   8.5",",,,7,5,2","9.45","1,,,7","  13.2",",,,7,5,2","13.54","1,,,7","200.9",",,,7","0",",,,7","9.40",",7","15.08",",,,7","3.72",",,,7"
"USC00386299","2019-01","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","3.1","7","3.1",",7","14",",7","7",",7","1",",7","0",",7","0",",7","0",",7","14",",7","0",",7","8",",7","0",",7","-6.7",",7,22,","0",",,7,31,+","0",",,7,31,+","45.0",",,7,24,","23.9",",7,02,","82.9","3,,,7","900.2","7","  16.7","1,,,7,5,2","296.5",",7","  17.8","1,,,7,5,2","  -1.1","1,,,7,5,2","   6.7","1,,,7,5,2","   7.3","1,,,7,5,2","","","  13.0","1,,,7,5,2","13.46","2,,,7","108.3",",,,7","0",",,,7","8.87",",7","15.16",",,,7","2.57",",,,7"
"USC00386299","2019-02","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","5.9","7","2.8",",7","16",",7","7",",7","0",",7","0",",7","0",",7","0",",7","4",",7","0",",7","12",",7","0",",7","-4.4",",7,01,","0",",,7,28,+","0",",,7,28,+","10.9",",,7,16,","28.3",",7,08,","69.1","1,,,7","1074.1","7","  16.7","2,,,7,5,2","173.9",",7","  20.6","2,,,7,5,2","   3.3","2,,,7,5,2","  10.6","2,,,7,5,2","  11.1","2,,,7,5,2","11.58","3,,,7","  15.1","2,,,7,5,2","15.86","2,,,7","44.2",",,,7","0",",,,7","12.22",",7","19.38",",,,7","5.06",",,,7"
"USC00386299","2019-03","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","13.5","7","7.6",",7","10",",7","6",",7","1",",7","0",",7","0",",7","0",",7","3",",7","0",",7","19",",7","0",",7","-3.9",",7,07,","0",",,7,31,+","0",",,7,31,+","31.8",",,7,04,","28.3",",7,16,","87.4","2,,,7","1242.9","7","  18.3",",,,7,5,2","168.8",",7","  22.8",",,,7,5,2","   4.4",",,,7,5,2","   8.3",",,,7,5,2","  13.4",",,,7,5,2","13.95",",,,7","  17.6",",,,7,5,2","18.34",",,,7","64.3",",,,7","0",",,,7","13.13",",7","20.57",",,,7","5.69",",,,7"
"USC00386299","2019-04","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","73.5","7","60.0",",7","14",",7","10",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","27",",7","1",",7","2.8",",7,03,","0",",,7,30,+","0",",,7,30,+","30.2",",,7,02,","32.2",",7,25,","90.9","4,,,7","1293.4","7","  21.1",",,,7,5,2","50.5",",7","  25.0",",,,7,5,2","  10.0",",,,7,5,2","  16.7",",,,7,5,2","  17.7",",,,7,5,2","18.26",",,,7","  22.7",",,,7,5,2","22.66",",,,7","106.9",",,,7","0",",,,7","18.65",",7","25.63",",,,7","11.67",",,,7"
"USC00386299","2019-05","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","297.0","7","223.5",",7","6",",7","4",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","17",",7","10.6",",7,15,","0",",,7,31,+","0",",,7,31,+","51.1",",,7,05,","38.9",",7,29,","190.2","2,,,7","1294.2","7","  25.0",",,,7,5,2","0.8",",7","  27.8",",,,7,5,2","  18.9",",,,7,5,2","  23.9",",,,7,5,2","  22.4",",,,7,5,2","22.66",",,,7","  25.2",",,,7,5,2","25.06",",,,7","80.0",",,,7","0",",,,7","25.51",",7","32.56",",,,7","18.46",",,,7"
"USC00386299","2019-06","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","538.1","7","241.1",",7","16",",7","11",",7","2",",7","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","21",",7","14.4",",7,15,","0",",,7,30,+","0",",,7,30,+","49.0",",,7,09,","36.1",",7,01,","","","1294.2","7","  26.1",",,,7,5,2","0.0",",7","  28.9",",,,7,5,2","  21.7",",,,7,5,2","  25.0",",,,7,5,2","  23.9",",,,7,5,2","","","  27.4",",,,7,5,2","","","189.2",",,,7","0",",,,7","26.37",",7","32.23",",,,7","20.50",",,,7"
"USC00386299","2019-07","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","858.3","7","320.2",",7","13",",7","8",",7","3",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","28",",7","17.8",",7,28,","0",",,7,31,+","0",",,7,31,+","78.5",",,7,04,","37.8",",7,18,","189.0","5,,,7","0.0","7","  26.7",",,,7,5,2","0.0",",7","  30.0",",,,7,5,2","  21.7",",,,7,5,2","  26.1",",,,7,5,2","  24.1",",,,7,5,2","","","  28.8",",,,7,5,2","","","208.6",",,,7","0",",,,7","28.66",",7","34.50",",,,7","22.82",",,,7"
"USC00386299","2019-08","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","1164.7","7","306.4",",7","20",",7","10",",7","2",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","27",",7","13.9",",7,31,+","0",",,7,31,+","0",",,7,31,+","38.6",",,7,03,","37.8",",7,15,+","166.9","3,,,7","0.0","7","  25.0",",,,7,5,2","0.0",",7","  29.4",",,,7,5,2","  21.1",",,,7,5,2","  27.2",",,,7,5,2","  23.5",",,,7,5,2","","","  28.6",",,,7,5,2","","","143.4",",,,7","0",",,,7","28.22",",7","34.34",",,,7","22.09",",,,7"
"USC00386299","2019-09","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","1427.0","7","262.3",",7","8",",7","4",",7","0",",7","0",",7","0",",7","0",",7","0",",7","0",",7","30",",7","24",",7","12.2",",7,21,+","0",",,7,30,+","0",",,7,30,+","22.4",",,7,02,","36.7",",7,28,+","185.5","1,,,7","0.0","7","  23.3",",,,7,5,2","0.0",",7","  29.4",",,,7,5,2","  18.9",",,,7,5,2","  26.7",",,,7,5,2","  21.8",",,,7,5,2","","","  28.0",",,,7,5,2","","","38.9",",,,7","0",",,,7","27.08",",7","33.50",",,,7","20.65",",,,7"
"USC00386299","2019-10","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","1539.0","7","112.0",",7","13",",7","7",",7","1",",7","0",",7","0",",7","0",",7","0",",7","0",",7","31",",7","5",",7","5.6",",7,18,","0",",,7,31,+","0",",,7,31,+","38.4",",,7,20,","37.8",",7,05,+","141.7","5,,,7","15.0","7","  23.9",",,,7,5,2","15.0",",7","  28.9",",,,7,5,2","  13.9",",,,7,5,2","  22.2",",,,7,5,2","  19.0",",,,7,5,2","","","  26.0",",,,7,5,2","","","116.5",",,,7","0",",,,7","21.46",",7","27.73",",,,7","15.19",",,,7"
"USC00386299","2019-11","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","1539.0","7","0.0",",7","11",",7","7",",7","2",",7","0",",7","0",",7","0",",7","7",",7","0",",7","7",",7","0",",7","-2.8",",7,14,+","0",",,7,30,+","0",",,7,30,+","33.5",",,7,08,","29.4",",7,01,","","","255.2","7","  15.6",",,,7,5,2","240.2",",7","  26.1",",,,7,5,2","   1.7",",,,7,5,2","   6.1",",,,7,5,2","   7.2",",,,7,5,2","","","  16.3",",,,7,5,2","","","99.7",",,,7","0",",,,7","10.33",",7","17.33",",,,7","3.32",",,,7"
"USC00386299","2019-12","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","1542.3","7","3.3",",7","15",",7","8",",7","5",",7","0",",7","0",",7","0",",7","6",",7","0",",7","10",",7","0",",7","-5.0",",7,20,","0",",,7,31,+","0",",,7,31,+","54.6",",,7,14,","27.2",",7,11,","","","482.8","7","  13.3",",,,7,5,2","227.6",",7","  22.8",",,,7,5,2","  -1.7",",,,7,5,2","   8.3",",,,7,5,2","   5.9",",,,7,5,2","","","  13.6",",,,7,5,2","","","279.6",",,,7","0",",,,7","11.10",",7","17.40",",,,7","4.80",",,,7"
"USC00386299","2020-01","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","13.6","7","13.6",",7","18",",7","7",",7","2",",7","0",",7","0",",7","0",",7","4",",7","0",",7","7",",7","0",",7","-2.8",",7,22,+","0",",,7,31,+","0",",,7,31,+","63.0",",,7,13,","26.1",",7,04,","","","712.1","7","  15.6",",,,7,5,2","229.3",",7","  17.8",",,,7,5,2","  -1.1",",,,7,5,2","   6.1",",,,7,5,2","   8.0",",,,7,5,2","10.50","1,,,7","  13.4",",,,7,5,2","12.94","1,,,7","158.8",",,,7","0",",,,7","11.38",",7","17.18",",,,7","5.57",",,,7"
"USC00386299","2020-02","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","21.1","7","7.5",",7","17",",7","10",",7","4",",7","0",",7","0",",7","0",",7","4",",7","0",",7","9",",7","0",",7","-3.9",",7,22,","0",",,7,29,+","0",",,7,29,+","59.2",",,7,07,","26.7",",7,04,","","","920.7","7","  15.6",",,,2,5,2","208.6",",7","  18.9",",,,2,5,2","  -0.6",",,,2,5,2","   7.8",",,,2,5,2","   8.4",",,,2,5,2","","","  13.5",",,,2,5,2","13.64","5,,,7","215.8",",,,7","0",",,,7","11.40",",7","17.00",",,,7","5.80",",,,7"
"USC00386299","2020-03","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","74.5","7","53.4",",7","10",",7","6",",7","3",",7","0",",7","0",",7","0",",7","1",",7","0",",7","21",",7","0",",7","-1.1",",7,01,","0",",,7,31,+","0",",,7,31,+","38.4",",,7,03,","31.1",",7,29,+","79.4","5,,,7","995.0","7","  20.6",",,,7,5,2","74.3",",7","  23.9",",,,7,5,2","   6.1",",,,7,5,2","  12.2",",,,7,5,2","  14.3",",,,7,5,2","14.93",",,,7","  18.8",",,,7,5,2","18.51",",,,7","134.2",",,,7","0",",,,7","17.66",",7","23.05",",,,7","12.27",",,,7"
"USC00386299","2020-04","33.66269","-81.03329","98.1","NORTH 5 NE, SC US","120.3","7","45.8",",7","11",",7","6",",7","2",",7","0",",7","0",",7","0",",7","0",",7","0",",7","25",",7","0",",7","2.8",",7,11,","0",",,7,30,+","0",",,7,30,+","50.8",",,7,13,","31.1",",7,10,","83.3","5,,,7","1035.5","7","  21.1",",,,7,5,2","40.5",",7","  23.9",",,,7,5,2","  12.2",",,,7,5,2","  18.9",",,,7,5,2","  17.6",",,,7,5,2","18.26",",,,7","  22.2",",,,7,5,2","22.26",",,,7","124.3",",,,7","0",",,,7","18.51",",7","24.87",",,,7","12.15",",,,7"
