"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00475012","1987-06","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","51.5","1,6","","","","","","","0","1,6","0","1,6","0",",6","24",",6","1",",6","","","","","1.7","1,6,09,","","","32.2",",6,16,","","","55.8",",6","","","18.31","1,6","25.08",",,,6","11.54","1,,,6"
"USC00475012","1987-07","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","90.4",",6","","","","","","","0",",6","0",",6","0",",6","27",",6","0",",6","","","","","6.7",",6,03,","","","31.7",",6,30,+","20.6","","20.6",",6","","","20.59",",6","26.17",",,,6","15.00",",,,6"
"USC00475012","1987-08","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","34.4","1,6","","","","","","","0",",6","0",",6","0","1,6","23","1,6","0","1,6","","","","","2.8",",6,23,","","","29.4","1,6,01,","70.9","","50.3","1,6","","","17.70","1,6","23.45","1,,,6","11.95",",,,6"
"USC00475012","1987-09","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","10.6",",6","","","","","","","0",",6","1",",6","0",",6","12",",6","0",",6","","","","","-1.1",",6,24,","","","28.9",",6,05,","204.8","","133.9",",6","","","14.22",",6","20.06",",,,6","8.39",",,,6"
"USC00475012","1988-05","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","17.5",",6","9",",6","4",",6","0",",6","0",",6","2",",6","0",",6","21",",6","0",",6","","","","","-3.9",",6,17,","17.8",",,6,09,","29.4",",6,30,","","","136.6",",6","34.7",",,,6","14.49",",6","22.45",",,,6","6.53",",,,6"
"USC00475012","1988-06","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","53.9","3,6","","","","","","","0",",6","0",",6","0","3,6","23","3,6","1","3,6","","","","","1.7",",6,09,","","","32.2","3,6,08,","","","50.8","3,6","","","18.44","3,6","25.89","3,,,6","11.00",",,,6"
"USC00475012","1988-07","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","85.2",",6","","","","","","","0",",6","0",",6","0",",6","31",",6","5",",6","","","","","2.8",",6,01,","","","33.3",",6,08,","16.4","","16.4",",6","","","20.55",",6","27.79",",,,6","13.31",",,,6"
"USC00475012","1988-08","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","80.2",",6","","","","","","","0",",6","0",",6","0",",6","26",",6","2",",6","","","","","5.6",",6,29,+","","","33.3",",6,17,","59.6","","43.2",",6","","","19.53",",6","25.29",",,,6","13.77",",,,6"
"USC00475012","1989-06","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","16.4",",6","","","","","","","0",",6","1",",6","0",",6","18",",6","0",",6","","","","","-2.2",",6,09,","","","28.3",",6,20,","","","110.9",",6","","","15.19",",6","21.59",",,,6","8.78",",,,6"
"USC00475012","1989-07","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","66.1",",6","","","","","","","0",",6","0",",6","0",",6","28",",6","1",",6","","","","","6.7",",6,15,","","","32.2",",6,10,","17.0","","17.0",",6","","","19.92",",6","26.41",",,,6","13.43",",,,6"
"USC00475012","1989-08","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","39.6",",6","","","","","","","0",",6","0",",6","0",",6","27",",6","1",",6","","","","","5.0",",6,07,","","","32.2",",6,05,","55.9","","38.9",",6","","","18.35",",6","24.56",",,,6","12.15",",,,6"
"USC00475012","1989-09","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","5.6",",6","","","","","","","0",",6","4",",6","0",",6","14",",6","0",",6","","","","","-1.1",",6,24,","","","26.1",",6,08,+","206.6","","150.7",",6","","","13.50",",6","19.81",",,,6","7.18",",,,6"
"USC00475012","1990-04","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","",""
"USC00475012","1990-05","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","0.0","2,6","","","","","","","0","1,6","10","1,6","0","1,6","6","1,6","0","1,6","","","","","-3.9","1,6,02,","","","27.2","1,6,08,","","","235.3","1,6","","","10.08","2,6","16.67","1,,,6","3.50","1,,,6"
"USC00475012","1990-06","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","19.1",",6","","","","","","","0",",6","1",",6","0",",6","20",",6","0",",6","","","","","-0.6",",6,04,","","","30.0",",6,30,","","","69.6",",6","","","16.65",",6","22.41",",,,6","10.89",",,,6"
"USC00475012","1990-07","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","34.5",",6","","","","","","","0",",6","0",",6","0",",6","26",",6","0",",6","","","","","4.4",",6,13,","","","31.7",",6,04,","39.4","","39.4",",6","","","18.17",",6","24.45",",,,6","11.90",",,,6"
"USC00475012","1990-08","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","33.5",",6","","","","","","","0",",6","0",",6","0",",6","27",",6","0",",6","","","","","5.6",",6,06,","","","27.8",",6,26,+","76.4","","37.0",",6","","","18.22",",6","24.01",",,,6","12.42",",,,6"
"USC00475012","1990-09","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","6.7","2,6","","","","","","","0","1,6","0","1,6","0","1,6","11","1,6","0","1,6","","","","","1.1","1,6,17,","","","27.8","1,6,02,","207.9","","131.5","1,6","","","13.91","2,6","18.91","1,,,6","8.90","1,,,6"
"USC00475012","1991-05","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","34.0",",6","15",",6","7",",6","1",",6","0",",6","5",",6","0",",6","19",",6","0",",6","","","","","-1.1",",6,08,+","33.8",",,6,26,","29.4",",6,15,+","","","153.0",",6","95.1",",,,6","14.49",",6","20.17",",,,6","8.81",",,,6"
"USC00475012","1991-06","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","43.7",",6","","","","","","","0",",6","0",",6","0",",6","28",",6","0",",6","","","","","5.6",",6,23,","","","30.0",",6,27,","","","28.2",",6","","","18.85",",6","24.89",",,,6","12.81",",,,6"
"USC00475012","1991-07","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","43.3","1,6","17",",6","11",",6","2",",6","0","1,6","0","1,6","0",",6","24",",6","0",",6","","","","","4.4","1,6,26,","33.5",",,6,17,","29.4",",6,17,","41.3","","41.3",",6","140.5",",,,6","18.44","1,6","23.81",",,,6","13.06","1,,,6"
"USC00475012","1991-08","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","54.4",",6","7",",6","3",",6","1",",6","0",",6","0",",6","0",",6","27",",6","0",",6","","","","","6.7",",6,05,","25.4",",,6,17,","31.1",",6,28,+","70.1","","28.8",",6","37.1",",,,6","19.16",",6","25.21",",,,6","13.10",",,,6"
"USC00475012","1991-09","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","8.8",",6","","","","","","","0",",6","1",",6","0",",6","10",",6","0",",6","","","","","-3.9",",6,27,","","","26.7",",6,10,","263.3","","193.2",",6","","","12.19",",6","16.65",",,,6","7.73",",,,6"
"USC00475012","1992-05","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","13.4",",6","8",",6","4",",6","1",",6","0",",6","4",",6","0",",6","14",",6","0",",6","","","","","-4.4",",6,05,","27.4",",,6,17,","28.9",",6,23,+","","","184.6",",6","54.1",",,,6","12.81",",6","19.52",",,,6","6.10",",,,6"
"USC00475012","1992-06","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","11.7",",6","13",",6","7",",6","0",",6","0",",6","2",",6","0",",6","16",",6","0",",6","","","","","-1.7",",6,21,","11.9",",,6,23,","30.0",",6,13,","","","112.1",",6","62.4",",,,6","14.99",",6","21.37",",,,6","8.60",",,,6"
"USC00475012","1992-07","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","4.9",",6","13",",6","8",",6","1",",6","0",",6","0",",6","0",",6","20",",6","0",",6","","","","","6.1",",6,29,","35.8",",,6,02,","25.0",",6,09,","87.4","","87.4",",6","93.6",",,,6","15.67",",6","21.21",",,,6","10.14",",,,6"
"USC00475012","1992-08","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","18.6",",6","9",",6","6",",6","0",",6","0",",6","0",",6","0",",6","19",",6","0",",6","","","","","2.2",",6,13,","19.8",",,6,30,","31.1",",6,10,","180.0","","92.6",",6","52.2",",,,6","15.95",",6","22.22",",,,6","9.67",",,,6"
"USC00475012","1992-09","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","2.8",",6","16",",6","10",",6","0",",6","0",",6","3",",6","0",",6","6",",6","0",",6","","","","","-2.8",",6,29,","14.2",",,6,27,","25.0",",6,06,","354.7","","174.7",",6","82.7",",,,6","12.60",",6","17.54",",,,6","7.67",",,,6"
"USC00475012","1993-05","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","5.3","1,6","17",",6","9",",6","0",",6","0","1,6","7","1,6","0","1,6","6","1,6","0","1,6","","","","","-2.8","1,6,16,","21.6",",,6,24,","27.8","1,6,07,","","","222.3","1,6","100.0",",,,6","11.10","1,6","16.77","1,,,6","5.43","1,,,6"
"USC00475012","1993-06","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","13.1",",6","","","","","","","0",",6","0",",6","0",",6","12",",6","0",",6","","","","","0.6",",6,04,+","","","28.9",",6,22,","","","118.2",",6","","","14.83",",6","20.17",",,,6","9.49",",,,6"
"USC00475012","1993-07","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","36.1",",6","15",",6","9",",6","0",",6","0",",6","0",",6","0",",6","29",",6","0",",6","","","","","6.7",",6,22,","13.2",",,6,28,","28.3",",6,19,","26.1","","26.1",",6","73.0",",,,6","18.66",",6","23.85",",,,6","13.46",",,,6"
"USC00475012","1993-08","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","51.9",",6","10",",6","7",",6","0",",6","0",",6","0",",6","0",",6","26",",6","0",",6","","","","","5.0",",6,21,","24.4",",,6,06,","30.6",",6,26,","66.0","","39.9",",6","86.4",",,,6","18.72",",6","24.35",",,,6","13.08",",,,6"
"USC00475012","1993-09","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","0.0","3,6","","","","","","","0","1,6","2","1,6","0","2,6","2","2,6","0","2,6","","","","","-1.1","1,6,30,","","","25.0","2,6,13,","282.4","","216.4","2,6","","","10.45","3,6","15.84","2,,,6","5.07","1,,,6"
"USC00475012","1994-06","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","44.2",",6","11",",6","8",",6","1",",6","0",",6","1",",6","0",",6","23",",6","0",",6","","","","","0.0",",6,02,","39.1",",,6,18,","30.0",",6,17,","","","64.2",",6","109.7",",,,6","17.67",",6","23.94",",,,6","11.39",",,,6"
"USC00475012","1994-07","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","28.2",",6","15",",6","9",",6","1",",6","0",",6","0",",6","0",",6","27",",6","0",",6","","","","","6.1",",6,02,","27.9",",,6,20,","27.8",",6,07,","37.0","","37.0",",6","102.7",",,,6","18.05",",6","23.35",",,,6","12.74",",,,6"
"USC00475012","1994-08","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","18.4",",6","11",",6","8",",6","1",",6","0",",6","0",",6","0",",6","20",",6","0",",6","","","","","4.4",",6,05,","25.4",",,6,08,","29.4",",6,26,","103.9","","66.9",",6","106.5",",,,6","16.77",",6","22.12",",,,6","11.42",",,,6"
"USC00475012","1994-09","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","13.1",",6","15",",6","12",",6","4",",6","0",",6","0",",6","0",",6","17",",6","0",",6","1","","3","","1.1",",6,29,","104.1",",,6,22,","26.7",",6,12,","220.5","","116.6",",6","262.4",",,,6","14.88",",6","20.17",",,,6","9.59",",,,6"
"USC00475012","1994-10","46.15","-89.88333","500.5","MANITOWISH WATERS, WI US","0.0","4,6","","","","","","","0","2,6","5","2,6","0","2,6","1","2,6","0","2,6","","","1","","-4.4","2,6,31,","","","21.1","2,6,07,","475.2","","254.7","2,6","","","8.92","4,6","13.66","2,,,6","4.18","2,,,6"
