"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00053989","2008-11","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","5.9","2,W","7","2,W","3","2,W","0","2,W","0","2,W","11","2,W","0","2,W","6","2,W","0","2,W","2","","-9.3","2,W,21,","15.2","2,,W,11,","27.8","2,W,02,","","","295.3","2,W","31.3","2,,,W","8.00","2,W","13.69","2,,,W","2.30","2,,,W","","","","","","","",""
"USW00053989","2008-12","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","0.0","1,W","3","1,W","1","1,W","0","1,W","1","1,W","27","1,W","6","1,W","1","1,W","0","1,W","1","","-19.3","1,W,21,","6.6","1,,W,16,","21.7","1,W,26,","","","557.1","1,W","8.2","1,,,W","-0.24","1,W","6.34","1,,,W","-6.82","1,,,W","","","","","","","",""
"USW00053989","2009-01","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.7",",W","0.0","W","0.0",",W","0",",W","0",",W","0",",W","0",",W","30",",W","6",",W","1",",W","0",",W","","","-16.0",",W,15,","0.0",",T,W,27,+","23.9",",W,31,","","","561.3",",W","0.0",",T,,W","0.23",",W","7.29",",,,W","-6.84",",,,W","270",",W","280",",W","15.7",",W","20.1",",W"
"USW00053989","2009-06","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00053989","2009-07","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","3.6","4,W","","","","","16","4,W","7","4,W","1","4,W","","","","","","","","","","","15","","","","35.8","4,,W,15,","","","","","","","90.0","4,,,W","","","","","","","290","4,W","290","4,W","18.3","4,W","23.7","4,W"
"USW00053989","2009-08","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.4","3,W","","","208.7","5,W","13","3,W","7","3,W","1","3,W","0","5,W","0","5,W","0","5,W","26","5,W","16","5,W","9","","11.1","5,W,31,","28.2","3,,W,17,","39.4","5,W,08,","","","0.6","5,W","101.7","3,,,W","26.34","5,W","32.65","5,,,W","20.03","5,,,W","290","3,W","300","3,W","16.5","3,W","19.7","3,W"
"USW00053989","2009-09","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","3.8",",W","","","96.9",",W","13",",W","4",",W","2",",W","0",",W","0",",W","0",",W","30",",W","1",",W","5","","5.0",",W,29,","48.0",",,W,12,","32.8",",W,27,","","","11.5",",W","105.9",",,,W","21.18",",W","27.44",",,,W","14.92",",,,W","130",",W","130",",W","13.4",",W","16.5",",W"
"USW00053989","2009-10","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.8","1,W","","","3.0","1,W","12","1,W","3","1,W","1","1,W","0","1,W","0","1,W","0","1,W","7","1,W","0","1,W","4","","0.6","1,W,10,","40.1","1,,W,29,","26.7","1,W,20,","","","209.4","1,W","62.7","1,,,W","11.45","1,W","16.79","1,,,W","6.11","1,,,W","280","1,W","290","1,W","16.5","1,W","21.0","1,W"
"USW00053989","2009-11","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.4","2,W","","","2.8","2,W","7","2,W","4","2,W","0","2,W","0","2,W","3","2,W","0","2,W","9","2,W","0","2,W","1","","-2.1","2,W,26,","12.7","2,,W,23,","27.8","2,W,07,","","","204.3","2,W","41.2","2,,,W","11.13","2,W","17.36","2,,,W","4.91","2,,,W","180","2,W","170","2,W","13.4","2,W","17.4","2,W"
"USW00053989","2009-12","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.8","1,W","","","0.0","1,W","7","1,W","2","1,W","0","1,W","1","1,W","28","1,W","9","1,W","0","1,W","0","1,W","","","-19.9","1,W,10,","16.5","1,,W,08,","17.2","1,W,01,","","","610.3","1,W","27.8","1,,,W","-2.01","1,W","2.46","1,,,W","-6.48","1,,,W","290","1,W","310","1,W","14.8","1,W","20.1","1,W"
"USW00053989","2010-01","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.0","1,W","0.0","W","0.0","1,W","8","1,W","0","1,W","0","1,W","2","1,W","24","1,W","11","1,W","0","1,W","0","1,W","","","-19.9","1,W,09,","1.8","1,,W,23,","14.4","1,W,23,","","","618.5","1,W","5.4","1,,,W","-2.29","1,W","2.03","1,,,W","-6.60","1,,,W","290","1,W","290","1,W","14.8","1,W","19.7","1,W"
"USW00053989","2010-02","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.1",",W","0.0","W","0.0",",W","5",",W","2",",W","0",",W","0",",W","24",",W","2",",W","0",",W","0",",W","","","-11.6",",W,24,+","7.1",",,W,04,","15.6",",W,18,","","","502.2",",W","13.0",",,,W","0.40",",W","5.04",",,,W","-4.25",",,,W","280",",W","330",",W","14.3",",W","17.9",",W"
"USW00053989","2010-03","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","5.2","5,W","0.0","W","0.0","5,W","8","5,W","5","5,W","1","5,W","0","5,W","8","5,W","0","5,W","1","5,W","0","5,W","","","-6.6","5,W,02,","31.7","5,,W,24,","21.1","5,W,05,","","","262.8","5,W","74.9","5,,,W","8.23","5,W","13.62","5,,,W","2.84","5,,,W","20","5,W","10","5,W","13.0","5,W","17.9","5,W"
"USW00053989","2010-04","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00053989","2010-05","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","83.1","1,W","12","1,W","5","1,W","0","1,W","0","1,W","0","1,W","0","1,W","18","1,W","6","1,W","11","","4.4","1,W,08,","24.9","1,,W,10,","33.9","1,W,28,","","","44.5","1,W","66.7","1,,,W","19.62","1,W","25.05","1,,,W","14.18","1,,,W","","","","","","","",""
"USW00053989","2010-06","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.4","3,W","","","250.9","3,W","12","3,W","7","3,W","2","3,W","0","3,W","0","3,W","0","3,W","27","3,W","22","3,W","12","","17.2","3,W,03,","61.2","3,,W,16,","37.8","3,W,26,+","","","0.0","3,W","166.7","3,,,W","27.63","3,W","33.86","3,,,W","21.40","3,,,W","320","3,W","330","3,W","17.9","3,W","21.9","3,W"
"USW00053989","2010-07","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.2","2,W","","","326.9","2,W","11","2,W","8","2,W","1","2,W","0","2,W","0","2,W","0","2,W","29","2,W","25","2,W","8","","19.4","2,W,09,+","29.2","2,,W,04,","39.4","2,W,30,","0.0","W","0.0","2,W","108.9","2,,,W","29.61","2,W","35.28","2,,,W","23.93","2,,,W","240","2,W","330","2,W","17.0","2,W","21.0","2,W"
"USW00053989","2010-08","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.2","1,W","","","331.9","3,W","8","1,W","5","1,W","0","1,W","0","3,W","0","3,W","0","3,W","28","3,W","26","3,W","13","","14.4","3,W,25,","17.0","1,,W,24,","43.3","3,W,12,","0.0","W","0.0","3,W","38.0","1,,,W","30.19","3,W","37.22","3,,,W","23.16","3,,,W","170","1,W","320","1,W","12.5","1,W","15.7","1,W"
"USW00053989","2010-09","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","4.6",",W","","","143.1","4,W","11",",W","7",",W","0",",W","0","4,W","0","4,W","0","4,W","26","4,W","12","4,W","9","","9.4","4,W,27,","21.1",",,W,23,","37.8","4,W,06,","2.5","W","2.5","4,W","65.2",",,,W","23.74","4,W","30.82","4,,,W","16.66","4,,,W","240",",W","240",",W","16.5",",W","20.6",",W"
"USW00053989","2010-10","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00053989","2011-01","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","0.0","W","0.0","1,W","3","1,W","1","1,W","0","1,W","1","1,W","30","1,W","9","1,W","0","1,W","0","1,W","","","-18.8","1,W,12,","8.6","1,,W,10,","16.7","1,W,28,","","","599.0","1,W","10.2","1,,,W","-1.63","1,W","4.36","1,,,W","-7.63","1,,,W","","","","","","","",""
"USW00053989","2011-02","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","0.0","W","0.0",",W","4",",W","1",",W","0",",W","1",",W","19",",W","7",",W","3",",W","0",",W","1","","-18.8",",W,10,","4.3",",,W,24,","25.0",",W,17,","","","486.5",",W","6.9",",,,W","0.96",",W","7.35",",,,W","-5.43",",,,W","","","","","","","",""
"USW00053989","2011-03","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","0.0",",W","10.9","W","10.9",",W","8",",W","3",",W","0",",W","0",",W","11",",W","0",",W","8",",W","0",",W","3","","-7.7",",W,05,","17.0",",,W,13,","31.7",",W,22,","","","313.9",",W","28.6",",,,W","8.56",",W","15.01",",,,W","2.10",",,,W","","","","","","","",""
"USW00053989","2011-04","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","29.0","W","18.1","4,W","7","4,W","4","4,W","0","4,W","0","4,W","0","4,W","0","4,W","16","4,W","2","4,W","6","","1.7","4,W,16,+","24.6","4,,W,15,","35.6","4,W,03,","","","94.1","4,W","42.3","4,,,W","15.41","4,W","22.87","4,,,W","7.95","4,,,W","","","","","","","",""
"USW00053989","2011-05","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","134.1","W","105.1",",W","10",",W","7",",W","1",",W","0",",W","0",",W","0",",W","26",",W","6",",W","11","","4.4",",W,03,+","28.7",",,W,24,","40.0",",W,09,","","","46.6",",W","77.4",",,,W","20.22",",W","26.91",",,,W","13.53",",,,W","","","","","","","",""
"USW00053989","2011-06","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","355.8","W","221.7","4,W","8","4,W","4","4,W","2","4,W","0","4,W","0","4,W","0","4,W","26","4,W","16","4,W","12","","15.6","4,W,23,+","112.3","4,,W,02,","41.7","4,W,30,","","","0.0","4,W","169.7","4,,,W","26.86","4,W","33.68","4,,,W","20.05","4,,,W","","","","","","","",""
"USW00053989","2011-07","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","764.4","W","408.6","2,W","8","2,W","3","2,W","0","2,W","0","2,W","0","2,W","0","2,W","29","2,W","28","2,W","11","","21.1","2,W,03,","19.6","2,,W,24,","44.4","2,W,27,+","0.0","W","0.0","2,W","52.5","2,,,W","32.42","2,W","39.84","2,,,W","25.01","2,,,W","","","","","","","",""
"USW00053989","2011-08","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","1091.7","W","327.3","1,W","","","","","","","0","1,W","0","1,W","0","1,W","30","1,W","28","1,W","15","","16.7","1,W,14,","","","45.0","1,W,01,","0.0","W","0.0","1,W","","","29.24","1,W","36.46","1,,,W","22.03","1,,,W","","","","","","","",""
"USW00053989","2011-09","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","1202.5","W","110.8","1,W","","","","","","","0","1,W","0","1,W","0","1,W","26","1,W","7","1,W","6","","8.3","1,W,22,","","","44.4","1,W,01,","16.7","W","16.7","1,W","","","21.58","1,W","29.08","1,,,W","14.08","1,,,W","","","","","","","",""
"USW00053989","2011-10","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"USW00053989","2011-12","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","0.0",",W","","","","","","","0",",W","21",",W","2",",W","0",",W","0",",W","2","","-9.3",",W,23,+","","","18.3",",W,31,","","","468.2",",W","","","3.23",",W","8.54",",,,W","-2.08",",,,W","","","","","","","",""
"USW00053989","2012-01","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","0.0","","0.0",",W","0",",W","0",",W","0",",W","0",",W","25",",W","3",",W","1",",W","0",",W","","","-12.1",",W,21,","0.0",",T,W,22,+","23.3",",W,30,","","","443.5",",W","0.0",",T,,W","4.03",",W","11.16",",,,W","-3.10",",,,W","","","","","","","",""
"USW00053989","2012-02","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","","","0","3,W","0","3,W","0","3,W","","","","","","","","","","","2","","","","0.0","3,T,W,24,+","","","","","","","0.0","3,T,,W","","","","","","","","","","","","","",""
"USW00053989","2012-03","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","","","7","4,W","5","4,W","0","4,W","","","","","","","","","","","3","","","","20.3","4,,W,21,","","","","","","","55.9","4,,,W","","","","","","","","","","","","","",""
"USW00053989","2012-04","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","","","8","1,W","6","1,W","1","1,W","","","","","","","","","","","9","","","","41.9","1,,W,04,","","","","","","","94.5","1,,,W","","","","","","","","","","","","","",""
"USW00053989","2012-05","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","","","6","1,W","3","1,W","0","1,W","","","","","","","","","","","8","","","","24.6","1,,W,30,","","","","","","","39.8","1,,,W","","","","","","","","","","","","","",""
"USW00053989","2012-06","39.29417","-96.92639","385.3","FORT RILEY MULTIPLE PURPOSE RANGE, KS US","","","","","","","5","2,W","3","2,W","1","2,W","","","","","","","","","","","7","","","","68.3","2,,W,20,","","","","","","","84.9","2,,,W","","","","","","","","","","","","","",""
