"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00143686","1986-02","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","0.0","0","0.0",",0","5",",0","4",",0","0",",0","2",",0","1",",0","1",",0","24",",0","9",",0","0",",0","0",",0","","","","","-18.3",",0,12,","51",",,0,14,","51",",,0,14,","15.5",",,0,03,","18.9",",0,25,+","","","","","530.5",",0","27.9",",,,0","51",",,,0","-0.61",",0","5.26",",,,0","-6.48",",,,0","","","",""
"USC00143686","1986-04","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","8.3","4,0","10",",0","8",",0","1",",0","0",",0","0",",0","0","2,0","3","2,0","0","2,0","15","2,0","0","2,0","","","","","-6.1","2,0,15,","0",",,0,30,+","0",",,0,30,+","25.4",",,0,28,","29.4","2,0,25,","","","","","136.1","2,0","87.7",",,,0","0",",,,0","13.58","4,0","21.14","2,,,0","6.03","2,,,0","","","",""
"USC00143686","1986-05","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","32.5",",0","13",",0","9",",0","3",",0","0",",0","0","1,0","0",",0","0",",0","0",",0","28",",0","0",",0","","","","","6.1",",0,04,","0",",,0,31,+","0","1,,0,31,+","34.5",",,0,17,","30.0",",0,31,+","","","","","38.1",",0","168.4",",,,0","0","1,,,0","18.15",",0","24.86",",,,0","11.45",",,,0","","","",""
"USC00143686","1986-06","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","174.1","1,0","8",",0","3",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","30",",0","11",",0","","","","","12.2","1,0,11,","0",",,0,30,+","0",",,0,30,+","48.8",",,0,27,","34.4",",0,29,+","","","","","0.0",",0","94.5",",,,0","0",",,,0","24.29","1,0","30.46",",,,0","18.12","1,,,0","","","",""
"USC00143686","1986-07","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","253.0",",0","9",",0","9",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","22",",0","","","","","16.1",",0,21,","0",",,0,31,+","0",",,0,31,+","48.5",",,0,01,","37.8",",0,30,","","","0.0","0","0.0",",0","193.9",",,,0","0",",,,0","26.50",",0","32.74",",,,0","20.25",",,,0","","","",""
"USC00143686","1986-08","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","135.2",",0","13",",0","10",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","3",",0","","","","","6.7",",0,28,","0",",,0,31,+","0",",,0,31,+","34.5",",,0,10,","32.8",",0,25,+","","","7.0","0","7.0",",0","148.5",",,,0","0",",,,0","22.47",",0","28.59",",,,0","16.35",",,,0","","","",""
"USC00143686","1986-09","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","111.4",",0","14",",0","11",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","0",",0","","","","","7.8",",0,08,","0",",,0,30,+","0",",,0,30,+","104.6",",,0,27,","31.7",",0,27,+","","","15.1","0","8.1",",0","346.5",",,,0","0",",,,0","21.78",",0","27.59",",,,0","15.96",",,,0","","","",""
"USC00143686","1986-10","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","1.1","2,0","12",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","15","2,0","0","2,0","","","","","1.1",",0,14,","0",",,0,31,+","0",",,0,31,+","64.8",",,0,03,","25.6","2,0,19,","","","145.7","0","130.6","2,0","178.9",",,,0","0",",,,0","13.88","2,0","19.53","2,,,0","8.23",",,,0","","","",""
"USC00143686","1986-11","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","0.0","3,0","5",",0","4",",0","0",",0","0",",0","0",",0","0","1,0","19","1,0","2","2,0","0","2,0","0","2,0","","","","","-15.6","1,0,13,","0",",,0,30,+","0",",T,0,12,","19.8",",,0,26,","17.8","2,0,29,","","","556.2","0","410.5","2,0","36.9",",,,0","0",",T,,0","3.38","3,0","9.16","2,,,0","-2.40","1,,,0","","","",""
"USC00143686","1986-12","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","0.0","5,0","2",",0","2",",0","0",",0","0",",0","0",",0","0","1,0","25","1,0","0","4,0","0","4,0","0","4,0","","","","","-10.6","1,0,10,","0",",T,0,11,+","13",",,0,09,","3.8",",,0,09,","11.1","4,0,14,","","","978.7","0","422.5","4,0","7.1",",,,0","13",",,,0","1.92","5,0","7.05","4,,,0","-3.22","1,,,0","","","",""
"USC00143686","1987-01","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","0.0","0","0.0","4,0","5",",0","4",",0","0",",0","18",",0","5",",0","0","1,0","28","1,0","8","3,0","0","3,0","0","3,0","","","","","-15.0","1,0,25,","152",",,0,20,+","97",",,0,09,","7.1",",,0,09,","14.4","3,0,13,","","","1511.7","0","533.0","3,0","20.0",",,,0","326",",,,0","-1.26","4,0","3.89","3,,,0","-6.40","1,,,0","","","",""
"USC00143686","1987-02","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","0.0","0","0.0","1,0","8",",0","6",",0","0",",0","6",",0","2","1,0","0","1,0","15","1,0","2",",0","0",",0","0",",0","","","","","-6.7","1,0,09,","127",",,0,18,+","89","1,,0,16,","17.8",",,0,16,","19.4",",0,11,","","","1900.7","0","389.0",",0","48.1",",,,0","127","1,,,0","4.05","1,0","8.86",",,,0","-0.76","1,,,0","","","",""
"USC00143686","1987-03","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","","","6",",0","5",",0","1",",0","0","2,0","0","2,0","0","1,0","6","1,0","0","5,0","8","5,0","0","5,0","","","","","-6.7","1,0,30,","0","2,,0,31,+","0","2,,0,31,+","54.6",",,0,18,","23.9","5,0,06,","","","","","","","101.8",",,,0","0","2,,,0","9.43","6,0","15.73","5,,,0","3.13","1,,,0","","","",""
"USC00143686","1987-04","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","34.5","1,0","6",",0","4",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0","1,0","18","1,0","4","1,0","","","","","-4.4",",0,03,","0",",,0,30,+","0",",,0,30,+","18.8",",,0,13,","32.2","1,0,22,+","","","","","131.6","1,0","49.8",",,,0","0",",,,0","14.82","1,0","22.53","1,,,0","7.12",",,,0","","","",""
"USC00143686","1987-05","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","94.5","1,0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","28","1,0","0","1,0","","","","","9.4",",0,23,","0",",,0,31,+","0",",,0,31,+","26.7",",,0,05,","31.7","1,0,21,+","","","","","8.6","1,0","76.3",",,,0","0",",,,0","21.12","1,0","27.11","1,,,0","15.13",",,,0","","","",""
"USC00143686","1987-06","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","173.9","1,0","11",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","29","1,0","8","1,0","","","","","11.7",",0,04,","0",",,0,30,+","0",",,0,30,+","39.4",",,0,23,","35.0","1,0,15,+","","","","","0.0","1,0","150.7",",,,0","0",",,,0","24.34","1,0","29.90","1,,,0","18.79",",,,0","","","",""
"USC00143686","1987-07","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","238.1",",0","7",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","13",",0","","","","","13.3",",0,14,","0",",,0,31,+","0",",,0,31,+","33.0",",,0,12,","37.2",",0,31,+","","","0.0","0","0.0",",0","78.7",",,,0","0",",,,0","26.01",",0","31.47",",,,0","20.56",",,,0","","","",""
"USC00143686","1987-08","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","202.5",",0","10",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","13",",0","","","","","12.8",",0,28,","0",",,0,31,+","0",",,0,31,+","44.5",",,0,20,","40.0",",0,03,","","","1.7","0","1.7",",0","180.4",",,,0","0",",,,0","24.81",",0","30.46",",,,0","19.16",",,,0","","","",""
"USC00143686","1987-09","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","58.8","1,0","8",",0","7",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","30",",0","1",",0","","","","","8.3","1,0,23,","0",",,0,30,+","0",",,0,30,+","6.9",",,0,10,","32.2",",0,04,","","","14.1","0","12.4",",0","29.0",",,,0","0",",,,0","19.98","1,0","26.40",",,,0","13.55","1,,,0","","","",""
"USC00143686","1987-10","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","0.0","3,0","5",",0","2",",0","1",",0","0",",0","0",",0","0","1,0","3","1,0","0","2,0","10","2,0","0","2,0","","","","","-2.2","1,0,21,","0",",,0,31,+","0",",,0,31,+","40.6",",,0,16,","27.2","2,0,30,+","","","202.3","0","188.2","2,0","51.1",",,,0","0",",,,0","11.66","3,0","18.61","2,,,0","4.70","1,,,0","","","",""
"USC00143686","1987-11","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","4.2","5,0","9",",0","7",",0","0",",0","0","1,0","0","1,0","0","2,0","12","2,0","0","3,0","5","3,0","0","3,0","","","","","-4.4","2,0,10,","0","1,,0,30,+","0","1,,0,30,+","22.4",",,0,24,","25.6","3,0,03,","","","440.9","0","238.6","3,0","87.7",",,,0","0","1,,,0","8.69","5,0","14.17","3,,,0","3.21","2,,,0","","","",""
"USC00143686","1987-12","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","","","0.0","4,0","5",",0","5",",0","1",",0","10",",0","2","1,0","0",",0","24",",0","2","4,0","0","4,0","0","4,0","","","","","-11.7",",0,17,","279",",,0,16,+","165","1,,0,15,","51.3",",,0,20,","15.6","4,0,08,","","","882.3","0","441.4","4,0","78.7",",,,0","267","1,,,0","1.86","4,0","6.86","4,,,0","-3.14",",,,0","","","",""
"USC00143686","1988-01","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","0.0","0","0.0","5,0","4",",0","3",",0","0",",0","9",",0","","","1","1,0","27","1,0","9","4,0","0","4,0","0","4,0","","","","","-19.4","1,0,08,","51",",,0,10,+","","","15.0",",,0,19,","17.8","4,0,30,","","","1428.9","0","546.6","4,0","23.1",",,,0","","","-2.52","5,0","3.66","4,,,0","-8.70","1,,,0","","","",""
"USC00143686","1988-02","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","0.0","0","0.0","3,0","4",",0","3",",0","0",",0","5","2,0","2",",0","2",",0","27",",0","6","3,0","1","3,0","0","3,0","","","","","-22.8",",0,11,","102","2,,0,13,+","102",",,0,11,","6.4",",,0,19,","22.2","3,0,26,","","","1918.5","0","489.6","3,0","13.8",",,,0","140",",,,0","-0.73","3,0","5.95","3,,,0","-7.41",",,,0","","","",""
"USC00143686","1988-03","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","0.0","0","0.0","4,0","5",",0","3",",0","0",",0","3","1,0","3",",0","0",",0","17",",0","0","4,0","7","4,0","0","4,0","","","","","-10.0",",0,14,","51","1,,0,03,","51",",,0,03,","18.0",",,0,29,","27.2","4,0,22,","","","2219.5","0","301.0","4,0","41.6",",,,0","109",",,,0","7.00","4,0","14.30","4,,,0","-0.30",",,,0","","","",""
"USC00143686","1988-04","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","0.0","0","0.0","1,0","7",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","12","1,0","0","1,0","","","","","1.7",",0,19,","0",",,0,30,+","0",",,0,30,+","67.3",",,0,01,","27.8","1,0,22,","","","2374.5","0","155.0","1,0","99.8",",,,0","0",",,,0","12.95","1,0","20.02","1,,,0","5.87",",,,0","","","",""
"USC00143686","1988-05","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","63.5","0","63.5",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","0",",0","","","","","8.9",",0,26,+","0",",,0,31,+","0",",,0,31,+","13.2",",,0,04,","30.6",",0,31,+","","","2386.6","0","12.1",",0","43.2",",,,0","0",",,,0","19.99",",0","26.34",",,,0","13.64",",,,0","","","",""
"USC00143686","1988-06","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","270.5","0","207.0",",0","3",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","17",",0","","","","","10.0",",0,10,","0",",,0,30,+","0",",,0,30,+","71.9",",,0,30,","38.9",",0,26,+","","","2387.4","0","0.8",",0","81.8",",,,0","0",",,,0","25.21",",0","32.35",",,,0","18.06",",,,0","","","",""
"USC00143686","1988-07","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","485.2","0","214.7",",0","9",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","13",",0","","","","","14.4",",0,02,","0",",,0,31,+","0",",,0,31,+","41.1",",,0,01,","36.1",",0,15,","","","3.9","0","3.9",",0","115.8",",,,0","0",",,,0","25.13",",0","30.66",",,,0","19.61",",,,0","","","",""
"USC00143686","1988-08","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","761.2","0","276.0",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","25",",0","","","","","10.0",",0,29,","0",",,0,31,+","0",",,0,31,+","5.1",",,0,14,","39.4",",0,10,+","","","4.4","0","0.5",",0","11.8",",,,0","0",",,,0","27.22",",0","34.28",",,,0","20.16",",,,0","","","",""
"USC00143686","1988-09","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","863.5","0","102.3",",0","5",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","6",",0","","","","","9.4",",0,06,","0",",,0,30,+","0",",,0,30,+","84.1",",,0,16,","36.7",",0,13,","","","12.7","0","8.3",",0","179.5",",,,0","0",",,,0","21.47",",0","28.14",",,,0","14.79",",,,0","","","",""
"USC00143686","1988-10","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","864.6","0","1.1",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","8",",0","0",",0","","","","","-1.7",",0,28,","0",",,0,31,+","0",",,0,31,+","12.7",",,0,23,","28.3",",0,18,","","","228.5","0","215.8",",0","12.7",",,,0","0",",,,0","11.41",",0","17.43",",,,0","5.38",",,,0","","","",""
"USC00143686","1988-11","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","864.6","0","0.0","3,0","6",",0","4",",0","1",",0","1","4,0","1",",0","0","3,0","10","3,0","0","3,0","5","3,0","0","3,0","","","","","-8.3","3,0,21,","152","4,,0,20,","140",",,0,20,","26.7",",,0,12,","24.4","3,0,03,","","","528.6","0","300.1","3,0","59.5",",,,0","140",",,,0","7.22","3,0","13.47","3,,,0","0.97","3,,,0","","","",""
"USC00143686","1988-12","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","864.6","0","0.0","2,0","2",",0","2",",0","1",",0","0",",0","0",",0","0","2,0","25","2,0","3","2,0","0","2,0","0","2,0","","","","","-12.2","2,0,16,","0",",,0,31,+","0",",,0,31,+","28.4",",,0,27,","18.3","2,0,03,","","","988.5","0","459.9","2,0","35.0",",,,0","0",",,,0","2.48","2,0","9.02","2,,,0","-4.07","2,,,0","","","",""
"USC00143686","1989-01","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","0.0","0","0.0","3,0","5",",0","3",",0","0",",0","0",",0","0",",0","0","3,0","21","3,0","2",",0","0",",0","0",",0","","","","","-10.0","3,0,09,","0",",T,0,15,+","8",",,0,14,","15.7",",,0,29,","15.6",",0,21,+","","","1417.0","0","428.5",",0","31.2",",,,0","8",",,,0","2.96","3,0","8.50",",,,0","-2.58","3,,,0","","","",""
"USC00143686","1989-02","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","0.0","0","0.0","1,0","7",",0","5",",0","0",",0","11",",0","3","1,0","5","1,0","27","1,0","11","1,0","1","1,0","0","1,0","","","","","-22.2","1,0,03,","152",",,0,27,","64","1,,0,05,","7.9",",,0,27,","21.1","1,0,01,","","","2029.5","0","612.5","1,0","26.1",",,,0","127","1,,,0","-4.35","1,0","0.67","1,,,0","-9.38","1,,,0","","","",""
"USC00143686","1989-03","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","2.5","0","2.5",",0","6",",0","4",",0","1",",0","2",",0","0",",0","0",",0","17",",0","2",",0","8",",0","0",",0","","","","","-10.0",",0,06,+","51",",,0,01,","0",",T,0,05,+","48.8",",,0,28,","26.7",",0,12,","","","2394.4","0","364.9",",0","91.9",",,,0","0",",T,,0","6.64",",0","13.84",",,,0","-0.55",",,,0","","","",""
"USC00143686","1989-04","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","41.4","0","38.9","2,0","6",",0","5",",0","0",",0","0",",0","0",",0","0","2,0","3","2,0","0",",0","12",",0","0",",0","","","","","-3.3","2,0,10,","0",",,0,30,+","0",",,0,30,+","10.2",",,0,02,","31.7",",0,27,","","","2544.1","0","149.7",",0","26.2",",,,0","0",",,,0","14.05","2,0","20.14",",,,0","7.97","2,,,0","","","",""
"USC00143686","1989-05","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","86.1","0","44.7","1,0","8",",0","5",",0","2",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","21","1,0","0","1,0","","","","","2.2","1,0,06,","0",",,0,31,+","0",",,0,31,+","46.5",",,0,19,","31.1","1,0,30,","","","2617.8","0","73.7","1,0","96.1",",,,0","0",",,,0","17.37","1,0","23.18","1,,,0","11.56","1,,,0","","","",""
"USC00143686","1989-06","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","186.7","0","100.6",",0","10",",0","8",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","2",",0","","","","","10.6",",0,16,","0",",,0,30,+","0",",,0,30,+","48.8",",,0,01,","32.2",",0,27,+","","","2625.0","0","7.2",",0","160.1",",,,0","0",",,,0","21.45",",0","26.43",",,,0","16.46",",,,0","","","",""
"USC00143686","1989-07","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","392.6","0","205.9",",0","10",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","11",",0","","","","","16.1",",0,21,","0",",,0,31,+","0",",,0,31,+","18.8",",,0,23,+","34.4",",0,11,","","","0.0","0","0.0",",0","65.2",",,,0","0",",,,0","24.97",",0","30.10",",,,0","19.85",",,,0","","","",""
"USC00143686","1989-08","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","573.8","0","181.2",",0","10",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","6",",0","","","","","12.2",",0,07,","0",",,0,31,+","0",",,0,31,+","66.5",",,0,23,","33.9",",0,28,+","","","0.0","0","0.0",",0","166.1",",,,0","0",",,,0","24.18",",0","29.50",",,,0","18.86",",,,0","","","",""
"USC00143686","1989-09","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","622.0","0","48.2","2,0","8",",0","6",",0","0",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","21",",0","1",",0","","","","","2.8","2,0,24,+","0",",,0,30,+","0",",,0,30,+","22.4",",,0,06,","32.2",",0,01,","","","74.9","0","74.9",",0","82.9",",,,0","0",",,,0","17.64","2,0","23.49",",,,0","11.79","2,,,0","","","",""
"USC00143686","1989-10","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","646.1","0","24.1",",0","6",",0","5",",0","3",",0","0",",0","0",",0","0",",0","3",",0","0",",0","17",",0","0",",0","","","","","-2.2",",0,20,","0",",,0,31,+","0",",,0,31,+","55.9",",,0,30,","30.6",",0,15,","","","209.8","0","134.9",",0","150.6",",,,0","0",",,,0","14.76",",0","21.29",",,,0","8.23",",,,0","","","",""
"USC00143686","1989-11","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","646.1","0","0.0","3,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","2,0","14","2,0","1","1,0","3","1,0","0","1,0","","","","","-10.6","2,0,29,","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,16,","25.6","1,0,13,","","","521.8","0","312.0","1,0","0.0",",T,,0","0",",,,0","6.58","3,0","13.42","1,,,0","-0.26","2,,,0","","","",""
"USC00143686","1989-12","38.6645","-94.8901","307.8","HILLSDALE LAKE, KS US","","","646.1","0","0.0",",0","4",",0","1",",0","0",",0","10",",0","2",",0","9",",0","29",",0","14",",0","0",",0","0",",0","","","","","-29.4",",0,22,","51",",,0,24,+","51",",,0,15,","2.8",",,0,15,","17.2",",0,05,","","","1268.9","0","747.1",",0","6.7",",,,0","76",",,,0","-5.77",",0","0.57",",,,0","-12.10",",,,0","","","",""
