"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00394132","1903-10","44.3636","-98.1989","372.8","HURON, SD US","","","5",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","4.1",",,6,13,","","","","","","","","","10.5",",,,6","","","","","","","","","",""
"USC00394132","1903-11","44.3636","-98.1989","372.8","HURON, SD US","","","4",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","4.3",",,6,25,","","","","","","","","","9.3",",,,6","","","","","","","","","",""
"USC00394132","1903-12","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","7.9",",,6,12,","","","","","","","","","15.3",",,,6","","","","","","","","","",""
"USC00394132","1904-01","44.3636","-98.1989","372.8","HURON, SD US","","","5",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","2.3",",,6,02,","","","","","","","","","3.7",",,,6","","","","","","","","","",""
"USC00394132","1904-02","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","3.6",",,6,25,","","","","","","","","","11.7",",,,6","","","","","","","","","",""
"USC00394132","1904-03","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","2.5",",,6,31,","","","","","","","","","6.2",",,,6","","","","","","","","","",""
"USC00394132","1904-04","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","23.4",",,6,22,","","","","","","","","","56.6",",,,6","","","","","","","","","",""
"USC00394132","1904-05","44.3636","-98.1989","372.8","HURON, SD US","","","10",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","35.1",",,6,16,","","","","","","","","","81.0",",,,6","","","","","","","","","",""
"USC00394132","1904-06","44.3636","-98.1989","372.8","HURON, SD US","","","15",",6","10",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","35.3",",,6,17,","","","","","","","","","111.0",",,,6","","","","","","","","","",""
"USC00394132","1904-07","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","13.0",",,6,29,","","","","","","","","","66.2",",,,6","","","","","","","","","",""
"USC00394132","1904-08","44.3636","-98.1989","372.8","HURON, SD US","","","4",",6","4",",6","2",",6","","","","","","","","","","","","","","","","","","","","","","","","","53.6",",,6,19,","","","","","","","","","118.1",",,,6","","","","","","","","","",""
"USC00394132","1904-09","44.3636","-98.1989","372.8","HURON, SD US","","","4",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","4.6",",,6,02,","","","","","","","","","6.7",",,,6","","","","","","","","","",""
"USC00394132","1904-10","44.3636","-98.1989","372.8","HURON, SD US","","","5",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","13.5",",,6,18,","","","","","","","","","43.5",",,,6","","","","","","","","","",""
"USC00394132","1904-11","44.3636","-98.1989","372.8","HURON, SD US","","","2",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","2.3",",,6,09,","","","","","","","","","2.6",",,,6","","","","","","","","","",""
"USC00394132","1904-12","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","3.0",",,6,17,+","","","","","","","","","11.1",",,,6","","","","","","","","","",""
"USC00394132","1905-01","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","4.3",",,6,12,","","","","","","","","","9.3",",,,6","","","","","","","","","",""
"USC00394132","1905-02","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","3.0",",,6,27,","","","","","","","","","6.9",",,,6","","","","","","","","","",""
"USC00394132","1905-03","44.3636","-98.1989","372.8","HURON, SD US","","","10",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","2.3",",,6,13,","","","","","","","","","10.0",",,,6","","","","","","","","","",""
"USC00394132","1905-04","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","5.1",",,6,01,","","","","","","","","","19.4",",,,6","","","","","","","","","",""
"USC00394132","1905-05","44.3636","-98.1989","372.8","HURON, SD US","","","13",",6","10",",6","2",",6","","","","","","","","","","","","","","","","","","","","","","","","","43.7",",,6,10,","","","","","","","","","163.5",",,,6","","","","","","","","","",""
"USC00394132","1905-06","44.3636","-98.1989","372.8","HURON, SD US","","","16",",6","11",",6","2",",6","","","","","","","","","","","","","","","","","","","","","","","","","47.0",",,6,28,","","","","","","","","","198.1",",,,6","","","","","","","","","",""
"USC00394132","1905-07","44.3636","-98.1989","372.8","HURON, SD US","","","12",",6","9",",6","2",",6","","","","","","","","","","","","","","","","","","","","","","","","","41.1",",,6,07,","","","","","","","","","134.0",",,,6","","","","","","","","","",""
"USC00394132","1905-08","44.3636","-98.1989","372.8","HURON, SD US","","","12",",6","8",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","38.1",",,6,02,","","","","","","","","","94.6",",,,6","","","","","","","","","",""
"USC00394132","1905-09","44.3636","-98.1989","372.8","HURON, SD US","","","6",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","17.0",",,6,17,","","","","","","","","","21.7",",,,6","","","","","","","","","",""
"USC00394132","1905-10","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","7",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19.3",",,6,15,","","","","","","","","","48.8",",,,6","","","","","","","","","",""
"USC00394132","1905-11","44.3636","-98.1989","372.8","HURON, SD US","","","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","15.2",",,6,28,","","","","","","","","","28.2",",,,6","","","","","","","","","",""
"USC00394132","1905-12","44.3636","-98.1989","372.8","HURON, SD US","","","2",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","0.8",",,6,23,","","","","","","","","","1.1",",,,6","","","","","","","","","",""
"USC00394132","1906-01","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","3.0",",,6,21,","","","","","","","","","9.4",",,,6","","","","","","","","","",""
"USC00394132","1906-02","44.3636","-98.1989","372.8","HURON, SD US","","","4",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","2.8",",,6,09,","","","","","","","","","5.7",",,,6","","","","","","","","","",""
"USC00394132","1906-03","44.3636","-98.1989","372.8","HURON, SD US","","","11",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","20.6",",,6,03,","","","","","","","","","36.0",",,,6","","","","","","","","","",""
"USC00394132","1906-04","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","8",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","15.0",",,6,28,","","","","","","","","","65.3",",,,6","","","","","","","","","",""
"USC00394132","1906-05","44.3636","-98.1989","372.8","HURON, SD US","","","12",",6","8",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","17.8",",,6,26,","","","","","","","","","77.1",",,,6","","","","","","","","","",""
"USC00394132","1906-06","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","38.4",",,6,18,","","","","","","","","","82.5",",,,6","","","","","","","","","",""
"USC00394132","1906-07","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","26.2",",,6,14,","","","","","","","","","52.6",",,,6","","","","","","","","","",""
"USC00394132","1906-08","44.3636","-98.1989","372.8","HURON, SD US","","","11",",6","8",",6","2",",6","","","","","","","","","","","","","","","","","","","","","","","","","33.0",",,6,02,","","","","","","","","","120.2",",,,6","","","","","","","","","",""
"USC00394132","1906-09","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","18.3",",,6,12,","","","","","","","","","79.9",",,,6","","","","","","","","","",""
"USC00394132","1906-10","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","4",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","37.1",",,6,21,","","","","","","","","","81.1",",,,6","","","","","","","","","",""
"USC00394132","1906-11","44.3636","-98.1989","372.8","HURON, SD US","","","11",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","5.1",",,6,17,","","","","","","","","","18.0",",,,6","","","","","","","","","",""
"USC00394132","1906-12","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","8.1",",,6,05,","","","","","","","","","17.5",",,,6","","","","","","","","","",""
"USC00394132","1907-01","44.3636","-98.1989","372.8","HURON, SD US","","","11",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","15.7",",,6,02,","","","","","","","","","30.9",",,,6","","","","","","","","","",""
"USC00394132","1907-02","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","4.8",",,6,28,","","","","","","","","","11.2",",,,6","","","","","","","","","",""
"USC00394132","1907-03","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","5.8",",,6,23,","","","","","","","","","11.4",",,,6","","","","","","","","","",""
"USC00394132","1907-04","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","8.4",",,6,24,","","","","","","","","","29.3",",,,6","","","","","","","","","",""
"USC00394132","1907-05","44.3636","-98.1989","372.8","HURON, SD US","","","14",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","45.7",",,6,25,","","","","","","","","","90.8",",,,6","","","","","","","","","",""
"USC00394132","1907-06","44.3636","-98.1989","372.8","HURON, SD US","","","13",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","41.7",",,6,10,","","","","","","","","","73.0",",,,6","","","","","","","","","",""
"USC00394132","1907-07","44.3636","-98.1989","372.8","HURON, SD US","","","15",",6","8",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","30.5",",,6,21,","","","","","","","","","83.2",",,,6","","","","","","","","","",""
"USC00394132","1907-08","44.3636","-98.1989","372.8","HURON, SD US","","","3",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","1.8",",,6,08,","","","","","","","","","4.1",",,,6","","","","","","","","","",""
"USC00394132","1907-09","44.3636","-98.1989","372.8","HURON, SD US","","","8",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","7.1",",,6,17,","","","","","","","","","21.1",",,,6","","","","","","","","","",""
"USC00394132","1907-10","44.3636","-98.1989","372.8","HURON, SD US","","","2",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","6.9",",,6,30,","","","","","","","","","13.3",",,,6","","","","","","","","","",""
"USC00394132","1907-11","44.3636","-98.1989","372.8","HURON, SD US","","","0",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","0.0",",T,6,12,+","","","","","","","","","0.0",",T,,6","","","","","","","","","",""
"USC00394132","1907-12","44.3636","-98.1989","372.8","HURON, SD US","","","5",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","8.4",",,6,30,","","","","","","","","","14.7",",,,6","","","","","","","","","",""
"USC00394132","1908-01","44.3636","-98.1989","372.8","HURON, SD US","","","1",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","2.3",",,6,31,","","","","","","","","","2.3",",,,6","","","","","","","","","",""
"USC00394132","1908-02","44.3636","-98.1989","372.8","HURON, SD US","","","8",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","10.4",",,6,18,","","","","","","","","","30.5",",,,6","","","","","","","","","",""
"USC00394132","1908-03","44.3636","-98.1989","372.8","HURON, SD US","","","12",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19.3",",,6,06,","","","","","","","","","31.3",",,,6","","","","","","","","","",""
"USC00394132","1908-04","44.3636","-98.1989","372.8","HURON, SD US","","","8",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","12.4",",,6,24,","","","","","","","","","38.8",",,,6","","","","","","","","","",""
"USC00394132","1908-05","44.3636","-98.1989","372.8","HURON, SD US","","","8",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","87.1",",,6,14,","","","","","","","","","139.0",",,,6","","","","","","","","","",""
"USC00394132","1908-06","44.3636","-98.1989","372.8","HURON, SD US","","","13",",6","7",",6","2",",6","","","","","","","","","","","","","","","","","","","","","","","","","89.9",",,6,18,","","","","","","","","","176.3",",,,6","","","","","","","","","",""
"USC00394132","1908-07","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","7",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","44.5",",,6,05,","","","","","","","","","104.6",",,,6","","","","","","","","","",""
"USC00394132","1908-08","44.3636","-98.1989","372.8","HURON, SD US","","","8",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","9.7",",,6,03,","","","","","","","","","35.2",",,,6","","","","","","","","","",""
"USC00394132","1908-09","44.3636","-98.1989","372.8","HURON, SD US","","","4",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","30.0",",,6,26,","","","","","","","","","35.4",",,,6","","","","","","","","","",""
"USC00394132","1908-10","44.3636","-98.1989","372.8","HURON, SD US","","","6",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","36.6",",,6,05,","","","","","","","","","71.6",",,,6","","","","","","","","","",""
"USC00394132","1908-11","44.3636","-98.1989","372.8","HURON, SD US","","","6",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","25.9",",,6,24,","","","","","","","","","36.9",",,,6","","","","","","","","","",""
"USC00394132","1908-12","44.3636","-98.1989","372.8","HURON, SD US","","","8",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","17.0",",,6,17,","","","","","","","","","26.3",",,,6","","","","","","","","","",""
"USC00394132","1909-01","44.3636","-98.1989","372.8","HURON, SD US","","","8",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","6.9",",,6,16,","","","","","","","","","15.8",",,,6","","","","","","","","","",""
"USC00394132","1909-02","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","17.0",",,6,09,","","","","","","","","","39.5",",,,6","","","","","","","","","",""
"USC00394132","1909-03","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","2.3",",,6,15,","","","","","","","","","5.6",",,,6","","","","","","","","","",""
"USC00394132","1909-04","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","5.3",",,6,21,","","","","","","","","","15.6",",,,6","","","","","","","","","",""
"USC00394132","1909-05","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","6",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","51.1",",,6,25,","","","","","","","","","91.5",",,,6","","","","","","","","","",""
"USC00394132","1909-06","44.3636","-98.1989","372.8","HURON, SD US","","","12",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","9.7",",,6,24,","","","","","","","","","30.4",",,,6","","","","","","","","","",""
"USC00394132","1909-07","44.3636","-98.1989","372.8","HURON, SD US","","","14",",6","6",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","21.1",",,6,31,","","","","","","","","","61.6",",,,6","","","","","","","","","",""
"USC00394132","1909-08","44.3636","-98.1989","372.8","HURON, SD US","","","6",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","20.8",",,6,09,","","","","","","","","","60.1",",,,6","","","","","","","","","",""
"USC00394132","1909-09","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","12.4",",,6,02,","","","","","","","","","35.0",",,,6","","","","","","","","","",""
"USC00394132","1909-10","44.3636","-98.1989","372.8","HURON, SD US","","","4",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","24.9",",,6,10,","","","","","","","","","63.4",",,,6","","","","","","","","","",""
"USC00394132","1909-11","44.3636","-98.1989","372.8","HURON, SD US","","","6",",6","3",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","19.3",",,6,14,","","","","","","","","","34.1",",,,6","","","","","","","","","",""
"USC00394132","1909-12","44.3636","-98.1989","372.8","HURON, SD US","","","15",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","10.4",",,6,02,","","","","","","","","","35.0",",,,6","","","","","","","","","",""
"USC00394132","1910-01","44.3636","-98.1989","372.8","HURON, SD US","","","8",",6","2",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","27.9",",,6,13,","","","","","","","","","37.8",",,,6","","","","","","","","","",""
"USC00394132","1910-02","44.3636","-98.1989","372.8","HURON, SD US","","","4",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","2.8",",,6,16,","","","","","","","","","5.9",",,,6","","","","","","","","","",""
"USC00394132","1910-03","44.3636","-98.1989","372.8","HURON, SD US","","","2",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","2.0",",,6,31,","","","","","","","","","2.5",",,,6","","","","","","","","","",""
"USC00394132","1910-04","44.3636","-98.1989","372.8","HURON, SD US","","","6",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","10.4",",,6,15,","","","","","","","","","22.7",",,,6","","","","","","","","","",""
"USC00394132","1910-05","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","9.7",",,6,06,","","","","","","","","","26.8",",,,6","","","","","","","","","",""
"USC00394132","1910-06","44.3636","-98.1989","372.8","HURON, SD US","","","10",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","28.7",",,6,25,","","","","","","","","","64.7",",,,6","","","","","","","","","",""
"USC00394132","1910-07","44.3636","-98.1989","372.8","HURON, SD US","","","12",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","3.8",",,6,09,","","","","","","","","","12.3",",,,6","","","","","","","","","",""
"USC00394132","1910-08","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","12.4",",,6,13,","","","","","","","","","36.3",",,,6","","","","","","","","","",""
"USC00394132","1910-09","44.3636","-98.1989","372.8","HURON, SD US","","","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","18.5",",,6,22,","","","","","","","","","25.3",",,,6","","","","","","","","","",""
"USC00394132","1910-10","44.3636","-98.1989","372.8","HURON, SD US","","","2",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","8.6",",,6,19,","","","","","","","","","10.9",",,,6","","","","","","","","","",""
"USC00394132","1910-11","44.3636","-98.1989","372.8","HURON, SD US","","","4",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","3.3",",,6,01,","","","","","","","","","6.6",",,,6","","","","","","","","","",""
"USC00394132","1910-12","44.3636","-98.1989","372.8","HURON, SD US","","","5",",6","1",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","5.8",",,6,22,","","","","","","","","","7.4",",,,6","","","","","","","","","",""
"USC00394132","1911-01","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","0",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","1.8",",,6,05,","","","","","","","","","4.3",",,,6","","","","","","","","","",""
"USC00394132","1911-02","44.3636","-98.1989","372.8","HURON, SD US","","","5",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","14.2",",,6,06,","","","","","","","","","19.1",",,,6","","","","","","","","","",""
"USC00394132","1911-03","44.3636","-98.1989","372.8","HURON, SD US","","","4",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","5.3",",,6,26,","","","","","","","","","11.4",",,,6","","","","","","","","","",""
"USC00394132","1911-04","44.3636","-98.1989","372.8","HURON, SD US","","","7",",6","2",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","5.8",",,6,13,","","","","","","","","","13.0",",,,6","","","","","","","","","",""
"USC00394132","1911-05","44.3636","-98.1989","372.8","HURON, SD US","","","8",",6","5",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","21.1",",,6,27,","","","","","","","","","77.2",",,,6","","","","","","","","","",""
"USC00394132","1911-06","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","4",",6","0",",6","","","","","","","","","","","","","","","","","","","","","","","","","22.4",",,6,16,","","","","","","","","","46.3",",,,6","","","","","","","","","",""
"USC00394132","1911-07","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","5",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","25.7",",,6,23,","","","","","","","","","83.0",",,,6","","","","","","","","","",""
"USC00394132","1911-08","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","3",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","36.8",",,6,06,","","","","","","","","","71.7",",,,6","","","","","","","","","",""
"USC00394132","1911-09","44.3636","-98.1989","372.8","HURON, SD US","","","9",",6","3",",6","1",",6","","","","","","","","","","","","","","","","","","","","","","","","","30.7",",,6,06,","","","","","","","","","46.1",",,,6","","","","","","","","","",""
