"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USC00425654","1928-11","38.40168","-113.01624","1526.7","MILFORD, UT US","327.0","0","0.0","1,0","7",",0","4",",0","0",",0","0",",0","1",",0","0",",0","30",",0","0","1,0","1","1,0","0","1,0","","","","","","","-12.2",",0,30,+","0",",,0,30,+","51",",,0,17,","3.8",",,0,01,","21.1","1,0,11,","","","663.4","0","398.3","1,0","","","","","14.8",",,,0","","","51",",,,0","4.66","1,0","13.43","1,,,0","-4.12",",,,0","","","","","","","","","","","",""
"USC00425654","1928-12","38.40168","-113.01624","1526.7","MILFORD, UT US","327.0","0","0.0",",0","2",",0","1",",0","0",",0","0",",0","1",",0","7",",0","31",",0","6",",0","0",",0","0",",0","12","","","","","","-23.3",",0,21,","0",",,0,31,+","25",",,0,03,","3.3",",,0,03,","13.3",",0,29,","","","1378.6","0","715.2",",0","","","","","4.6",",,,0","","","43",",,,0","-4.74",",0","2.81",",,,0","-12.29",",,,0","","","","","","","","","","","",""
"USC00425654","1929-01","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0",",0","8",",0","3",",0","0",",0","1","2,0","5","1,0","8",",0","31",",0","13",",0","0",",0","0",",0","","","","","","","-34.4",",0,24,","25","2,,0,09,","229","1,,0,20,","17.3",",,0,20,","8.9",",0,14,+","","","2126.0","0","747.4",",0","","","","","32.5",",,,0","","","436","1,,,0","-5.78",",0","1.47",",,,0","-13.02",",,,0","","","","","","","","","","","",""
"USC00425654","1929-02","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0",",0","8",",0","3",",0","0",",0","0","2,0","5","1,0","7",",0","27",",0","10",",0","0",",0","0",",0","","","","","","","-30.0",",0,09,","0","2,T,0,28,","191","1,,0,06,","19.8",",,0,06,","9.4",",0,22,","","","2758.9","0","632.9",",0","","","","","37.9",",,,0","","","372","1,,,0","-4.27",",0","2.50",",,,0","-11.04",",,,0","","","","","","","","","","","",""
"USC00425654","1929-03","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0","2,0","6",",0","3",",0","0",",0","0",",0","1",",0","0","2,0","23","2,0","0",",0","2",",0","0",",0","","","","","","","-9.4","2,0,25,","0",",,0,31,+","64",",,0,23,","7.6",",,0,10,","21.7",",0,29,+","","","3171.3","0","412.4",",0","","","","","22.3",",,,0","","","90",",,,0","4.19","2,0","11.50",",,,0","-3.11","2,,,0","","","","","","","","","","","",""
"USC00425654","1929-04","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0",",0","5",",0","2",",0","0",",0","0",",0","1",",0","0",",0","16",",0","0",",0","7",",0","0",",0","","","","","1","","-9.4",",0,10,+","0",",,0,30,+","25",",,0,09,","5.1",",,0,23,","26.7",",0,17,","","","3494.9","0","323.6",",0","","","","","12.0",",,,0","","","43",",,,0","7.55",",0","16.02",",,,0","-0.93",",,,0","","","","","","","","","","","",""
"USC00425654","1929-05","38.40168","-113.01624","1526.7","MILFORD, UT US","3.1","0","3.1",",0","3",",0","2",",0","0",",0","0",",0","1",",0","0",",0","8",",0","0",",0","27",",0","0",",0","","","","","2","","-4.4",",0,01,","0",",,0,31,+","51",",,0,26,","3.8",",,0,26,","31.1",",0,24,","","","3637.8","0","142.9",",0","","","","","6.6",",,,0","","","51",",,,0","13.82",",0","24.59",",,,0","3.06",",,,0","","","","","","","","","","","",""
"USC00425654","1929-06","38.40168","-113.01624","1526.7","MILFORD, UT US","52.0","0","48.9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","10",",0","","","","","2","","0.6",",0,02,","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,29,+","37.8",",0,25,","","","3687.2","0","49.4",",0","","","","","0.0",",T,,0","","","0",",,,0","18.32",",0","29.40",",,,0","7.24",",,,0","","","","","","","","","","","",""
"USC00425654","1929-07","38.40168","-113.01624","1526.7","MILFORD, UT US","245.5","0","193.5",",0","2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","24",",0","","","","","","","10.6",",0,09,","0",",,0,31,+","0",",,0,31,+","4.3",",,0,26,","37.2",",0,04,+","","","0.0","0","0.0",",0","","","","","8.1",",,,0","","","0",",,,0","24.57",",0","33.79",",,,0","15.36",",,,0","","","","","","","","","","","",""
"USC00425654","1929-08","38.40168","-113.01624","1526.7","MILFORD, UT US","368.9","0","123.4",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","9",",0","","","","","8","","9.4",",0,12,","0",",,0,31,+","0",",T,0,24,","20.8",",,0,04,","36.1",",0,13,","","","0.0","0","0.0",",0","","","","","61.0",",,,0","","","0",",T,,0","22.31",",0","30.66",",,,0","13.97",",,,0","","","","","","","","","","","",""
"USC00425654","1929-09","38.40168","-113.01624","1526.7","MILFORD, UT US","382.9","0","14.0","1,0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0","1,0","24","1,0","0","1,0","","","","","","","0.0",",0,29,+","0",",,0,30,+","0",",,0,30,+","8.9",",,0,07,","29.4","1,0,19,","","","100.9","0","100.9","1,0","","","","","13.2",",,,0","","","0",",,,0","15.33","1,0","23.68","1,,,0","6.98",",,,0","","","","","","","","","","","",""
"USC00425654","1929-10","38.40168","-113.01624","1526.7","MILFORD, UT US","383.2","0","0.3",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","12",",0","0",",0","","","","","1","","-10.0",",0,25,","0",",,0,31,+","5",",,0,28,","3.8",",,0,10,","26.7",",0,04,","","","391.1","0","290.2",",0","","","","","6.7",",,,0","","","5",",,,0","8.98",",0","17.56",",,,0","0.40",",,,0","","","","","","","","","","","",""
"USC00425654","1929-11","38.40168","-113.01624","1526.7","MILFORD, UT US","383.2","0","0.0",",0","1",",0","0",",0","0",",0","0","1,0","1",",0","1",",0","30",",0","0",",0","0",",0","0",",0","","","","","","","-17.8",",0,24,","0","1,,0,30,+","25",",,0,07,","2.0",",,0,07,","19.4",",0,05,","","","902.9","0","511.8",",0","","","","","2.0",",,,0","","","25",",,,0","1.27",",0","11.95",",,,0","-9.40",",,,0","","","","","","","","","","","",""
"USC00425654","1929-12","38.40168","-113.01624","1526.7","MILFORD, UT US","383.2","0","0.0","1,0","1",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","27","1,0","0",",0","0",",0","0",",0","","","","","","","-14.4","1,0,28,+","0",",,0,31,+","13",",,0,20,","1.0",",,0,20,","16.1",",0,15,","","","1399.3","0","496.4",",0","","","","","1.0",",,,0","","","13",",,,0","1.78","1,0","10.41",",,,0","-6.85","1,,,0","","","","","","","","","","","",""
"USC00425654","1930-01","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0","1,0","9","1,0","3","1,0","0","1,0","0","5,0","4","3,0","7","1,0","28","1,0","12","1,0","0","1,0","0","1,0","","","","","","","-31.1","1,0,23,+","0","5,,0,31,+","76","3,,0,25,+","6.4","1,,0,25,","12.8","1,0,04,","","","2119.2","0","719.9","1,0","","","","","20.9","1,,,0","","","270","3,,,0","-5.66","1,0","1.85","1,,,0","-13.18","1,,,0","","","","","","","","","","","",""
"USC00425654","1930-02","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0","3,0","3",",0","0",",0","0",",0","0",",0","3",",0","0","3,0","21","3,0","0","3,0","0","3,0","0","3,0","","","","","1","","-9.4","3,0,05,","0",",,0,28,+","25",",,0,26,+","2.0",",,0,21,","18.9","3,0,18,","","","2471.7","0","352.5","3,0","","","","","4.3",",,,0","","","75",",,,0","4.23","3,0","11.40","3,,,0","-2.93","3,,,0","","","","","","","","","","","",""
"USC00425654","1930-03","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0",",0","4",",0","2",",0","0",",0","0",",0","3",",0","0",",0","27",",0","0",",0","0",",0","0",",0","","","","","1","","-10.6",",0,01,","0",",T,0,31,+","38",",,0,30,","20.8",",,0,30,","20.6",",0,22,","","","2894.8","0","423.1",",0","","","","","42.4",",,,0","","","88",",,,0","4.68",",0","12.63",",,,0","-3.26",",,,0","","","","","","","","","","","",""
"USC00425654","1930-04","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","6",",0","0",",0","17",",0","0",",0","","","","","1","","-3.9",",0,17,+","0",",,0,30,+","0",",T,0,15,","3.3",",,0,15,","28.3",",0,22,+","","","3074.8","0","180.0",",0","","","","","7.4",",,,0","","","0",",T,,0","12.33",",0","21.57",",,,0","3.09",",,,0","","","","","","","","","","","",""
"USC00425654","1930-05","38.40168","-113.01624","1526.7","MILFORD, UT US","0.8","0","0.8",",0","7",",0","4",",0","0",",0","0",",0","1",",0","0",",0","9",",0","0",",0","15",",0","0",",0","","","","","3","","-3.3",",0,23,","0",",,0,31,+","38",",,0,08,","13.0",",,0,04,","29.4",",0,28,+","","","3290.1","0","215.3",",0","","","","","41.5",",,,0","","","51",",,,0","11.41",",0","20.12",",,,0","2.70",",,,0","","","","","","","","","","","",""
"USC00425654","1930-06","38.40168","-113.01624","1526.7","MILFORD, UT US","41.5","0","40.7",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","10",",0","","","","","1","","3.9",",0,01,","0",",,0,30,+","0",",,0,30,+","4.3",",,0,21,","36.7",",0,16,","","","3312.8","0","22.7",",0","","","","","7.1",",,,0","","","0",",,,0","18.93",",0","30.23",",,,0","7.63",",,,0","","","","","","","","","","","",""
"USC00425654","1930-07","38.40168","-113.01624","1526.7","MILFORD, UT US","198.2","0","156.7",",0","4",",0","0",",0","0",",0","0","2,0","0",",0","0",",0","0",",0","0",",0","31",",0","23",",0","","","","","2","","7.8",",0,01,","0","2,,0,31,+","0",",T,0,16,","1.5",",,0,21,","36.7",",0,07,+","","","0.0","0","0.0",",0","","","","","3.6",",,,0","","","0",",T,,0","23.39",",0","33.03",",,,0","13.75",",,,0","","","","","","","","","","","",""
"USC00425654","1930-08","38.40168","-113.01624","1526.7","MILFORD, UT US","307.5","0","109.3",",0","11",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","11",",0","","","","","2","","8.9",",0,21,+","0",",,0,31,+","0",",T,0,08,","14.7",",,0,13,","33.9",",0,29,+","","","0.0","0","0.0",",0","","","","","40.1",",,,0","","","0",",T,,0","21.86",",0","30.77",",,,0","12.95",",,,0","","","","","","","","","","","",""
"USC00425654","1930-09","38.40168","-113.01624","1526.7","MILFORD, UT US","333.3","0","25.8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","26",",0","1",",0","","","","","","","-2.8",",0,26,","0",",,0,30,+","0",",,0,30,+","3.8",",,0,24,","32.8",",0,03,","","","77.8","0","77.8",",0","","","","","10.9",",,,0","","","0",",,,0","16.60",",0","26.13",",,,0","7.07",",,,0","","","","","","","","","","","",""
"USC00425654","1930-10","38.40168","-113.01624","1526.7","MILFORD, UT US","333.3","0","0.0",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","20",",0","0",",0","6",",0","0",",0","1","","","","","","-10.0",",0,29,","0",",,0,31,+","0",",,0,31,+","8.9",",,0,10,","23.9",",0,07,","","","404.5","0","326.7",",0","","","","","16.3",",,,0","","","0",",,,0","7.80",",0","17.02",",,,0","-1.43",",,,0","","","","","","","","","","","",""
"USC00425654","1930-11","38.40168","-113.01624","1526.7","MILFORD, UT US","333.3","0","0.0",",0","4",",0","1",",0","0",",0","1","2,0","2","1,0","1",",0","30",",0","12",",0","2",",0","0",",0","","","","","","","-17.8",",0,15,","25","2,,0,15,","127","1,,0,17,","13.7",",,0,17,","21.7",",0,05,","","","994.8","0","590.3",",0","","","","","17.0",",,,0","","","173","1,,,0","-1.35",",0","7.39",",,,0","-10.08",",,,0","","","","","","","","","","","",""
"USC00425654","1930-12","38.40168","-113.01624","1526.7","MILFORD, UT US","333.3","0","0.0",",0","2","1,0","1","1,0","0","1,0","2","1,0","1","1,0","9",",0","31",",0","20",",0","0",",0","0",",0","7","","","","","","-25.6",",0,22,","25","1,,0,31,+","38","1,,0,20,","2.5","1,,0,20,","8.3",",0,13,","","","1815.5","0","820.7",",0","","","","","3.0","1,,,0","","","46","1,,,0","-8.14",",0","-0.98",",,,0","-15.30",",,,0","","","","","","","","","","","",""
"USC00425654","1931-01","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0",",0","4",",0","0",",0","0",",0","0",",0","0",",0","1",",0","31",",0","3",",0","0",",0","0",",0","2","","","","","","-18.3",",0,04,","0",",,0,31,+","20",",,0,02,","2.0",",,0,02,","10.0",",0,21,","","","2486.5","0","671.0",",0","","","","","3.6",",,,0","","","23",",,,0","-3.31",",0","4.02",",,,0","-10.65",",,,0","","","","","","","","","","","",""
"USC00425654","1931-02","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0",",0","7","2,0","2","2,0","0","2,0","0",",0","1",",0","0",",0","25",",0","0",",0","0",",0","0",",0","11","","","","","","-9.4",",0,21,","0",",,0,28,+","38",",,0,20,","4.3","2,,0,16,","13.9",",0,25,+","","","2947.5","0","461.0",",0","","","","","15.6",",a,,0","","","46",",,,0","1.87",",0","7.13",",,,0","-3.39",",,,0","","","","","","","","","","","",""
"USC00425654","1931-03","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0",",0","6",",0","3",",0","0",",0","0",",0","2",",0","0",",0","27",",0","0",",0","2",",0","0",",0","","","","","","","-13.9",",0,27,+","0",",,0,31,+","64",",,0,26,","4.3",",,0,29,+","23.3",",0,21,","","","3376.7","0","429.2",",0","","","","","14.6",",,,0","","","115",",,,0","4.49",",0","13.26",",,,0","-4.29",",,,0","","","","","","","","","","","",""
"USC00425654","1931-04","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0",",0","2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","14",",0","0",",0","","","","","","","-8.3",",0,04,","0",",,0,30,+","8",",,0,24,","10.7",",,0,24,","26.7",",0,18,","","","3614.5","0","237.8",",0","","","","","14.0",",,,0","","","8",",,,0","10.41",",0","20.06",",,,0","0.75",",,,0","","","","","","","","","","","",""
"USC00425654","1931-05","38.40168","-113.01624","1526.7","MILFORD, UT US","0.9","0","0.9",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","23",",0","0",",0","","","","","2","","-2.2",",0,11,","0",",,0,31,+","0",",,0,31,+","21.6",",,0,26,","30.6",",0,13,","","","3762.0","0","147.5",",0","","","","","30.0",",,,0","","","0",",,,0","13.60",",0","23.78",",,,0","3.43",",,,0","","","","","","","","","","","",""
"USC00425654","1931-06","38.40168","-113.01624","1526.7","MILFORD, UT US","54.2","0","53.3",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","6",",0","","","","","","","5.0",",0,03,","0",",,0,30,+","0",",,0,30,+","15.2",",,0,04,","35.0",",0,24,","","","3769.1","0","7.1",",0","","","","","16.5",",,,0","","","0",",,,0","19.87",",0","29.96",",,,0","9.79",",,,0","","","","","","","","","","","",""
"USC00425654","1931-07","38.40168","-113.01624","1526.7","MILFORD, UT US","246.8","0","192.6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","29",",0","","","","","1","","4.4",",0,05,","0",",,0,31,+","0",",,0,31,+","1.3",",,0,29,","40.0",",0,26,","","","0.0","0","0.0",",0","","","","","1.8",",,,0","","","0",",,,0","24.55",",0","35.62",",,,0","13.47",",,,0","","","","","","","","","","","",""
"USC00425654","1931-08","38.40168","-113.01624","1526.7","MILFORD, UT US","379.1","0","132.3","1,0","5",",0","3",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","19",",0","","","","","","","7.8","1,0,28,","0",",,0,31,+","0",",,0,31,+","8.9",",,0,06,","36.7",",0,24,","","","0.0","0","0.0",",0","","","","","17.0",",,,0","","","0",",,,0","22.72","1,0","32.40",",,,0","13.04","1,,,0","","","","","","","","","","","",""
"USC00425654","1931-09","38.40168","-113.01624","1526.7","MILFORD, UT US","398.3","0","19.2","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0","1,0","27","1,0","0","1,0","","","","","","","-3.3",",0,26,+","0",",,0,30,+","0",",,0,30,+","0.0",",T,0,28,+","31.7","1,0,03,","","","74.3","0","74.3","1,0","","","","","0.0",",T,,0","","","0",",,,0","16.38","1,0","26.76","1,,,0","6.00",",,,0","","","","","","","","","","","",""
"USC00425654","1931-10","38.40168","-113.01624","1526.7","MILFORD, UT US","398.3","0","0.0",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","16",",0","0",",0","16",",0","0",",0","","","","","","","-8.9",",0,27,","0",",,0,31,+","0",",T,0,29,","4.6",",,0,02,","26.1",",0,09,","","","317.2","0","242.9",",0","","","","","7.9",",,,0","","","0",",T,,0","10.50",",0","20.65",",,,0","0.35",",,,0","","","","","","","","","","","",""
"USC00425654","1931-11","38.40168","-113.01624","1526.7","MILFORD, UT US","398.3","0","0.0",",0","8",",0","4",",0","0",",0","0",",0","1",",0","3",",0","28",",0","7",",0","6",",0","0",",0","1","","","","","","-23.3",",0,23,","0",",,0,30,+","38",",,0,18,","11.7",",,0,09,","25.6",",0,06,","","","855.8","0","538.6",",0","","","","","32.2",",,,0","","","94",",,,0","0.38",",0","7.88",",,,0","-7.12",",,,0","","","","","","","","","","","",""
"USC00425654","1931-12","38.40168","-113.01624","1526.7","MILFORD, UT US","398.3","0","0.0",",0","5",",0","3",",0","0",",0","1","2,0","2","1,0","10",",0","31",",0","11",",0","0",",0","0",",0","","","","","","","-30.6",",0,13,","25","2,,0,31,","165","1,,0,09,","15.7",",,0,09,","8.3",",0,08,","","","1628.4","0","772.6",",0","","","","","23.6",",,,0","","","228","1,,,0","-6.59",",0","0.17",",,,0","-13.35",",,,0","","","","","","","","","","","",""
"USC00425654","1932-01","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0",",0","9",",0","3",",0","0",",0","0","4,0","5","2,0","12",",0","31",",0","17",",0","0",",0","0",",0","2","","","","","","-26.1",",0,26,","0","4,,0,31,+","76","2,,0,20,","3.8",",,0,20,","3.9",",0,19,","","","2450.8","0","822.4",",0","","","","","14.1",",,,0","","","236","2,,,0","-8.20",",0","-1.65",",,,0","-14.75",",,,0","","","","","","","","","","","",""
"USC00425654","1932-02","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0",",0","7",",0","5",",0","0",",0","1",",0","2",",0","2",",0","26",",0","5",",0","0",",0","0",",0","4","","","","","","-20.6",",0,04,","76",",,0,15,","102",",,0,14,","9.1",",,0,09,","17.2",",0,28,","","","2982.9","0","532.1",",0","","","","","32.1",",,,0","","","152",",,,0","-0.01",",0","5.67",",,,0","-5.70",",,,0","","","","","","","","","","","",""
"USC00425654","1932-03","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0",",0","4",",0","1",",0","0",",0","0",",0","1",",0","0",",0","26",",0","0",",0","2",",0","0",",0","","","","","","","-7.8",",0,13,+","0",",,0,31,+","76",",,0,20,","14.7",",,0,20,","21.7",",0,31,","","","3394.6","0","411.7",",0","","","","","18.1",",,,0","","","84",",,,0","5.05",",0","12.75",",,,0","-2.65",",,,0","","","","","","","","","","","",""
"USC00425654","1932-04","38.40168","-113.01624","1526.7","MILFORD, UT US","0.0","0","0.0",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","19",",0","0",",0","12",",0","0",",0","","","","","","","-8.3",",0,07,","0",",,0,30,+","13",",,0,22,","11.4",",,0,26,","25.0",",0,16,","","","3682.4","0","287.8",",0","","","","","18.2",",,,0","","","13",",,,0","8.74",",0","18.11",",,,0","-0.63",",,,0","","","","","","","","","","","",""
