"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BR037041370","1960-07","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","2",",I","1",",I","0",",I","","","","","","","8.0",",,I,27,","9.3",",,,I","",""
"BR037041370","1960-08","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR037041370","1960-09","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","1",",I","0",",I","0",",I","","","","","","","1.8",",,I,26,","1.8",",,,I","",""
"BR037041370","1960-10","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","2",",I","0",",I","0",",I","","","","","","","2.4",",,I,05,","4.4",",,,I","",""
"BR037041370","1960-11","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","1",",I","1",",I","0",",I","","","","","","","7.5",",,I,10,","7.5",",,,I","",""
"BR037041370","1960-12","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","7",",I","5",",I","0",",I","","","","","","","6.1",",,I,26,","22.9",",,,I","",""
"BR037041370","1961-01","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","13",",I","11",",I","5",",I","","","","","","","42.0",",,I,17,","219.3",",,,I","",""
"BR037041370","1961-02","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","21",",I","17",",I","6",",I","","","","","","","51.1",",,I,02,","348.8",",,,I","",""
"BR037041370","1961-03","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","18",",I","15",",I","5",",I","","","","","","","46.2",",,I,29,","268.7",",,,I","",""
"BR037041370","1961-04","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","18",",I","12",",I","2",",I","","","","","","","39.0",",,I,09,","202.2",",,,I","",""
"BR037041370","1961-05","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","9",",I","5",",I","1",",I","","","","","","","30.6",",,I,22,","80.7",",,,I","",""
"BR037041370","1961-06","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","2",",I","1",",I","0",",I","","","","","","","4.0",",,I,17,","4.8",",,,I","",""
"BR037041370","1961-07","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR037041370","1961-08","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","0",",I","0",",I","0",",I","","","","","","","0.0",",,I,31,+","0.0",",,,I","",""
"BR037041370","1961-09","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","4",",I","1",",I","0",",I","","","","","","","3.0",",,I,26,","7.0",",,,I","",""
"BR037041370","1961-10","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","2",",I","1",",I","0",",I","","","","","","","9.3",",,I,02,","10.5",",,,I","",""
"BR037041370","1961-11","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","4",",I","2",",I","0",",I","","","","","","","18.6",",,I,05,","26.4",",,,I","",""
"BR037041370","1961-12","-5.05","-42.817","67.0","TERESINA AEROPORTO, BR","12",",I","9",",I","2",",I","","","","","","","40.2",",,I,14,","144.9",",,,I","",""
