"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00414976","1991-01","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","0.0","0","0.0",",0","13",",0","8",",0","1",",0","0",",0","0",",0","0",",0","21",",0","1",",0","0",",0","0",",0","","","","","-12.2",",0,01,","0",",,0,31,+","0",",,0,31,+","49.8",",,0,10,","18.9",",0,30,","","","1047.5","0","437.6",",0","","","121.8",",,,0","0",",,,0","4.22",",0","9.33",",,,0","-0.90",",,,0","",""
"USC00414976","1991-02","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","0.0","0","0.0",",0","8",",0","7",",0","2",",0","0",",0","0",",0","0",",0","9",",0","0",",0","3",",0","0",",0","","","","","-6.7",",0,01,","0",",,0,28,+","0",",,0,28,+","35.8",",,0,22,","25.0",",0,14,","","","1294.2","0","246.7",",0","","","96.2",",,,0","0",",,,0","9.52",",0","16.91",",,,0","2.13",",,,0","",""
"USC00414976","1991-03","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","7.3","0","7.3","1,0","8",",0","7",",0","0",",0","0",",0","0",",0","0","1,0","2","1,0","0",",0","16",",0","0",",0","","","","","-1.1","1,0,04,","0",",,0,31,+","0",",,0,31,+","18.0",",,0,01,","29.4",",0,06,","","","1464.1","0","169.9",",0","","","50.6",",,,0","0",",,,0","13.04","1,0","20.25",",,,0","5.82","1,,,0","",""
"USC00414976","1991-04","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","47.1","0","39.8","2,0","14",",0","11",",0","3",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","27",",0","0",",0","","","","","2.2","2,0,01,","0",",,0,30,+","0",",,0,30,+","44.2",",,0,12,","27.8",",0,29,+","","","1501.0","0","36.9",",0","","","151.0",",,,0","0",",,,0","18.34","2,0","24.41",",,,0","12.26","2,,,0","",""
"USC00414976","1991-05","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","214.8","0","167.7",",0","12",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","3",",0","","","","","7.2",",0,08,","0",",,0,31,+","0",",,0,31,+","59.4",",,0,03,","33.3",",0,29,+","","","1508.0","0","7.0",",0","","","136.3",",,,0","0",",,,0","23.52",",0","28.58",",,,0","18.46",",,,0","",""
"USC00414976","1991-06","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","462.5","0","247.7",",0","7",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","23",",0","","","","","16.7",",0,07,+","0",",,0,30,+","0",",,0,30,+","33.8",",,0,24,","35.0",",0,29,+","","","1508.0","0","0.0",",0","","","67.9",",,,0","0",",,,0","26.59",",0","32.56",",,,0","20.61",",,,0","",""
"USC00414976","1991-07","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","771.1","0","308.6",",0","5",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","28",",0","","","","","18.9",",0,17,","0",",,0,31,+","0",",,0,31,+","26.2",",,0,25,","36.7",",0,16,+","","","0.0","0","0.0",",0","","","55.2",",,,0","0",",,,0","28.29",",0","34.57",",,,0","22.01",",,,0","",""
"USC00414976","1991-08","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1049.1","0","278.0",",0","9",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","26",",0","","","","","20.0",",0,27,+","0",",,0,31,+","0",",,0,31,+","45.5",",,0,10,","36.7",",0,10,+","","","0.0","0","0.0",",0","","","104.7",",,,0","0",",,,0","27.30",",0","33.37",",,,0","21.23",",,,0","",""
"USC00414976","1991-09","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1207.6","0","158.5","1,0","5",",0","5",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","28",",0","10",",0","","","","","9.4","1,0,28,","0",",,0,30,+","0",",,0,30,+","34.3",",,0,01,","33.3",",0,17,+","","","9.2","0","9.2",",0","","","75.0",",,,0","0",",,,0","23.42","1,0","29.08",",,,0","17.76","1,,,0","",""
"USC00414976","1991-10","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1274.3","0","66.7","1,0","5",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","28","1,0","4","1,0","","","","","5.6",",0,31,","0",",,0,31,+","0",",,0,31,+","81.3",",,0,29,","33.3","1,0,15,+","","","36.3","0","27.1","1,0","","","211.9",",,,0","0",",,,0","19.73","1,0","27.27","1,,,0","12.19",",,,0","",""
"USC00414976","1991-11","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1278.1","0","3.8","1,0","7",",0","5",",0","2",",0","0",",0","0",",0","0","1,0","8","1,0","0",",0","10",",0","0",",0","","","","","-4.4","1,0,10,","0",",,0,30,+","0",",,0,30,+","30.7",",,0,01,","25.6",",0,11,","","","258.4","0","222.1",",0","","","93.7",",,,0","0",",,,0","10.66","1,0","16.72",",,,0","4.60","1,,,0","",""
"USC00414976","1991-12","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1278.9","0","0.8",",0","16",",0","11",",0","3",",0","0",",0","0",",0","0",",0","9",",0","0",",0","6",",0","0",",0","","","","","-3.3",",0,15,","0",",,0,31,+","0",",,0,31,+","64.0",",,0,20,","24.4",",0,01,","","","524.1","0","265.7",",0","","","209.1",",,,0","0",",,,0","9.79",",0","15.22",",,,0","4.36",",,,0","",""
"USC00414976","1992-01","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","0.0","0","0.0","3,0","11",",0","8",",0","1",",0","0",",0","0",",0","0","3,0","11","3,0","0",",0","0",",0","0",",0","","","","","-8.3","3,0,16,","0",",,0,31,+","0",",,0,31,+","27.4",",,0,27,","20.6",",0,07,","","","835.3","0","311.2",",0","","","101.4",",,,0","0",",,,0","7.27","3,0","12.81",",,,0","1.74","3,,,0","",""
"USC00414976","1992-02","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","0.0","0","0.0","1,0","7",",0","6",",0","1",",0","0",",0","0",",0","0","1,0","5","1,0","0","1,0","5","1,0","0","1,0","","","","","-1.1","1,0,08,+","0",",,0,29,+","0",",,0,29,+","41.9",",,0,23,","23.3","1,0,29,","","","1039.1","0","203.8","1,0","","","93.5",",,,0","0",",,,0","11.05","1,0","17.52","1,,,0","4.59","1,,,0","",""
"USC00414976","1992-03","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","6.4","0","6.4","1,0","3",",0","2",",0","0",",0","0",",0","0",",0","0","1,0","4","1,0","0",",0","23",",0","0",",0","","","","","-2.2","1,0,23,","0",",,0,31,+","0",",,0,31,+","23.6",",,0,18,","31.1",",0,08,","","","1146.1","0","107.0",",0","","","41.9",",,,0","0",",,,0","14.92","1,0","22.62",",,,0","7.22","1,,,0","",""
"USC00414976","1992-04","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","56.4","0","50.0",",0","7",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","1",",0","","","","","1.1",",0,01,","0",",,0,30,+","0",",,0,30,+","34.8",",,0,19,","35.0",",0,30,","","","1198.1","0","52.0",",0","","","57.7",",,,0","0",",,,0","18.27",",0","25.39",",,,0","11.14",",,,0","",""
"USC00414976","1992-05","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","166.4","0","110.0","1,0","9",",0","6",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","3",",0","","","","","5.6","1,0,07,","0",",,0,31,+","0",",,0,31,+","62.0",",,0,12,","34.4",",0,14,","","","1206.1","0","8.0",",0","","","115.7",",,,0","0",",,,0","21.74","1,0","28.53",",,,0","14.95","1,,,0","",""
"USC00414976","1992-06","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","373.9","0","207.5","2,0","10",",0","10",",0","4",",0","0",",0","0",",0","0","2,0","0","2,0","0",",0","30",",0","21",",0","","","","","15.6","2,0,01,","0",",,0,30,+","0",",,0,30,+","88.9",",,0,29,","36.7",",0,17,","","","1206.1","0","0.0",",0","","","244.7",",,,0","0",",,,0","25.83","2,0","32.57",",,,0","19.09","2,,,0","",""
"USC00414976","1992-07","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","662.5","0","288.6",",0","7",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","28",",0","","","","","18.9",",0,26,+","0",",,0,31,+","0",",,0,31,+","38.1",",,0,28,","36.7",",0,28,","","","0.0","0","0.0",",0","","","91.2",",,,0","0",",,,0","27.64",",0","33.76",",,,0","21.52",",,,0","",""
"USC00414976","1992-08","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","893.9","0","231.4","1,0","6",",0","2",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","22",",0","","","","","13.3","1,0,17,","0",",,0,31,+","0",",,0,31,+","61.5",",,0,13,","38.3",",0,11,","","","0.0","0","0.0",",0","","","74.1",",,,0","0",",,,0","26.06","1,0","33.35",",,,0","18.77","1,,,0","",""
"USC00414976","1992-09","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1088.9","0","195.0","1,0","7",",0","4",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","30",",0","19",",0","","","","","9.4","1,0,30,","0",",,0,30,+","0",",,0,30,+","34.3",",,0,21,","36.7",",0,20,+","","","0.2","0","0.2",",0","","","68.9",",,,0","0",",,,0","25.08","1,0","32.38",",,,0","17.79","1,,,0","",""
"USC00414976","1992-10","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1150.9","0","62.0",",0","4",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","4",",0","","","","","7.8",",0,19,+","0",",,0,31,+","0",",,0,31,+","66.8",",,0,16,","32.2",",0,27,+","","","11.6","0","11.4",",0","","","113.0",",,,0","0",",,,0","19.96",",0","28.19",",,,0","11.74",",,,0","",""
"USC00414976","1992-11","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1156.8","0","5.9",",0","11",",0","7",",0","2",",0","0",",0","0",",0","0",",0","3",",0","0",",0","14",",0","0",",0","","","","","-3.9",",0,28,","0",",,0,30,+","0",",,0,30,+","70.6",",,0,20,","31.1",",0,01,","","","203.9","0","192.3",",0","","","165.7",",,,0","0",",,,0","12.12",",0","19.10",",,,0","5.13",",,,0","",""
"USC00414976","1992-12","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1158.8","0","2.0","2,0","14",",0","8",",0","1",",0","0",",0","0",",0","0","2,0","10","2,0","0",",0","4",",0","0",",0","","","","","-1.1","2,0,18,+","0",",,0,31,+","0",",,0,31,+","81.3",",,0,15,","23.3",",0,29,","","","462.0","0","258.1",",0","","","148.8",",,,0","0",",,,0","9.37","2,0","15.63",",,,0","3.12","2,,,0","",""
"USC00414976","1993-01","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","0.0","0","0.0",",0","14",",0","8",",0","1",",0","0",",0","0",",0","0",",0","17",",0","0",",0","7",",0","0",",0","","","","","-3.3",",0,01,","0",",,0,31,+","0",",,0,31,+","71.1",",,0,04,","24.4",",0,25,","","","789.7","0","327.7",",0","","","150.2",",,,0","0",",,,0","7.76",",0","14.52",",,,0","1.01",",,,0","",""
"USC00414976","1993-02","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","0.0","0","0.0","1,0","10",",0","7",",0","2",",0","0",",0","0",",0","0","1,0","11","1,0","0",",0","8",",0","0",",0","","","","","-4.4","1,0,19,","0",",,0,28,+","0",",,0,28,+","53.1",",,0,25,","23.3",",0,10,","","","1039.4","0","249.7",",0","","","125.5",",,,0","0",",,,0","9.18","1,0","15.91",",,,0","2.45","1,,,0","",""
"USC00414976","1993-03","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","1.6","0","1.6","1,0","8",",0","5",",0","0",",0","0",",0","0",",0","0","1,0","6","1,0","0",",0","14",",0","0",",0","","","","","-5.0","1,0,14,","0",",,0,31,+","0",",,0,31,+","19.3",",,0,12,","28.3",",0,10,","","","1211.3","0","171.9",",0","","","66.0",",,,0","0",",,,0","12.64","1,0","19.63",",,,0","5.66","1,,,0","",""
"USC00414976","1993-04","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","26.5","0","24.9","1,0","9",",0","6",",0","1",",0","0",",0","0",",0","0","1,0","1","1,0","0",",0","22",",0","0",",0","","","","","0.0","1,0,02,","0",",,0,30,+","0",",,0,30,+","29.0",",,0,29,","29.4",",0,13,","","","1297.0","0","85.7",",0","","","92.0",",,,0","0",",,,0","16.20","1,0","23.06",",,,0","9.34","1,,,0","",""
"USC00414976","1993-05","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","130.1","0","103.6","1,0","11",",0","6",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","3",",0","","","","","11.1","1,0,04,","0",",,0,31,+","0",",,0,31,+","29.2",",,0,10,","32.2",",0,31,+","","","1298.4","0","1.4",",0","","","58.8",",,,0","0",",,,0","21.73","1,0","28.16",",,,0","15.30","1,,,0","",""
"USC00414976","1993-06","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","381.5","0","251.4","1,0","8",",0","7",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","30",",0","23",",0","","","","","14.4","1,0,01,","0",",,0,30,+","0",",,0,30,+","17.3",",,0,20,","37.2",",0,16,","","","1298.4","0","0.0",",0","","","81.1",",,,0","0",",,,0","27.01","1,0","33.17",",,,0","20.84","1,,,0","",""
"USC00414976","1993-07","32.8241","-95.5275","126.2","LAKE FORK RESERVOIR, TX US","728.0","0","346.5","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","31",",0","","","","","22.2","1,0,27,+","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","41.1",",0,31,","","","0.0","0","0.0",",0","","","0.0",",,,0","0",",,,0","29.91","1,0","36.33",",,,0","23.48","1,,,0","",""
