"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USR0000COKS","1997-02","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","0",",U","0",",U","6.1",",U,28,+","19.4",",U,16,+","","","181.8",",U","11.84",",U","15.75",",,,U","7.93",",,,U"
"USR0000COKS","1997-03","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","4.7","U","4.7",",U","0",",U","0",",U","0",",U","11",",U","0",",U","4.4",",U,12,","26.7",",U,25,","","","145.1",",U","13.80",",U","18.97",",,,U","8.64",",,,U"
"USR0000COKS","1997-04","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","6.6","U","1.9",",U","0",",U","0",",U","0",",U","8",",U","0",",U","5.0",",U,09,","26.1",",U,25,+","","","127.7",",U","14.14",",U","19.27",",,,U","9.01",",,,U"
"USR0000COKS","1997-05","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","30.2","U","23.6","1,U","0","1,U","0","1,U","0",",U","19",",U","2",",U","7.2","1,U,01,","35.6",",U,17,","","","56.3",",U","17.44","1,U","23.52",",,,U","11.37","1,,,U"
"USR0000COKS","1997-06","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","37.7","U","7.5",",U","0",",U","0",",U","0",",U","18",",U","0",",U","8.9",",U,22,","29.4",",U,25,","","","59.6",",U","16.60",",U","22.05",",,,U","11.14",",,,U"
"USR0000COKS","1997-07","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","55.6","U","17.9",",U","0",",U","0",",U","0",",U","25",",U","0",",U","10.6",",U,01,","30.0",",U,24,","30.2","U","30.2",",U","17.94",",U","23.84",",,,U","12.04",",,,U"
"USR0000COKS","1997-08","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","89.9","U","34.3",",U","0",",U","0",",U","0",",U","29",",U","3",",U","12.2",",U,15,+","34.4",",U,05,","39.1","U","8.9",",U","19.15",",U","24.52",",,,U","13.78",",,,U"
"USR0000COKS","1997-09","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","154.6","U","64.7",",U","0",",U","0",",U","0",",U","30",",U","3",",U","11.7",",U,19,+","35.6",",U,24,+","43.0","U","3.9",",U","20.36",",U","26.07",",,,U","14.64",",,,U"
"USR0000COKS","1997-10","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","175.0","U","20.4",",U","0",",U","0",",U","0",",U","14",",U","0",",U","7.2",",U,11,","31.7",",U,16,","113.8","U","70.8",",U","16.71",",U","21.30",",,,U","12.11",",,,U"
"USR0000COKS","1997-11","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","188.4","U","13.4",",U","0",",U","0",",U","0",",U","4",",U","0",",U","7.8",",U,30,+","27.2",",U,04,","267.1","U","153.3",",U","13.67",",U","16.88",",,,U","10.46",",,,U"
"USR0000COKS","1997-12","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","188.4","U","0.0",",U","0",",U","0",",U","0",",U","0",",U","0",",U","2.8",",U,21,","16.7",",U,05,","538.1","U","271.0",",U","9.59",",U","12.71",",,,U","6.47",",,,U"
"USR0000COKS","1998-01","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","0",",U","0",",U","3.3",",U,05,","17.8",",U,17,","797.1","U","259.0",",U","9.98",",U","12.46",",,,U","7.50",",,,U"
"USR0000COKS","1998-02","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","0",",U","0",",U","3.9",",U,20,","15.6",",U,27,","1049.3","U","252.2",",U","9.33",",U","12.08",",,,U","6.58",",,,U"
"USR0000COKS","1998-03","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","3",",U","0",",U","2.8",",U,29,+","22.2",",U,18,+","1256.1","U","206.8",",U","11.66",",U","15.72",",,,U","7.60",",,,U"
"USR0000COKS","1998-04","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","3.0","U","3.0",",U","0",",U","0",",U","0",",U","7",",U","0",",U","3.9",",U,14,","28.9",",U,21,","1442.5","U","186.4",",U","12.22",",U","17.05",",,,U","7.39",",,,U"
"USR0000COKS","1998-05","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","3.0","U","0.0",",U","0",",U","0",",U","0",",U","0",",U","0",",U","6.7",",U,20,+","20.6",",U,03,","1631.3","U","188.8",",U","12.24",",U","15.81",",,,U","8.68",",,,U"
"USR0000COKS","1998-06","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","11.0","U","8.0",",U","0",",U","0",",U","0",",U","7",",U","0",",U","8.9",",U,04,","30.0",",U,15,","1736.5","U","105.2",",U","15.10",",U","19.27",",,,U","10.92",",,,U"
"USR0000COKS","1998-08","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","63.7","3,U","0","3,U","0","3,U","0",",U","25",",U","10",",U","10.0","3,U,31,","39.4",",U,03,","","","27.5",",U","20.19","3,U","27.18",",,,U","13.20","3,,,U"
"USR0000COKS","1998-09","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","66.9",",U","0",",U","0",",U","0",",U","20",",U","5",",U","11.1",",U,30,+","34.4",",U,03,","","","46.9",",U","19.00",",U","24.02",",,,U","13.98",",,,U"
"USR0000COKS","1998-12","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","","","0.0",",U","0",",U","5",",U","0",",U","0",",U","0",",U","-2.2",",U,21,","19.4",",U,16,","","","303.1",",U","8.56",",U","12.13",",,,U","4.99",",,,U"
"USR0000COKS","1999-01","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","0",",U","0",",U","1.7",",U,24,+","16.1",",U,02,","","","276.1",",U","9.43",",U","12.61",",,,U","6.24",",,,U"
"USR0000COKS","1999-02","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","0",",U","0",",U","1.7",",U,10,","17.8",",U,27,","","","248.7",",U","9.45",",U","13.22",",,,U","5.69",",,,U"
"USR0000COKS","1999-03","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","0",",U","0",",U","2.2",",U,10,","17.8",",U,02,","","","279.6",",U","9.31",",U","13.33",",,,U","5.30",",,,U"
"USR0000COKS","1999-04","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","8.9","U","8.9",",U","0",",U","0",",U","0",",U","6",",U","0",",U","1.1",",U,09,","28.3",",U,16,","","","192.3",",U","12.22",",U","17.02",",,,U","7.42",",,,U"
"USR0000COKS","1999-05","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","8.9","U","0.0",",U","0",",U","0",",U","0",",U","5",",U","0",",U","4.4",",U,15,","24.4",",U,22,","","","187.3",",U","12.29",",U","17.13",",,,U","7.45",",,,U"
"USR0000COKS","1999-06","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","32.7","U","23.8",",U","0",",U","0",",U","0",",U","12",",U","2",",U","6.1",",U,07,","33.3",",U,30,","","","108.0",",U","15.53",",U","20.95",",,,U","10.11",",,,U"
"USR0000COKS","1999-07","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","52.2","U","19.5","1,U","0","1,U","0","1,U","0",",U","13",",U","2",",U","8.9","1,U,04,","35.6",",U,12,","75.8","U","75.8",",U","16.68","1,U","22.33",",,,U","11.02","1,,,U"
"USR0000COKS","1999-08","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","88.3","U","36.1",",U","0",",U","0",",U","0",",U","18",",U","3",",U","11.1",",U,31,+","37.2",",U,25,","126.4","U","50.6",",U","17.86",",U","22.91",",,,U","12.82",",,,U"
"USR0000COKS","1999-09","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","142.2","U","53.9",",U","0",",U","0",",U","0",",U","24",",U","4",",U","10.0",",U,18,+","35.0",",U,29,","165.7","U","39.3",",U","18.82",",U","24.43",",,,U","13.21",",,,U"
"USR0000COKS","1999-10","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","186.3","U","44.1",",U","0",",U","0",",U","0",",U","20",",U","0",",U","7.8",",U,25,","31.7",",U,10,","211.5","U","45.8",",U","18.28",",U","23.74",",,,U","12.81",",,,U"
"USR0000COKS","1999-11","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","188.8","U","2.5",",U","0",",U","0",",U","0",",U","4",",U","0",",U","5.0",",U,23,","23.9",",U,01,","360.7","U","149.2",",U","13.44",",U","16.97",",,,U","9.92",",,,U"
"USR0000COKS","1999-12","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","188.8","U","0.0",",U","0",",U","0",",U","0",",U","0",",U","0",",U","4.4",",U,10,+","20.6",",U,22,","576.7","U","216.0",",U","11.37",",U","14.95",",,,U","7.78",",,,U"
"USR0000COKS","2000-01","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","0",",U","0",",U","2.8",",U,02,","17.2",",U,15,","835.1","U","258.4",",U","10.00",",U","12.63",",,,U","7.37",",,,U"
"USR0000COKS","2000-02","37.7861","-122.1447","333.8","OAKLAND SOUTH CALIFORNIA, CA US","0.0","U","0.0",",U","0",",U","0",",U","0",",U","0",",U","0",",U","3.3",",U,24,","18.3",",U,07,","1061.1","U","226.0",",U","10.54",",U","13.47",",,,U","7.61",",,,U"
