"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IDM00097780","2018-03","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","26","4,S","0","4,S","","","25.4","4,S,30,","23.46","4,,,S","",""
"IDM00097780","2018-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","26.0","3,S,19,","24.44","3,,,S","",""
"IDM00097780","2018-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","26","4,S","0","4,S","","","25.0","4,S,28,+","23.70","4,,,S","",""
"IDM00097780","2018-07","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","25","2,S","0","2,S","","","25.0","2,S,11,","22.74","2,,,S","",""
"IDM00097780","2018-08","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","30","1,S","0","1,S","","","27.0","1,S,18,","23.41","1,,,S","",""
"IDM00097780","2018-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","25","3,S","0","3,S","","","25.4","3,S,30,+","23.42","3,,,S","",""
"IDM00097780","2018-10","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","24","5,S","0","5,S","","","25.4","5,S,24,+","23.85","5,,,S","",""
"IDM00097780","2018-11","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","28","2,S","0","2,S","","","26.2","2,S,14,+","24.91","2,,,S","",""
"IDM00097780","2018-12","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","31",",S","0",",S","","","27.0",",S,05,","24.17",",,,S","",""
"IDM00097780","2019-01","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","25.2",",S,15,","23.61",",,,S","",""
"IDM00097780","2019-02","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","26","2,S","0","2,S","","","26.4","2,S,27,","23.85","2,,,S","",""
"IDM00097780","2019-03","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","27","1,S","0","1,S","","","26.2","1,S,26,","23.58","1,,,S","",""
"IDM00097780","2019-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","29","1,S","0","1,S","","","26.0","1,S,09,+","24.28","1,,,S","",""
"IDM00097780","2019-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","27","2,S","0","2,S","","","25.8","2,S,12,","23.74","2,,,S","",""
"IDM00097780","2019-06","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","24.8","3,S,22,+","23.33","3,,,S","",""
"IDM00097780","2019-07","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","25","3,S","0","3,S","","","24.4","3,S,20,","22.40","3,,,S","",""
"IDM00097780","2019-08","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","24","3,S","0","3,S","","","26.6","3,S,25,","22.97","3,,,S","",""
"IDM00097780","2019-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","25.2","3,S,13,","23.47","3,,,S","",""
"IDM00097780","2019-12","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","31",",S","0",",S","","","26.8",",S,30,","24.83",",,,S","",""
"IDM00097780","2020-01","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","30","1,S","0","1,S","","","27.0","1,S,31,","24.95","1,,,S","",""
"IDM00097780","2020-02","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","29",",S","0",",S","","","27.0",",S,15,","24.54",",,,S","",""
"IDM00097780","2020-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","26","4,S","0","4,S","","","25.8","4,S,11,","24.52","4,,,S","",""
"IDM00097780","2020-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","25","5,S","0","5,S","","","26.4","5,S,15,","24.61","5,,,S","",""
"IDM00097780","2020-06","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","25.2","3,S,05,","23.85","3,,,S","",""
"IDM00097780","2020-07","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","25","5,S","0","5,S","","","24.8","5,S,30,+","23.47","5,,,S","",""
"IDM00097780","2020-08","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","29","1,S","0","1,S","","","25.0","1,S,09,","23.09","1,,,S","",""
"IDM00097780","2020-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","25.6","3,S,01,","24.10","3,,,S","",""
"IDM00097780","2020-10","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","5,S","26","5,S","0","5,S","","","25.2","5,S,31,","23.77","5,,,S","",""
"IDM00097780","2020-11","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","27.0",",S,19,","24.95",",,,S","",""
"IDM00097780","2020-12","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","30","1,S","0","1,S","","","25.8","1,S,13,+","24.13","1,,,S","",""
"IDM00097780","2021-01","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","26.8","3,S,07,","23.83","3,,,S","",""
"IDM00097780","2021-03","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","31",",S","0",",S","","","26.0",",S,27,","24.19",",,,S","",""
"IDM00097780","2021-04","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","29",",S","0",",S","","","26.2",",S,16,","24.37",",,,S","",""
"IDM00097780","2021-05","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","30","1,S","0","1,S","","","26.0","1,S,25,","24.15","1,,,S","",""
"IDM00097780","2021-06","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0",",S","30",",S","0",",S","","","26.0",",S,23,+","24.14",",,,S","",""
"IDM00097780","2021-07","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","1,S","28","1,S","0","1,S","","","25.2","1,S,27,","23.45","1,,,S","",""
"IDM00097780","2021-08","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","29","2,S","0","2,S","","","25.6","2,S,11,","24.05","2,,,S","",""
"IDM00097780","2021-09","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","3,S","27","3,S","0","3,S","","","26.2","3,S,27,+","24.41","3,,,S","",""
"IDM00097780","2021-10","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","4,S","27","4,S","0","4,S","","","26.4","4,S,01,","24.46","4,,,S","",""
"IDM00097780","2021-11","-3.917","136.367","1770.0","ENAROTALI, ID","","","","","0","2,S","28","2,S","0","2,S","","","26.4","2,S,23,","24.49","2,,,S","",""
