"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HN01","HN01_ATTRIBUTES","HN02","HN02_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","HX01","HX01_ATTRIBUTES","LN01","LN01_ATTRIBUTES","LN02","LN02_ATTRIBUTES","LX01","LX01_ATTRIBUTES","MN01","MN01_ATTRIBUTES","MN02","MN02_ATTRIBUTES","MX01","MX01_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"USC00386114","2005-12","34.1944","-79.2472","33.5","MULLINS, SC US","","","0.0",",0","10",",0","8",",0","0",",0","0",",0","0",",0","0",",0","18",",0","0",",0","1",",0","0",",0","","","","","-5.0",",0,24,+","0",",,0,31,+","0",",,0,31,+","23.1",",,0,18,","22.2",",0,05,","","","  13.9","1,,,0,3,2","","","372.6",",0","  16.1","1,,,0,3,2","  -0.6","1,,,0,3,2","","","   3.3","1,,,0,3,2","   5.5","1,,,0,3,2","","","   9.9","1,,,0,3,2","89.2",",,,0","0",",,,0","6.31",",0","12.31",",,,0","0.32",",,,0"
"USC00386114","2006-01","34.1944","-79.2472","33.5","MULLINS, SC US","0.0","0","0.0",",0","12",",0","10",",0","0",",0","0",",0","0",",0","0",",0","10",",0","0",",0","5",",0","0",",0","","","","","-2.8",",0,29,+","0",",,0,31,+","0",",,0,31,+","14.5",",,0,11,","22.2",",0,22,+","","","  13.3",",,,0,3,2","","","268.6",",0","  20.0",",,,0,3,2","   1.7",",,,0,3,2","","","   6.7",",,,0,3,2","   7.8",",,,0,3,2","","","  13.9",",,,0,3,2","94.5",",,,0","0",",,,0","9.67",",0","15.96",",,,0","3.38",",,,0"
"USC00386114","2006-02","34.1944","-79.2472","33.5","MULLINS, SC US","0.0","0","0.0",",0","11",",0","5",",0","2",",0","0",",0","0",",0","0",",0","15",",0","0",",0","2",",0","0",",0","","","","","-4.4",",0,27,","0",",,0,28,+","0",",,0,28,+","30.7",",,0,23,","22.8",",0,18,+","","","  14.4",",,,0,3,2","","","310.8",",0","  19.4",",,,0,3,2","   0.6",",,,0,3,2","","","   4.4",",,,0,3,2","   5.9",",,,0,3,2","","","  11.4",",,,0,3,2","87.4",",,,0","0",",,,0","7.23",",0","13.50",",,,0","0.97",",,,0"
"USC00386114","2006-03","34.1944","-79.2472","33.5","MULLINS, SC US","10.0","0","10.0",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","10",",0","0",",0","","","","","-1.1",",0,04,","0",",,0,31,+","0",",,0,31,+","13.2",",,0,07,","27.8",",0,14,+","","","  18.3",",,,0,3,2","","","206.1",",0","  23.3",",,,0,3,2","   4.4",",,,0,3,2","","","   8.3",",,,0,3,2","  10.3",",,,0,3,2","","","  15.4",",,,0,3,2","25.2",",,,0","0",",,,0","12.01",",0","18.73",",,,0","5.28",",,,0"
"USC00386114","2006-04","34.1944","-79.2472","33.5","MULLINS, SC US","67.1","0","57.1","1,0","7",",0","6",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","28",",0","6",",0","","","","","2.8","1,0,10,","0",",,0,30,+","0",",,0,30,+","21.8",",,0,27,","33.3",",0,17,+","","","  18.3",",,,0,3,2","","","49.1",",0","  21.7",",,,0,3,2","  12.2",",,,0,3,2","","","  14.4",",,,0,3,2","  16.0",",,,0,3,2","","","  18.8",",,,0,3,2","69.8",",,,0","0",",,,0","18.59","1,0","26.76",",,,0","10.42","1,,,0"
"USC00386114","2006-05","34.1944","-79.2472","33.5","MULLINS, SC US","154.2","0","87.1",",0","8",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","27",",0","3",",0","","","","","6.7",",0,01,","0",",,0,31,+","0",",,0,31,+","41.4",",,0,06,","33.3",",0,28,+","","","  22.2",",,,0,5,2","","","21.3",",0","  24.4",",,,0,5,2","  16.7",",,,0,5,2","","","  18.3",",,,0,5,2","  18.8",",,,0,5,2","","","  21.7",",,,0,5,2","132.3",",,,0","0",",,,0","20.45",",0","27.23",",,,0","13.68",",,,0"
"USC00386114","2006-06","34.1944","-79.2472","33.5","MULLINS, SC US","352.6","0","198.4",",0","14",",0","14",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","12",",0","","","","","13.3",",0,07,","0",",,0,30,+","0",",,0,30,+","25.7",",,0,26,","35.6",",0,12,","","","  24.4",",,,0,5,2","","","0.0",",0","  27.8",",,,0,5,2","  21.1",",,,0,5,2","","","  22.8",",,,0,5,2","  22.9",",,,0,5,2","","","  25.4",",,,0,5,2","154.8",",,,0","0",",,,0","24.95",",0","30.85",",,,0","19.04",",,,0"
"USC00386114","2006-07","34.1944","-79.2472","33.5","MULLINS, SC US","629.9","0","277.3",",0","9",",0","7",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","23",",0","","","","","15.6",",0,09,","0",",,0,31,+","0",",,0,31,+","38.4",",,0,25,","36.1",",0,29,+","0.0","0","  25.6",",,,0,5,2","","","0.0",",0","  30.6",",,,0,5,2","  20.6",",,,0,5,2","","","  24.4",",,,0,5,2","  23.8",",,,0,5,2","","","  28.2",",,,0,5,2","123.8",",,,0","0",",,,0","27.28",",0","33.13",",,,0","21.43",",,,0"
"USC00386114","2006-08","34.1944","-79.2472","33.5","MULLINS, SC US","902.9","0","273.0","1,0","10",",0","6",",0","1",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","23",",0","","","","","17.8","1,0,14,+","0",",,0,31,+","0",",,0,31,+","31.2",",,0,08,","37.2",",0,05,+","0.0","0","  27.2",",,,0,5,2","","","0.0",",0","  31.7",",,,0,2,2","  20.6",",,,0,5,2","","","  23.9",",,,0,2,2","  23.3",",,,0,5,2","","","  28.2",",,,0,2,2","94.9",",,,0","0",",,,0","27.50","1,0","33.15",",,,0","21.86","1,,,0"
"USC00386114","2006-09","34.1944","-79.2472","33.5","MULLINS, SC US","1021.7","0","118.8",",0","6",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","4",",0","","","","","9.4",",0,30,","0",",,0,30,+","0",",,0,30,+","65.3",",,0,06,","32.2",",0,24,+","2.5","0","  23.9",",,,0,5,2","","","2.5",",0","  30.0",",,,0,5,2","  18.3",",,,0,5,2","","","  22.8",",,,0,5,2","  21.0",",,,0,5,2","","","  26.1",",,,0,5,2","167.2",",,,0","0",",,,0","22.21",",0","27.66",",,,0","16.75",",,,0"
"USC00386114","2006-10","34.1944","-79.2472","33.5","MULLINS, SC US","1050.6","0","28.9",",0","7",",0","5",",0","2",",0","0",",0","0",",0","0",",0","2",",0","0",",0","21",",0","0",",0","","","","","0.0",",0,25,+","0",",,0,31,+","0",",,0,31,+","30.7",",,0,28,","31.7",",0,06,","92.1","0","  18.9",",,,0,5,2","","","89.6",",0","  23.9",",,,0,5,2","   6.1",",,,0,5,2","","","  12.8",",,,0,5,2","  14.2",",,,0,5,2","","","  19.4",",,,0,5,2","94.9",",,,0","0",",,,0","16.37",",0","22.65",",,,0","10.09",",,,0"
"USC00386114","2006-11","34.1944","-79.2472","33.5","MULLINS, SC US","1050.9","0","0.3","1,0","9",",0","7",",0","4",",0","0",",0","0",",0","0","1,0","2","1,0","0",",0","12",",0","0",",0","","","","","-0.6","1,0,05,","0",",,0,30,+","0",",,0,30,+","63.0",",,0,08,","26.7",",0,11,","280.9","0","  16.7","1,,,0,5,2","","","188.8",",0","  21.7","1,,,0,5,2","   4.4","1,,,0,5,2","","","   5.6","1,,,0,5,2","  11.1","1,,,0,5,2","","","  15.4","1,,,0,5,2","195.8",",,,0","0",",,,0","11.94","1,0","18.39",",,,0","5.48","1,,,0"
"USC00386114","2006-12","34.1944","-79.2472","33.5","MULLINS, SC US","1051.7","0","0.8",",0","6",",0","5",",0","2",",0","0",",0","0",",0","0",",0","11",",0","0",",0","6",",0","0",",0","","","","","-7.8",",0,09,","0",",,0,31,+","0",",,0,31,+","61.7",",,0,23,","25.0",",0,01,","525.4","0","  18.3",",,,0,5,2","","","244.5",",0","  20.6",",,,0,5,2","   1.1",",,,0,5,2","","","   5.0",",,,0,5,2","  10.3",",,,0,5,2","","","  12.4",",,,0,5,2","121.4",",,,0","0",",,,0","10.47",",0","17.13",",,,0","3.81",",,,0"
"USC00386114","2007-01","34.1944","-79.2472","33.5","MULLINS, SC US","0.0","0","0.0",",0","12",",0","9",",0","1",",0","0",",0","0",",0","0",",0","13",",0","0",",0","6",",0","0",",0","","","","","-4.4",",0,30,+","0",",,0,31,+","0",",,0,31,+","25.7",",,0,22,","23.9",",0,16,","826.1","0","  15.0",",,,0,5,2","","","300.7",",0","  18.3",",,,0,5,2","   3.9",",,,0,5,2","","","   4.4",",,,0,5,2","   9.4",",,,0,5,2","","","  11.5",",,,0,5,2","86.6",",,,0","0",",,,0","8.63",",0","14.52",",,,0","2.75",",,,0"
"USC00386114","2007-02","34.1944","-79.2472","33.5","MULLINS, SC US","0.0","0","0.0","1,0","4",",0","4",",0","1",",0","0",",0","0",",0","0","1,0","17","1,0","0","1,0","2","1,0","0","1,0","","","","","-6.1","1,0,20,+","0",",,0,28,+","0",",,0,28,+","28.2",",,0,02,","22.2","1,0,23,","1151.9","0","  12.8","3,,,0,5,2","","","325.8","1,0","  16.1","3,,,0,5,2","   0.6","3,,,0,5,2","","","   3.3","3,,,0,5,2","   6.1","3,,,0,5,2","","","   9.4","3,,,0,5,2","48.3",",,,0","0",",,,0","6.26","1,0","12.89","1,,,0","-0.36","1,,,0"
"USC00386114","2007-03","34.1944","-79.2472","33.5","MULLINS, SC US","14.2","0","14.2","2,0","2",",0","1",",0","0",",0","0",",0","0",",0","0","2,0","5","2,0","0","1,0","19","1,0","0","1,0","","","","","-2.2","2,0,05,","0",",,0,31,+","0",",,0,31,+","18.3",",,0,17,","31.7","1,0,26,","1294.1","0","  16.7","1,,,0,5,2","","","142.2","1,0","  19.4","1,,,0,5,2","  10.0","1,,,0,5,2","","","  11.7","1,,,0,5,2","  13.3","1,,,0,5,2","","","  16.2","1,,,0,5,2","18.6",",,,0","0",",,,0","14.01","2,0","22.00","1,,,0","6.02","2,,,0"
"USC00386114","2007-04","34.1944","-79.2472","33.5","MULLINS, SC US","42.0","0","27.8","1,0","6",",0","5",",0","2",",0","0",",0","0",",0","0","1,0","3","1,0","0",",0","19",",0","0",",0","","","","","-3.3","1,0,09,","0",",,0,30,+","0",",,0,30,+","56.9",",,0,16,","31.1",",0,27,","1398.7","0","  19.4",",,,0,5,2","","","104.6",",0","  22.2",",,,0,5,2","   9.4",",,,0,5,2","","","  11.7",",,,0,5,2","  16.2",",,,0,5,2","","","  18.2",",,,0,5,2","106.4",",,,0","0",",,,0","15.74","1,0","23.61",",,,0","7.88","1,,,0"
"USC00386114","2007-05","34.1944","-79.2472","33.5","MULLINS, SC US","133.9","0","91.9","1,0","7",",0","4",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0","1,0","30","1,0","4","1,0","","","","","7.8","1,0,06,","0",",,0,31,+","0",",,0,31,+","22.4",",,0,17,","33.3","1,0,02,","1412.3","0","  22.8",",,,1,5,2","","","13.6","1,0","  25.0",",,,1,5,2","  17.2",",,,1,5,2","","","  20.0",",,,1,5,2","  19.5",",,,1,5,2","","","  22.2",",,,1,5,2","57.5",",,,0","0",",,,0","20.95","1,0","28.24","1,,,0","13.65","1,,,0"
"USC00386114","2007-06","34.1944","-79.2472","33.5","MULLINS, SC US","312.2","0","178.3","3,0","10","3,0","7","3,0","4","3,0","0",",0","0",",0","0","3,0","0","3,0","0","2,0","28","2,0","15","2,0","","","","","13.9","3,0,17,+","0",",,0,30,+","0",",,0,30,+","61.7","3,,0,21,","35.0","2,0,09,+","1412.3","0","  24.4","2,,,0,5,2","","","0.0","2,0","  27.2","2,,,0,5,2","  19.4","2,,,0,5,2","","","  20.0","2,,,0,5,2","  22.3","2,,,0,5,2","","","  24.3","2,,,0,5,2","289.3",",a,,0","0",",,,0","24.96","3,0","31.07","2,,,0","18.85","3,,,0"
"USC00386114","2007-07","34.1944","-79.2472","33.5","MULLINS, SC US","561.4","0","249.2",",0","10",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","","","","","16.1",",0,23,","0",",,0,31,+","0",",,0,31,+","57.2",",,0,01,","35.6",",0,28,","0.0","0","  25.6",",,,0,5,2","","","0.0",",0","  31.1",",,,0,5,2","  20.6",",,,0,5,2","","","  25.6",",,,0,5,2","  23.4",",,,0,5,2","","","  28.0",",,,0,5,2","102.7",",,,0","0",",,,0","26.37",",0","32.15",",,,0","20.59",",,,0"
"USC00386114","2007-08","34.1944","-79.2472","33.5","MULLINS, SC US","","","","","6","4,0","4","4,0","3","4,0","0",",0","0",",0","","","","","","","","","","","","","","","","","0",",,0,31,+","0",",,0,31,+","45.2","4,,0,27,","","","","","","","","","","","","","","","","","","","","","","","","","125.7","4,,,0","0",",,,0","","","","","",""
"USC00386114","2007-09","34.1944","-79.2472","33.5","MULLINS, SC US","","","164.4","2,0","5",",0","4",",0","0",",0","0","5,0","0","1,0","0","2,0","0","2,0","0","2,0","28","2,0","9","2,0","","","","","12.8","2,0,30,+","0","5,,0,30,+","0","1,,0,30,+","19.1",",,0,12,","34.4","2,0,24,+","","","  24.4","3,,,0,5,2","","","0.0","2,0","  25.6","3,,,0,5,2","  20.6","3,,,0,5,2","","","  21.1","3,,,0,5,2","  22.6","3,,,0,5,2","","","  23.8","3,,,0,5,2","51.4",",,,0","0","1,,,0","24.20","2,0","30.37","2,,,0","18.04","2,,,0"
"USC00386114","2007-10","34.1944","-79.2472","33.5","MULLINS, SC US","","","105.2",",0","5",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","3",",0","","","","","5.6",",0,31,+","0",",,0,31,+","0",",,0,31,+","44.2",",,0,26,","34.4",",0,10,","","","  23.9",",,,0,5,2","","","28.9",",0","  25.6",",,,0,5,2","  17.2",",,,0,5,2","","","  18.3",",,,0,5,2","  20.5",",,,0,5,2","","","  22.3",",,,0,5,2","78.3",",,,0","0",",,,0","20.80",",0","27.13",",,,0","14.47",",,,0"
"USC00386114","2007-11","34.1944","-79.2472","33.5","MULLINS, SC US","","","1.7",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","7",",0","0",",0","10",",0","0",",0","","","","","-2.2",",0,17,","0",",,0,30,+","0",",,0,30,+","2.0",",,0,26,","25.6",",0,15,+","","","  18.3",",,,0,5,2","","","207.5",",0","  20.0",",,,0,5,2","  10.0",",,,0,5,2","","","  11.7",",,,0,5,2","  13.3",",,,0,5,2","","","  15.9",",,,0,5,2","4.1",",,,0","0",",,,0","11.47",",0","18.70",",,,0","4.25",",,,0"
"USC00386114","2007-12","34.1944","-79.2472","33.5","MULLINS, SC US","","","1.7","1,0","9",",0","8",",0","1",",0","0",",0","0",",0","0","1,0","4","1,0","0",",0","11",",0","0",",0","","","","","-6.1","1,0,19,+","0",",,0,31,+","0",",,0,31,+","49.0",",,0,30,","25.6",",0,12,","","","  18.9",",,,0,5,2","","","230.6",",0","  19.4",",,,0,5,2","   8.3",",,,0,5,2","","","   8.3",",,,0,5,2","  11.8",",,,0,5,2","","","  14.0",",,,0,5,2","138.8",",,,0","0",",,,0","10.74","1,0","17.03",",,,0","4.46","1,,,0"
"USC00386114","2008-01","34.1944","-79.2472","33.5","MULLINS, SC US","1.1","0","1.1",",0","9",",0","4",",0","1",",0","0",",0","0",",0","0",",0","17",",0","0",",0","4",",0","0",",0","","","","","-8.3",",0,05,+","0",",,0,31,+","0",",,0,31,+","31.0",",,0,20,","23.9",",0,11,","","","  18.3",",,,0,5,2","","","371.6",",0","  19.4",",,,0,5,2","  -1.7",",,,0,5,2","","","   1.7",",,,0,5,2","   7.1",",,,0,5,2","","","  10.0",",,,0,5,2","60.1",",,,0","0",",,,0","6.38",",0","12.03",",,,0","0.74",",,,0"
"USC00386114","2008-02","34.1944","-79.2472","33.5","MULLINS, SC US","3.4","0","2.3",",0","11",",0","10",",0","1",",0","0",",0","0",",0","0",",0","6",",0","0",",0","6",",0","0",",0","","","","","-5.0",",0,28,","0",",,0,29,+","0",",,0,29,+","33.3",",,0,22,","27.2",",0,07,","","","  18.3",",,,0,5,2","","","244.7",",0","  21.1",",,,0,5,2","   3.3",",,,0,5,2","","","   7.8",",,,0,5,2","  12.0",",,,0,5,2","","","  15.4",",,,0,5,2","125.9",",,,0","0",",,,0","9.97",",0","17.11",",,,0","2.83",",,,0"
"USC00386114","2008-03","34.1944","-79.2472","33.5","MULLINS, SC US","6.7","0","3.3",",0","7",",0","7",",0","0",",0","0",",0","0",",0","0",",0","5",",0","0",",0","11",",0","0",",0","","","","","-2.2",",0,01,","0",",,0,31,+","0",",,0,31,+","23.6",",,0,16,","27.2",",0,29,","","","  16.7",",,,0,5,2","","","193.7",",0","  22.2",",,,0,5,2","   3.3",",,,0,5,2","","","  10.0",",,,0,5,2","  11.9",",,,0,5,2","","","  16.3",",,,0,5,2","80.2",",,,0","0",",,,0","12.19",",0","19.39",",,,0","5.00",",,,0"
"USC00386114","2008-04","34.1944","-79.2472","33.5","MULLINS, SC US","32.2","0","25.5",",0","10",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","22",",0","0",",0","","","","","2.2",",0,16,","0",",,0,30,+","0",",,0,30,+","44.5",",,0,06,","30.0",",0,13,","","","  20.0",",,,0,5,2","","","73.4",",0","  23.9",",,,0,5,2","   9.4",",,,0,5,2","","","  15.6",",,,0,5,2","  16.8",",,,0,5,2","","","  19.7",",,,0,5,2","93.1",",,,0","0",",,,0","16.74",",0","23.26",",,,0","10.22",",,,0"
"USC00386114","2008-05","34.1944","-79.2472","33.5","MULLINS, SC US","90.5","0","58.3","3,0","7","4,0","6","4,0","1","4,0","0",",0","0",",0","0","3,0","0","3,0","0","3,0","27","3,0","0","3,0","","","","","5.6","3,0,01,","0",",,0,31,+","0",",,0,31,+","48.5","4,,0,29,","31.1","3,0,28,","","","  20.6","3,,,0,5,2","","","15.3","3,0","  23.9","3,,,0,5,2","  15.0","3,,,0,5,2","","","  17.8","3,,,0,5,2","  17.9","3,,,0,5,2","","","  21.4","3,,,0,5,2","119.9",",a,,0","0",",,,0","19.87","3,0","26.93","3,,,0","12.81","3,,,0"
"USC00386114","2008-06","34.1944","-79.2472","33.5","MULLINS, SC US","353.1","0","262.6",",0","7",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","23",",0","","","","","15.6",",0,19,","0",",,0,30,+","0",",,0,30,+","38.9",",,0,21,","39.4",",0,10,","","","  25.0","1,,,0,5,2","","","0.0",",0","  27.2","1,,,0,5,2","  18.9","1,,,0,5,2","","","  21.1","1,,,0,5,2","  22.1","1,,,0,5,2","","","  23.7","1,,,0,5,2","67.5",",,,0","0",",,,0","27.09",",0","33.79",",,,0","20.38",",,,0"
