"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES"
"USW00012920","1947-05","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","514.0","0","263.4",",0","9",",0","3",",0","0",",0","0",",X","0",",X","0",",0","0",",0","0",",0","31",",0","22",",0","6","","","","9","","16.1",",0,29,","0",",,X,31,+","0",",,X,31,+","24.6",",,0,24,","37.2",",0,28,+","","","659.9","0","0.0",",0","","","","","35.2",",,,0","0",",,,X","26.83",",0","33.01",",,,0","20.65",",,,0","","","","","",""
"USW00012920","1947-06","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","875.6","0","361.6",",0","3",",0","2",",0","2",",0","0",",X","0",",X","0",",0","0",",0","0",",0","30",",0","29",",0","","","","","7","","21.7",",0,19,","0",",,X,30,+","0",",,X,30,+","55.6",",,0,24,","40.0",",0,28,","","","659.9","0","0.0",",0","","","","","85.9",",,,0","0",",,,X","30.39",",0","36.39",",,,0","24.38",",,,0","","","","","",""
"USW00012920","1947-07","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","1273.8","0","398.2",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","30",",0","","","","","5","","22.8",",0,26,+","0",",,0,31,+","0",",,0,31,+","3.0",",,0,29,+","40.0",",0,18,+","","","0.0","0","0.0",",0","","","","","10.9",",,,0","0",",,,0","31.18",",0","37.37",",,,0","24.99",",,,0","","","","","",""
"USW00012920","1947-08","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","1602.0","0","328.2",",0","10",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","27",",0","","","","","9","","20.6",",0,20,","0",",,0,31,+","0",",,0,31,+","56.1",",,0,02,","37.8",",0,10,","286.2","1,,,0","0.0","0","0.0",",0","","","","","118.6",",,,0","0",",,,0","28.92",",0","34.29",",,,0","23.55",",,,0","","","6072",",,,0","",""
"USW00012920","1947-09","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","1907.1","0","305.1",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","26",",0","","","","","3","","15.6",",0,30,+","0",",,0,30,+","0",",,0,30,+","0.5",",,0,02,","38.9",",0,21,","308.5",",,,0","0.0","0","0.0",",0","","","","","0.8",",,,0","0",",,,0","28.50",",0","35.03",",,,0","21.98",",,,0","","","4790",",,,0","",""
"USW00012920","1947-10","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","2168.1","0","261.0",",0","2",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","24",",0","2","","","","4","","16.1",",0,01,","0",",,0,31,+","0",",,0,31,+","47.8",",,0,29,","34.4",",0,20,+","250.6",",,,0","0.0","0","0.0",",0","","","","","51.9",",,,0","0",",,,0","26.75",",0","32.64",",,,0","20.86",",,,0","","","5811",",,,0","",""
"USW00012920","1947-11","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","","","7",",0","3",",0","1",",0","0",",0","0",",0","0","5,0","0","5,0","0","3,0","16","3,0","3","3,0","11","","","","3","","5.0","5,0,08,","0",",,0,30,+","0",",,0,30,+","27.9",",,0,22,","33.3","3,0,10,","144.3",",,,0","","","","","","","","","44.3",",,,0","0",",,,0","17.65","8,0","23.77","3,,,0","11.54","5,,,0","","","4217",",,,0","",""
"USW00012920","1947-12","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","","","24.5",",0","7",",0","2",",0","0",",0","0",",0","1",",0","0",",0","0",",0","0",",0","14",",0","0",",0","11","","","","1","","0.6",",0,14,","0",",T,0,14,","25",",,0,14,","10.7",",,0,14,","31.7",",0,31,","74.9",",,,0","","","146.0",",0","","","","","20.5",",,,0","25",",,,0","14.41",",0","20.14",",,,0","8.69",",,,0","","","3680",",,,0","",""
"USW00012920","1948-01","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","10.9","0","10.9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","6",",0","1",",0","12",",0","0",",0","10","","","","","","-2.8",",0,28,","0",",,0,31,+","0",",T,0,28,+","1.0",",,0,27,","30.0",",0,09,","","","","","227.0",",0","","","","","1.3",",,,0","0",",T,,0","11.36",",0","17.22",",,,0","5.50",",,,0","","","","","",""
"USW00012920","1948-02","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","47.9","0","37.0",",0","10",",0","3",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","13",",0","0",",0","14","","","","1","","-1.7",",0,13,+","0",",,0,29,+","0",",,0,29,+","23.6",",,0,01,","31.1",",0,19,","78.2","1,,,0","","","126.2",",0","","","","","37.2",",,,0","0",",,,0","15.26",",0","20.17",",,,0","10.34",",,,0","","","4618",",,,0","",""
"USW00012920","1948-03","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","153.7","0","105.8",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","24",",0","9",",0","6","","","","1","","-2.2",",0,11,","0",",,0,31,+","0",",T,0,11,","11.4",",,0,05,","36.7",",0,15,","187.6",",,,0","","","66.9",",0","","","","","22.6",",,,0","0",",T,,0","19.59",",0","25.65",",,,0","13.53",",,,0","","","5777",",,,0","",""
"USW00012920","1948-04","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","363.8","0","210.1",",0","2",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","19",",0","1","","","","2","","11.1",",0,01,","0",",,0,30,+","0",",,0,30,+","23.9",",,0,22,","38.9",",0,07,","327.6",",,,0","","","0.6",",0","","","","","32.3",",,,0","0",",,,0","25.32",",0","32.49",",,,0","18.14",",,,0","","","7934",",,,0","",""
"USW00012920","1948-05","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","676.9","0","313.1",",0","3",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","25",",0","2","","","","5","","18.3",",0,07,","0",",,0,31,+","0",",,0,31,+","21.8",",,0,26,","43.3",",0,01,","311.0",",,,0","","","0.0",",0","","","","","31.2",",,,0","0",",,,0","28.43",",0","34.59",",,,0","22.27",",,,0","","","6976",",,,0","",""
"USW00012920","1948-06","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","1054.4","0","377.5",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","29",",0","","","","","4","","20.6",",0,03,","0",",,0,30,+","0",",,0,30,+","15.5",",,0,30,","40.6",",0,10,","418.7",",,,0","","","0.0",",0","","","","","21.3",",,,0","0",",,,0","30.92",",0","37.44",",,,0","24.39",",,,0","","","8645",",,,0","",""
"USW00012920","1948-07","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","1459.8","0","405.4",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","7","","22.2",",0,30,+","0",",,0,31,+","0",",,0,31,+","11.2",",,0,30,","40.6",",0,28,+","396.4",",,,0","0.0","0","0.0",",0","","","","","16.9",",,,0","0",",,,0","31.41",",0","37.91",",,,0","24.91",",,,0","","","8766",",,,0","",""
"USW00012920","1948-08","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","1872.4","0","412.6",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","31",",0","","","","","1","","22.2",",0,25,","0",",,0,31,+","0",",,0,31,+","3.0",",,0,30,","41.1",",0,10,","382.4",",,,0","0.0","0","0.0",",0","","","","","3.8",",,,0","0",",,,0","31.64",",0","38.44",",,,0","24.85",",,,0","","","6596",",,,0","",""
"USW00012920","1948-09","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","2131.2","0","258.8",",0","10",",0","7",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","17",",0","4","","","","5","","12.8",",0,28,","0",",,0,30,+","0",",,0,30,+","32.5",",,0,10,","39.4",",0,05,","216.4",",,,0","0.0","0","0.0",",0","","","","","107.9",",,,0","0",",,,0","26.96",",0","32.89",",,,0","21.03",",,,0","","","4199",",,,0","",""
"USW00012920","1948-10","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","2281.5","0","150.3",",0","4",",0","3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","9",",0","9","","","","2","","9.4",",0,18,+","0",",,0,31,+","0",",,0,31,+","39.6",",,0,17,","35.0",",0,06,","154.5",",,,0","7.8","0","7.8",",0","","","","","59.7",",,,0","0",",,,0","22.93",",0","28.48",",,,0","17.38",",,,0","","","3889",",,,0","",""
"USW00012920","1948-11","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","2324.0","0","42.5",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","1",",0","0",",0","18",",0","1",",0","7","","","","1","","-0.6",",0,29,","0",",,0,30,+","0",",,0,30,+","19.3",",,0,13,","35.6",",0,04,","167.3",",,,0","83.7","0","75.9",",0","","","","","26.3",",,,0","0",",,,0","17.22",",0","23.65",",,,0","10.79",",,,0","","","3966",",,,0","",""
"USW00012920","1948-12","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","2375.3","0","51.3",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","10","","","","","","1.7",",0,31,+","0",",,0,31,+","0",",,0,31,+","0.3",",,0,16,","31.1",",0,24,+","113.7",",,,0","165.2","0","81.5",",0","","","","","0.3",",,,0","0",",,,0","17.36",",0","24.03",",,,0","10.69",",,,0","","","3602",",,,0","",""
"USW00012920","1949-01","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","16.7","0","16.7","2,0","10",",0","2",",0","0",",0","0",",0","0",",0","0","1,0","4","1,0","0","1,0","8","1,0","1","1,0","15","","","","","","-5.6","1,0,31,","0",",,0,31,+","0",",T,0,30,","12.4",",,0,25,","32.2","1,0,03,","76.4",",,,0","376.0","0","210.8","1,0","","","","","23.4",",,,0","0",",T,,0","11.78","2,0","17.30","1,,,0","6.26","1,,,0","","","4144",",,,0","",""
"USW00012920","1949-02","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","65.4","0","48.7",",0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","15",",0","3",",0","11","","","","4","","2.2",",0,02,","0",",,0,28,+","0",",,0,28,+","10.9",",,0,26,","33.9",",0,13,","110.6",",,,0","464.1","0","88.1",",0","","","","","36.4",",,,0","0",",,,0","16.93",",0","21.56",",,,0","12.29",",,,0","","","3574",",,,0","",""
"USW00012920","1949-03","27.533333","-99.466667","151.2","LAREDO MUNICIPAL AIRPORT, TX US","169.2","0","103.8",",0","4",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","3",",0","9","","","","3","","7.2",",0,03,+","0",",,0,31,+","0",",,0,31,+","5.3",",,0,01,","33.9",",0,29,+","183.4",",,,0","491.6","0","27.5",",0","","","","","8.6",",,,0","0",",,,0","20.80",",0","26.69",",,,0","14.90",",,,0","","","4897",",,,0","",""
