"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00474190","1937-11","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","","","0.0",",6","7",",6","5",",6","1",",6","0",",6","18",",6","7",",6","0",",6","0",",6","-14.4",",6,29,","27.2",",,6,08,","17.2",",6,09,","928.0",",,,6","1052.8","6","524.5",",6","45.7",",,,6","0.85",",6","4.83",",,,6","-3.13",",,,6","8142",",,,6"
"USC00474190","1937-12","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","","","0.0",",6","7",",6","2",",6","0",",6","3",",6","31",",6","19",",6","0",",6","0",",6","-21.1",",6,23,","7.6",",,6,15,","2.8",",6,28,","904.4",",,,6","1799.7","6","746.9",",6","18.8",",,,6","-5.76",",6","-1.85",",,,6","-9.67",",,,6","7134",",,,6"
"USC00474190","1938-01","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","0.0","","0.0",",6","10","1,6","4","1,6","0","1,6","11",",6","31",",6","23",",6","0",",6","0",",6","-25.6",",6,31,+","13.7","1,,6,24,","3.3",",6,24,+","779.9","3,,,6","2634.7","","835.0",",6","51.6","1,,,6","-8.60",",6","-4.06",",,,6","-13.14",",,,6","7189",",,,6"
"USC00474190","1938-02","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","0.0","","0.0",",6","10",",6","8",",6","1",",6","2",",6","28",",6","14",",6","0",",6","0",",6","-30.0",",6,01,","29.0",",,6,05,","5.6",",6,09,","718.5","1,,,6","3295.4","","660.7",",6","92.9",",,,6","-5.26",",6","-0.87",",,,6","-9.66",",,,6","5845",",,,6"
"USC00474190","1938-03","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","0.0","","0.0","1,6","","","","","","","0","1,6","17","1,6","6",",6","0",",6","0",",6","-15.6","1,6,06,","","","17.2",",6,29,","857.8",",,,6","3826.0","","530.6",",6","","","0.75","1,6","5.21",",,,6","-3.71","1,,,6","7564",",,,6"
"USC00474190","1938-04","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","0.0","","0.0",",6","8",",6","5",",6","0",",6","0",",6","12",",6","0",",6","3",",6","0",",6","-7.8",",6,05,","13.0",",,6,15,","24.4",",6,14,","957.9",",,,6","4192.6","","366.6",",6","42.7",",,,6","6.11",",6","10.68",",,,6","1.54",",,,6","7929",",,,6"
"USC00474190","1938-05","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","0.0","","0.0",",6","9",",6","7",",6","0",",6","0",",6","1",",6","0",",6","3",",6","0",",6","-1.1",",6,12,","14.2",",,6,09,","22.8",",6,02,","703.3",",,,6","4440.1","","247.5",",6","41.4",",,,6","10.35",",6","14.86",",,,6","5.84",",,,6","5363",",,,6"
"USC00474190","1938-06","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","6.6","","6.6",",6","13",",6","5",",6","1",",6","0",",6","0",",6","0",",6","13",",6","0",",6","5.0",",6,27,","41.1",",,6,22,","29.4",",6,22,","502.6",",,,6","4531.8","","91.7",",6","73.1",",,,6","15.50",",6","20.89",",,,6","10.10",",,,6","5036",",,,6"
"USC00474190","1938-07","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","48.8","","42.2","1,6","12",",6","5",",6","1",",6","0","1,6","0","1,6","0","1,6","24","1,6","0","1,6","7.8","1,6,15,","28.7",",,6,22,","31.7","1,6,31,","266.6","1,,,6","20.6","","20.6","1,6","65.0",",,,6","19.05","1,6","24.27","1,,,6","13.83","1,,,6","3600","1,,,6"
"USC00474190","1938-08","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","130.0","","81.2",",6","9",",6","5",",6","0",",6","0",",6","0",",6","0",",6","30",",6","1",",6","7.2",",6,25,","20.3",",,6,31,+","33.3",",6,15,","265.0",",,,6","36.4","","15.8",",6","92.8",",,,6","20.44",",6","26.20",",,,6","14.68",",,,6","4270",",,,6"
"USC00474190","1938-09","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","134.5","","4.5",",6","13",",6","8",",6","3",",6","0",",6","0",",6","0",",6","11",",6","0",",6","2.8",",6,16,","46.0",",,6,18,","27.2",",6,24,","346.6",",,,6","142.3","","105.9",",6","157.3",",,,6","14.95",",6","19.95",",,,6","9.96",",,,6","4659",",,,6"
"USC00474190","1938-10","44.466667","-87.5","179.5","KEWAUNEE EVAPORATION, WI US","138.1","","3.6",",6","6",",6","3",",6","0",",6","0",",6","2",",6","0",",6","3",",6","0",",6","-0.6",",6,25,","5.3",",,6,19,","28.9",",6,11,","444.9",",,,6","359.0","","216.7",",6","14.8",",,,6","11.46",",6","16.20",",,,6","6.72",",,,6","5306",",,,6"
