"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES"
"USC00087293","1941-06","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","12",",6","8",",6","0",",6","","","","","","","","","21.8",",,6,23,","","","78.6",",,,6","","","",""
"USC00087293","1941-07","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","21",",6","14",",6","4",",6","","","","","","","","","59.9",",,6,24,","","","274.5",",,,6","","","",""
"USC00087293","1941-08","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","10",",6","7",",6","1",",6","","","","","","","","","34.5",",,6,26,","","","112.2",",,,6","","","",""
"USC00087293","1941-09","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","17",",6","11",",6","3",",6","","","","","","","","","40.4",",,6,01,","","","210.8",",,,6","","","",""
"USC00087293","1941-10","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","10",",6","8",",6","2",",6","","","","","","","","","50.3",",,6,18,","","","129.3",",,,6","","","",""
"USC00087293","1941-11","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","10",",6","6",",6","1",",6","","","","","","","","","27.4",",,6,06,","","","64.2",",,,6","","","",""
"USC00087293","1941-12","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","10",",6","7",",6","0",",6","","","","","","","","","21.1",",,6,25,","","","75.6",",,,6","","","",""
"USC00087293","1942-01","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","5",",6","4",",6","0",",6","","","","","","","","","19.1",",,6,05,","","","35.6",",,,6","","","",""
"USC00087293","1942-02","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","5",",6","5",",6","1",",6","","","","","","","","","29.2",",,6,24,","","","80.5",",,,6","","","",""
"USC00087293","1942-03","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","13",",6","10",",6","2",",6","","","","","","","","","26.9",",,6,13,","","","129.8",",,,6","","","",""
"USC00087293","1942-04","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","5",",6","3",",6","1",",6","","","","","","","","","31.0",",,6,17,","","","45.5",",,,6","","","",""
"USC00087293","1942-05","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","11",",6","8",",6","3",",6","","","","","","","","","73.7",",,6,31,","","","194.5",",,,6","","","",""
"USC00087293","1942-06","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","10",",6","8",",6","3",",6","","","","","","","","","96.5",",,6,03,","","","194.7",",,,6","","","",""
"USC00087293","1942-07","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","15",",6","10",",6","2",",6","","","","","","","","","51.3",",,6,23,","","","133.2",",,,6","","","",""
"USC00087293","1942-08","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","14",",6","8",",6","2",",6","","","","","","","","","34.5",",,6,28,","","","149.3",",,,6","","","",""
"USC00087293","1942-09","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","10",",6","4",",6","1",",6","","","","","","","","","26.4",",,6,24,","","","44.8",",,,6","","","",""
"USC00087293","1942-10","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","1",",6","1",",6","0",",6","","","","","","","","","10.2",",,6,23,","","","10.2",",,,6","","","",""
"USC00087293","1942-11","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","5",",6","3",",6","0",",6","","","","","","","","","6.9",",,6,06,","","","20.1",",,,6","","","",""
"USC00087293","1942-12","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","8",",6","5",",6","0",",6","","","","","","","","","16.8",",,6,10,","","","42.5",",,,6","","","",""
"USC00087293","1943-01","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","1",",6","0",",6","0",",6","","","","","","","","","1.5",",,6,28,","","","1.5",",,,6","","","",""
"USC00087293","1943-02","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","2",",6","1",",6","0",",6","","","","","","","","","9.1",",,6,23,","","","10.1",",,,6","","","",""
"USC00087293","1943-03","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","6",",Z","3",",Z","1",",Z","","","","","","","","","31.0",",,Z,07,","","","53.9",",,,Z","","","",""
"USC00087293","1943-04","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","2",",6","2",",6","1",",6","","","","","","","","","69.9",",,6,18,","","","78.8",",,,6","","","",""
"USC00087293","1943-05","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","7",",6","4",",6","0",",6","","","","","","","","","16.8",",,6,26,","","","33.6",",,,6","","","",""
"USC00087293","1943-06","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","16",",6","16",",6","1",",6","","","","","","","","","25.4",",,6,22,","","","175.5",",,,6","","","",""
"USC00087293","1943-07","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","20",",6","16",",6","1",",6","","","","","","","","","53.8",",,6,08,","","","210.8",",,,6","","","",""
"USC00087293","1943-08","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","15",",6","11",",6","1",",6","","","","","","","","","48.3",",,6,15,","","","131.1",",,,6","","","",""
"USC00087293","1943-09","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","12",",6","10",",6","3",",6","","","","","","","","","45.5",",,6,21,","","","172.2",",,,6","","","",""
"USC00087293","1943-10","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","6",",6","3",",6","0",",6","","","","","","","","","21.1",",,6,02,","","","35.3",",,,6","","","",""
"USC00087293","1943-11","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","8",",6","6",",6","0",",6","","","","","","","","","19.8",",,6,16,","","","52.7",",,,6","","","",""
"USC00087293","1944-03","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","5",",6","5",",6","0",",6","","","","","","","","","20.8",",,6,30,","","","40.9",",,,6","","","",""
"USC00087293","1944-04","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","4",",6","3",",6","1",",6","","","","","","","","","69.6",",,6,03,","","","85.9",",,,6","","","",""
"USC00087293","1944-08","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","17",",6","10",",6","0",",6","","","","","","","","","22.4",",,6,23,","","","88.0",",,,6","","","",""
"USC00087293","1944-09","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","10",",6","7",",6","2",",6","","","","","","","","","79.5",",,6,16,","","","145.2",",,,6","","","",""
"USC00087293","1944-10","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","10",",6","8",",6","4",",6","","","","","","","","","46.5",",,6,17,","","","187.3",",,,6","","","",""
"USC00087293","1944-11","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","5",",6","1",",6","0",",6","","","","","","","","","3.0",",,6,20,","","","6.9",",,,6","","","",""
"USC00087293","1944-12","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","4",",6","0",",6","0",",6","","","","","","","","","1.5",",,6,21,","","","4.1",",,,6","","","",""
"USC00087293","1947-01","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","4",",6","0",",6","0",",6","","","","","","","","","1.3",",,6,21,+","","","3.9",",,,6","","","",""
"USC00087293","1947-02","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","7",",6","5",",6","1",",6","","","","","","","","","35.1",",,6,13,","","","54.9",",,,6","","","",""
"USC00087293","1947-03","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","8",",6","7",",6","3",",6","","","","","","","","","69.3",",,6,01,","","","228.5",",,,6","","","",""
"USC00087293","1947-04","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","4",",6","2",",6","1",",6","","","","","","","","","45.2",",,6,13,","","","64.3",",,,6","","","",""
"USC00087293","1947-05","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","13",",6","8",",6","1",",6","","","","","","","","","83.3",",,6,09,","","","147.7",",,,6","","","",""
"USC00087293","1947-08","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","12",",6","8",",6","1",",6","","","","","","","","","50.8",",,6,22,","","","145.7",",,,6","","","",""
"USC00087293","1947-09","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","17",",6","14",",6","6",",6","","","","","","","","","90.4",",,6,17,","","","362.8",",,,6","","","",""
"USC00087293","1947-10","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","16",",6","12",",6","2",",6","","","","","","","","","107.7",",,6,04,","","","263.0",",,,6","","","",""
"USC00087293","1947-12","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","3",",6","2",",6","0",",6","","","","","","","","","14.5",",,6,16,","","","22.9",",,,6","","","",""
"USC00087293","1948-01","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","8",",6","3",",6","1",",6","","","","","","","","","31.8",",,6,13,","","","76.1",",,,6","","","",""
"USC00087293","1948-02","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","0",",6","0",",6","0",",6","","","","","","","","","0.0",",,6,29,+","","","0.0",",,,6","","","",""
"USC00087293","1948-03","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","5",",6","4",",6","0",",6","","","","","","","","","18.0",",,6,04,","","","48.8",",,,6","","","",""
"USC00087293","1948-08","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","18",",0","13",",0","3",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","51.6",",,0,16,","111.0","2,,,0","196.0",",,,0","0",",,,0","",""
"USC00087293","1948-09","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","16",",0","13",",0","4",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","76.5",",,0,22,","","","268.6",",,,0","0",",,,0","",""
"USC00087293","1948-10","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","8",",0","4",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","23.6",",,0,05,","101.9","1,,,0","44.5",",,,0","0",",,,0","",""
"USC00087293","1948-11","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","4",",0","1",",0","0",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","3.3",",,0,29,","73.8","4,,,0","8.1",",,,0","0",",,,0","",""
"USC00087293","1948-12","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","1",",0","0",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","0.3",",,0,23,","69.7","2,,,0","0.3",",,,0","0",",,,0","",""
"USC00087293","1949-01","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","0",",0","0",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","70.6","4,,,0","0.0",",,,0","0",",,,0","",""
"USC00087293","1949-02","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","0",",0","0",",0","0",",0","0",",0","0",",0","0",",,0,28,+","0",",,0,28,+","0.0",",,0,28,+","94.5","3,,,0","0.0",",,,0","0",",,,0","",""
"USC00087293","1949-03","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","2",",0","0",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","0.5",",,0,15,+","138.5","2,,,0","1.0",",,,0","0",",,,0","",""
"USC00087293","1949-04","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","4",",0","2",",0","1",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","26.2",",,0,15,","147.7","3,,,0","41.0",",,,0","0",",,,0","",""
"USC00087293","1949-05","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","8",",0","5",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","21.8",",,0,04,","146.6","5,,,0","41.8",",,,0","0",",,,0","",""
"USC00087293","1949-06","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","19",",0","12",",0","3",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","65.3",",,0,11,","119.1","1,,,0","256.3",",,,0","0",",,,0","",""
"USC00087293","1949-07","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","19",",0","11",",0","1",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","30.7",",,0,10,","94.5","5,,,0","117.9",",,,0","0",",,,0","",""
"USC00087293","1949-08","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","15",",0","7",",0","3",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","94.0",",,0,26,","","","276.9",",,,0","0",",,,0","",""
"USC00087293","1949-09","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","14",",0","9",",0","2",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","38.4",",,0,29,","120.5",",,,0","171.6",",,,0","0",",,,0","",""
"USC00087293","1949-10","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","10",",0","5",",0","1",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","38.6",",,0,10,","80.7","3,,,0","77.4",",,,0","0",",,,0","",""
"USC00087293","1949-11","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","6",",0","3",",0","0",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","8.1",",,0,08,","75.8","2,,,0","21.3",",,,0","0",",,,0","",""
"USC00087293","1949-12","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","9",",0","4",",0","1",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","38.9",",,0,25,","53.7","5,,,0","71.1",",,,0","0",",,,0","",""
"USC00087293","1950-01","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","1",",0","0",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","0.5",",,0,07,","","","0.5",",,,0","0",",,,0","",""
"USC00087293","1950-02","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","5",",0","3",",0","0",",0","0",",0","0",",0","0",",,0,28,+","0",",,0,28,+","22.1",",,0,11,","","","41.7",",,,0","0",",,,0","",""
"USC00087293","1950-03","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","8",",0","4",",0","1",",0","","","","","","","","","66.8",",,0,21,","","","119.4",",,,0","","","",""
"USC00087293","1950-04","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","3",",0","2",",0","0",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","4.1",",,0,06,","196.9","1,,,0","8.4",",,,0","0",",,,0","",""
"USC00087293","1950-05","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","5",",0","4",",0","2",",0","","","","","","","","","60.5",",,0,22,","","","118.2",",,,0","","","",""
"USC00087293","1950-06","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","2","4,0","2","4,0","0","4,0","","","","","","","","","13.5","4,,0,29,","","","19.6","4,,,0","","","",""
"USC00087293","1950-07","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","16",",0","8",",0","3",",0","","","","","","","","","49.5",",,0,10,","141.7",",,,0","191.6",",,,0","","","",""
"USC00087293","1950-08","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","14",",0","10",",0","0",",0","","","","","","","","","21.1",",,0,27,","126.2","2,,,0","124.5",",,,0","","","",""
"USC00087293","1950-09","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","7",",0","4",",0","2",",0","","","","","","","","","30.5",",,0,03,","150.2",",,,0","72.2",",,,0","","","",""
"USC00087293","1950-10","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","16",",0","9",",0","4",",0","","","","","","","","","57.4",",,0,18,","91.7","2,,,0","243.0",",,,0","","","",""
"USC00087293","1950-11","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","5",",0","3",",0","0",",0","","","","","","","","","17.8",",,0,20,","86.3","2,,,0","37.5",",,,0","","","",""
"USC00087293","1950-12","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","8",",0","1",",0","0",",0","","","","","","","","","9.7",",,0,07,","64.2","1,,,0","16.7",",,,0","","","",""
"USC00087293","1951-01","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","0",",0","0",",0","0",",0","","","","","","","","","0.0",",,0,31,+","86.4","3,,,0","0.0",",,,0","","","",""
"USC00087293","1951-02","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","3",",0","2",",0","1",",0","","","","","","","","","32.3",",,0,02,","104.1","1,,,0","44.5",",,,0","","","",""
"USC00087293","1951-03","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","6",",0","2",",0","0",",0","","","","","","","","","11.4",",,0,30,","","","17.3",",,,0","","","",""
"USC00087293","1951-04","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","8",",0","6",",0","1",",0","","","","","","","","","37.8",",,0,19,","144.9","4,,,0","119.8",",,,0","","","",""
"USC00087293","1951-05","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","4",",0","2",",0","1",",0","","","","","","","","","31.2",",,0,27,","196.4","4,,,0","40.4",",,,0","","","",""
"USC00087293","1951-06","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","13",",0","9",",0","3",",0","","","","","","","","","93.2",",,0,21,","196.1","4,,,0","268.9",",,,0","","","",""
"USC00087293","1951-07","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","16",",0","12",",0","2",",0","","","","","","","","","50.5",",,0,25,","121.1","3,,,0","172.3",",,,0","","","",""
"USC00087293","1951-08","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","14",",0","11",",0","3",",0","","","","","","","","","49.8",",,0,29,","158.3",",,,0","181.0",",,,0","","","",""
"USC00087293","1951-10","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","11",",0","8",",0","2",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","148.3",",,0,02,","101.9","2,,,0","223.0",",,,0","0",",,,0","",""
"USC00087293","1951-11","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","5",",0","2",",0","1",",0","0",",0","0",",0","0",",,0,30,+","0",",,0,30,+","32.3",",,0,17,","97.7","2,,,0","45.8",",,,0","0",",,,0","",""
"USC00087293","1951-12","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","2",",0","0",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","0.8",",,0,27,","85.6","1,,,0","1.3",",,,0","0",",,,0","",""
"USC00087293","1952-01","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","3",",0","2",",0","0",",0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","16.5",",,0,29,","91.3",",,,0","25.1",",,,0","0",",,,0","",""
"USC00087293","1952-02","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","8",",0","5",",0","1",",0","","","","","","","","","64.0",",,0,03,","108.9",",,,0","103.0",",,,0","","","",""
"USC00087293","1952-03","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","2",",0","2",",0","0",",0","","","","","","","","","19.1",",,0,27,","149.5","1,,,0","31.3",",,,0","","","",""
"USC00087293","1952-04","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","5",",0","4",",0","0",",0","","","","","","","","","16.0",",,0,02,","198.9","2,,,0","38.1",",,,0","","","",""
"USC00087293","1952-05","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","8",",0","7",",0","1",",0","","","","","","","","","26.9",",,0,31,","188.9","3,,,0","87.3",",,,0","","","",""
"USC00087293","1952-06","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","8",",0","4",",0","1",",0","","","","","","","","","37.8",",,0,03,","157.7","4,,,0","81.4",",,,0","","","",""
"USC00087293","1952-07","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","10",",0","7",",0","2",",0","","","","","","","","","76.2",",,0,03,","158.3","2,,,0","154.5",",,,0","","","",""
"USC00087293","1952-08","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","10",",0","8",",0","2",",0","","","","","","","","","30.2",",,0,06,","159.5","2,,,0","140.1",",,,0","","","",""
"USC00087293","1952-09","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","8",",0","6",",0","3",",0","","","","","","","","","57.2",",,0,09,","","","146.4",",,,0","","","",""
"USC00087293","1952-10","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","18",",0","14",",0","4",",0","","","","","","","","","94.0",",,0,01,","93.2","2,,,0","341.1",",,,0","","","",""
"USC00087293","1952-11","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","1",",0","1",",0","0",",0","","","","","","","","","5.1",",,0,21,","118.7","1,,,0","5.1",",,,0","","","",""
"USC00087293","1952-12","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","2",",0","2",",0","0",",0","","","","","","","","","5.6",",,0,15,","112.0","2,,,0","10.7",",,,0","","","",""
"USC00087293","1953-01","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","3",",0","2",",0","0",",0","","","","","","","","","19.6",",,0,24,","108.0","2,,,0","35.6",",,,0","","","",""
"USC00087293","1953-02","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","4",",0","3",",0","0",",0","","","","","","","","","19.8",",,0,03,","115.7","1,,,0","40.2",",,,0","","","",""
"USC00087293","1953-03","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","5",",0","3",",0","0",",0","","","","","","","","","11.9",",,0,14,","48.4","2,,,0","35.7",",,,0","","","1232","2,,,0"
"USC00087293","1953-04","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","6",",0","4",",0","1",",0","","","","","","","","","53.8",",,0,14,","184.3","2,,,0","84.5",",,,0","","","442",",,,0"
"USC00087293","1953-05","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","3",",0","3",",0","0",",0","","","","","","","","","17.0",",,0,22,","218.0","3,,,0","33.3",",,,0","","","286","1,,,0"
"USC00087293","1953-06","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","14",",0","12",",0","5",",0","","","","","","","","","62.2",",,0,06,","146.5","4,,,0","340.0",",,,0","","","5070","1,,,0"
"USC00087293","1953-07","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","10","3,0","7","3,0","4","3,0","","","","","","","","","60.5","3,,0,19,","150.9","3,,,0","224.1","3,,,0","","","193","3,,,0"
"USC00087293","1953-08","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","12","1,0","11","1,0","4","1,0","0",",0","0",",0","0",",,0,31,+","0",",,0,31,+","55.4","1,,0,31,","144.7","1,,,0","247.4","1,,,0","0",",,,0","129","3,,,0"
"USC00087293","1953-09","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","","","","","","","","","","","","","","","","","82.0","3,,,0","","","","","",""
"USC00087293","1953-10","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","7","4,0","7","4,0","1","4,0","","","","","","","","","30.7","4,,0,08,","89.2","4,,,0","89.1","4,,,0","","","",""
"USC00087293","1953-11","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","4","3,0","4","3,0","0","3,0","","","","","","","","","8.9","3,,0,25,","87.4","1,,,0","18.2","3,,,0","","","",""
"USC00087293","1953-12","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","3","1,0","1","1,0","0","1,0","","","","","","","","","11.2","1,,0,05,","70.2","1,,,0","13.2","1,,,0","","","293",",,,0"
"USC00087293","1954-01","26.98333","-80.61667","11.9","PORT MAYACA S L CNL, FL US","0",",0","0",",0","0",",0","","","","","","","","","0.0",",,0,31,+","75.8",",,,0","0.0",",,,0","","","187","2,,,0"
