"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYHF","DYHF_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF1","WDF1_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WDFM","WDFM_ATTRIBUTES","WSF1","WSF1_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WSFM","WSFM_ATTRIBUTES"
"USW00094850","1962-06","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","28.1","0","4.2",",0","10",",0","3",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","20",",0","0",",0","12","","","","4","","-2.2",",0,03,","0",",,0,30,+","0",",,0,30,+","8.6",",,0,24,","30.0",",0,28,","","","140.8",",0","24.3",",,,0","","","0",",,,0","13.78",",0","21.21",",,,0","6.35",",,,0","","","","","","","","","","","","","",""
"USW00094850","1962-07","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","40.3","0","12.2",",0","9",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","0",",0","10","","","","1","","2.2",",0,01,","0",",,0,31,+","0",",,0,31,+","6.9",",,0,10,","29.4",",0,07,","88.6","0","88.6",",0","31.7",",,,0","","","0",",,,0","15.87",",0","22.62",",,,0","9.12",",,,0","","","","","","","","","","","","","",""
"USW00094850","1962-08","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","58.4","0","18.1",",0","11",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","22",",0","0",",0","15","","","","3","","2.8",",0,18,+","0",",,0,31,+","0",",,0,31,+","38.1",",,0,03,","30.6",",0,28,+","168.0","0","79.4",",0","108.5",",,,0","","","0",",,,0","16.36",",0","23.01",",,,0","9.71",",,,0","","","","","","","","","","","","","",""
"USW00094850","1962-09","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","59.5","0","1.1",",0","11",",0","8",",0","1",",0","0",",0","0",",0","0",",0","9",",0","0",",0","6",",0","0",",0","18","","","","2","","-1.7",",0,29,+","0",",,0,30,+","0",",,0,30,+","29.7",",,0,19,","25.0",",0,02,","416.3","0","248.3",",0","103.4",",,,0","","","0",",,,0","10.09",",0","15.65",",,,0","4.54",",,,0","","","","","","","","","","","","","",""
"USW00094850","1962-10","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","61.2","0","1.7",",0","10",",0","8",",0","0",",0","5",",0","","","0",",0","11",",0","1",",0","3",",0","0",",0","11","","","","2","","-6.7",",0,26,","76",",,0,26,+","","","17.3",",,0,03,","23.9",",0,15,+","763.1","0","346.8",",0","59.0",",,,0","","","","","7.20",",0","11.94",",,,0","2.46",",,,0","","","","","","","","","","","","","",""
"USW00094850","1962-11","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","61.2","0","0.0",",0","11",",0","3",",0","0",",0","20",",0","2",",0","0",",0","26",",0","8",",0","0",",0","0",",0","12","","","","","","-10.0",",0,24,+","76",",,0,06,+","56",",,0,04,","5.6",",,0,04,","12.8",",0,30,","1321.1","0","558.0",",0","20.8",",,,0","","","107",",,,0","-0.27",",0","3.14",",,,0","-3.67",",,,0","","","","","","","","","","","","","",""
"USW00094850","1962-12","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","61.2","0","0.0",",0","16","1,0","7","1,0","0","1,0","27","1,0","","","13",",0","29",",0","24",",0","0",",0","0",",0","4","","","","","","-26.1",",0,26,","229","1,,0,30,+","","","7.9","1,,0,04,","12.8",",0,03,","2155.2","0","834.1",",0","38.6","1,,,0","","","","","-8.57",",0","-4.28",",,,0","-12.87",",,,0","","","","","","","","","","","","","",""
"USW00094850","1963-01","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","6","2,0","1","2,0","1","2,0","30","1,0","1","3,0","19",",0","31",",0","29",",0","0",",0","0",",0","11","","","","","","-34.4",",0,26,","737","1,,0,31,+","305","3,,0,12,","26.4","2,,0,12,","1.1",",0,08,","3213.8","0","1058.6",",0","31.0","2,,,0","","","349","3,,,0","-15.81",",0","-11.09",",,,0","-20.54",",,,0","","","","","","","","","","","","","",""
"USW00094850","1963-02","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","10","2,0","2","2,0","0","2,0","23","5,0","2","2,0","18",",0","28",",0","28",",0","0",",0","0",",0","7","","","","","","-32.2",",0,26,","762","5,,0,28,+","64","2,,0,20,","6.4","2,,0,20,","-1.1",",0,06,","4135.9","0","922.1",",0","16.4","2,,,0","","","164","2,,,0","-14.60",",0","-8.47",",,,0","-20.73",",,,0","","","","","","","","","","","","","",""
"USW00094850","1963-03","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","7","3,0","3","3,0","0","3,0","29","2,","","","9",",0","29",",0","13",",0","0",",0","0",",0","5","","","","","","-26.7",",0,09,","711","2,,0,03,+","","","15.0","3,,0,19,","15.6",",0,31,","4870.8","0","734.9",",0","24.2","3,,,0","","","","","-5.37",",0","1.47",",,,0","-12.22",",,,0","","","","","","","","","","","","","",""
"USW00094850","1963-04","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","3","1,0","2","1,0","0","1,0","","","","","0",",0","24",",0","1",",0","0",",0","0",",0","7","","","","1","","-8.9",",0,04,","","","","","16.3","1,,0,02,","20.0",",0,28,","5313.8","0","443.0",",0","30.6","1,,,0","","","","","3.57",",0","10.00",",,,0","-2.87",",,,0","","","","","","","","","","","","","",""
"USW00094850","1963-05","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","12",",0","6",",0","0",",0","1",",0","0",",0","0",",0","13",",0","0",",0","7",",0","0",",0","11","","","","5","","-6.7",",0,01,","25",",,0,01,","0",",T,0,22,+","16.5",",,0,24,","27.2",",0,31,","5617.6","0","303.8",",0","48.1",",,,0","","","0",",T,,0","8.53",",0","15.23",",,,0","1.83",",,,0","","","","","","","","","","","","","",""
"USW00094850","1963-06","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","43.5","0","43.5",",0","13",",0","9",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","22",",0","1",",0","14","","","","7","","1.1",",0,21,","0",",,0,30,+","0",",,0,30,+","30.5",",,0,07,","37.2",",0,30,","5714.2","0","96.6",",0","127.0",",,,0","","","0",",,,0","16.56",",0","23.56",",,,0","9.56",",,,0","","","","","","","","","","","","","",""
"USW00094850","1963-07","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","108.5","0","65.0",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","25",",0","1",",0","9","","","","4","","3.3",",0,04,","0",",,0,31,+","0",",,0,31,+","19.3",",,0,17,","35.0",",0,01,","47.5","0","47.5",",0","53.6",",,,0","","","0",",,,0","18.90",",0","25.52",",,,0","12.27",",,,0","","","","","","","","","","","","","",""
"USW00094850","1963-08","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","128.4","0","19.9",",0","9",",0","6",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","17",",0","0",",0","13","","","","3","","1.1",",0,31,","0",",,0,31,+","0",",,0,31,+","26.7",",,0,16,","30.0",",0,06,","148.8","0","101.3",",0","65.5",",,,0","","","0",",,,0","15.71",",0","21.66",",,,0","9.75",",,,0","","","","","","","","","","","","","",""
"USW00094850","1963-09","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","128.4","0","0.0",",0","7",",0","5",",0","0",",0","0",",0","0",",0","0",",0","3",",0","0",",0","13",",0","0",",0","15","","","","2","","-2.2",",0,23,+","0",",,0,30,+","0",",T,0,20,","19.6",",,0,06,","26.1",",0,10,+","337.6","0","188.8",",0","50.9",",,,0","","","0",",T,,0","12.04",",0","17.96",",,,0","6.12",",,,0","","","","","","","","","","","","","",""
"USW00094850","1963-10","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","130.9","0","2.5",",0","7",",0","4",",0","0",",0","0",",0","0",",0","0",",0","8",",0","0",",0","13",",0","0",",0","14","","","","1","","-3.3",",0,12,","0",",,0,31,+","0",",T,0,28,","10.4",",,0,28,","26.7",",0,01,","539.0","0","201.4",",0","24.4",",,,0","","","0",",T,,0","11.92",",0","18.62",",,,0","5.22",",,,0","","","","","","","","","","","","","",""
"USW00094850","1963-11","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","130.9","0","0.0",",0","14",",0","9",",0","0",",0","5",",0","5",",0","0",",0","22",",0","4",",0","0",",0","0",",0","16","","","","2","","-13.3",",0,24,","76",",,0,03,+","86",",,0,01,","8.9",",,0,22,","13.3",",0,06,","1045.8","0","506.8",",0","57.4",",,,0","","","296",",,,0","1.44",",0","5.31",",,,0","-2.43",",,,0","","","","","","","","","","","","","",""
"USW00094850","1963-12","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","130.9","0","0.0",",0","15",",0","7",",0","0",",0","31",",0","6",",0","15",",0","31",",0","28",",0","0",",0","0",",0","6","","","","","","-27.8",",0,30,","508",",,0,31,+","112",",,0,14,","11.2",",,0,14,","3.3",",0,08,+","1951.4","0","905.6",",0","49.8",",,,0","","","454",",,,0","-10.88",",0","-5.99",",,,0","-15.77",",,,0","","","","","","","","","","","","","",""
"USW00094850","1964-01","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","9",",0","2",",0","0",",0","31",",0","2",",0","4",",0","31",",0","21",",0","0",",0","0",",0","10","","","","","","-22.8",",0,13,","508",",,0,01,","163",",,0,24,","16.3",",,0,24,","5.0",",0,22,","2718.5","0","767.1",",0","26.6",",,,0","","","266",",,,0","-6.41",",0","-2.23",",,,0","-10.60",",,,0","","","","","","","","","","","","","",""
"USW00094850","1964-02","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","11",",0","6",",0","0",",0","25","4,0","5","2,0","10",",0","29",",0","24",",0","0",",0","0",",0","11","","","","","","-27.8",",0,10,","813","4,,0,28,+","122","2,,0,19,","12.2",",,0,19,","8.3",",0,29,","3506.6","0","788.1",",0","39.4",",,,0","","","340","2,,,0","-8.84",",0","-2.67",",,,0","-15.02",",,,0","","","","","","","","","","","","","",""
"USW00094850","1964-03","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","15",",0","4",",0","0",",0","29","2,0","4","1,0","12",",0","31",",0","21",",0","0",",0","0",",0","7","","","","","","-23.3",",0,06,","686","2,,0,12,+","132","1,,0,06,","13.2",",,0,06,","10.0",",0,02,","4305.3","0","798.7",",0","46.2",",,,0","","","457","1,,,0","-7.43",",0","-1.31",",,,0","-13.55",",,,0","","","","","","","","","","","","","",""
"USW00094850","1964-04","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","13",",0","8",",0","0",",0","16",",0","2",",0","2",",0","18",",0","2",",0","1",",0","0",",0","10","","","","1","","-20.6",",0,04,+","584",",,0,01,","51",",,0,07,","16.8",",,0,27,","21.1",",0,17,","4757.8","0","452.5",",0","69.8",",,,0","","","92",",,,0","3.25",",0","9.14",",,,0","-2.65",",,,0","","","","","","","","","","","","","",""
"USW00094850","1964-05","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","14.7","0","14.7",",0","11",",0","7",",0","1",",0","0",",0","0",",0","0",",0","6",",0","0",",0","12",",0","1",",0","9","","","","5","","-2.8",",0,20,+","0",",,0,31,+","0",",,0,31,+","26.2",",,0,23,","33.9",",0,22,","4956.7","0","198.9",",0","84.8",",,,0","","","0",",,,0","12.39",",0","19.01",",,,0","5.78",",,,0","","","","","","","","","","","","","",""
"USW00094850","1964-06","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","41.9","0","27.2",",0","14",",0","5",",0","1",",0","0",",0","0",",0","0",",0","6",",0","0",",0","17",",0","3",",0","11","","","","5","","-3.9",",0,04,","0",",,0,30,+","0",",,0,30,+","30.5",",,0,09,","32.8",",0,29,+","5100.9","0","144.2",",0","54.8",",,,0","","","0",",,,0","14.43",",0","22.09",",,,0","6.77",",,,0","","","","","","","","","","","","","",""
"USW00094850","1964-07","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","100.4","0","58.5",",0","7",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","2",",0","9","","","","8","","4.4",",0,05,","0",",,0,31,+","0",",,0,31,+","61.7",",,0,24,","32.8",",0,16,","36.1","0","36.1",",0","102.7",",,,0","","","0",",,,0","19.06",",0","25.51",",,,0","12.60",",,,0","","","","","","","","","","","","","",""
"USW00094850","1964-08","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","118.2","0","17.8",",0","14",",0","9",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","16","","","","3","","1.7",",0,09,","0",",,0,31,+","0",",,0,31,+","30.0",",,0,21,","30.6",",0,02,","166.1","0","130.0",",0","130.8",",,,0","","","0",",,,0","14.71",",0","19.91",",,,0","9.52",",,,0","","","","","","","","","","","","","",""
"USW00094850","1964-09","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","121.3","0","3.1",",0","14",",0","8",",0","1",",0","0",",0","0",",0","0",",0","6",",0","0",",0","5",",0","0",",0","15","","","","4","","-3.9",",0,28,","0",",,0,30,+","0",",T,0,27,+","34.0",",,0,23,","26.7",",0,03,","377.6","0","211.5",",0","103.8",",,,0","","","0",",T,,0","11.39",",0","16.19",",,,0","6.58",",,,0","","","","","","","","","","","","","",""
"USW00094850","1964-10","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","121.3","0","0.0",",0","11",",0","5",",0","0",",0","3",",0","0","2,0","0",",0","15",",0","1",",0","4",",0","0",",0","11","","","","","","-4.4",",0,23,+","51",",,0,10,+","18","2,,0,07,","11.4",",,0,07,","23.9",",0,14,","747.8","0","370.2",",0","37.7",",,,0","","","39","2,,,0","6.39",",0","11.64",",,,0","1.15",",,,0","","","","","","","","","","","","","",""
"USW00094850","1964-11","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","121.3","0","0.0",",0","11",",0","5",",0","0",",0","11",",0","","","1",",0","22",",0","10",",0","0",",0","0",",0","12","","","","2","","-18.3",",0,30,","254",",,0,30,","","","12.2",",,0,11,","17.2",",0,08,","1295.9","0","548.1",",0","47.5",",,,0","","","","","0.06",",0","4.24",",,,0","-4.12",",,,0","","","","","","","","","","","","","",""
"USW00094850","1964-12","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","121.3","0","0.0",",0","21",",0","1",",0","0",",0","31",",0","","","8",",0","31",",0","28",",0","0",",0","0",",0","11","","","","","","-25.0",",0,28,","533",",,0,31,","","","14.2",",,0,23,","1.7",",0,12,+","2147.6","0","851.7",",0","38.6",",,,0","","","","","-9.14",",0","-5.36",",,,0","-12.92",",,,0","","","","","","","","","","","","","",""
"USW00094850","1965-01","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","15",",0","2",",0","0",",0","31",",0","","","13",",0","31",",0","28",",0","0",",0","0",",0","10","","3","","","","-34.4",",0,15,","635",",,0,04,+","","","4.6",",,0,18,","3.3",",0,21,","3094.0","0","946.4",",0","15.9",",,,0","","","","","-12.20",",0","-7.38",",,,0","-17.01",",,,0","","","","","","","","","","","","","",""
"USW00094850","1965-02","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","11",",0","3",",0","0",",0","28",",0","","","10",",0","28",",0","22",",0","0",",0","0",",0","5","","2","","","","-28.9",",0,04,","1270",",,0,15,+","","","24.4",",,0,12,","3.9",",0,07,","3945.6","0","851.6",",0","41.8",",,,0","","","","","-12.08",",0","-6.52",",,,0","-17.65",",,,0","","","","","","","","","","","","","",""
"USW00094850","1965-03","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","15",",0","4",",0","0",",0","30","1,0","","","11",",0","31",",0","23",",0","0",",0","0",",0","10","","","","","","-28.9",",0,24,","914","1,,0,30,+","","","11.4",",,0,18,+","5.0",",0,02,","4774.9","0","829.3",",0","42.3",",,,0","","","","","-8.42",",0","-3.09",",,,0","-13.75",",,,0","","","","","","","","","","","","","",""
"USW00094850","1965-04","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","0.0","0","0.0",",0","10",",0","7",",0","0",",0","28",",0","","","0",",0","28",",0","1",",0","1",",0","0",",0","16","","5","","","","-15.0",",0,02,","914",",,0,02,+","","","8.6",",,0,06,","24.4",",0,29,","5281.0","0","506.1",",0","38.2",",,,0","","","","","1.46",",0","6.57",",,,0","-3.65",",,,0","","","","","","","","","","","","","",""
"USW00094850","1965-05","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","5.4","0","5.4",",0","12",",0","8",",0","1",",0","0",",0","0",",0","0",",0","5",",0","0",",0","10",",0","0",",0","11","","5","","5","","-2.8",",0,29,","0",",,0,31,+","0",",T,0,28,","26.9",",,0,07,","30.6",",0,25,","5491.5","0","210.5",",0","94.3",",,,0","","","0",",T,,0","11.72",",0","18.31",",,,0","5.13",",,,0","","","","","","","","","","","","","",""
"USW00094850","1965-06","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","16.2","0","10.8",",0","9",",0","5",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","14",",0","0",",0","9","","5","","3","","-1.1",",0,15,","0",",,0,30,+","0",",,0,30,+","13.5",",,0,27,","31.1",",0,27,","5623.3","0","131.8",",0","37.0",",,,0","","","0",",,,0","14.30",",0","21.15",",,,0","7.45",",,,0","","","","","","","","","","","","","",""
"USW00094850","1965-07","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","32.6","0","16.4",",0","8",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","20",",0","0",",0","11","","2","","4","","2.2",",0,06,","0",",,0,31,+","0",",,0,31,+","18.3",",,0,04,","29.4",",0,04,","91.8","0","91.8",",0","57.2",",,,0","","","0",",,,0","15.90",",0","22.35",",,,0","9.45",",,,0","","","","","","","","","","","","","",""
"USW00094850","1965-08","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","57.2","0","24.6",",0","14",",0","9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","16",",0","1",",0","15","","6","","7","","3.3",",0,29,","0",",,0,31,+","0",",,0,31,+","16.8",",,0,03,","35.0",",0,14,","196.0","0","104.2",",0","77.0",",,,0","","","0",",,,0","15.76",",0","21.58",",,,0","9.95",",,,0","","","","","","","","","","","","","",""
"USW00094850","1965-09","46.5313","-87.5491","431.3","MARQUETTE WEATHER SERVICE OFFICE AIRPORT, MI US","57.8","0","0.6",",0","19",",0","11",",0","0",",0","0",",0","0",",0","0",",0","4",",0","0",",0","2",",0","0",",0","16","","7","","5","","-6.1",",0,27,","0",",,0,30,+","0",",T,0,26,+","23.1",",,0,21,","23.9",",0,09,+","449.3","0","253.3",",0","133.9",",,,0","","","0",",T,,0","9.91",",0","14.40",",,,0","5.42",",,,0","","","","","","","","","","","","","",""
