"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DP1X","DP1X_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","DYFG","DYFG_ATTRIBUTES","DYTS","DYTS_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","EVAP","EVAP_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","MNPN","MNPN_ATTRIBUTES","MXPN","MXPN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDFG","WDFG_ATTRIBUTES","WDMV","WDMV_ATTRIBUTES","WSFG","WSFG_ATTRIBUTES"
"USC00145210","1974-04","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","","","6",",0","5",",0","0",",0","0",",0","0",",0","0",",0","6",",0","","","","","","","","","","","-2.2",",0,05,","0",",,0,30,+","0",",,0,30,+","15.2",",,0,08,","","","","","","","","","","","","","40.0",",,,0","0",",,,0","","","","","5.66",",,,0","","","8077",",,,0","",""
"USC00145210","1974-05","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","26.5",",0","9",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","24",",0","0",",0","","","","","5.0",",0,04,","0",",,0,31,+","0",",,0,31,+","33.0",",,0,14,","30.6",",0,31,+","212.9",",,,0","","","63.1",",0","15.33",",,,0","21.44",",,,0","66.3",",,,0","0",",,,0","17.15",",0","22.81",",,,0","11.49",",,,0","","","5640",",,,0","",""
"USC00145210","1974-06","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","52.8",",0","0","3,0","0","3,0","0","3,0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","4",",0","","","","","8.9",",0,25,+","0",",,0,30,+","0",",,0,30,+","0.0","3,,0,30,+","35.6",",0,22,","197.5","3,,,0","","","48.6",",0","16.37",",,,0","23.08",",,,0","0.0","3,,,0","0",",,,0","18.47",",0","23.28",",,,0","13.67",",,,0","","","4709",",,,0","",""
"USC00145210","1974-07","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","230.8","1,0","0",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","23",",0","","","","","12.2","1,0,30,","0",",,0,31,+","0",",,0,31,+","0.0",",,0,31,+","38.9",",0,29,+","365.6",",,,0","0.0","0","0.0",",0","20.25",",,,0","26.98",",,,0","0.0",",,,0","0",",,,0","26.04","1,0","33.78",",,,0","18.30","1,,,0","","","4672",",,,0","",""
"USC00145210","1974-08","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","130.2","2,0","11",",0","8",",0","3",",0","0",",0","0",",0","0","2,0","0","2,0","0","1,0","28","1,0","4","1,0","","","","","9.4","2,0,04,","0",",,0,31,+","0",",,0,31,+","64.8",",,0,18,","34.4","1,0,01,","178.3","3,,,0","5.3","0","5.3","1,0","18.15",",,,0","23.92",",,,0","171.8",",,,0","0",",,,0","22.68","2,0","28.39","1,,,0","16.97","2,,,0","","","4495",",,,0","",""
"USC00145210","1974-09","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","21.6","3,0","5",",0","5",",0","2",",0","0",",0","0",",0","0","3,0","0","3,0","0",",0","18",",0","0",",0","","","","","3.3","3,0,29,","0",",,0,30,+","0",",,0,30,+","49.5",",,0,01,","29.4",",0,19,+","110.0","2,,,0","84.4","0","79.1",",0","11.63",",,,0","18.77",",,,0","86.3",",,,0","0",",,,0","16.17","3,0","22.15",",,,0","10.18","3,,,0","","","3979",",,,0","",""
"USC00145210","1974-10","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","3.9",",0","10",",0","6",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","","","","","2.2",",0,16,+","0",",,0,31,+","0",",,0,31,+","62.2",",,0,05,","25.6",",0,11,","90.9","4,,,0","213.3","0","128.9",",0","9.26",",,,0","15.05",",,,0","178.3",",,,0","0",",,,0","14.30",",0","19.93",",,,0","8.67",",,,0","","","4962",",,,0","",""
"USC00145210","1974-11","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","0.0","1,0","7",",0","4",",0","1",",0","0",",0","0",",0","0","1,0","13","1,0","1",",0","1",",0","0",",0","","","","","-5.0","1,0,30,+","0",",,0,30,+","0",",T,0,30,+","42.9",",,0,03,","21.1",",0,02,","","","567.7","0","354.4",",0","","","","","61.0",",,,0","0",",T,,0","6.26","1,0","11.47",",,,0","1.05","1,,,0","","","","","",""
"USC00145210","1974-12","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","","","0.0",",0","7",",0","4",",0","0",",0","0",",0","0","1,0","0",",0","29",",0","3",",0","0",",0","0",",0","","","","","-10.0",",0,08,","0",",,0,31,+","0","1,T,0,25,+","11.9",",,0,11,","14.4",",0,23,","","","1117.5","0","549.8",",0","","","","","42.2",",,,0","0","1,T,,0","0.60",",0","5.36",",,,0","-4.17",",,,0","","","","","",""
"USC00145210","1975-01","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","0.0","0","0.0","1,0","8",",0","6",",0","1",",0","","","0","2,0","0","1,0","28","1,0","3",",0","0",",0","0",",0","","","","","-16.1","1,0,12,","","","0","2,,0,31,+","26.7",",,0,31,","13.3",",0,10,","","","1673.9","0","556.4",",0","","","","","53.8",",,,0","0","2,,,0","-0.16","1,0","5.21",",,,0","-5.54","1,,,0","","","","","",""
"USC00145210","1975-02","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","0.0","0","0.0","1,0","5",",0","5",",0","0",",0","10",",0","3",",0","2","1,0","27","1,0","15",",0","0",",0","0",",0","","","","","-17.8","1,0,10,+","127",",,0,18,","76",",,0,23,","18.3",",,0,17,","10.0",",0,28,","","","2240.5","0","566.6",",0","","","","","38.2",",,,0","186",",,,0","-2.49","1,0","1.25",",,,0","-6.23","1,,,0","","","","","",""
"USC00145210","1975-03","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","0.0","0","0.0",",0","5",",0","5",",0","0",",0","7",",0","1",",0","0",",0","23",",0","4",",0","4",",0","0",",0","","","","","-13.3",",0,14,","178",",,0,10,","178",",,0,10,","21.6",",,0,10,","22.8",",0,24,","","","2723.8","0","483.3",",0","","","","","66.0",",,,0","178",",,,0","2.74",",0","8.67",",,,0","-3.18",",,,0","","","","","",""
"USC00145210","1975-04","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","12.2","0","12.2","1,0","7","1,0","6","1,0","0","1,0","0",",0","0","1,0","0","1,0","6","1,0","1",",0","13",",0","0",",0","","","","","-9.4","1,0,03,","0",",,0,30,+","0","1,T,0,03,","19.1","1,,0,14,","29.4",",0,24,","","","2940.7","0","216.9",",0","","","","","53.5","1,,,0","0","1,T,,0","11.37","1,0","17.82",",,,0","4.92","1,,,0","","","6469",",,,0","",""
"USC00145210","1975-05","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","59.8","0","47.6",",0","9",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","0",",0","","","","","5.0",",0,01,","0",",,0,31,+","0",",,0,31,+","58.4",",,0,23,","31.7",",0,23,+","184.5","1,,,0","2978.9","0","38.2",",0","","","","","114.3",",,,0","0",",,,0","18.63",",0","24.55",",,,0","12.72",",,,0","","","4794",",,,0","",""
"USC00145210","1975-06","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","193.2","0","133.4",",0","6",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","1",",0","","","","","9.4",",0,02,","0",",,0,30,+","0",",,0,30,+","110.5",",,0,17,","32.2",",0,29,","200.0","1,,,0","2985.3","0","6.4",",0","","","","","215.9",",,,0","0",",,,0","22.57",",0","27.77",",,,0","17.36",",,,0","","","4062","2,,,0","",""
"USC00145210","1975-07","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","435.8","0","242.6",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","21",",0","","","","","13.9",",0,12,","0",",,0,31,+","0",",,0,31,+","4.6",",,0,30,","36.7",",0,29,","279.1",",,,0","0.0","0","0.0",",0","","","","","4.6",",,,0","0",",,,0","26.16",",0","32.57",",,,0","19.75",",,,0","","","3724",",,,0","",""
"USC00145210","1975-08","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","676.4","0","240.6",",0","7",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","17",",0","","","","","16.1",",0,04,","0",",,0,31,+","0",",,0,31,+","79.2",",,0,29,","38.9",",0,12,","258.2","1,,,0","0.0","0","0.0",",0","","","","","178.5",",,,0","0",",,,0","26.10",",0","32.48",",,,0","19.71",",,,0","","","4934",",,,0","",""
"USC00145210","1975-09","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","735.2","0","58.8",",0","11",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","19",",0","3",",0","","","","","4.4",",0,27,+","0",",,0,30,+","0",",,0,30,+","19.6",",,0,19,","35.0",",0,02,","130.2",",,,0","69.5","0","69.5",",0","","","","","47.1",",,,0","0",",,,0","17.98",",0","24.15",",,,0","11.81",",,,0","","","3474",",,,0","",""
"USC00145210","1975-10","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","755.5","0","20.3",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","2",",0","0",",0","17",",0","1",",0","","","","","-1.7",",0,25,","0",",,0,31,+","0",",,0,31,+","23.4",",,0,01,","32.2",",0,12,","154.0",",,,0","213.2","0","143.7",",0","","","","","28.7",",,,0","0",",,,0","14.35",",0","22.04",",,,0","6.66",",,,0","","","5133",",,,0","",""
"USC00145210","1975-11","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","756.3","0","0.8",",0","5","1,0","4","1,0","1","1,0","0","5,0","1",",0","0",",0","13",",0","4",",0","10",",0","0",",0","","","","","-16.7",",0,27,","0","5,,0,30,+","178",",,0,26,","29.5","1,,0,30,","24.4",",0,09,+","","","522.1","0","308.9",",0","","","","","55.4","1,,,0","178",",,,0","8.06",",0","14.46",",,,0","1.67",",,,0","","","","","",""
"USC00145210","1975-12","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","756.3","0","0.0",",0","","","","","","","","","","","0",",0","25",",0","3",",0","0",",0","0",",0","","","","","-17.2",",0,18,","","","","","","","20.0",",0,04,","","","1034.0","0","511.9",",0","","","","","","","","","1.82",",0","7.50",",,,0","-3.86",",,,0","","","","","",""
"USC00145210","1976-01","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","0.0","0","0.0",",0","1",",0","1",",0","0",",0","","","1",",0","3",",0","31",",0","7",",0","0",",0","0",",0","","","","","-21.1",",0,08,","","","76",",,0,25,","3.8",",,0,25,","18.3",",0,23,","","","1661.2","0","627.2",",0","","","","","3.8",",,,0","76",",,,0","-1.90",",0","5.40",",,,0","-9.19",",,,0","","","","","",""
"USC00145210","1976-02","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","0.0","0","0.0",",0","1",",0","1",",0","0",",0","1",",0","1",",0","0",",0","16",",0","3",",0","7",",0","0",",0","","","","","-13.9",",0,07,","51",",,0,05,","38",",,0,05,","3.3",",,0,05,","25.6",",0,29,","","","2007.0","0","345.8",",0","","","","","3.3",",,,0","38",",,,0","6.41",",0","14.36",",,,0","-1.53",",,,0","","","","","",""
"USC00145210","1976-03","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","0.0","0","0.0",",0","4",",0","3",",0","0",",0","0",",0","0",",0","0",",0","15",",0","0",",0","4",",0","0",",0","","","","","-10.6",",0,05,","0",",,0,31,+","0",",,0,31,+","21.3",",,0,05,","25.0",",0,26,+","","","2345.2","0","338.2",",0","","","","","41.6",",,,0","0",",,,0","7.42",",0","14.15",",,,0","0.70",",,,0","","","8096",",,,0","",""
"USC00145210","1976-04","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","10.9","0","10.9","1,0","12",",0","6",",0","2",",0","0",",0","0",",0","0","1,0","1","1,0","0",",0","16",",0","0",",0","","","","","-1.7","1,0,01,","0",",,0,30,+","0",",,0,30,+","47.8",",,0,28,","30.6",",0,03,","166.6",",,,0","2493.6","0","148.4",",0","","","","","118.4",",,,0","0",",,,0","13.66","1,0","20.15",",,,0","7.18","1,,,0","","","6477",",,,0","",""
"USC00145210","1976-05","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","24.9","0","14.0","1,0","12",",0","8",",0","2",",0","0",",0","0",",0","0","1,0","1","1,0","0",",0","20",",0","0",",0","","","","","-0.6","1,0,03,","0",",,0,31,+","0",",,0,31,+","48.8",",,0,30,","27.8",",0,23,+","155.3","2,,,0","2590.0","0","96.4",",0","","","","","134.3",",,,0","0",",,,0","15.66","1,0","21.62",",,,0","9.71","1,,,0","","","4214",",,,0","",""
"USC00145210","1976-06","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","141.6","0","116.7",",0","5",",0","5",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","4",",0","","","","","10.0",",0,19,","0",",,0,30,+","0",",,0,30,+","49.5",",,0,24,","33.3",",0,14,","248.4",",,,0","2590.6","0","0.6",",0","","","","","105.0",",,,0","0",",,,0","22.21",",0","28.23",",,,0","16.18",",,,0","","","3853","3,,,0","",""
"USC00145210","1976-07","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","354.3","0","212.7",",0","5",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","16",",0","","","","","13.3",",0,01,","0",",,0,31,+","0",",,0,31,+","22.9",",,0,16,","37.2",",0,31,","275.5",",,,0","0.0","0","0.0",",0","","","","","42.6",",,,0","0",",,,0","25.19",",0","31.17",",,,0","19.22",",,,0","","","4494","2,,,0","",""
"USC00145210","1976-08","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","567.0","0","212.7",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","16",",0","","","","","12.8",",0,29,","0",",,0,31,+","0",",,0,31,+","12.7",",,0,28,","38.3",",0,28,+","281.3",",,,0","0.0","0","0.0",",0","18.13","1,,,0","24.49","1,,,0","28.4",",,,0","0",",,,0","25.20",",0","32.61",",,,0","17.78",",,,0","","","4539",",,,0","",""
"USC00145210","1976-09","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","661.7","0","94.7",",0","5",",0","4",",0","0",",0","0",",0","0",",0","0",",0","0",",0","0",",0","29",",0","4",",0","","","","","7.2",",0,29,","0",",,0,30,+","0",",,0,30,+","16.8",",,0,26,","36.1",",0,05,","201.3",",,,0","22.2","0","22.2",",0","13.35","2,,,0","20.39","3,,,0","44.0",",,,0","0",",,,0","20.75",",0","27.95",",,,0","13.54",",,,0","","","4514",",,,0","",""
"USC00145210","1976-10","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","678.8","0","17.1",",0","8",",0","6",",0","1",",0","0",",0","0",",0","0",",0","11",",0","0",",0","11",",0","2",",0","","","","","-3.9",",0,17,","0",",,0,31,+","0",",,0,31,+","33.0",",,0,05,","33.3",",0,03,+","","","273.3","0","251.1",",0","5.22","3,,,0","11.96",",,,0","79.5",",,,0","0",",,,0","10.78",",0","17.45",",,,0","4.12",",,,0","","","4762",",,,0","",""
"USC00145210","1976-11","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","678.8","0","0.0",",0","1",",0","1",",0","0",",0","0",",0","0",",0","0",",0","24",",0","3",",0","1",",0","0",",0","","","","","-15.0",",0,29,+","0",",,0,30,+","0",",,0,30,+","2.5",",,0,27,","25.0",",0,19,","","","744.9","0","471.6",",0","","","","","2.5",",,,0","0",",,,0","2.61",",0","9.58",",,,0","-4.36",",,,0","","","","","",""
"USC00145210","1976-12","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","678.8","0","0.0",",0","1",",0","1",",0","0",",0","0",",0","0",",0","1",",0","29",",0","7",",0","0",",0","0",",0","","","","","-23.3",",0,31,","0",",,0,31,+","0",",,0,31,+","6.4",",,0,06,","20.6",",0,18,","","","1334.9","0","590.0",",0","","","","","6.4",",,,0","0",",,,0","-0.70",",0","7.10",",,,0","-8.50",",,,0","","","","","",""
"USC00145210","1977-01","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","0.0","0","0.0",",0","7",",0","4",",0","0",",0","","","","","11",",0","31",",0","21",",0","0",",0","0",",0","","","","","-23.9",",0,11,","","","","","7.4",",,0,23,","8.9",",0,28,","","","2176.9","0","842.0",",0","","","","","25.8",",,,0","","","-8.83",",0","-3.20",",,,0","-14.45",",,,0","","","","","",""
"USC00145210","1977-02","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","0.0","0","0.0",",0","2",",0","1",",0","0",",0","0",",0","0",",0","0",",0","23",",0","4",",0","2",",0","0",",0","","","","","-13.9",",0,01,","0",",,0,28,+","0",",T,0,26,","9.1",",,0,23,","23.3",",0,22,","","","2622.0","0","445.1",",0","","","","","9.4",",,,0","0",",T,,0","2.44",",0","9.18",",,,0","-4.30",",,,0","","","","","",""
"USC00145210","1977-03","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","0.0","0","0.0",",0","4","3,0","2","3,0","0","3,0","0",",0","0",",0","0",",0","11",",0","0",",0","5",",0","0",",0","","","","","-8.3",",0,01,","0",",,0,31,+","0",",,0,31,+","20.3","3,,0,11,","26.1",",0,15,+","","","2910.8","0","288.8",",0","","","","","28.2","3,,,0","0",",,,0","9.02",",0","15.73",",,,0","2.31",",,,0","","","","","",""
"USC00145210","1977-04","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","16.6","0","16.6",",0","12",",0","7",",0","1",",0","0",",0","0",",0","0",",0","1",",0","0",",0","17",",0","0",",0","","","","","-0.6",",0,05,","0",",,0,30,+","0",",,0,30,+","29.2",",,0,30,","28.3",",0,28,+","166.2","1,,,0","3025.8","0","115.0",",0","","","","","75.5",",,,0","0",",,,0","15.05",",0","20.70",",,,0","9.41",",,,0","","","5806",",,,0","",""
"USC00145210","1977-05","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","94.1","0","77.5",",0","12",",0","8",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","0",",0","","","","","6.7",",0,10,","0",",,0,31,+","0",",,0,31,+","36.6",",,0,28,","30.0",",0,16,","194.6",",,,0","3038.0","0","12.2",",0","","","","","167.3",",,,0","0",",,,0","20.44",",0","25.94",",,,0","14.94",",,,0","","","4961",",,,0","",""
"USC00145210","1977-06","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","258.1","0","164.0",",0","11",",0","9",",0","3",",0","0",",0","0",",0","0",",0","0",",0","0",",0","30",",0","6",",0","","","","","13.3",",0,07,+","0",",,0,30,+","0",",,0,30,+","144.8",",,0,18,","34.4",",0,12,","198.6","1,,,0","3038.0","0","0.0",",0","","","","","267.7",",,,0","0",",,,0","23.80",",0","29.05",",,,0","18.55",",,,0","","","4197",",,,0","",""
"USC00145210","1977-07","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","501.1","0","243.0",",0","7",",0","5",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","18",",0","","","","","15.0",",0,01,","0",",,0,31,+","0",",,0,31,+","42.7",",,0,08,","36.7",",0,25,","267.5",",,,0","0.0","0","0.0",",0","20.10","2,,,0","26.79","2,,,0","75.8",",,,0","0",",,,0","26.17",",0","31.68",",,,0","20.67",",,,0","","","4986",",,,0","",""
"USC00145210","1977-08","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","668.5","0","167.4","1,0","10",",0","9",",0","2",",0","0",",0","0",",0","0","1,0","0","1,0","0",",0","31",",0","8",",0","","","","","12.8","1,0,29,","0",",,0,31,+","0",",,0,31,+","91.7",",,0,28,","36.7",",0,09,","186.6","1,,,0","1.7","0","1.7",",0","18.28",",,,0","24.30",",,,0","189.4",",,,0","0",",,,0","23.87","1,0","29.41",",,,0","18.32","1,,,0","","","4823",",,,0","",""
"USC00145210","1977-09","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","755.3","0","86.8",",0","12",",0","8",",0","1",",0","0",",0","0",",0","0",",0","0",",0","0",",0","28",",0","0",",0","","","","","10.0",",0,20,","0",",,0,30,+","0",",,0,30,+","61.0",",,0,01,","31.1",",0,13,+","137.1","1,,,0","9.7","0","8.0",",0","16.08",",,,0","21.57",",,,0","138.3",",,,0","0",",,,0","20.96",",0","26.53",",,,0","15.39",",,,0","","","4047",",,,0","",""
"USC00145210","1977-10","38.50388","-95.70368","333.5","MELVERN LAKE, KS US","764.4","0","9.1","1,0","10",",0","6",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0","1,0","10","1,0","0","1,0","","","","","1.7",",0,16,","0",",,0,31,+","0",",,0,31,+","42.9",",,0,23,","28.9","1,0,01,","95.7","1,,,0","155.8","0","146.1","1,0","8.02",",,,0","14.14",",,,0","125.8",",,,0","0",",,,0","13.83","1,0","19.80","1,,,0","7.86",",,,0","","","4567",",,,0","",""
