"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"BLM00085289","1994-01","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","4,S","27","4,S","25","4,S","","","38.0","4,S,14,","","","34.46","4,,,S","",""
"BLM00085289","1994-02","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","4,S","0","4,S","0","5,S","23","5,S","20","5,S","21.0","4,S,07,","36.6","5,S,19,","28.69","9,S","33.93","5,,,S","23.45","4,,,S"
"BLM00085289","1994-05","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","5,S","25","5,S","15","5,S","","","35.8","5,S,24,","","","31.13","5,,,S","",""
"BLM00085289","1995-11","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","20.0","5,S,19,+","","","","","","","23.42","5,,,S"
"BLM00085289","1995-12","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","2,S","29","2,S","23","2,S","","","37.6","2,S,24,","","","33.53","2,,,S","",""
"BLM00085289","1996-01","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","0","5,S","26","5,S","17","5,S","20.4","5,S,31,","37.0","5,S,08,+","28.08","9,S","33.12","5,,,S","23.05","5,,,S"
"BLM00085289","1996-04","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","10.7","5,S,20,","","","","","","","20.72","5,,,S"
"BLM00085289","1996-06","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","3,S","0","3,S","","","","","","","3.4","3,S,29,","","","","","","","14.04","3,,,S"
"BLM00085289","1996-09","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","3,S","0","3,S","","","","","","","8.5","3,S,11,","","","","","","","17.44","3,,,S"
"BLM00085289","1996-11","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","18.0","5,S,26,","","","","","","","22.83","5,,,S"
"BLM00085289","1997-03","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","18.0","5,S,04,","","","","","","","21.68","5,,,S"
"BLM00085289","1997-07","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","4,S","0","4,S","","","","","","","11.5","4,S,21,","","","","","","","18.04","4,,,S"
"BLM00085289","2000-02","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","21.0","5,S,29,+","","","","","","","23.30","5,,,S"
"BLM00085289","2000-04","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","4,S","26","4,S","15","4,S","","","35.0","4,S,11,","","","31.95","4,,,S","",""
"BLM00085289","2000-09","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","13.0","5,S,02,","","","","","","","19.18","5,,,S"
"BLM00085289","2001-06","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","7.0","5,S,21,","","","","","","","16.40","5,,,S"
"BLM00085289","2001-07","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","3,S","25","3,S","8","3,S","","","34.5","3,S,20,","","","28.93","3,,,S","",""
"BLM00085289","2001-10","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","4,S","0","4,S","","","","","","","18.5","4,S,03,","","","","","","","22.80","4,,,S"
"BLM00085289","2002-05","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","13.0","5,S,22,","","","","","","","21.66","5,,,S"
"BLM00085289","2002-06","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","5,S","23","5,S","8","5,S","","","35.0","5,S,05,","","","28.31","5,,,S","",""
"BLM00085289","2002-12","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","4,S","0","4,S","","","","","","","23.0","4,S,16,+","","","","","","","24.64","4,,,S"
"BLM00085289","2003-02","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","4,S","0","4,S","","","","","","","15.5","4,S,21,","","","","","","","22.83","4,,,S"
"BLM00085289","2003-11","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","16.5","5,S,03,","","","","","","","22.48","5,,,S"
"BLM00085289","2004-01","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","21.7","5,S,17,","","","","","","","24.17","5,,,S"
"BLM00085289","2004-03","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","0","5,S","26","5,S","22","5,S","18.8","5,S,28,","36.7","5,S,02,","28.09","0,S","32.95","5,,,S","23.23","5,,,S"
"BLM00085289","2004-09","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","4,S","0","4,S","","","","","","","10.3","4,S,13,","","","","","","","20.44","4,,,S"
"BLM00085289","2004-10","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","17.7","5,S,14,","","","","","","","21.75","5,,,S"
"BLM00085289","2005-02","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","4,S","0","4,S","0","5,S","23","5,S","21","5,S","14.3","4,S,01,","37.6","5,S,22,+","28.63","9,S","34.50","5,,,S","22.75","4,,,S"
"BLM00085289","2005-08","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","9.7","5,S,11,","","","","","","","19.40","5,,,S"
"BLM00085289","2005-11","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","20.0","5,S,06,","","","","","","","23.14","5,,,S"
"BLM00085289","2006-08","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","8.6","5,S,01,","","","","","","","19.15","5,,,S"
"BLM00085289","2007-07","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","7.4","5,S,11,","","","","","","","14.93","5,,,S"
"BLM00085289","2007-08","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","5,S","0","5,S","","","","","","","7.0","5,S,05,","","","","","","","15.50","5,,,S"
"BLM00085289","2010-10","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","5,S","25","5,S","18","5,S","","","39.5","5,S,29,+","","","33.40","5,,,S","",""
"BLM00085289","2017-03","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","5,S","26","5,S","23","5,S","","","36.4","5,S,10,","","","33.70","5,,,S","",""
"BLM00085289","2017-08","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","4,S","27","4,S","12","4,S","","","37.3","4,S,12,+","","","31.45","4,,,S","",""
"BLM00085289","2018-07","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","3,S","25","3,S","3","3,S","","","33.0","3,S,16,","","","27.74","3,,,S","",""
"BLM00085289","2018-08","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","","","","","0","3,S","25","3,S","7","3,S","","","37.3","3,S,31,+","","","28.07","3,,,S","",""
"BLM00085289","2018-10","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","4,S","0","4,S","","","","","","","18.5","4,S,04,","","","","","","","21.70","4,,,S"
"BLM00085289","2018-11","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","2,S","0","2,S","","","","","","","16.0","2,S,19,","","","","","","","21.66","2,,,S"
"BLM00085289","2018-12","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0",",S","0",",S","","","","","","","15.2",",S,08,","","","","","","","20.30",",,,S"
"BLM00085289","2019-01","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","3,S","0","3,S","0","4,S","27","4,S","26","4,S","16.0","3,S,10,","39.3","4,S,26,","28.58","7,S","36.02","4,,,S","21.13","3,,,S"
"BLM00085289","2019-02","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","4,S","0","4,S","","","","","","","18.0","4,S,27,","","","","","","","22.03","4,,,S"
"BLM00085289","2019-03","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","1,S","0","1,S","","","","","","","16.5","1,S,22,","","","","","","","21.54","1,,,S"
"BLM00085289","2019-04","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","2,","0","2,S","","","","","","","12.0","2,S,08,","","","","","","","20.43","2,,,S"
"BLM00085289","2019-05","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","1,","0","1,S","","","","","","","8.2","1,S,25,","","","","","","","17.59","1,,,S"
"BLM00085289","2019-06","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","1,S","0","1,S","","","","","","","10.0","1,S,26,","","","","","","","17.20","1,,,S"
"BLM00085289","2019-07","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","2,","0","2,S","","","","","","","6.5","2,S,08,","","","","","","","14.72","2,,,S"
"BLM00085289","2019-08","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","3,S","0","3,S","","","","","","","7.0","3,S,05,","","","","","","","16.27","3,,,S"
"BLM00085289","2019-09","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0",",S","0",",S","","","","","","","14.2",",S,02,","","","","","","","20.17",",,,S"
"BLM00085289","2019-10","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","4,","0","4,S","","","","","","","15.0","4,S,07,","","","","","","","21.30","4,,,S"
"BLM00085289","2019-11","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","2,S","0","2,S","","","","","","","19.5","2,S,16,","","","","","","","22.36","2,,,S"
"BLM00085289","2019-12","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","3,","0","3,S","","","","","","","17.5","3,S,06,","","","","","","","22.01","3,,,S"
"BLM00085289","2020-01","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","3,S","0","3,S","","","","","","","19.5","3,S,05,","","","","","","","22.64","3,,,S"
"BLM00085289","2020-02","-18.975","-57.821","133.8","TTE DE AV SALVADOR OGAYA G, BL","0","2,S","0","2,S","","","","","","","15.0","2,S,28,","","","","","","","21.84","2,,,S"
